open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717200000000,0.10216,0.10246,0.10154,0.10168,906749.7,1717200899999,92569.308734,750,510728.3,52151.730125,0
1717200900000,0.1017,0.10189,0.10146,0.10186,190626.0,1717201799999,19378.545245,206,109678.3,11147.56576,0
1717201800000,0.10182,0.10189,0.10142,0.10167,525612.8,1717202699999,53403.259997,314,354616.5,36023.558415,0
1717202700000,0.1017,0.1019,0.10147,0.10153,317283.4,1717203599999,32263.132097,240,142282.3,14465.864214,0
1717203600000,0.10152,0.10157,0.10063,0.10086,599832.8,1717204499999,60609.389813,424,202408.6,20448.175091,0
1717204500000,0.10086,0.10095,0.10018,0.10033,1827808.1,1717205399999,183497.757845,627,1173461.7,117818.593702,0
1717205400000,0.10031,0.10032,0.09972,0.09997,1128188.4,1717206299999,112780.453103,1066,326850.6,32666.342302,0
1717206300000,0.09997,0.1004,0.09997,0.10031,688274.2,1717207199999,69009.590602,499,362846.8,36381.980524,0
1717207200000,0.10026,0.1004,0.09983,0.09985,819275.6,1717208099999,82029.596446,576,325693.6,32617.37749,0
1717208100000,0.09984,0.10023,0.0996,0.10011,375315.0,1717208999999,37476.235214,334,159350.5,15922.11151,0
1717209000000,0.10011,0.1004,0.09989,0.10026,822577.3,1717209899999,82456.169767,479,526459.2,52787.746017,0
1717209900000,0.10023,0.10023,0.09977,0.09995,377463.7,1717210799999,37739.69823,245,128108.2,12805.028758,0
1717210800000,0.09997,0.10012,0.09964,0.09974,210671.4,1717211699999,21025.622267,188,85210.3,8502.710337,0
1717211700000,0.0997,0.10006,0.09961,0.10005,83419.6,1717212599999,8328.640749,106,61643.0,6155.964457,0
1717212600000,0.10007,0.10008,0.09986,0.09999,105100.2,1717213499999,10508.630199,98,35846.1,3584.33344,0
1717213500000,0.09999,0.10034,0.09999,0.10029,259365.9,1717214399999,25989.27014,294,109090.7,10925.761939,0
1717214400000,0.10028,0.10028,0.09997,0.10025,605849.4,1717215299999,60667.325123,369,344930.3,34535.493797,0
1717215300000,0.10025,0.10088,0.10015,0.10084,961840.0,1717216199999,96711.086029,541,625400.1,62851.517048,0
1717216200000,0.10083,0.10106,0.10061,0.10061,439635.1,1717217099999,44330.947781,278,279794.3,28216.131506,0
1717217100000,0.10057,0.10059,0.1003,0.1003,291615.5,1717217999999,29290.289965,159,71961.7,7230.221711,0
1717218000000,0.10028,0.10046,0.09992,0.10035,645332.5,1717218899999,64686.635246,434,148009.0,14826.508263,0
1717218900000,0.10038,0.10045,0.09987,0.09988,308155.2,1717219799999,30855.832316,253,115162.2,11532.977613,0
1717219800000,0.09986,0.10021,0.09961,0.1001,305972.3,1717220699999,30558.392553,253,156529.8,15641.033802,0
1717220700000,0.10008,0.10018,0.09918,0.09929,1559501.7,1717221599999,155178.817397,588,279469.5,27844.043267,0
1717221600000,0.09928,0.0995,0.09889,0.09906,870360.8,1717222499999,86332.501128,686,200982.6,19956.158765,0
1717222500000,0.09904,0.09934,0.09876,0.09899,678875.1,1717223399999,67203.066784,754,252623.5,25000.793599,0
1717223400000,0.09896,0.09897,0.09842,0.09842,838588.6,1717224299999,82716.207289,1012,209312.9,20654.042622,0
1717224300000,0.09841,0.09896,0.09824,0.09877,634770.4,1717225199999,62603.160487,603,198081.2,19534.527153,0
1717225200000,0.09875,0.09879,0.09842,0.09878,541732.1,1717226099999,53400.052514,623,205449.6,20258.461276,0
1717226100000,0.09878,0.09886,0.09811,0.09827,612544.2,1717226999999,60282.525205,584,154980.6,15281.794095,0
1717227000000,0.09827,0.09851,0.09808,0.09841,665863.5,1717227899999,65437.896241,773,211210.9,20757.59186,0
1717227900000,0.09842,0.0986,0.09817,0.09833,520940.5,1717228799999,51269.103112,697,244747.9,24087.776347,0
1717228800000,0.09836,0.09843,0.09789,0.09807,1122265.1,1717229699999,110168.011221,756,260871.0,25601.837612,0
1717229700000,0.09805,0.09805,0.09783,0.09791,440504.7,1717230599999,43135.164322,407,124194.3,12161.772434,0
1717230600000,0.09791,0.09794,0.0977,0.09785,654360.3,1717231499999,63995.426927,621,169886.9,16618.506579,0
1717231500000,0.09784,0.09814,0.09767,0.09808,1159007.2,1717232399999,113416.94221,693,304618.4,29817.680253,0
1717232400000,0.09809,0.09819,0.0977,0.09773,776768.5,1717233299999,76069.831352,785,215194.8,21078.222554,0
1717233300000,0.09769,0.09771,0.09746,0.09753,367608.0,1717234199999,35867.672822,397,98665.8,9628.916904,0
1717234200000,0.09754,0.09797,0.0975,0.09791,540532.9,1717235099999,52840.871862,340,404666.4,39553.120911,0
1717235100000,0.09791,0.09796,0.09758,0.09778,721809.9,1717235999999,70599.7881,420,498134.9,48726.790141,0
1717236000000,0.09777,0.09778,0.09754,0.09774,323246.3,1717236899999,31563.842576,257,197337.3,19268.829133,0
