open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1727740800000,0.006736,0.006784,0.006696,0.006766,3262043.9,1727741699999,22011.1296129,353,958006.9,6464.136507,0
1727741700000,0.006765,0.006776,0.006694,0.006776,4456399.0,1727742599999,30037.827036,298,2009120.6,13535.0306949,0
1727742600000,0.006783,0.006818,0.006759,0.006808,5546448.2,1727743499999,37702.0522478,309,3460260.5,23538.4757046,0
1727743500000,0.00681,0.006872,0.006808,0.006841,5407848.4,1727744399999,36994.5199254,397,1475563.7,10090.1225784,0
1727744400000,0.006841,0.006901,0.006833,0.006857,8355384.9,1727745299999,57414.5178637,371,2116318.6,14532.8167082,0
1727745300000,0.00686,0.006901,0.006855,0.006897,12825173.9,1727746199999,88351.8595898,289,8256481.1,56912.1944707,0
1727746200000,0.0069,0.006909,0.006881,0.006899,1273484.5,1727747099999,8777.8341582,157,884687.4,6099.4675783,0
1727747100000,0.006899,0.006903,0.00686,0.006875,1137893.1,1727747999999,7820.8965458,89,878773.5,6038.8669206,0
1727748000000,0.006866,0.006866,0.006794,0.0068,1693884.1,1727748899999,11559.5111437,129,888445.4,6063.8284134,0
1727748900000,0.006801,0.006858,0.006793,0.006847,3429019.5,1727749799999,23387.6840376,173,2934198.2,20002.5909737,0
1727749800000,0.00685,0.006881,0.006843,0.006878,725034.5,1727750699999,4978.8849422,85,587103.6,4032.7532419,0
1727750700000,0.006877,0.0069,0.006861,0.006898,4097800.9,1727751599999,28208.8436562,265,2213992.4,15242.3967042,0
1727751600000,0.006896,0.006956,0.006893,0.006956,5471788.6,1727752499999,37902.6433744,344,1238893.9,8586.9001389,0
1727752500000,0.006957,0.006984,0.006918,0.006934,7207324.3,1727753399999,50099.2183422,327,1874268.4,13023.8297906,0
1727753400000,0.006931,0.007008,0.006928,0.007005,3036667.5,1727754299999,21205.7377525,201,2209071.3,15448.4026966,0
1727754300000,0.007,0.007008,0.00698,0.006991,1688308.1,1727755199999,11813.4868554,145,603838.7,4228.6718313,0
1727755200000,0.00699,0.007013,0.006972,0.006972,4627714.7,1727756099999,32391.7635702,216,2912666.2,20405.234721,0
1727756100000,0.006972,0.007002,0.006972,0.007,1432148.5,1727756999999,10016.2996519,104,275434.0,1925.6060811,0
1727757000000,0.006995,0.007019,0.006978,0.007,2205154.8,1727757899999,15432.3356259,212,834253.0,5842.8634185,0
1727757900000,0.006997,0.007008,0.006983,0.00699,1022720.3,1727758799999,7157.9131614,105,478493.8,3349.1880638,0
1727758800000,0.006991,0.006995,0.006923,0.006923,4728262.9,1727759699999,32862.2174633,251,2155501.8,14986.8182077,0
1727759700000,0.006927,0.006943,0.006919,0.006922,732062.0,1727760599999,5074.7955259,102,373195.2,2588.8772408,0
1727760600000,0.00692,0.006948,0.006914,0.006932,8649070.3,1727761499999,59971.1839082,255,7241873.7,50208.1615083,0
1727761500000,0.006935,0.006941,0.006922,0.006929,771294.4,1727762399999,5347.156164,73,93124.9,645.7553543,0
1727762400000,0.006924,0.007009,0.006922,0.007009,4763246.7,1727763299999,33244.161727,306,2524810.9,17623.6341897,0
1727763300000,0.007006,0.007037,0.006997,0.00702,3463107.8,1727764199999,24272.726517,247,1819760.8,12754.1135106,0
1727764200000,0.007023,0.007045,0.007004,0.007041,6368848.0,1727765099999,44758.8226749,400,3851287.9,27090.7202897,0
1727765100000,0.007039,0.00709,0.007033,0.007066,6111830.2,1727765999999,43192.9773457,464,3006405.5,21258.3515265,0
1727766000000,0.007071,0.007071,0.007008,0.00701,8581169.2,1727766899999,60275.9056041,361,1040640.9,7323.2270996,0
1727766900000,0.00701,0.007025,0.006994,0.007018,3380076.8,1727767799999,23695.0049017,152,713485.2,5004.8720687,0
1727767800000,0.007018,0.007061,0.007,0.007047,2508645.3,1727768699999,17638.7434167,144,1538939.0,10805.1466334,0
1727768700000,0.007044,0.007044,0.007008,0.007024,1269226.0,1727769599999,8912.302164,107,537658.1,3772.1677827,0
1727769600000,0.007027,0.007053,0.007016,0.007034,2498469.2,1727770499999,17584.1997055,209,1351211.8,9512.4336656,0
1727770500000,0.007035,0.007045,0.007019,0.007028,1487904.8,1727771399999,10462.8080619,112,571777.5,4022.3593715,0
1727771400000,0.007028,0.007058,0.006999,0.006999,2567976.1,1727772299999,18058.7792908,240,1170619.9,8247.4807731,0
1727772300000,0.006996,0.007011,0.006982,0.007008,1914402.3,1727773199999,13394.4409954,190,498973.4,3492.596963,0
1727773200000,0.007008,0.007056,0.007005,0.007047,2572278.4,1727774099999,18098.2760962,196,617210.8,4342.8262968,0
1727774100000,0.00705,0.007058,0.007037,0.007049,1989269.2,1727774999999,14024.3744751,165,1287704.8,9081.7868695,0
1727775000000,0.007049,0.007056,0.007027,0.007042,2112468.1,1727775899999,14884.8650606,174,757332.8,5338.015165,0
1727775900000,0.007048,0.007057,0.007028,0.007029,1670303.6,1727776799999,11770.0591605,136,446476.7,3148.4365272,0
