open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1743465600000000,0.2704,0.2721,0.2703,0.2706,270330.0,1743466499999999,73355.1004,221,172637.0,46850.196,0
1743466500000000,0.2705,0.2714,0.2698,0.271,245337.0,1743467399999999,66389.9494,263,56465.0,15281.528,0
1743467400000000,0.2709,0.2714,0.2704,0.2712,160064.0,1743468299999999,43351.8862,191,81725.0,22127.0655,0
1743468300000000,0.2713,0.2722,0.2702,0.2712,377762.0,1743469199999999,102504.1606,513,236416.0,64171.2601,0
1743469200000000,0.2712,0.2713,0.2691,0.2698,109604.0,1743470099999999,29608.7958,163,36879.0,9967.1606,0
1743470100000000,0.2698,0.2703,0.2694,0.27,66534.0,1743470999999999,17949.5776,124,13362.0,3606.3212,0
1743471000000000,0.2702,0.2702,0.2689,0.2691,79457.0,1743471899999999,21413.0724,185,26798.0,7221.882,0
1743471900000000,0.2695,0.2705,0.2694,0.2702,175434.0,1743472799999999,47358.1258,190,88649.0,23925.679,0
1743472800000000,0.2702,0.2714,0.2698,0.2714,44353.0,1743473699999999,12002.2684,124,22364.0,6055.6257,0
1743473700000000,0.2715,0.2724,0.2712,0.2722,170099.0,1743474599999999,46237.7506,228,57816.0,15708.9399,0
1743474600000000,0.2723,0.2729,0.2719,0.2728,51389.0,1743475499999999,13983.2397,112,14800.0,4025.0065,0
1743475500000000,0.2728,0.2735,0.2727,0.2733,133703.0,1743476399999999,36529.0121,159,70917.0,19371.2726,0
1743476400000000,0.2734,0.2739,0.2728,0.2737,32501.0,1743477299999999,8884.1732,105,14633.0,4000.5494,0
1743477300000000,0.2737,0.2739,0.2731,0.2731,51899.0,1743478199999999,14194.1262,120,24432.0,6683.1336,0
1743478200000000,0.2732,0.2734,0.2727,0.2728,36897.0,1743479099999999,10074.8626,93,10670.0,2913.7662,0
1743479100000000,0.2728,0.273,0.272,0.2725,166620.0,1743479999999999,45377.0183,140,105131.0,28630.5869,0
1743480000000000,0.2727,0.2729,0.2723,0.2726,113046.0,1743480899999999,30823.8707,154,32088.0,8749.8722,0
1743480900000000,0.2727,0.2733,0.2724,0.2731,88563.0,1743481799999999,24173.6951,139,65277.0,17819.3215,0
1743481800000000,0.2732,0.2737,0.2728,0.2736,69896.0,1743482699999999,19111.2974,128,53653.0,14671.4757,0
1743482700000000,0.2737,0.274,0.2735,0.2739,195805.0,1743483599999999,53620.4906,190,96958.0,26548.9373,0
1743483600000000,0.2739,0.2744,0.2737,0.2743,130600.0,1743484499999999,35797.7355,298,49980.0,13697.7017,0
1743484500000000,0.2743,0.2752,0.2743,0.275,104082.0,1743485399999999,28604.4213,181,63429.0,17430.8163,0
1743485400000000,0.2751,0.2752,0.2742,0.2742,69799.0,1743486299999999,19161.949,160,23739.0,6516.3792,0
1743486300000000,0.2742,0.2745,0.2732,0.2733,79286.0,1743487199999999,21710.6295,179,38428.0,10525.6511,0
1743487200000000,0.2733,0.2738,0.2726,0.2735,343549.0,1743488099999999,93799.6194,334,202722.0,55355.9559,0
1743488100000000,0.2735,0.2745,0.2735,0.2743,129782.0,1743488999999999,35590.8443,185,71358.0,19572.1186,0
1743489000000000,0.2743,0.276,0.2742,0.2757,327336.0,1743489899999999,90141.8733,331,190836.0,52532.9912,0
1743489900000000,0.276,0.2762,0.2751,0.2751,108033.0,1743490799999999,29789.5869,266,46433.0,12809.4439,0
1743490800000000,0.2753,0.2762,0.2744,0.2754,252946.0,1743491699999999,69609.7609,508,125322.0,34501.3586,0
1743491700000000,0.2753,0.2755,0.2745,0.2749,209980.0,1743492599999999,57739.7221,230,42770.0,11761.4572,0
1743492600000000,0.2749,0.2756,0.2743,0.2751,108122.0,1743493499999999,29735.025,192,57486.0,15810.8944,0
1743493500000000,0.2751,0.2757,0.2746,0.2748,70526.0,1743494399999999,19406.706,158,14354.0,3952.2844,0
1743494400000000,0.2748,0.2763,0.2747,0.2762,118388.0,1743495299999999,32632.7803,163,72118.0,19875.668,0
1743495300000000,0.2763,0.2789,0.2763,0.2789,440165.0,1743496199999999,122141.6307,611,268763.0,74583.2388,0
1743496200000000,0.2789,0.2792,0.2769,0.2774,178971.0,1743497099999999,49807.7482,499,46884.0,13059.3235,0
1743497100000000,0.2775,0.279,0.2773,0.2789,162037.0,1743497999999999,45135.8759,282,67930.0,18926.6939,0
1743498000000000,0.2789,0.28,0.2785,0.2787,167333.0,1743498899999999,46757.3902,391,78330.0,21889.374,0
1743498900000000,0.2788,0.2796,0.2784,0.2789,159613.0,1743499799999999,44548.137,388,66639.0,18596.1429,0
1743499800000000,0.2789,0.28,0.2788,0.2794,123896.0,1743500699999999,34625.2043,284,62152.0,17374.7592,0
1743500700000000,0.2794,0.2799,0.2788,0.2794,142016.0,1743501599999999,39679.4353,351,43378.0,12123.6346,0
1743501600000000,0.2794,0.2797,0.278,0.2786,215858.0,1743502499999999,60143.3853,520,46893.0,13061.9311,0
1743502500000000,0.2787,0.2795,0.2779,0.2779,133656.0,1743503399999999,37256.8798,321,57941.0,16176.1083,0
1743503400000000,0.2779,0.278,0.2757,0.2761,144764.0,1743504299999999,40046.6108,420,51505.0,14244.7815,0
1743504300000000,0.276,0.2769,0.2752,0.2754,104719.0,1743505199999999,28906.2971,280,35256.0,9735.307,0
1743505200000000,0.2754,0.276,0.2746,0.2751,223464.0,1743506099999999,61492.003,525,123557.0,33997.6116,0
1743506100000000,0.2752,0.2758,0.2748,0.2754,77570.0,1743506999999999,21352.4563,193,29604.0,8143.4055,0
1743507000000000,0.2753,0.2754,0.2733,0.274,317602.0,1743507899999999,86978.9769,386,77544.0,21249.7949,0
1743507900000000,0.2741,0.275,0.2738,0.2747,63068.0,1743508799999999,17307.8318,205,28228.0,7747.8559,0
1743508800000000,0.2748,0.2758,0.2747,0.2753,131220.0,1743509699999999,36106.3208,296,79526.0,21879.6192,0
1743509700000000,0.2751,0.2758,0.2744,0.2757,143360.0,1743510599999999,39452.12,189,72699.0,20013.6429,0
1743510600000000,0.2756,0.2758,0.2736,0.2738,150628.0,1743511499999999,41390.0061,182,20838.0,5715.8193,0
1743511500000000,0.2739,0.2749,0.2735,0.2746,104808.0,1743512399999999,28730.5283,213,53323.0,14619.5044,0
1743512400000000,0.2747,0.2754,0.274,0.2749,104339.0,1743513299999999,28658.0008,205,39817.0,10934.5971,0
1743513300000000,0.2748,0.2755,0.2743,0.2753,88736.0,1743514199999999,24396.21,235,36023.0,9899.9075,0
1743514200000000,0.2752,0.2769,0.2745,0.2765,179707.0,1743515099999999,49551.0451,405,114338.0,31533.8144,0
1743515100000000,0.2766,0.2777,0.2754,0.2758,279180.0,1743515999999999,77200.1769,402,83882.0,23196.9504,0
1743516000000000,0.2758,0.276,0.2719,0.2726,278739.0,1743516899999999,76265.184,660,94804.0,25945.1211,0
1743516900000000,0.2726,0.274,0.2714,0.2733,296734.0,1743517799999999,80866.1607,439,122059.0,33244.5452,0
1743517800000000,0.2732,0.276,0.2731,0.2755,213213.0,1743518699999999,58606.4045,370,106925.0,29394.2291,0
1743518700000000,0.2754,0.2783,0.2751,0.2776,216776.0,1743519599999999,59952.6423,412,103501.0,28612.217,0
1743519600000000,0.2774,0.281,0.2774,0.2808,391840.0,1743520499999999,109482.3833,679,258368.0,72265.1021,0
1743520500000000,0.2809,0.2826,0.2798,0.28,1215838.0,1743521399999999,342077.2803,1330,559046.0,157345.3893,0
1743521400000000,0.28,0.2836,0.2797,0.2825,2455621.0,1743522299999999,692228.8645,1535,1150512.0,324064.055,0
1743522300000000,0.2825,0.2836,0.2813,0.2815,407176.0,1743523199999999,114975.0043,423,126155.0,35630.4983,0
1743523200000000,0.2816,0.2829,0.2815,0.2817,280084.0,1743524099999999,79000.3111,296,89279.0,25171.3023,0
1743524100000000,0.2817,0.2823,0.2796,0.28,258936.0,1743524999999999,72734.4853,504,60353.0,16960.0135,0
1743525000000000,0.28,0.2814,0.2795,0.2797,187930.0,1743525899999999,52704.2903,453,74805.0,20976.2295,0
1743525900000000,0.2797,0.2805,0.2795,0.2803,166882.0,1743526799999999,46715.3239,255,35493.0,9942.8024,0
1743526800000000,0.2801,0.2806,0.2795,0.28,117481.0,1743527699999999,32898.4143,283,24241.0,6786.5871,0
