open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,0.002047,0.002053,0.002042,0.002053,4830675.0,1740788099999999,9891.645039,81,3716004.0,7610.731527,0
1740788100000000,0.002053,0.002055,0.00204,0.002041,5188148.0,1740788999999999,10619.985474,97,1264113.0,2591.913322,0
1740789000000000,0.00204,0.00204,0.002027,0.002031,6095513.0,1740789899999999,12391.554289,142,3500054.0,7114.907011,0
1740789900000000,0.00203,0.002032,0.002018,0.002019,6575080.0,1740790799999999,13299.26251,111,2591379.0,5246.133838,0
1740790800000000,0.00202,0.002022,0.002017,0.00202,5338918.0,1740791699999999,10782.343956,89,3013331.0,6087.407668,0
1740791700000000,0.00202,0.002024,0.002011,0.002014,5956470.0,1740792599999999,12023.852526,87,3460279.0,6988.341404,0
1740792600000000,0.002015,0.002027,0.002012,0.002027,4664025.0,1740793499999999,9408.814075,73,2473352.0,4988.945241,0
1740793500000000,0.002027,0.002048,0.002027,0.002044,7145387.0,1740794399999999,14550.011832,119,5157249.0,10503.385617,0
1740794400000000,0.002044,0.002044,0.002028,0.002044,4532857.0,1740795299999999,9229.024721,94,3083172.0,6276.780838,0
1740795300000000,0.002044,0.002049,0.002034,0.002049,3909071.0,1740796199999999,7983.893817,70,1850365.0,3783.254494,0
1740796200000000,0.002047,0.002062,0.002047,0.002058,6715810.0,1740797099999999,13810.459423,180,5907107.0,12147.226893,0
1740797100000000,0.002058,0.002058,0.002045,0.002051,2838878.0,1740797999999999,5825.011833,62,822788.0,1689.785752,0
1740798000000000,0.002051,0.002056,0.002044,0.002044,4650035.0,1740798899999999,9529.453404,93,3004719.0,6157.760912,0
1740798900000000,0.002042,0.002047,0.002041,0.002046,2632637.0,1740799799999999,5377.063358,66,1138827.0,2327.029408,0
1740799800000000,0.002046,0.002053,0.002044,0.002045,1991270.0,1740800699999999,4081.378921,72,1611276.0,3303.334799,0
1740800700000000,0.002043,0.002052,0.002042,0.002045,4226507.0,1740801599999999,8655.401798,81,3136644.0,6426.948136,0
1740801600000000,0.002044,0.002059,0.002042,0.002059,2250912.0,1740802499999999,4610.945372,49,1768803.0,3623.48737,0
1740802500000000,0.002058,0.002059,0.002049,0.00205,4104146.0,1740803399999999,8423.339744,77,2201439.0,4520.453983,0
1740803400000000,0.002048,0.00206,0.002047,0.002059,2133942.0,1740804299999999,4378.730301,44,1278606.0,2625.181128,0
1740804300000000,0.00206,0.002065,0.002055,0.002065,4352738.0,1740805199999999,8965.797941,81,3402680.0,7009.858653,0
1740805200000000,0.002066,0.002066,0.002047,0.002048,5526574.0,1740806099999999,11361.272421,91,1804562.0,3706.164381,0
1740806100000000,0.002048,0.002049,0.002042,0.002048,1912069.0,1740806999999999,3911.495301,49,1114950.0,2281.116023,0
1740807000000000,0.002046,0.002049,0.00204,0.002044,7849006.0,1740807899999999,16047.969588,135,3857388.0,7893.974425,0
1740807900000000,0.002043,0.002048,0.002041,0.002042,2964590.0,1740808799999999,6064.101354,74,1666975.0,3410.372244,0
1740808800000000,0.002042,0.002045,0.002039,0.002041,3356325.0,1740809699999999,6851.846947,63,1253652.0,2559.801113,0
1740809700000000,0.002038,0.002038,0.002028,0.002029,7056207.0,1740810599999999,14335.007696,89,2589759.0,5260.518021,0
1740810600000000,0.00203,0.00204,0.002026,0.002038,6612965.0,1740811499999999,13432.531671,102,3100222.0,6298.501256,0
1740811500000000,0.002037,0.002037,0.002033,0.002035,1395887.0,1740812399999999,2839.450405,29,851135.0,1731.204389,0
1740812400000000,0.002036,0.002036,0.002024,0.002028,2805329.0,1740813299999999,5691.335812,55,1378886.0,2796.198555,0
1740813300000000,0.002029,0.002033,0.002023,0.002024,3393121.0,1740814199999999,6878.837697,60,2040211.0,4137.494132,0
1740814200000000,0.002024,0.002031,0.002022,0.002029,6240958.0,1740815099999999,12646.644735,83,4853562.0,9838.109512,0
1740815100000000,0.002027,0.002031,0.002024,0.002024,1991458.0,1740815999999999,4038.700635,38,873790.0,1772.248799,0
1740816000000000,0.002025,0.002031,0.002025,0.002028,2437565.0,1740816899999999,4942.794855,60,1393990.0,2826.749316,0
1740816900000000,0.002029,0.002041,0.002029,0.002041,4865955.0,1740817799999999,9902.176061,85,4072827.0,8288.992554,0
1740817800000000,0.002042,0.002043,0.002029,0.002032,2679616.0,1740818699999999,5463.043843,58,1339109.0,2731.00089,0
1740818700000000,0.002032,0.002037,0.002028,0.002036,1673273.0,1740819599999999,3401.263085,38,1374878.0,2794.258636,0
1740819600000000,0.002036,0.00204,0.002034,0.002037,6163643.0,1740820499999999,12553.379499,85,4872140.0,9923.087228,0
1740820500000000,0.002038,0.002046,0.002037,0.00204,3567561.0,1740821399999999,7277.359133,74,2538597.0,5177.191834,0
1740821400000000,0.002039,0.002039,0.002025,0.002025,4677839.0,1740822299999999,9503.081532,125,2317032.0,4707.873181,0
