open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,59.3,59.4,59.0,59.04,54317.8,1701389699999,3212483.4855,3044,25512.01,1508683.8037,0
1701389700000,59.05,59.11,58.69,58.82,67803.41,1701390599999,3994565.4468,4880,33357.81,1965146.0789,0
1701390600000,58.83,59.05,58.71,58.85,43241.61,1701391499999,2547039.4524,2916,23175.56,1365070.3513,0
1701391500000,58.84,58.99,58.6,58.89,42846.93,1701392399999,2518823.9429,3084,21650.47,1272860.0568,0
1701392400000,58.89,59.21,58.78,59.0,38367.21,1701393299999,2263351.4368,2860,18998.12,1120939.5945,0
1701393300000,59.0,59.99,58.97,59.96,69469.97,1701394199999,4138216.3811,6053,41039.11,2443565.031,0
1701394200000,59.97,60.19,59.65,60.09,95885.76,1701395099999,5750450.1671,6734,54513.8,3269297.7038,0
1701395100000,60.09,60.26,59.92,60.24,73372.01,1701395999999,4406863.8388,3369,36409.91,2186939.5436,0
1701396000000,60.25,60.33,60.0,60.29,49203.55,1701396899999,2961082.1617,3033,26235.36,1578999.3247,0
1701396900000,60.29,60.88,60.18,60.67,103995.41,1701397799999,6294301.2663,7334,60536.64,3664351.1184,0
1701397800000,60.67,60.95,60.66,60.77,64758.57,1701398699999,3938147.7224,4108,34114.34,2074339.2044,0
1701398700000,60.77,61.0,60.54,60.75,106294.0,1701399599999,6457318.3484,7302,50253.41,3053182.0575,0
1701399600000,60.74,60.76,60.45,60.57,62956.21,1701400499999,3815206.5469,3880,31244.76,1893488.9921,0
1701400500000,60.57,61.08,60.49,60.81,83534.64,1701401399999,5080779.5816,5072,43408.25,2640664.601,0
1701401400000,60.82,60.96,60.68,60.76,50900.41,1701402299999,3096551.6547,3553,22676.35,1379469.4795,0
1701402300000,60.76,60.89,60.64,60.75,43437.37,1701403199999,2639754.5563,3169,20399.12,1239528.9199,0
1701403200000,60.76,60.97,60.66,60.9,45794.2,1701404099999,2785036.311,3362,20379.33,1239434.868,0
1701404100000,60.89,60.93,60.71,60.93,44620.49,1701404999999,2714091.7934,2985,22433.66,1364606.2515,0
1701405000000,60.92,61.06,60.68,60.72,57936.64,1701405899999,3526921.6626,3848,26730.8,1628269.6817,0
1701405900000,60.73,60.81,60.53,60.7,41860.55,1701406799999,2539976.4587,3388,20927.87,1270002.1493,0
1701406800000,60.69,60.8,60.63,60.68,25461.13,1701407699999,1545476.3445,2162,13863.59,841533.8673,0
1701407700000,60.68,60.88,60.64,60.73,25705.67,1701408599999,1561124.1939,2201,12742.07,773757.1577,0
1701408600000,60.73,60.75,60.53,60.57,25331.89,1701409499999,1535114.8337,2122,9712.61,588545.4685,0
1701409500000,60.56,60.61,60.3,60.36,64345.27,1701410399999,3890103.8623,4561,21936.19,1326340.4862,0
1701410400000,60.35,60.43,60.21,60.34,37211.64,1701411299999,2244759.7563,3624,16430.77,991363.7053,0
1701411300000,60.35,60.57,60.32,60.51,21824.4,1701412199999,1319720.3926,2265,12998.86,786085.1878,0
1701412200000,60.52,60.94,60.5,60.89,39751.44,1701413099999,2413403.7139,3810,23030.84,1397975.1177,0
1701413100000,60.9,60.96,60.69,60.77,43735.63,1701413999999,2660306.2484,3262,24588.26,1495624.7544,0
1701414000000,60.78,61.18,60.75,61.12,104819.97,1701414899999,6395753.9501,5594,60593.64,3697538.42,0
1701414900000,61.13,61.3,61.0,61.25,95007.26,1701415799999,5808124.4919,5559,55979.55,3422154.377,0
