open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1733011200000,32.01,32.63,31.96,32.63,13007.279,1733012099999,420287.39424,2070,7649.882,247489.8167,0
1733012100000,32.62,32.64,32.17,32.3,21988.266,1733012999999,713990.47554,3497,12084.199,392373.88349,0
1733013000000,32.31,32.33,31.82,31.95,10992.554,1733013899999,351629.79805,1881,5849.128,187197.19736,0
1733013900000,31.94,32.31,31.94,31.97,10549.63,1733014799999,338889.78627,1840,4977.348,159954.89104,0
1733014800000,31.94,32.26,31.63,31.64,13778.143,1733015699999,439132.81521,2391,5569.796,177686.56631,0
1733015700000,31.67,31.81,31.34,31.66,34244.477,1733016599999,1080217.79835,2894,15429.231,486458.686,0
1733016600000,31.66,32.24,31.63,32.14,13268.162,1733017499999,422920.62392,1541,6009.828,192151.28541,0
1733017500000,32.12,32.51,31.81,31.94,12989.731,1733018399999,417624.96089,1630,7316.0,235298.53008,0
1733018400000,31.94,32.25,31.71,31.72,11571.114,1733019299999,369594.31101,2278,5556.487,177603.3668,0
1733019300000,31.71,32.15,31.63,32.07,5260.2,1733020199999,167738.00033,1282,2530.43,80735.80461,0
1733020200000,32.07,32.07,30.99,31.17,40197.922,1733021099999,1255304.69458,3517,19398.741,605053.07513,0
1733021100000,31.17,31.44,31.08,31.1,12114.123,1733021999999,378624.98622,1533,5961.338,186295.63831,0
1733022000000,31.12,31.89,31.1,31.88,14841.339,1733022899999,466321.86808,1934,9221.749,289777.86559,0
1733022900000,31.87,31.99,31.42,31.48,6501.506,1733023799999,206104.06166,1135,3214.28,101885.01333,0
1733023800000,31.48,31.65,31.45,31.48,3520.427,1733024699999,111069.81307,630,1259.599,39767.81221,0
1733024700000,31.48,32.05,31.48,31.94,12545.407,1733025599999,399993.19239,1904,7028.062,223938.60109,0
1733025600000,31.93,32.24,31.87,31.99,11437.535,1733026499999,366993.97784,1941,6745.843,216517.87099,0
1733026500000,31.99,32.22,31.71,32.16,5873.605,1733027399999,187630.79842,1055,3081.891,98541.51102,0
1733027400000,32.16,32.6,32.15,32.33,31556.448,1733028299999,1024645.37892,3072,14203.904,461072.73719,0
1733028300000,32.33,32.57,32.15,32.15,9555.124,1733029199999,309297.70004,1251,3721.234,120508.07541,0
