open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1743465600000000,0.607,0.611,0.606,0.609,20533.6,1743466499999999,12489.247,108,14241.2,8657.9747,0
1743466500000000,0.607,0.611,0.605,0.611,33030.2,1743467399999999,20069.3136,141,16874.6,10260.0414,0
1743467400000000,0.61,0.61,0.608,0.609,34782.9,1743468299999999,21203.7642,67,4712.5,2871.6951,0
1743468300000000,0.61,0.613,0.607,0.61,178468.6,1743469199999999,108995.6175,328,103614.6,63279.2058,0
1743469200000000,0.61,0.611,0.607,0.608,42239.6,1743470099999999,25726.9663,173,21339.1,13006.3365,0
1743470100000000,0.608,0.61,0.607,0.609,32500.8,1743470999999999,19780.09,69,24518.8,14919.8736,0
1743471000000000,0.609,0.609,0.603,0.603,50600.7,1743471899999999,30603.6203,114,26263.9,15885.0661,0
1743471900000000,0.603,0.606,0.603,0.606,33332.4,1743472799999999,20132.4894,49,32094.6,19384.1248,0
1743472800000000,0.606,0.609,0.606,0.608,28932.7,1743473699999999,17568.7575,115,15084.7,9155.5374,0
1743473700000000,0.609,0.612,0.609,0.611,85226.7,1743474599999999,52017.8217,92,73707.4,44981.1019,0
1743474600000000,0.611,0.611,0.608,0.611,40514.5,1743475499999999,24703.8824,109,19104.8,11657.2225,0
1743475500000000,0.612,0.615,0.612,0.615,22528.2,1743476399999999,13816.1208,64,14388.2,8832.3698,0
1743476400000000,0.615,0.618,0.614,0.616,22040.9,1743477299999999,13577.7751,134,10142.5,6246.2909,0
1743477300000000,0.617,0.617,0.615,0.615,7002.7,1743478199999999,4318.446,40,4264.9,2629.7335,0
1743478200000000,0.614,0.616,0.614,0.615,23576.1,1743479099999999,14496.4084,94,15294.9,9406.4635,0
1743479100000000,0.615,0.616,0.613,0.614,9905.4,1743479999999999,6083.8034,25,1407.8,865.5399,0
1743480000000000,0.615,0.616,0.614,0.615,9432.8,1743480899999999,5799.9094,27,6750.9,4151.6382,0
1743480900000000,0.615,0.617,0.614,0.616,14363.0,1743481799999999,8824.6243,33,11141.3,6844.245,0
1743481800000000,0.616,0.618,0.616,0.618,10931.6,1743482699999999,6747.0958,40,6975.3,4307.8243,0
1743482700000000,0.617,0.618,0.616,0.618,19978.1,1743483599999999,12327.6877,27,3641.4,2250.0632,0
1743483600000000,0.619,0.619,0.617,0.619,31499.6,1743484499999999,19470.8865,64,3743.8,2316.2203,0
1743484500000000,0.62,0.622,0.62,0.622,23756.6,1743485399999999,14755.5972,47,6351.5,3941.6544,0
1743485400000000,0.622,0.622,0.62,0.621,13715.5,1743486299999999,8518.664,38,4901.1,3046.8708,0
1743486300000000,0.62,0.621,0.618,0.619,26047.7,1743487199999999,16142.141,52,3906.8,2421.5044,0
1743487200000000,0.618,0.618,0.615,0.618,39692.6,1743488099999999,24467.8292,80,9896.5,6106.6957,0
1743488100000000,0.618,0.62,0.618,0.62,27619.0,1743488999999999,17093.7661,54,18511.7,11457.1919,0
1743489000000000,0.62,0.626,0.62,0.624,29534.9,1743489899999999,18401.8338,74,15339.4,9564.0829,0
1743489900000000,0.623,0.625,0.623,0.624,14584.4,1743490799999999,9106.3814,25,9646.3,6024.4999,0
1743490800000000,0.624,0.626,0.623,0.625,32916.3,1743491699999999,20553.9395,85,15090.1,9410.2134,0
1743491700000000,0.625,0.626,0.623,0.625,48747.4,1743492599999999,30416.7656,69,17596.0,10988.1964,0
1743492600000000,0.625,0.625,0.623,0.623,43930.5,1743493499999999,27412.516,86,23084.8,14404.1846,0
1743493500000000,0.623,0.623,0.62,0.621,27124.0,1743494399999999,16878.9769,55,10251.1,6382.5333,0
1743494400000000,0.621,0.626,0.621,0.626,86511.2,1743495299999999,53908.4653,96,46340.4,28888.6674,0
1743495300000000,0.626,0.632,0.626,0.631,87350.8,1743496199999999,54950.5791,188,46663.4,29363.1691,0
1743496200000000,0.632,0.634,0.63,0.631,65320.9,1743497099999999,41284.3663,129,39378.9,24887.6476,0
1743497100000000,0.632,0.635,0.631,0.633,48457.1,1743497999999999,30642.3242,129,23609.7,14936.6867,0
1743498000000000,0.633,0.636,0.632,0.635,104219.1,1743498899999999,66142.3248,172,53630.7,34054.85,0
1743498900000000,0.635,0.637,0.632,0.633,29526.7,1743499799999999,18737.5285,65,11773.5,7480.9288,0
1743499800000000,0.634,0.635,0.633,0.635,22938.1,1743500699999999,14545.0067,78,11196.8,7099.5215,0
1743500700000000,0.634,0.636,0.632,0.635,32275.7,1743501599999999,20443.583,82,22756.7,14413.6163,0
1743501600000000,0.635,0.635,0.631,0.632,29243.1,1743502499999999,18504.982,57,14805.9,9364.081,0
1743502500000000,0.633,0.635,0.632,0.632,16115.3,1743503399999999,10200.9155,51,7383.5,4674.2532,0
1743503400000000,0.633,0.633,0.629,0.63,179122.3,1743504299999999,113091.4984,269,81324.9,51367.1995,0
1743504300000000,0.63,0.633,0.628,0.628,51292.1,1743505199999999,32330.0059,116,28652.3,18072.4288,0
1743505200000000,0.628,0.628,0.622,0.622,144730.1,1743506099999999,90575.6025,274,48468.3,30338.0837,0
