open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1690848000000,0.632,0.6339,0.6289,0.6328,254154.9,1690848899999,160483.37702,550,123535.2,77993.03644,0
1690848900000,0.6331,0.6372,0.6328,0.6364,539071.8,1690849799999,342569.35139,1150,252344.4,160347.23955,0
1690849800000,0.6363,0.6369,0.6337,0.6345,281721.5,1690850699999,178962.15075,456,114591.6,72812.00997,0
1690850700000,0.6345,0.6348,0.6317,0.6324,157583.8,1690851599999,99725.2325,393,70259.6,44473.73289,0
1690851600000,0.6326,0.6347,0.6301,0.6303,668611.7,1690852499999,422690.39095,661,171043.8,108238.84308,0
1690852500000,0.6304,0.631,0.6275,0.6276,284066.1,1690853399999,178660.48574,573,120159.5,75564.70251,0
1690853400000,0.6276,0.628,0.6256,0.6262,138315.9,1690854299999,86659.80603,336,59437.3,37242.75512,0
1690854300000,0.6262,0.6271,0.625,0.626,245135.2,1690855199999,153353.7065,417,102483.3,64123.86683,0
1690855200000,0.6259,0.6265,0.6088,0.6158,2280758.5,1690856099999,1407208.21248,4014,884028.3,545064.2153,0
1690856100000,0.6157,0.6198,0.6146,0.6182,816722.8,1690856999999,504536.87377,1083,466494.6,288290.44247,0
1690857000000,0.6181,0.6203,0.6165,0.6198,325799.0,1690857899999,201579.23387,461,158915.9,98344.45701,0
1690857900000,0.6194,0.6214,0.6188,0.6209,331741.8,1690858799999,205844.50662,412,193921.8,120345.42595,0
1690858800000,0.6207,0.621,0.6185,0.6189,400809.9,1690859699999,248445.8428,428,167628.5,103943.89635,0
1690859700000,0.6188,0.6188,0.6166,0.6172,168378.2,1690860599999,103983.56292,314,90138.0,55667.57436,0
1690860600000,0.6173,0.6219,0.6169,0.6182,1305031.8,1690861499999,807796.68173,1280,819691.2,507320.77365,0
1690861500000,0.6181,0.6183,0.6165,0.617,348799.9,1690862399999,215328.59978,425,109247.6,67448.38853,0
1690862400000,0.6164,0.618,0.6154,0.6166,308166.4,1690863299999,189993.15639,489,97914.6,60394.46779,0
1690863300000,0.6166,0.6171,0.6135,0.6159,353772.5,1690864199999,217667.26148,693,201394.1,123959.44803,0
1690864200000,0.6159,0.6175,0.6146,0.617,167916.1,1690865099999,103541.30934,285,84214.0,51945.70606,0
1690865100000,0.6171,0.6172,0.6146,0.6148,197791.5,1690865999999,121842.60772,223,54687.0,33660.66087,0
1690866000000,0.6144,0.6185,0.6137,0.6158,403523.8,1690866899999,248895.32983,438,295550.0,182289.87908,0
1690866900000,0.6155,0.6167,0.6153,0.6162,95181.8,1690867799999,58653.29056,205,67170.8,41395.39109,0
1690867800000,0.6161,0.6186,0.6158,0.6176,215850.0,1690868699999,133171.69367,291,99286.2,61241.82818,0
1690868700000,0.6178,0.621,0.617,0.6203,151521.6,1690869599999,93885.76302,309,100639.1,62370.18482,0
1690869600000,0.6202,0.6217,0.6194,0.6207,434976.6,1690870499999,270018.46668,576,194637.9,120818.15229,0
1690870500000,0.6206,0.621,0.6179,0.621,214012.2,1690871399999,132542.73249,309,75661.9,46846.93523,0
1690871400000,0.6209,0.6249,0.6209,0.6245,654769.2,1690872299999,407989.70423,938,546019.9,340262.42438,0
1690872300000,0.6245,0.6254,0.6236,0.6253,251610.7,1690873199999,157223.71457,433,89768.1,56094.01867,0
1690873200000,0.6254,0.6281,0.6253,0.6275,667105.4,1690874099999,418118.36315,954,308906.2,193618.33647,0
1690874100000,0.6275,0.6283,0.6249,0.6265,328919.6,1690874999999,206115.67206,430,171875.7,107722.05234,0
1690875000000,0.6261,0.6288,0.6256,0.6278,323757.7,1690875899999,203274.06124,469,190737.0,119786.1234,0
1690875900000,0.6276,0.6306,0.6266,0.6292,420389.4,1690876799999,264408.84861,534,256712.2,161467.07056,0
1690876800000,0.629,0.6334,0.6286,0.632,472826.6,1690877699999,298492.25891,700,169965.4,107284.37085,0
1690877700000,0.632,0.6383,0.6306,0.6356,1056794.2,1690878599999,671245.41045,1379,515196.0,327287.35135,0
1690878600000,0.6355,0.6382,0.6346,0.6354,571676.6,1690879499999,363760.60104,908,290976.0,185156.92156,0
