open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1696118400000,0.6,0.604,0.599,0.603,29177.8,1696119299999,17589.1183,151,14595.9,8796.5773,0
1696119300000,0.603,0.603,0.602,0.603,5206.6,1696120199999,3139.3843,69,3567.1,2150.9613,0
1696120200000,0.604,0.604,0.601,0.604,17589.5,1696121099999,10590.7817,73,2775.7,1674.8397,0
1696121100000,0.603,0.604,0.603,0.604,3955.7,1696121999999,2389.1977,46,1810.3,1093.4212,0
1696122000000,0.604,0.605,0.602,0.602,9223.7,1696122899999,5564.2721,60,577.4,348.5312,0
1696122900000,0.603,0.606,0.603,0.606,2400.9,1696123799999,1449.0862,25,2366.6,1428.369,0
1696123800000,0.606,0.607,0.605,0.606,7733.3,1696124699999,4685.4671,54,3849.7,2332.9694,0
1696124700000,0.606,0.607,0.606,0.606,1629.2,1696125599999,987.5193,20,224.1,136.0287,0
1696125600000,0.607,0.607,0.605,0.605,8659.4,1696126499999,5253.4412,60,2727.0,1655.2473,0
1696126500000,0.606,0.607,0.606,0.606,1322.5,1696127399999,801.9775,18,1076.4,652.8409,0
1696127400000,0.607,0.607,0.603,0.605,10809.9,1696128299999,6531.6935,48,6609.5,3993.1178,0
1696128300000,0.605,0.606,0.603,0.604,9476.8,1696129199999,5725.6469,39,1024.7,619.5162,0
1696129200000,0.605,0.606,0.6,0.601,312429.7,1696130099999,188246.2845,394,11843.8,7154.1256,0
1696130100000,0.601,0.604,0.598,0.603,282738.3,1696130999999,169761.5797,563,59510.7,35804.1719,0
1696131000000,0.603,0.603,0.601,0.601,12678.0,1696131899999,7627.6928,49,508.1,305.9591,0
1696131900000,0.602,0.604,0.601,0.604,43681.7,1696132799999,26325.1225,83,43328.7,26112.3033,0
1696132800000,0.603,0.603,0.599,0.599,13813.0,1696133699999,8301.4372,99,3804.4,2284.4231,0
1696133700000,0.6,0.601,0.6,0.601,1007.3,1696134599999,605.1745,15,1007.3,605.1745,0
1696134600000,0.601,0.601,0.598,0.599,14867.3,1696135499999,8906.6429,75,6654.2,3986.915,0
1696135500000,0.6,0.601,0.599,0.6,4618.8,1696136399999,2770.6174,35,2947.2,1768.6739,0
1696136400000,0.6,0.6,0.599,0.599,8886.6,1696137299999,5331.7884,53,4346.7,2608.02,0
1696137300000,0.6,0.602,0.599,0.601,6790.9,1696138199999,4078.705,56,5661.2,3400.2304,0
1696138200000,0.602,0.602,0.6,0.601,9375.3,1696139099999,5634.3967,46,8469.7,5090.3089,0
1696139100000,0.601,0.602,0.601,0.602,21812.8,1696139999999,13113.4368,82,18951.6,11393.8556,0
1696140000000,0.603,0.604,0.601,0.603,29640.0,1696140899999,17838.1985,153,3874.9,2335.1334,0
1696140900000,0.603,0.603,0.601,0.602,17820.4,1696141799999,10728.0612,66,16993.4,10230.2901,0
1696141800000,0.601,0.604,0.601,0.604,17816.4,1696142699999,10742.1174,72,10250.7,6182.8151,0
1696142700000,0.603,0.605,0.603,0.604,4929.2,1696143599999,2977.2222,48,4555.9,2751.769,0
1696143600000,0.604,0.606,0.604,0.605,15236.0,1696144499999,9217.2214,90,2628.6,1589.7733,0
1696144500000,0.605,0.605,0.602,0.603,8681.0,1696145399999,5240.8096,49,1104.6,667.2918,0
1696145400000,0.602,0.604,0.601,0.602,22241.3,1696146299999,13392.3424,61,20071.2,12085.7048,0
1696146300000,0.602,0.603,0.602,0.602,2645.7,1696147199999,1593.0558,42,2001.4,1205.1872,0
1696147200000,0.602,0.603,0.601,0.602,2299.3,1696148099999,1384.022,34,424.6,255.6526,0
1696148100000,0.602,0.602,0.601,0.601,3175.7,1696148999999,1909.0762,19,480.5,289.261,0
1696149000000,0.602,0.603,0.602,0.603,12118.6,1696149899999,7295.6816,32,12103.9,7286.8322,0
1696149900000,0.603,0.604,0.602,0.602,17175.9,1696150799999,10350.3852,55,3564.3,2149.3391,0
1696150800000,0.602,0.604,0.602,0.604,16181.7,1696151699999,9759.6079,62,5008.9,3022.4422,0
1696151700000,0.604,0.606,0.603,0.605,80412.1,1696152599999,48640.4457,158,74969.5,45347.7505,0
1696152600000,0.605,0.607,0.604,0.607,6866.3,1696153499999,4161.1889,54,6278.9,3805.6158,0
1696153500000,0.606,0.609,0.606,0.608,25894.3,1696154399999,15721.9918,159,15020.8,9122.5072,0
1696154400000,0.608,0.615,0.607,0.611,123537.3,1696155299999,75504.4188,674,59283.9,36231.1868,0
1696155300000,0.612,0.612,0.61,0.61,13916.7,1696156199999,8504.6178,66,8505.5,5203.4721,0
1696156200000,0.609,0.611,0.608,0.61,8745.1,1696157099999,5329.6553,85,3831.1,2335.2894,0
1696157100000,0.611,0.611,0.609,0.61,12918.2,1696157999999,7887.4551,71,3595.3,2196.1941,0
1696158000000,0.61,0.611,0.608,0.608,6150.2,1696158899999,3747.8182,68,1846.9,1126.0973,0
1696158900000,0.609,0.61,0.608,0.61,12123.3,1696159799999,7387.2449,73,8658.9,5277.4497,0
1696159800000,0.61,0.612,0.609,0.61,66800.9,1696160699999,40813.9055,145,57697.6,35252.9776,0
1696160700000,0.61,0.611,0.608,0.61,79517.3,1696161599999,48567.5269,112,75639.0,46205.1335,0
1696161600000,0.611,0.615,0.61,0.61,63084.4,1696162499999,38644.4339,259,42538.3,26071.109,0
1696162500000,0.61,0.612,0.609,0.612,11499.1,1696163399999,7019.7786,89,2977.7,1818.8605,0
1696163400000,0.612,0.614,0.611,0.613,6042.7,1696164299999,3704.4447,86,4108.5,2519.1338,0
1696164300000,0.613,0.614,0.612,0.613,70244.5,1696165199999,43101.5635,140,55482.8,34052.909,0
1696165200000,0.613,0.615,0.611,0.611,39811.6,1696166099999,24444.9951,97,16180.5,9948.1618,0
1696166100000,0.611,0.613,0.611,0.612,15599.4,1696166999999,9535.0168,47,2122.6,1299.0493,0
1696167000000,0.613,0.613,0.612,0.613,9210.8,1696167899999,5640.9772,51,6903.1,4227.9887,0
1696167900000,0.612,0.614,0.612,0.613,20410.5,1696168799999,12505.1218,99,5358.0,3284.5125,0
1696168800000,0.613,0.615,0.613,0.614,23921.9,1696169699999,14670.0338,61,11280.3,6920.1486,0
1696169700000,0.615,0.615,0.613,0.615,60066.0,1696170599999,36924.6328,113,46136.2,28373.4514,0
1696170600000,0.614,0.615,0.609,0.61,39153.6,1696171499999,23979.5628,200,6518.2,3985.809,0
1696171500000,0.61,0.612,0.608,0.609,60555.2,1696172399999,36922.9437,268,22218.4,13547.2679,0
1696172400000,0.609,0.61,0.607,0.608,75255.1,1696173299999,45808.5229,208,61015.1,37149.3765,0
1696173300000,0.609,0.609,0.607,0.609,18612.8,1696174199999,11324.3972,107,8937.2,5441.7694,0
1696174200000,0.608,0.61,0.608,0.608,7570.0,1696175099999,4606.8961,40,3475.1,2117.0886,0
1696175100000,0.608,0.61,0.608,0.61,10589.2,1696175999999,6449.8494,33,9892.2,6025.808,0
1696176000000,0.609,0.611,0.608,0.61,14948.9,1696176899999,9110.8931,83,6711.4,4093.6717,0
1696176900000,0.61,0.61,0.608,0.608,4183.9,1696177799999,2547.7468,31,1325.4,807.4805,0
1696177800000,0.608,0.608,0.604,0.606,64730.9,1696178699999,39212.5458,216,25285.8,15330.5063,0
1696178700000,0.606,0.608,0.605,0.605,7824.9,1696179599999,4748.0521,67,4512.8,2740.9288,0
1696179600000,0.606,0.607,0.605,0.607,10794.6,1696180499999,6541.1568,67,7055.1,4275.6236,0
1696180500000,0.607,0.607,0.604,0.605,18210.9,1696181399999,11015.7693,75,4037.9,2446.5362,0
1696181400000,0.606,0.607,0.602,0.602,25225.1,1696182299999,15227.8664,212,9775.2,5902.1649,0
1696182300000,0.602,0.603,0.6,0.601,44309.9,1696183199999,26627.4455,194,8693.8,5232.112,0
1696183200000,0.601,0.604,0.601,0.604,15586.1,1696184099999,9393.0925,107,8311.6,5007.6363,0
1696184100000,0.604,0.604,0.603,0.604,3941.9,1696184999999,2380.417,39,1883.3,1137.5132,0
1696185000000,0.604,0.606,0.604,0.606,14804.0,1696185899999,8969.0677,41,14461.6,8762.2581,0
1696185900000,0.605,0.606,0.605,0.605,8085.1,1696186799999,4892.1558,52,3160.7,1912.8938,0
1696186800000,0.604,0.605,0.604,0.605,657.1,1696187699999,397.334,14,445.6,269.588,0
1696187700000,0.605,0.606,0.604,0.606,13734.4,1696188599999,8310.2295,36,4492.3,2718.7787,0
1696188600000,0.605,0.606,0.605,0.606,27585.9,1696189499999,16696.8034,79,7333.9,4444.3434,0
1696189500000,0.606,0.606,0.604,0.605,9888.9,1696190399999,5989.6274,80,5593.3,3389.4893,0
1696190400000,0.604,0.607,0.603,0.606,16103.1,1696191299999,9728.9963,118,8345.7,5044.2319,0
1696191300000,0.607,0.608,0.606,0.607,4274.8,1696192199999,2595.4336,43,1751.5,1064.4576,0
1696192200000,0.607,0.607,0.605,0.606,9424.1,1696193099999,5706.7462,49,746.7,452.1053,0
1696193100000,0.607,0.607,0.606,0.607,12010.3,1696193999999,7285.1748,45,1463.1,888.1017,0
1696194000000,0.606,0.608,0.605,0.605,5353.0,1696194899999,3248.5185,54,3662.4,2223.3984,0
1696194900000,0.605,0.608,0.605,0.607,6859.1,1696195799999,4160.6923,57,4630.4,2809.9064,0
1696195800000,0.607,0.608,0.607,0.608,10890.1,1696196699999,6618.3611,40,7546.9,4588.5152,0
1696196700000,0.607,0.609,0.607,0.609,9411.0,1696197599999,5727.5651,62,7890.3,4802.6711,0
1696197600000,0.609,0.611,0.608,0.61,9048.2,1696198499999,5512.9651,91,3756.7,2290.5046,0
1696198500000,0.61,0.624,0.61,0.623,243694.0,1696199399999,151006.8216,1218,112028.3,69405.9775,0
1696199400000,0.623,0.629,0.622,0.624,119094.0,1696200299999,74491.5524,735,64332.4,40276.3686,0
1696200300000,0.624,0.625,0.622,0.625,14824.4,1696201199999,9248.458,175,11355.6,7085.6355,0
1696201200000,0.625,0.626,0.622,0.623,15182.0,1696202099999,9467.565,158,3953.1,2468.5175,0
1696202100000,0.623,0.623,0.619,0.619,12206.9,1696202999999,7576.71,121,2180.7,1356.2357,0
1696203000000,0.62,0.621,0.618,0.621,13366.2,1696203899999,8279.6351,114,7084.0,4387.3899,0
1696203900000,0.62,0.621,0.619,0.62,4763.1,1696204799999,2954.9004,63,2106.7,1307.5341,0
1696204800000,0.62,0.622,0.618,0.619,9317.9,1696205699999,5776.0848,139,6178.7,3831.4899,0
1696205700000,0.619,0.62,0.617,0.617,63692.1,1696206599999,39326.0232,149,9935.2,6148.7753,0
1696206600000,0.618,0.619,0.615,0.618,7246.8,1696207499999,4470.0342,94,2796.7,1726.6594,0
1696207500000,0.617,0.619,0.616,0.617,11422.8,1696208399999,7055.5331,68,8237.6,5090.1222,0
1696208400000,0.617,0.618,0.616,0.616,25645.6,1696209299999,15823.8708,73,21761.0,13429.2054,0
1696209300000,0.616,0.618,0.615,0.617,35068.5,1696210199999,21630.4615,136,7754.0,4782.316,0
1696210200000,0.617,0.619,0.617,0.619,17058.3,1696211099999,10549.7451,44,16029.9,9913.3916,0
1696211100000,0.62,0.62,0.619,0.62,3867.0,1696211999999,2397.3275,31,3513.6,2178.432,0
1696212000000,0.621,0.621,0.619,0.62,1698.9,1696212899999,1053.0975,28,1152.3,714.4364,0
1696212900000,0.62,0.62,0.618,0.619,3185.2,1696213799999,1971.6638,51,750.6,464.6898,0
1696213800000,0.619,0.62,0.618,0.618,3126.9,1696214699999,1935.5666,45,1668.7,1033.0008,0
1696214700000,0.619,0.62,0.619,0.619,4395.5,1696215599999,2720.8228,37,3602.3,2229.832,0
1696215600000,0.62,0.62,0.618,0.618,10237.3,1696216499999,6342.6912,33,6914.0,4285.5957,0
1696216500000,0.618,0.62,0.618,0.619,4641.0,1696217399999,2872.3802,35,597.3,369.9843,0
1696217400000,0.62,0.621,0.618,0.621,27123.7,1696218299999,16814.9003,136,23187.4,14378.4556,0
1696218300000,0.62,0.62,0.618,0.619,25920.3,1696219199999,16031.9223,113,16871.1,10437.5271,0
1696219200000,0.618,0.619,0.616,0.616,21846.0,1696220099999,13497.0436,100,12631.1,7810.6375,0
1696220100000,0.616,0.617,0.614,0.615,51624.2,1696220999999,31766.2643,195,17540.6,10800.0513,0
1696221000000,0.615,0.615,0.613,0.613,22187.7,1696221899999,13629.1725,119,11192.7,6879.6343,0
1696221900000,0.613,0.615,0.612,0.615,5612.8,1696222799999,3442.9285,69,3718.8,2282.3452,0
1696222800000,0.614,0.614,0.613,0.613,9810.2,1696223699999,6015.0674,26,77.6,47.6464,0
1696223700000,0.614,0.615,0.614,0.615,2676.6,1696224599999,1644.8954,28,2427.3,1491.5759,0
1696224600000,0.615,0.615,0.608,0.61,108335.7,1696225499999,66319.1828,285,49930.9,30592.3835,0
1696225500000,0.611,0.613,0.61,0.612,11094.0,1696226399999,6787.161,93,9654.7,5907.7446,0
1696226400000,0.613,0.614,0.611,0.614,9204.2,1696227299999,5641.257,53,8162.8,5003.7503,0
1696227300000,0.614,0.616,0.613,0.616,5320.9,1696228199999,3271.008,62,1425.9,877.0835,0
1696228200000,0.616,0.618,0.616,0.618,5779.3,1696229099999,3565.6932,71,5025.6,3100.6797,0
1696229100000,0.618,0.618,0.617,0.617,4576.9,1696229999999,2826.7315,54,3039.7,1878.2791,0
1696230000000,0.617,0.618,0.616,0.617,5033.3,1696230899999,3105.5909,38,1040.6,642.2643,0
1696230900000,0.616,0.619,0.615,0.618,14448.3,1696231799999,8926.8088,114,6216.2,3840.9376,0
1696231800000,0.617,0.62,0.617,0.619,70282.8,1696232699999,43484.7641,174,23868.1,14776.6694,0
1696232700000,0.619,0.623,0.618,0.622,171945.0,1696233599999,106614.1696,369,91185.3,56541.4921,0
1696233600000,0.622,0.622,0.617,0.62,36927.9,1696234499999,22862.2701,193,15511.9,9609.5584,0
1696234500000,0.62,0.624,0.619,0.621,27709.6,1696235399999,17217.6285,150,16713.1,10394.613,0
1696235400000,0.621,0.625,0.62,0.621,72523.1,1696236299999,45141.0988,196,58171.5,36208.194,0
1696236300000,0.621,0.622,0.62,0.62,4040.1,1696237199999,2507.791,56,1142.3,709.3936,0
1696237200000,0.62,0.621,0.618,0.618,24730.2,1696238099999,15317.8498,86,11210.1,6951.6976,0
1696238100000,0.618,0.619,0.616,0.618,31474.0,1696238999999,19441.826,113,8241.5,5093.0189,0
1696239000000,0.618,0.619,0.618,0.618,19650.0,1696239899999,12145.2729,64,1349.8,835.5262,0
1696239900000,0.618,0.618,0.616,0.617,3543.8,1696240799999,2186.0468,26,987.8,609.685,0
1696240800000,0.618,0.618,0.616,0.617,11642.2,1696241699999,7182.7555,54,5342.7,3296.5507,0
1696241700000,0.616,0.618,0.616,0.618,2621.3,1696242599999,1618.208,17,1597.3,986.8439,0
1696242600000,0.618,0.618,0.614,0.616,141891.4,1696243499999,87281.7781,184,2317.9,1427.7597,0
1696243500000,0.616,0.616,0.614,0.614,64006.7,1696244399999,39316.2774,139,9191.0,5655.5057,0
1696244400000,0.614,0.616,0.612,0.613,25062.0,1696245299999,15390.9718,117,7498.4,4611.4364,0
1696245300000,0.614,0.616,0.614,0.616,108547.6,1696246199999,66832.5193,148,104648.1,64436.0261,0
1696246200000,0.616,0.617,0.613,0.613,107501.0,1696247099999,65951.2989,150,54240.5,33283.0124,0
1696247100000,0.612,0.613,0.611,0.612,8193.9,1696247999999,5014.2886,89,1279.9,783.4298,0
1696248000000,0.612,0.612,0.611,0.612,9265.5,1696248899999,5663.9491,82,4559.0,2788.1016,0
1696248900000,0.612,0.613,0.611,0.613,17476.6,1696249799999,10708.8301,73,14832.8,9090.6201,0
1696249800000,0.614,0.615,0.612,0.613,8718.0,1696250699999,5350.2822,73,6771.8,4157.311,0
1696250700000,0.613,0.613,0.612,0.612,32434.1,1696251599999,19857.1721,106,9472.3,5803.9924,0
1696251600000,0.612,0.612,0.61,0.61,20825.4,1696252499999,12726.6756,84,7158.2,4375.8011,0
1696252500000,0.611,0.612,0.609,0.609,9826.1,1696253399999,5993.4347,100,2926.5,1786.5056,0
1696253400000,0.61,0.612,0.608,0.609,10846.2,1696254299999,6616.5391,129,4160.0,2540.0464,0
1696254300000,0.61,0.61,0.608,0.61,21731.0,1696255199999,13239.025,88,15198.8,9261.0652,0
1696255200000,0.61,0.61,0.604,0.605,52411.4,1696256099999,31751.792,356,23290.4,14108.0919,0
1696256100000,0.605,0.607,0.602,0.606,25645.4,1696256999999,15510.5439,256,19274.1,11663.5815,0
1696257000000,0.605,0.608,0.605,0.607,21277.8,1696257899999,12905.7339,93,8060.1,4892.4584,0
1696257900000,0.608,0.609,0.606,0.608,9798.1,1696258799999,5950.5242,89,6193.0,3761.3951,0
1696258800000,0.608,0.609,0.606,0.607,87805.1,1696259699999,53266.0162,174,2922.0,1775.6161,0
1696259700000,0.606,0.608,0.605,0.607,10046.6,1696260599999,6096.0876,107,5621.3,3411.5293,0
1696260600000,0.607,0.608,0.604,0.605,9447.5,1696261499999,5722.3397,81,1253.3,759.9212,0
1696261500000,0.605,0.605,0.596,0.6,99432.9,1696262399999,59739.1274,528,27764.5,16653.6207,0
1696262400000,0.6,0.602,0.596,0.602,59813.5,1696263299999,35835.479,352,26818.4,16089.5171,0
1696263300000,0.602,0.603,0.601,0.602,8036.1,1696264199999,4838.8462,88,5674.6,3417.282,0
1696264200000,0.602,0.602,0.6,0.601,14907.2,1696265099999,8958.6589,83,1984.3,1192.906,0
1696265100000,0.602,0.603,0.6,0.601,13443.6,1696265999999,8093.9372,141,9291.9,5598.1082,0
1696266000000,0.601,0.601,0.599,0.601,11106.5,1696266899999,6670.7636,82,5721.6,3436.0596,0
1696266900000,0.601,0.604,0.601,0.604,7798.9,1696267799999,4702.8838,54,7150.9,4312.0998,0
1696267800000,0.604,0.605,0.604,0.604,2668.4,1696268699999,1611.7793,32,1805.9,1090.8293,0
1696268700000,0.605,0.606,0.604,0.604,4665.1,1696269599999,2820.795,38,1620.6,981.3086,0
