open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1719792000000,0.1278,0.128,0.1275,0.1276,69198.0,1719792899999,8840.7619,277,35824.0,4578.7351,0
1719792900000,0.1276,0.1281,0.1276,0.1279,26832.0,1719793799999,3430.6655,114,14387.0,1839.6584,0
1719793800000,0.1279,0.1281,0.1276,0.1279,25123.0,1719794699999,3214.491,101,11185.0,1431.4524,0
1719794700000,0.128,0.1285,0.1277,0.1281,42219.0,1719795599999,5405.9517,174,25939.0,3322.1842,0
1719795600000,0.1281,0.1292,0.1276,0.1292,94710.0,1719796499999,12139.8874,353,52197.0,6692.2325,0
1719796500000,0.1291,0.1296,0.129,0.1294,19659.0,1719797399999,2542.7975,119,8785.0,1136.8917,0
1719797400000,0.1293,0.1299,0.1293,0.1294,32082.0,1719798299999,4158.2609,128,14461.0,1874.0489,0
1719798300000,0.1294,0.13,0.1294,0.13,51744.0,1719799199999,6710.8759,205,23482.0,3047.4334,0
1719799200000,0.13,0.1301,0.1294,0.1296,48353.0,1719800099999,6275.2926,271,19004.0,2467.7325,0
1719800100000,0.1296,0.1308,0.1295,0.1301,56220.0,1719800999999,7312.799,167,28999.0,3770.8016,0
1719801000000,0.13,0.1304,0.1298,0.13,45536.0,1719801899999,5919.1325,149,28631.0,3721.8264,0
1719801900000,0.13,0.1301,0.1295,0.1301,97412.0,1719802799999,12641.2075,253,34269.0,4451.4046,0
1719802800000,0.1299,0.1304,0.1296,0.1301,64313.0,1719803699999,8363.6607,274,35502.0,4620.0424,0
1719803700000,0.1301,0.1302,0.1295,0.1297,39504.0,1719804599999,5128.6318,109,10999.0,1429.4501,0
1719804600000,0.1297,0.1303,0.1294,0.1302,81089.0,1719805499999,10532.702,210,57703.0,7498.1724,0
1719805500000,0.1301,0.1306,0.1299,0.1303,100026.0,1719806399999,13029.0563,333,61358.0,7994.8574,0
1719806400000,0.1302,0.1306,0.1297,0.1304,67910.0,1719807299999,8834.8918,260,36492.0,4750.1061,0
1719807300000,0.1305,0.131,0.1301,0.1304,64603.0,1719808199999,8429.7259,220,32555.0,4249.7709,0
1719808200000,0.1302,0.1302,0.1297,0.1299,38967.0,1719809099999,5062.6708,194,20695.0,2688.4862,0
1719809100000,0.1298,0.1311,0.1297,0.1309,182855.0,1719809999999,23903.1937,412,115122.0,15049.0669,0
1719810000000,0.1309,0.1311,0.1303,0.1305,167522.0,1719810899999,21917.1881,545,73962.0,9680.9327,0
1719810900000,0.1306,0.1306,0.1299,0.13,24493.0,1719811799999,3189.053,113,8256.0,1075.1932,0
1719811800000,0.13,0.1301,0.1294,0.1295,80215.0,1719812699999,10404.43,207,36416.0,4722.1294,0
1719812700000,0.1295,0.1299,0.129,0.1298,93470.0,1719813599999,12097.6463,249,40891.0,5298.4786,0
1719813600000,0.1296,0.1303,0.1294,0.13,102794.0,1719814499999,13352.7713,386,64171.0,8339.2998,0
1719814500000,0.1299,0.1304,0.1299,0.13,17659.0,1719815399999,2298.0729,69,11642.0,1515.1951,0
1719815400000,0.13,0.1302,0.1297,0.13,22800.0,1719816299999,2962.1603,97,9632.0,1251.1847,0
1719816300000,0.13,0.1301,0.1289,0.1292,72133.0,1719817199999,9340.9724,245,11906.0,1540.8687,0
1719817200000,0.1291,0.1295,0.1291,0.1294,70893.0,1719818099999,9165.9929,319,34920.0,4517.0366,0
1719818100000,0.1293,0.1295,0.1292,0.1294,9122.0,1719818999999,1179.8509,71,5627.0,727.8956,0
1719819000000,0.1293,0.1296,0.1291,0.1294,11820.0,1719819899999,1529.1481,80,7907.0,1023.1961,0
