open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,0.00671,0.00673,0.00668,0.00673,6823180.0,1740788099999999,45658.80152,256,1182648.0,7923.7118,0
1740788100000000,0.00673,0.00675,0.0067,0.00671,6354634.0,1740788999999999,42815.08334,163,5587111.0,37655.67249,0
1740789000000000,0.00672,0.00672,0.00663,0.00664,6525336.0,1740789899999999,43584.03677,157,669271.0,4476.77437,0
1740789900000000,0.00664,0.00666,0.00663,0.00663,828871.0,1740790799999999,5507.01253,54,341418.0,2268.80765,0
1740790800000000,0.00663,0.00666,0.00663,0.00663,2047352.0,1740791699999999,13592.8626,110,1076254.0,7144.09609,0
1740791700000000,0.00663,0.00665,0.00661,0.00662,1101474.0,1740792599999999,7305.27667,123,494294.0,3279.54327,0
1740792600000000,0.00662,0.00668,0.00662,0.00668,1668025.0,1740793499999999,11087.81215,121,805133.0,5353.6756,0
1740793500000000,0.00669,0.00675,0.00668,0.00673,1006046.0,1740794399999999,6764.57144,132,599114.0,4028.2958,0
1740794400000000,0.00673,0.00673,0.00668,0.00672,2575170.0,1740795299999999,17314.251,93,988107.0,6637.78442,0
1740795300000000,0.00673,0.00674,0.0067,0.00673,1013709.0,1740796199999999,6805.80483,67,386227.0,2591.97872,0
1740796200000000,0.00673,0.00679,0.00672,0.00678,7874905.0,1740797099999999,53297.63355,261,7169025.0,48534.32231,0
1740797100000000,0.00676,0.00676,0.00673,0.00675,836174.0,1740797999999999,5638.70813,50,417374.0,2814.83683,0
1740798000000000,0.00674,0.00677,0.00673,0.00674,2045628.0,1740798899999999,13808.17745,80,1315393.0,8881.38542,0
1740798900000000,0.00674,0.00677,0.00673,0.00677,1557082.0,1740799799999999,10524.96687,87,1076262.0,7278.03507,0
1740799800000000,0.00677,0.00678,0.00674,0.00674,3650277.0,1740800699999999,24661.49747,188,549618.0,3718.27532,0
1740800700000000,0.00674,0.00676,0.00673,0.00673,2118411.0,1740801599999999,14296.44726,98,947054.0,6391.52774,0
1740801600000000,0.00673,0.00678,0.00672,0.00678,863554.0,1740802499999999,5824.43816,113,599303.0,4044.31548,0
1740802500000000,0.00677,0.00678,0.00675,0.00677,518730.0,1740803399999999,3507.49504,49,215882.0,1460.1506,0
1740803400000000,0.00677,0.0068,0.00675,0.0068,1809920.0,1740804299999999,12270.0096,146,928216.0,6290.99475,0
1740804300000000,0.0068,0.0068,0.00678,0.00679,838357.0,1740805199999999,5696.159,65,621865.0,4225.81571,0
1740805200000000,0.00678,0.00678,0.00675,0.00676,1093696.0,1740806099999999,7393.18224,79,355084.0,2401.26547,0
1740806100000000,0.00676,0.00677,0.00674,0.00676,634772.0,1740806999999999,4285.83623,76,276236.0,1865.62796,0
1740807000000000,0.00676,0.00677,0.00674,0.00675,1382992.0,1740807899999999,9346.74741,150,765278.0,5172.67946,0
1740807900000000,0.00675,0.00676,0.00674,0.00675,1350311.0,1740808799999999,9117.34636,103,279308.0,1887.35133,0
1740808800000000,0.00675,0.00677,0.00674,0.00675,1473669.0,1740809699999999,9957.10072,100,885315.0,5980.36241,0
1740809700000000,0.00675,0.00675,0.0067,0.00671,1049132.0,1740810599999999,7051.5434,82,346922.0,2330.90137,0
1740810600000000,0.00671,0.00673,0.00669,0.00673,989108.0,1740811499999999,6635.64698,83,439960.0,2954.46119,0
1740811500000000,0.00673,0.00673,0.00672,0.00672,260399.0,1740812399999999,1749.96941,25,99920.0,671.55053,0
1740812400000000,0.00672,0.00672,0.00669,0.0067,1594569.0,1740813299999999,10689.04546,95,804719.0,5395.3507,0
1740813300000000,0.00671,0.00672,0.00667,0.00668,1719850.0,1740814199999999,11503.59138,92,850975.0,5689.80845,0
1740814200000000,0.00668,0.0067,0.00666,0.0067,1517342.0,1740815099999999,10138.74118,113,804993.0,5379.32079,0
1740815100000000,0.0067,0.00672,0.00669,0.00671,2380795.0,1740815999999999,15972.77297,117,571494.0,3833.5147,0
1740816000000000,0.00671,0.00674,0.00671,0.00673,1795704.0,1740816899999999,12085.23184,87,1231371.0,8288.29232,0
1740816900000000,0.00673,0.00679,0.00673,0.00678,2358908.0,1740817799999999,15952.63902,99,1706267.0,11542.78889,0
1740817800000000,0.00678,0.0068,0.00675,0.00676,360895.0,1740818699999999,2443.4158,42,129855.0,878.76916,0
1740818700000000,0.00675,0.00679,0.00674,0.00679,1769221.0,1740819599999999,11962.99645,72,727313.0,4925.25864,0
1740819600000000,0.00679,0.00679,0.00676,0.00677,1342508.0,1740820499999999,9095.97174,107,624441.0,4232.72886,0
1740820500000000,0.00677,0.00678,0.00675,0.00675,939075.0,1740821399999999,6355.73055,60,430683.0,2916.3141,0
1740821400000000,0.00675,0.00675,0.0067,0.0067,1871902.0,1740822299999999,12605.7575,79,331617.0,2234.23305,0
1740822300000000,0.0067,0.00673,0.00669,0.00673,1353834.0,1740823199999999,9078.26892,41,713510.0,4787.76986,0
1740823200000000,0.00673,0.00673,0.00667,0.00669,1406164.0,1740824099999999,9405.65971,68,687412.0,4596.94097,0
1740824100000000,0.00669,0.00669,0.0066,0.00663,3394070.0,1740824999999999,22521.66884,170,1696680.0,11259.98886,0
1740825000000000,0.00663,0.00665,0.00662,0.00663,1950079.0,1740825899999999,12935.35809,92,883236.0,5863.60623,0
1740825900000000,0.00663,0.00664,0.0066,0.00662,1210033.0,1740826799999999,8008.11099,88,485417.0,3214.37597,0
1740826800000000,0.00662,0.00663,0.00657,0.00658,2553119.0,1740827699999999,16842.19724,113,1341256.0,8851.20589,0
1740827700000000,0.00658,0.0066,0.00656,0.0066,1956996.0,1740828599999999,12873.41569,125,947776.0,6237.86565,0
1740828600000000,0.00659,0.00662,0.00658,0.00661,1196651.0,1740829499999999,7904.6336,68,760664.0,5024.97448,0
1740829500000000,0.0066,0.00661,0.00657,0.00659,1424613.0,1740830399999999,9380.53936,73,784909.0,5170.71474,0
1740830400000000,0.00659,0.0066,0.00655,0.00655,1609173.0,1740831299999999,10565.63973,82,894144.0,5874.67796,0
1740831300000000,0.00655,0.0066,0.00655,0.00655,1999315.0,1740832199999999,13131.03808,95,677513.0,4452.71483,0
1740832200000000,0.00655,0.00659,0.00655,0.00658,1156478.0,1740833099999999,7595.82166,75,674339.0,4429.7196,0
1740833100000000,0.00658,0.0066,0.00658,0.00659,796817.0,1740833999999999,5254.74534,64,445524.0,2938.57253,0
1740834000000000,0.00659,0.00661,0.00654,0.00654,1983557.0,1740834899999999,13059.46874,111,855072.0,5635.0058,0
1740834900000000,0.00654,0.00655,0.00651,0.00655,1432301.0,1740835799999999,9348.56565,113,768075.0,5013.39733,0
1740835800000000,0.00654,0.00656,0.00651,0.00652,2963792.0,1740836699999999,19375.48376,137,1575030.0,10299.4914,0
1740836700000000,0.00653,0.00654,0.00649,0.00652,4156804.0,1740837599999999,27046.9941,213,1930356.0,12568.51088,0
1740837600000000,0.00651,0.00655,0.00651,0.00653,900032.0,1740838499999999,5877.50779,89,595187.0,3886.4014,0
1740838500000000,0.00652,0.00656,0.00652,0.00655,2042460.0,1740839399999999,13360.33843,115,1358432.0,8892.55576,0
1740839400000000,0.00655,0.00657,0.00652,0.00657,911100.0,1740840299999999,5959.11253,95,457398.0,2996.09928,0
1740840300000000,0.00657,0.00658,0.00655,0.00655,713847.0,1740841199999999,4687.26601,69,478915.0,3145.36108,0
1740841200000000,0.00655,0.00659,0.00654,0.00657,1250836.0,1740842099999999,8224.71671,87,814675.0,5356.8721,0
1740842100000000,0.00657,0.00657,0.00653,0.00657,1094309.0,1740842999999999,7169.48611,74,745549.0,4886.63563,0
1740843000000000,0.00657,0.00658,0.00655,0.00657,554232.0,1740843899999999,3639.48286,47,167196.0,1097.87225,0
1740843900000000,0.00657,0.00659,0.00656,0.00658,1464427.0,1740844799999999,9629.10434,96,908471.0,5973.35512,0
1740844800000000,0.00657,0.00661,0.00656,0.0066,2103601.0,1740845699999999,13840.27565,112,987077.0,6492.94779,0
1740845700000000,0.00661,0.00661,0.00656,0.00657,2229715.0,1740846599999999,14664.41625,100,1074032.0,7065.76901,0
1740846600000000,0.00656,0.00658,0.00653,0.00657,1362529.0,1740847499999999,8931.91383,60,797858.0,5237.98424,0
1740847500000000,0.00657,0.00661,0.00655,0.00661,773575.0,1740848399999999,5081.51603,65,453061.0,2977.74385,0
1740848400000000,0.0066,0.00662,0.00655,0.00656,3002041.0,1740849299999999,19806.3732,93,2186430.0,14439.37891,0
1740849300000000,0.00655,0.00661,0.00654,0.00658,1163790.0,1740850199999999,7644.56856,76,459747.0,3029.35638,0
1740850200000000,0.00657,0.00658,0.00655,0.00658,3415261.0,1740851099999999,22395.59893,106,611467.0,4014.85254,0
1740851100000000,0.00658,0.0066,0.00656,0.00656,698947.0,1740851999999999,4597.18521,44,300974.0,1981.94242,0
1740852000000000,0.00656,0.00659,0.00653,0.00657,1838472.0,1740852899999999,12060.76997,97,840256.0,5514.23739,0
1740852900000000,0.00656,0.00658,0.00656,0.00657,432464.0,1740853799999999,2841.17967,28,231952.0,1523.95498,0
1740853800000000,0.00658,0.0066,0.00657,0.0066,681181.0,1740854699999999,4486.94428,65,290847.0,1916.49105,0
1740854700000000,0.0066,0.00661,0.00657,0.00658,811388.0,1740855599999999,5347.19335,51,371440.0,2448.11154,0
1740855600000000,0.00657,0.00662,0.00656,0.0066,980947.0,1740856499999999,6467.25627,74,625553.0,4123.84927,0
1740856500000000,0.0066,0.00663,0.0066,0.00663,1175877.0,1740857399999999,7777.49766,66,967953.0,6403.00855,0
1740857400000000,0.00663,0.00667,0.00662,0.00663,2872550.0,1740858299999999,19080.89765,157,1380877.0,9173.79528,0
1740858300000000,0.00663,0.00663,0.0066,0.00662,1176204.0,1740859199999999,7776.92541,88,613267.0,4055.65534,0
1740859200000000,0.00661,0.00661,0.00658,0.0066,1821126.0,1740860099999999,12022.07901,79,968391.0,6397.05934,0
1740860100000000,0.00659,0.00662,0.00659,0.00662,664123.0,1740860999999999,4389.69444,66,392780.0,2596.5983,0
1740861000000000,0.00662,0.00662,0.00659,0.00659,2556563.0,1740861899999999,16859.81069,101,1115176.0,7357.46116,0
1740861900000000,0.00659,0.00663,0.00659,0.00662,2608619.0,1740862799999999,17224.74147,96,1481739.0,9786.94925,0
1740862800000000,0.00663,0.00663,0.00659,0.00659,2017206.0,1740863699999999,13345.09802,109,861587.0,5702.50113,0
1740863700000000,0.00661,0.00663,0.0066,0.00663,1304645.0,1740864599999999,8634.685,97,797984.0,5281.644,0
1740864600000000,0.00663,0.00668,0.00663,0.00664,1482058.0,1740865499999999,9853.37435,81,640227.0,4253.67425,0
1740865500000000,0.00665,0.00672,0.00665,0.00671,1544532.0,1740866399999999,10333.36971,82,860344.0,5751.02575,0
1740866400000000,0.0067,0.00677,0.00669,0.00675,3673820.0,1740867299999999,24761.07155,153,2276191.0,15343.11732,0
1740867300000000,0.00674,0.00674,0.0067,0.00672,2367761.0,1740868199999999,15894.19086,88,498458.0,3348.95133,0
1740868200000000,0.00673,0.00676,0.0067,0.00675,828239.0,1740869099999999,5569.95546,57,514979.0,3464.06641,0
1740869100000000,0.00675,0.00678,0.00674,0.00676,648534.0,1740869999999999,4386.38431,43,427340.0,2890.44006,0
1740870000000000,0.00676,0.00676,0.00671,0.00671,1212591.0,1740870899999999,8167.66056,73,205727.0,1385.80424,0
1740870900000000,0.00672,0.00675,0.00669,0.00674,1221620.0,1740871799999999,8203.23622,67,537356.0,3615.90032,0
1740871800000000,0.00674,0.00676,0.00672,0.00673,6198365.0,1740872699999999,41751.79538,226,967586.0,6526.9253,0
1740872700000000,0.00673,0.00675,0.00673,0.00674,523745.0,1740873599999999,3530.23315,37,407568.0,2747.70315,0
1740873600000000,0.00674,0.00675,0.00667,0.00669,4715867.0,1740874499999999,31623.06304,186,1722587.0,11553.73473,0
1740874500000000,0.00668,0.00668,0.00667,0.00667,520505.0,1740875399999999,3473.23087,73,216086.0,1442.30963,0
1740875400000000,0.00667,0.00675,0.00667,0.00673,1472894.0,1740876299999999,9901.51309,81,1113107.0,7483.19275,0
1740876300000000,0.00674,0.00674,0.0067,0.0067,1380989.0,1740877199999999,9273.13158,64,269946.0,1817.20179,0
1740877200000000,0.0067,0.00674,0.0067,0.00674,447946.0,1740878099999999,3009.83345,50,297934.0,2003.29825,0
