open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1680307200000,6.062,6.088,6.062,6.087,11559.15,1680308099999,70251.55025,469,4828.53,29345.58012,0
1680308100000,6.087,6.092,6.077,6.084,6590.08,1680308999999,40106.81154,300,2798.53,17036.44176,0
1680309000000,6.083,6.087,6.062,6.064,12892.03,1680309899999,78283.15251,322,6904.8,41921.16219,0
1680309900000,6.063,6.065,6.058,6.064,7296.99,1680310799999,44214.73036,148,1381.33,8371.91376,0
1680310800000,6.065,6.067,6.052,6.067,4922.53,1680311699999,29833.61768,225,3251.87,19704.30744,0
1680311700000,6.066,6.082,6.066,6.078,11225.29,1680312599999,68180.6927,350,7501.72,45558.43624,0
1680312600000,6.078,6.082,6.072,6.072,4735.72,1680313499999,28769.3542,149,1615.2,9813.56245,0
1680313500000,6.072,6.098,6.07,6.096,6186.39,1680314399999,37647.32901,294,4412.94,26852.62193,0
1680314400000,6.097,6.115,6.091,6.093,26783.94,1680315299999,163529.7467,912,15163.02,92608.90883,0
1680315300000,6.093,6.101,6.083,6.089,6677.78,1680316199999,40680.82362,327,3649.1,22229.75583,0
1680316200000,6.088,6.09,6.062,6.071,6492.23,1680317099999,39434.37017,286,3616.07,21959.5437,0
1680317100000,6.072,6.086,6.066,6.082,3990.94,1680317999999,24250.04423,185,2162.36,13138.31577,0
1680318000000,6.083,6.09,6.078,6.089,4868.28,1680318899999,29616.29962,206,3007.59,18295.29598,0
1680318900000,6.089,6.098,6.08,6.092,8139.76,1680319799999,49584.32146,326,4550.22,27718.95013,0
1680319800000,6.093,6.098,6.088,6.094,8146.1,1680320699999,49642.90381,195,6767.77,41245.32008,0
1680320700000,6.095,6.104,6.093,6.093,5376.24,1680321599999,32787.6068,184,3796.42,23152.19389,0
1680321600000,6.093,6.093,6.084,6.086,3843.22,1680322499999,23398.09503,164,2078.36,12652.84561,0
1680322500000,6.086,6.086,6.08,6.08,1981.9,1680323399999,12054.84625,72,829.05,5042.85977,0
1680323400000,6.079,6.105,6.079,6.102,4245.42,1680324299999,25875.0604,227,2388.08,14554.50859,0
1680324300000,6.104,6.109,6.093,6.096,4533.33,1680325199999,27662.12369,202,2467.23,15053.03859,0
1680325200000,6.095,6.1,6.076,6.077,4934.75,1680326099999,30032.71957,293,1964.03,11958.04479,0
1680326100000,6.077,6.078,6.067,6.069,4705.31,1680326999999,28565.16437,230,1551.69,9420.89922,0
1680327000000,6.069,6.081,6.067,6.073,3101.72,1680327899999,18842.10542,212,1891.52,11490.3293,0
1680327900000,6.073,6.089,6.073,6.084,6919.46,1680328799999,42080.72418,294,4854.75,29526.88915,0
