open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,0.02803,0.02811,0.02799,0.02811,2370248.5,1740788099999999,66460.602908,908,1110691.1,31152.732975,0
1740788100000000,0.02812,0.02816,0.02799,0.02799,2444480.4,1740788999999999,68628.048685,809,1276004.0,35837.228463,0
1740789000000000,0.02801,0.02801,0.02776,0.0278,2531135.6,1740789899999999,70539.04681,835,822739.2,22944.732059,0
1740789900000000,0.02781,0.02782,0.02767,0.02771,2834128.4,1740790799999999,78649.63683,1029,841911.0,23363.292356,0
1740790800000000,0.02771,0.02776,0.02767,0.02773,3729047.7,1740791699999999,103299.217621,1035,2054156.4,56888.064512,0
1740791700000000,0.02773,0.02794,0.02772,0.02784,8203614.3,1740792599999999,228492.574188,1450,5857521.6,163127.133168,0
1740792600000000,0.02784,0.02806,0.02779,0.02806,3388432.3,1740793499999999,94663.134584,996,1840950.3,51426.029457,0
1740793500000000,0.02807,0.02839,0.02806,0.02834,8898841.5,1740794399999999,251279.839877,2047,5856796.2,165396.610552,0
1740794400000000,0.02833,0.02835,0.02816,0.02832,4273809.5,1740795299999999,120688.205072,909,1704761.2,48137.431739,0
1740795300000000,0.02832,0.02836,0.0282,0.02834,2207607.9,1740796199999999,62476.785546,663,1087370.2,30772.494745,0
1740796200000000,0.02835,0.02854,0.02829,0.02846,6101388.4,1740797099999999,173445.262618,1644,3141487.3,89315.622921,0
1740797100000000,0.02845,0.02846,0.02833,0.0284,3829077.6,1740797999999999,108748.11859,929,2154048.7,61193.083195,0
1740798000000000,0.02841,0.02851,0.02838,0.02842,2859569.2,1740798899999999,81309.111469,793,1124763.9,31988.481853,0
1740798900000000,0.02842,0.02849,0.02835,0.02849,2940573.2,1740799799999999,83494.220712,601,1341442.0,38100.463257,0
1740799800000000,0.0285,0.02866,0.02844,0.02855,3587891.4,1740800699999999,102469.305199,1021,2006491.5,57294.726124,0
1740800700000000,0.02855,0.02862,0.02846,0.02847,1920352.4,1740801599999999,54827.709959,572,929669.6,26549.458539,0
1740801600000000,0.02847,0.02866,0.02842,0.02865,2579422.7,1740802499999999,73545.874082,760,1446132.5,41247.930973,0
1740802500000000,0.02865,0.02865,0.02851,0.02857,2389678.3,1740803399999999,68290.157515,704,1231767.2,35202.230761,0
1740803400000000,0.02856,0.02867,0.02845,0.02865,4431344.2,1740804299999999,126647.932086,1088,2206714.7,63103.401931,0
1740804300000000,0.02865,0.02871,0.02859,0.02867,3273693.4,1740805199999999,93772.495953,808,2217408.4,63511.420397,0
1740805200000000,0.02868,0.02868,0.02844,0.0285,4027421.7,1740806099999999,114811.794617,943,1415188.9,40351.535672,0
1740806100000000,0.0285,0.0285,0.02833,0.02843,3733337.4,1740806999999999,106168.600574,872,1460894.2,41531.276674,0
1740807000000000,0.02843,0.0285,0.02837,0.02838,2790888.2,1740807899999999,79369.555255,701,1760872.4,50088.055812,0
1740807900000000,0.02839,0.02845,0.02836,0.02837,2082104.0,1740808799999999,59142.534584,559,1242065.7,35285.83734,0
1740808800000000,0.02838,0.02844,0.02831,0.02834,3912192.7,1740809699999999,110952.958942,995,2284991.9,64796.144757,0
1740809700000000,0.02834,0.02834,0.02819,0.02819,2252023.3,1740810599999999,63623.541237,724,935513.8,26435.662433,0
1740810600000000,0.02819,0.02829,0.02811,0.02828,2223725.7,1740811499999999,62680.764029,608,925280.4,26096.078463,0
1740811500000000,0.02828,0.02832,0.02822,0.02824,1662877.0,1740812399999999,46999.427288,419,739089.0,20893.701678,0
1740812400000000,0.02825,0.02825,0.02805,0.02807,3969283.6,1740813299999999,111579.701908,783,1742096.7,48967.694484,0
1740813300000000,0.02806,0.02812,0.02798,0.02801,2228877.5,1740814199999999,62482.248947,854,858520.7,24073.554706,0
1740814200000000,0.02802,0.02807,0.02793,0.02803,2738401.0,1740815099999999,76647.499807,756,1606231.5,44969.788315,0
1740815100000000,0.02804,0.02811,0.028,0.02801,1631309.4,1740815999999999,45771.220395,467,830656.6,23315.10497,0
1740816000000000,0.02802,0.02819,0.028,0.02817,3143302.4,1740816899999999,88329.114319,723,1612927.5,45353.834052,0
1740816900000000,0.02818,0.02836,0.02818,0.02831,3104698.7,1740817799999999,87800.651635,712,1883859.0,53275.581797,0
1740817800000000,0.02831,0.02831,0.0281,0.02812,2109919.2,1740818699999999,59505.236007,547,721588.3,20354.684375,0
1740818700000000,0.02812,0.02825,0.02807,0.02823,3090578.6,1740819599999999,87105.632086,670,2076847.1,58549.217352,0
1740819600000000,0.02823,0.02839,0.0282,0.02831,2185283.4,1740820499999999,61799.409416,607,1312947.2,37133.634795,0
1740820500000000,0.02832,0.02845,0.02825,0.0283,2005652.3,1740821399999999,56847.780421,641,1017170.0,28839.441132,0
1740821400000000,0.02829,0.02829,0.02808,0.02808,2896420.5,1740822299999999,81718.251659,1041,893911.1,25218.727882,0
1740822300000000,0.02808,0.02814,0.02797,0.02813,2944893.7,1740823199999999,82586.723513,638,947952.8,26606.353332,0
1740823200000000,0.02814,0.02815,0.02784,0.02795,3599933.4,1740824099999999,100663.908487,1058,1270497.8,35521.739261,0
1740824100000000,0.02795,0.02796,0.02762,0.02784,4741445.9,1740824999999999,131716.731839,1270,1975033.3,54909.804089,0
1740825000000000,0.02784,0.02793,0.02778,0.02786,4319168.9,1740825899999999,120393.119009,1146,2885505.2,80449.979835,0
1740825900000000,0.02787,0.0279,0.02775,0.0278,2910430.8,1740826799999999,80924.935217,756,1470340.7,40886.723154,0
1740826800000000,0.02781,0.02784,0.02751,0.02754,5445480.0,1740827699999999,150541.677023,1347,1493901.9,41325.518177,0
1740827700000000,0.02754,0.02768,0.02746,0.02762,4636002.5,1740828599999999,127813.439992,1210,2625814.7,72423.163679,0
1740828600000000,0.02761,0.02777,0.02757,0.02771,3148391.2,1740829499999999,87227.445939,929,1761937.3,48818.28905,0
1740829500000000,0.02771,0.02782,0.0276,0.02763,5077280.3,1740830399999999,140700.280615,1348,2471739.4,68532.465539,0
1740830400000000,0.02764,0.02767,0.02757,0.02761,3049213.5,1740831299999999,84202.261526,846,1610863.2,44482.490611,0
1740831300000000,0.02761,0.02778,0.02753,0.02754,2704453.8,1740832199999999,74755.509801,708,1356958.7,37519.873791,0
1740832200000000,0.02755,0.02763,0.02749,0.02759,3139980.3,1740833099999999,86562.401431,980,1064540.6,29347.935667,0
1740833100000000,0.02759,0.02775,0.02759,0.02768,1988844.1,1740833999999999,55046.930042,574,1237511.9,34253.509426,0
1740834000000000,0.02768,0.02772,0.02747,0.02751,2323489.6,1740834899999999,64192.179324,663,1293205.2,35740.769178,0
1740834900000000,0.0275,0.0275,0.02734,0.02749,4025337.7,1740835799999999,110308.078718,1040,1321422.1,36240.555749,0
1740835800000000,0.0275,0.02755,0.02737,0.02739,2606007.9,1740836699999999,71598.417129,758,1318163.8,36231.737348,0
1740836700000000,0.0274,0.02744,0.02722,0.02736,4077933.0,1740837599999999,111340.283741,1098,1570349.2,42878.459405,0
1740837600000000,0.02736,0.02755,0.0273,0.02744,3744512.6,1740838499999999,102738.510184,1048,2552705.2,70032.745868,0
1740838500000000,0.02744,0.0275,0.02734,0.02743,4108658.1,1740839399999999,112667.198844,899,2486767.0,68195.430888,0
1740839400000000,0.02742,0.02754,0.02735,0.02748,2369915.5,1740840299999999,64962.926806,720,946899.6,25962.983664,0
1740840300000000,0.02748,0.02755,0.02746,0.02748,2583931.3,1740841199999999,71044.108951,613,1329106.2,36544.537263,0
1740841200000000,0.02748,0.02772,0.02744,0.02758,3539923.9,1740842099999999,97667.849329,975,2057762.0,56792.135122,0
1740842100000000,0.0276,0.02762,0.02745,0.0276,3998096.3,1740842999999999,110032.952308,830,1501738.8,41327.482709,0
1740843000000000,0.02761,0.02763,0.0275,0.02758,2966524.8,1740843899999999,81813.169797,709,1026822.6,28320.069182,0
1740843900000000,0.02758,0.02768,0.02753,0.02764,2791233.7,1740844799999999,77009.510021,730,1171853.2,32346.910638,0
1740844800000000,0.02763,0.02772,0.02751,0.0277,3443732.0,1740845699999999,95121.205219,841,1348274.1,37268.382348,0
1740845700000000,0.0277,0.02776,0.02757,0.0276,2032079.7,1740846599999999,56190.784888,635,1099707.5,30409.396347,0
1740846600000000,0.02761,0.02764,0.02743,0.02756,3665126.1,1740847499999999,101018.834883,910,1828413.4,50389.248982,0
1740847500000000,0.02757,0.02775,0.02748,0.02774,2258500.5,1740848399999999,62335.461805,871,1495487.2,41295.50211,0
1740848400000000,0.02774,0.02774,0.02757,0.02759,1856196.8,1740849299999999,51276.745062,568,1016249.4,28075.640481,0
1740849300000000,0.02759,0.02772,0.02753,0.02761,1715224.1,1740850199999999,47386.031801,519,886020.0,24483.797653,0
1740850200000000,0.02762,0.02771,0.02753,0.02768,2034945.9,1740851099999999,56194.772128,586,1232495.1,34042.843055,0
1740851100000000,0.02767,0.02775,0.02766,0.02766,1725801.0,1740851999999999,47803.838237,498,799043.0,22135.26463,0
1740852000000000,0.02766,0.02774,0.02753,0.02762,2743771.6,1740852899999999,75778.055421,708,1376493.4,38017.551334,0
1740852900000000,0.02762,0.02771,0.02762,0.02769,3138397.3,1740853799999999,86859.803175,726,1808680.8,50067.478329,0
1740853800000000,0.02769,0.02784,0.02768,0.02782,3267693.9,1740854699999999,90749.492584,680,2172563.6,60344.117598,0
1740854700000000,0.02783,0.02787,0.02772,0.02778,1713019.3,1740855599999999,47578.141726,508,816770.8,22687.171089,0
1740855600000000,0.02778,0.02789,0.02772,0.02787,2604937.8,1740856499999999,72480.709804,743,1491364.6,41486.714109,0
1740856500000000,0.02788,0.02798,0.02784,0.02792,2400093.0,1740857399999999,66923.355928,680,1317806.5,36748.849428,0
1740857400000000,0.02793,0.02811,0.02792,0.028,6689665.4,1740858299999999,187607.481692,1410,5110879.1,143379.546856,0
1740858300000000,0.028,0.02807,0.02793,0.02802,2710296.1,1740859199999999,75925.921877,764,1536417.9,43044.41593,0
1740859200000000,0.02803,0.02807,0.0279,0.02802,6994833.1,1740860099999999,195667.395716,1485,5230776.7,146333.497862,0
1740860100000000,0.02802,0.02811,0.0279,0.02805,10413852.8,1740860999999999,291674.206799,2492,5863513.8,164271.89253,0
1740861000000000,0.02805,0.02807,0.02797,0.02802,3072258.5,1740861899999999,86091.70573,1109,2165106.5,60675.851392,0
1740861900000000,0.02802,0.0282,0.02799,0.02809,6029725.0,1740862799999999,169354.741701,1440,3880891.2,109015.241482,0
1740862800000000,0.02808,0.02812,0.02798,0.02799,3732180.0,1740863699999999,104653.646761,1112,1796715.9,50391.81133,0
1740863700000000,0.028,0.02819,0.02797,0.02818,2066820.8,1740864599999999,58026.148711,624,1294924.8,36373.745649,0
1740864600000000,0.02818,0.02832,0.02814,0.02824,3589254.3,1740865499999999,101363.184227,998,2168764.1,61265.06389,0
1740865500000000,0.02824,0.02859,0.02824,0.02854,5432160.9,1740866399999999,154315.59182,1446,2928802.3,83227.832511,0
1740866400000000,0.02854,0.0289,0.02848,0.02889,7779890.9,1740867299999999,223159.721867,1928,5337946.3,153173.222984,0
1740867300000000,0.02888,0.02888,0.02855,0.02866,7983514.6,1740868199999999,228926.669422,2137,4403002.7,126250.720385,0
1740868200000000,0.02867,0.02869,0.02846,0.02866,4905257.3,1740869099999999,140109.238969,885,1838571.0,52551.287782,0
1740869100000000,0.02866,0.02882,0.02863,0.02869,3627029.3,1740869999999999,104210.614917,998,2099737.1,60326.195788,0
1740870000000000,0.02869,0.02876,0.0284,0.02843,3509283.9,1740870899999999,100215.604626,812,1109894.3,31668.058784,0
1740870900000000,0.02843,0.02845,0.02834,0.02841,1679444.5,1740871799999999,47707.958526,531,917129.8,26054.362336,0
1740871800000000,0.0284,0.02854,0.02837,0.02837,3280114.3,1740872699999999,93341.49914,804,1583207.5,45051.389848,0
1740872700000000,0.02838,0.0285,0.02838,0.02846,1172171.3,1740873599999999,33365.079998,373,791816.7,22544.192638,0
1740873600000000,0.02847,0.02848,0.02826,0.02828,4031907.0,1740874499999999,114242.713873,814,1154959.9,32743.930401,0
1740874500000000,0.02828,0.02828,0.02819,0.02828,2976489.3,1740875399999999,84043.614833,769,2069017.4,58438.864687,0
1740875400000000,0.02828,0.0286,0.02825,0.0285,1983471.8,1740876299999999,56460.564481,742,876535.2,24955.206365,0
