open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1714521600000,0.09218,0.09301,0.09217,0.09278,238135.0,1714522499999,22060.66599,397,164301.0,15219.2357,0
1714522500000,0.09272,0.09299,0.092,0.092,35885.0,1714523399999,3318.56629,60,8360.0,774.56089,0
1714523400000,0.09199,0.09207,0.09149,0.09164,137848.0,1714524299999,12655.26554,156,54097.0,4969.23416,0
1714524300000,0.09174,0.09212,0.09129,0.09156,91117.0,1714525199999,8353.31017,112,36954.0,3394.5359,0
1714525200000,0.09157,0.09198,0.09047,0.09053,263615.0,1714526099999,23998.01641,170,49913.0,4566.5114,0
1714526100000,0.09058,0.0917,0.09037,0.0917,82761.0,1714526999999,7536.84005,62,20227.0,1842.39661,0
1714527000000,0.09166,0.09223,0.09166,0.09201,89455.0,1714527899999,8225.61298,92,61744.0,5679.99214,0
1714527900000,0.09198,0.09223,0.09196,0.09223,46097.0,1714528799999,4245.25217,52,5879.0,541.82761,0
1714528800000,0.09225,0.09263,0.09123,0.09123,237117.0,1714529699999,21824.58145,150,111115.0,10251.66901,0
1714529700000,0.0913,0.09183,0.09123,0.09177,52354.0,1714530599999,4788.56901,52,29043.0,2656.02817,0
1714530600000,0.09177,0.09215,0.09127,0.09164,101456.0,1714531499999,9304.53914,92,35189.0,3228.86193,0
1714531500000,0.0917,0.0925,0.0917,0.09195,96805.0,1714532399999,8913.90244,98,84100.0,7744.00613,0
1714532400000,0.09216,0.09227,0.09177,0.09177,51553.0,1714533299999,4736.86583,53,3479.0,320.5813,0
1714533300000,0.09177,0.09198,0.09153,0.09153,44229.0,1714534199999,4052.51999,32,27388.0,2507.84764,0
1714534200000,0.09145,0.0921,0.09145,0.09196,23229.0,1714535099999,2132.25339,39,17872.0,1641.75224,0
1714535100000,0.09192,0.09257,0.09186,0.09239,57829.0,1714535999999,5334.07362,120,32807.0,3025.98422,0
1714536000000,0.09239,0.09287,0.09226,0.09253,53411.0,1714536899999,4945.62829,82,41385.0,3833.9933,0
1714536900000,0.09246,0.09269,0.09242,0.0926,13597.0,1714537799999,1258.49633,29,5838.0,540.74709,0
1714537800000,0.09234,0.0927,0.09233,0.09236,23048.0,1714538699999,2131.28808,50,8311.0,769.50107,0
1714538700000,0.09225,0.09258,0.09219,0.09255,38547.0,1714539599999,3563.82391,93,15491.0,1432.32994,0
1714539600000,0.09255,0.09267,0.09209,0.09266,24919.0,1714540499999,2300.18413,44,12374.0,1143.7629,0
1714540500000,0.09219,0.09237,0.09152,0.09152,97965.0,1714541399999,8986.12465,78,71123.0,6521.70113,0
1714541400000,0.09169,0.09211,0.09159,0.09186,20262.0,1714542299999,1859.39331,27,7972.0,732.41002,0
1714542300000,0.09177,0.09206,0.09166,0.092,18069.0,1714543199999,1657.03679,18,14879.0,1364.44201,0
1714543200000,0.09203,0.09213,0.09145,0.09182,108181.0,1714544099999,9927.47805,71,80974.0,7434.06276,0
1714544100000,0.09159,0.09163,0.09041,0.09044,86878.0,1714544999999,7912.30116,49,21947.0,1990.84229,0
1714545000000,0.09076,0.09122,0.09047,0.09101,51238.0,1714545899999,4657.33549,122,36715.0,3340.01206,0
1714545900000,0.09075,0.09097,0.09006,0.09035,45204.0,1714546799999,4090.61104,96,25205.0,2280.33481,0
1714546800000,0.09013,0.09038,0.08795,0.08855,406086.0,1714547699999,36133.45055,216,191062.0,17017.74357,0
1714547700000,0.08855,0.08906,0.08662,0.08739,1139685.0,1714548599999,99795.69821,421,446080.0,39083.00679,0
1714548600000,0.08765,0.0883,0.08689,0.08798,304547.0,1714549499999,26720.94822,242,107561.0,9431.02622,0
1714549500000,0.08796,0.08834,0.08728,0.08824,365587.0,1714550399999,32204.15234,283,212666.0,18751.45858,0
1714550400000,0.08835,0.08847,0.0875,0.0877,425410.0,1714551299999,37431.54447,234,108424.0,9523.20458,0
1714551300000,0.08759,0.08808,0.08684,0.08722,386726.0,1714552199999,33726.21742,221,136220.0,11904.56464,0
1714552200000,0.08729,0.08777,0.08709,0.08755,95144.0,1714553099999,8327.54711,121,41996.0,3675.63613,0
1714553100000,0.08756,0.08882,0.08755,0.08882,79987.0,1714553999999,7046.86693,142,58555.0,5160.67526,0
1714554000000,0.08853,0.08945,0.0883,0.08892,280306.0,1714554899999,24906.03334,144,106640.0,9479.93122,0
1714554900000,0.0888,0.08942,0.08877,0.08908,138020.0,1714555799999,12296.10065,85,35449.0,3155.19478,0
1714555800000,0.08917,0.08949,0.08901,0.08914,35428.0,1714556699999,3159.64086,73,22223.0,1982.76617,0
1714556700000,0.08929,0.0894,0.08889,0.08897,63326.0,1714557599999,5641.30628,109,20923.0,1865.27409,0
1714557600000,0.08893,0.08944,0.0888,0.08902,116859.0,1714558499999,10396.05747,119,43421.0,3862.58211,0
1714558500000,0.08889,0.09002,0.08888,0.08985,209539.0,1714559399999,18776.56095,98,69225.0,6190.94441,0
1714559400000,0.08983,0.09005,0.0894,0.08995,31972.0,1714560299999,2865.94347,59,23201.0,2079.78468,0
1714560300000,0.08995,0.09029,0.08965,0.09029,120685.0,1714561199999,10849.21282,129,42851.0,3857.28476,0
1714561200000,0.09018,0.09053,0.09001,0.09008,89411.0,1714562099999,8072.07148,98,38015.0,3436.30167,0
1714562100000,0.0902,0.0904,0.08989,0.0904,59537.0,1714562999999,5363.63954,80,44446.0,4004.73897,0
1714563000000,0.0903,0.0906,0.09021,0.09039,63564.0,1714563899999,5744.4767,61,26936.0,2431.99278,0
1714563900000,0.09051,0.0919,0.09051,0.09167,127994.0,1714564799999,11690.05751,159,87839.0,8025.76121,0
1714564800000,0.09159,0.09259,0.09153,0.09245,293043.0,1714565699999,26995.47519,265,214813.0,19790.7676,0
1714565700000,0.09245,0.09259,0.09195,0.09211,267762.0,1714566599999,24686.60458,186,119937.0,11055.61864,0
1714566600000,0.09213,0.09235,0.09188,0.09193,147218.0,1714567499999,13553.44982,77,32369.0,2981.60953,0
1714567500000,0.09188,0.09213,0.09158,0.09178,71934.0,1714568399999,6605.82631,79,16411.0,1508.71054,0
1714568400000,0.09193,0.09199,0.09131,0.09131,110588.0,1714569299999,10127.84878,105,28748.0,2636.60778,0
1714569300000,0.09143,0.09149,0.09068,0.09079,97287.0,1714570199999,8860.63717,75,7600.0,692.05753,0
1714570200000,0.09079,0.09081,0.09024,0.09031,140034.0,1714571099999,12665.93821,90,110227.0,9969.84523,0
1714571100000,0.09042,0.09105,0.09033,0.09083,269194.0,1714571999999,24424.84138,174,145588.0,13220.55998,0
1714572000000,0.09095,0.09107,0.09036,0.09036,153298.0,1714572899999,13910.05559,81,68335.0,6203.13745,0
1714572900000,0.09055,0.09076,0.09011,0.09033,50173.0,1714573799999,4536.85288,59,23286.0,2105.93934,0
1714573800000,0.09039,0.09063,0.09015,0.09063,89709.0,1714574699999,8120.24171,58,15997.0,1447.37461,0
1714574700000,0.0907,0.09092,0.09048,0.09089,41502.0,1714575599999,3765.04494,62,27299.0,2476.70905,0
1714575600000,0.09087,0.09087,0.08988,0.08993,228033.0,1714576499999,20583.46748,251,85159.0,7690.13484,0
1714576500000,0.08995,0.09032,0.08933,0.09007,110687.0,1714577399999,9951.71288,83,88653.0,7972.87941,0
1714577400000,0.09006,0.09036,0.08994,0.08995,54939.0,1714578299999,4951.84637,60,13602.0,1227.6432,0
1714578300000,0.09011,0.09015,0.08957,0.08996,55162.0,1714579199999,4958.52892,59,19405.0,1745.82237,0
1714579200000,0.0899,0.09054,0.08948,0.09039,268268.0,1714580099999,24202.69613,200,118883.0,10716.17636,0
1714580100000,0.09031,0.09098,0.08977,0.09072,270308.0,1714580999999,24457.80329,181,136988.0,12415.78737,0
1714581000000,0.09086,0.09115,0.0901,0.09015,267670.0,1714581899999,24311.88297,196,128433.0,11671.04277,0
1714581900000,0.09024,0.0917,0.09014,0.09113,545185.0,1714582799999,49555.41826,529,352722.0,32069.10291,0
1714582800000,0.09086,0.09176,0.0904,0.09071,299003.0,1714583699999,27193.97603,313,181377.0,16515.42227,0
1714583700000,0.09046,0.09128,0.08997,0.09128,139769.0,1714584599999,12653.66751,120,57557.0,5219.24119,0
1714584600000,0.09108,0.09158,0.09088,0.09147,102546.0,1714585499999,9351.68949,117,37086.0,3382.43882,0
1714585500000,0.09134,0.09242,0.09134,0.092,151736.0,1714586399999,13944.85082,175,80253.0,7369.60027,0
1714586400000,0.092,0.09367,0.09191,0.09297,487028.0,1714587299999,45228.67167,335,258299.0,23999.53019,0
1714587300000,0.09298,0.09323,0.0928,0.09299,137764.0,1714588199999,12807.09732,131,60037.0,5581.91233,0
1714588200000,0.09301,0.09421,0.09274,0.09421,226275.0,1714589099999,21115.65923,134,104595.0,9768.18047,0
1714589100000,0.0941,0.09483,0.09371,0.09418,474898.0,1714589999999,44791.47414,217,153123.0,14451.91947,0
1714590000000,0.09417,0.09475,0.09356,0.09384,284436.0,1714590899999,26766.32224,210,120002.0,11283.74363,0
1714590900000,0.09375,0.09411,0.09345,0.09353,141910.0,1714591799999,13292.16914,110,62583.0,5864.42962,0
