open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1764547200000000,0.0283,0.0284,0.0272,0.0275,2852370.9,1764548099999999,78822.09419,547,1312369.2,36296.55497,0
1764548100000000,0.0274,0.0277,0.0272,0.0272,1159429.4,1764548999999999,31877.29549,228,448254.4,12334.09091,0
1764549000000000,0.0273,0.0273,0.0269,0.027,751489.4,1764549899999999,20348.41765,230,405571.8,10980.20856,0
1764549900000000,0.0271,0.0271,0.0266,0.0267,488304.2,1764550799999999,13100.56394,209,233954.0,6272.73245,0
1764550800000000,0.0267,0.0271,0.0266,0.027,432619.9,1764551699999999,11620.0136,164,262401.7,7050.7862,0
1764551700000000,0.027,0.0271,0.0269,0.027,105536.0,1764552599999999,2855.51925,74,74048.8,2005.23008,0
1764552600000000,0.027,0.027,0.0269,0.0269,46696.7,1764553499999999,1260.7122,41,27480.9,741.9843,0
1764553500000000,0.0269,0.0269,0.0269,0.0269,40239.1,1764554399999999,1082.43179,26,7021.9,188.88911,0
1764554400000000,0.0268,0.027,0.0267,0.027,191025.9,1764555299999999,5134.12913,105,94114.1,2529.82258,0
1764555300000000,0.027,0.0271,0.027,0.027,37055.9,1764556199999999,1000.56954,20,4542.4,122.70504,0
1764556200000000,0.027,0.0272,0.027,0.0271,194859.4,1764557099999999,5278.17791,99,123889.3,3354.38955,0
1764557100000000,0.0271,0.0271,0.0269,0.027,211178.3,1764557999999999,5707.49401,86,126032.3,3405.20077,0
1764558000000000,0.0269,0.0269,0.0268,0.0268,237033.0,1764558899999999,6364.71407,111,109804.0,2949.61292,0
1764558900000000,0.0268,0.0269,0.0267,0.0267,62057.5,1764559799999999,1662.8539,61,42962.3,1151.75205,0
1764559800000000,0.0268,0.0268,0.0267,0.0268,50304.3,1764560699999999,1347.72774,34,35424.4,949.37392,0
1764560700000000,0.0268,0.0268,0.0267,0.0267,14899.1,1764561599999999,398.58597,9,7582.0,203.1976,0
1764561600000000,0.0267,0.0267,0.0264,0.0264,422041.0,1764562499999999,11211.47326,143,88948.6,2365.55327,0
1764562500000000,0.0264,0.0265,0.0262,0.0264,244119.6,1764563399999999,6455.66208,113,170935.9,4524.8491,0
1764563400000000,0.0264,0.0267,0.0264,0.0266,463359.7,1764564299999999,12304.00907,86,251374.9,6682.57361,0
1764564300000000,0.0265,0.0266,0.0264,0.0265,67536.3,1764565199999999,1790.39888,45,30445.9,807.8066,0
1764565200000000,0.0265,0.0267,0.0265,0.0267,136435.2,1764566099999999,3624.44859,80,85148.4,2264.33367,0
1764566100000000,0.0266,0.0267,0.0266,0.0266,95760.2,1764566999999999,2551.47356,35,56096.7,1496.42446,0
1764567000000000,0.0266,0.0267,0.0265,0.0265,97491.8,1764567899999999,2600.43214,23,82325.2,2197.74281,0
1764567900000000,0.0266,0.0267,0.0266,0.0266,72812.6,1764568799999999,1937.07703,20,47511.4,1264.06511,0
1764568800000000,0.0265,0.0267,0.0265,0.0267,83458.3,1764569699999999,2219.21787,53,58790.9,1564.13794,0
1764569700000000,0.0266,0.0267,0.0266,0.0266,33910.5,1764570599999999,902.11503,13,4448.2,118.41785,0
1764570600000000,0.0265,0.0266,0.0265,0.0266,9066.1,1764571499999999,241.10074,10,8211.2,218.41792,0
1764571500000000,0.0266,0.0266,0.0266,0.0266,12760.3,1764572399999999,339.42398,4,0.0,0.0,0
1764572400000000,0.0266,0.0267,0.0266,0.0266,169828.7,1764573299999999,4517.55557,40,8143.7,216.73457,0
1764573300000000,0.0267,0.0267,0.0266,0.0266,10181.8,1764574199999999,270.90908,16,4118.2,109.61732,0
1764574200000000,0.0267,0.0267,0.0267,0.0267,46100.5,1764575099999999,1230.88335,32,18245.7,487.16019,0
1764575100000000,0.0267,0.0267,0.0266,0.0267,86718.9,1764575999999999,2315.18613,25,84419.9,2254.01133,0
1764576000000000,0.0267,0.0267,0.0266,0.0267,43747.8,1764576899999999,1167.01164,13,12838.3,342.78261,0
1764576900000000,0.0267,0.0269,0.0267,0.0268,50624.6,1764577799999999,1356.37185,43,38016.8,1018.78281,0
1764577800000000,0.0268,0.0268,0.0267,0.0268,468570.1,1764578699999999,12542.25875,70,89808.8,2406.87584,0
1764578700000000,0.0269,0.0269,0.0268,0.0268,140689.4,1764579599999999,3783.83565,39,46431.7,1249.01273,0
