open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1693526400000,1.5,1.507,1.499,1.505,26734.61,1693527299999,40200.18958,161,14298.56,21514.40241,0
1693527300000,1.506,1.508,1.503,1.505,8120.46,1693528199999,12231.87587,61,2691.18,4052.99833,0
1693528200000,1.505,1.512,1.505,1.512,10834.82,1693529099999,16342.10055,81,8728.71,13162.85946,0
1693529100000,1.511,1.513,1.51,1.511,4479.88,1693529999999,6773.65753,40,2471.74,3737.01033,0
1693530000000,1.51,1.511,1.505,1.507,7804.03,1693530899999,11770.18425,53,3125.76,4711.32805,0
1693530900000,1.504,1.506,1.501,1.502,13851.85,1693531799999,20798.66272,49,1103.96,1659.40675,0
1693531800000,1.502,1.502,1.496,1.498,29839.88,1693532699999,44685.32101,117,16347.17,24485.73465,0
1693532700000,1.499,1.5,1.495,1.495,16742.42,1693533599999,25096.59523,73,15959.1,23924.3934,0
1693533600000,1.496,1.5,1.494,1.498,23158.51,1693534499999,34657.25787,138,12156.7,18191.89284,0
1693534500000,1.499,1.504,1.499,1.502,20881.94,1693535399999,31379.68433,133,15565.72,23392.93111,0
1693535400000,1.503,1.503,1.5,1.5,3562.14,1693536299999,5346.74965,24,106.05,159.10878,0
1693536300000,1.502,1.505,1.502,1.502,8667.64,1693537199999,13025.62405,71,5722.86,8600.83122,0
1693537200000,1.502,1.503,1.501,1.502,3234.4,1693538099999,4858.31143,28,1205.49,1810.66177,0
1693538100000,1.503,1.505,1.503,1.504,3024.5,1693538999999,4548.87695,24,1475.19,2218.73466,0
1693539000000,1.505,1.51,1.505,1.51,2819.79,1693539899999,4250.76414,38,2079.88,3134.23995,0
1693539900000,1.51,1.511,1.509,1.509,6653.97,1693540799999,10045.42286,56,2759.72,4167.24398,0
1693540800000,1.509,1.511,1.509,1.511,1506.92,1693541699999,2274.91684,24,801.37,1210.21931,0
1693541700000,1.512,1.512,1.509,1.511,2054.52,1693542599999,3103.36698,22,578.75,874.24744,0
1693542600000,1.511,1.513,1.511,1.511,12459.53,1693543499999,18836.91472,57,1962.93,2967.69931,0
1693543500000,1.512,1.513,1.509,1.509,3092.37,1693544399999,4671.27381,32,1337.5,2021.15967,0
1693544400000,1.509,1.512,1.509,1.511,13310.55,1693545299999,20098.52015,57,6840.68,10332.85694,0
1693545300000,1.509,1.511,1.509,1.51,3724.16,1693546199999,5620.45245,18,96.47,145.673,0
1693546200000,1.509,1.511,1.508,1.508,1344.0,1693547099999,2028.92716,18,458.73,692.79843,0
1693547100000,1.508,1.513,1.508,1.51,4561.6,1693547999999,6890.97069,46,3339.04,5045.13001,0
1693548000000,1.51,1.515,1.51,1.513,17474.55,1693548899999,26447.15349,69,16571.8,25081.44522,0
1693548900000,1.513,1.513,1.508,1.508,6683.23,1693549799999,10089.71114,43,1972.62,2977.35853,0
1693549800000,1.508,1.508,1.504,1.506,6392.57,1693550699999,9630.76372,58,2235.12,3366.83503,0
1693550700000,1.507,1.507,1.497,1.499,17009.36,1693551599999,25543.25769,141,3670.64,5512.5763,0
1693551600000,1.5,1.5,1.498,1.498,11229.37,1693552499999,16826.7693,58,6731.55,10085.17249,0
1693552500000,1.5,1.501,1.499,1.501,7742.6,1693553399999,11611.89596,67,4920.45,7380.162,0
1693553400000,1.502,1.504,1.5,1.501,11128.89,1693554299999,16704.69913,52,982.98,1476.8421,0
1693554300000,1.501,1.504,1.501,1.503,1879.61,1693555199999,2824.22352,33,1642.58,2468.02563,0
1693555200000,1.503,1.505,1.503,1.504,16943.53,1693556099999,25485.38989,120,11867.68,17850.61587,0
1693556100000,1.504,1.506,1.504,1.505,10475.17,1693556999999,15767.47453,104,7851.16,11818.63654,0
1693557000000,1.505,1.508,1.503,1.506,6156.62,1693557899999,9269.18688,60,3099.7,4667.11903,0
