open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,0.1486,0.1491,0.1486,0.1491,60837.4,1725149699999,9055.41463,43,45398.4,6759.18242,0
1725149700000,0.149,0.1491,0.1484,0.1486,47868.6,1725150599999,7114.68915,42,18776.3,2790.37061,0
1725150600000,0.1487,0.1492,0.1484,0.1487,58499.3,1725151499999,8710.54237,63,40620.3,6050.37295,0
1725151500000,0.1488,0.1491,0.1488,0.1488,19057.5,1725152399999,2837.14705,29,12014.3,1788.62491,0
1725152400000,0.1486,0.1488,0.1483,0.1483,35289.2,1725153299999,5241.50718,35,6815.5,1011.91656,0
1725153300000,0.1482,0.1484,0.148,0.1481,19922.2,1725154199999,2953.34676,28,10516.8,1559.32304,0
1725154200000,0.1481,0.1482,0.1476,0.1478,32723.7,1725155099999,4837.98297,53,20691.5,3058.16116,0
1725155100000,0.1477,0.1477,0.1471,0.1471,53636.2,1725155999999,7901.5617,89,12652.7,1864.31613,0
1725156000000,0.1471,0.1474,0.1462,0.1468,84521.8,1725156899999,12405.31407,127,43740.5,6418.73273,0
1725156900000,0.1468,0.147,0.1464,0.1464,38859.3,1725157799999,5700.47408,52,21607.1,3168.53273,0
1725157800000,0.1465,0.1476,0.1465,0.1472,63659.1,1725158699999,9364.49328,118,36415.4,5356.22535,0
1725158700000,0.1471,0.1476,0.1471,0.1474,76156.0,1725159599999,11215.45155,69,9154.8,1347.86904,0
1725159600000,0.1474,0.1479,0.147,0.1479,34250.8,1725160499999,5048.77103,50,20436.5,3012.41888,0
1725160500000,0.1479,0.148,0.1477,0.1479,27133.0,1725161399999,4010.31483,38,15628.9,2309.53508,0
1725161400000,0.1479,0.1479,0.1473,0.1473,29231.3,1725162299999,4313.59298,41,8434.8,1246.49366,0
1725162300000,0.1475,0.1476,0.1475,0.1476,4121.7,1725163199999,608.18825,7,181.2,26.74512,0
1725163200000,0.1476,0.1477,0.1471,0.1471,35924.3,1725164099999,5292.36685,60,16384.9,2413.84846,0
1725164100000,0.1471,0.1478,0.147,0.1478,28844.6,1725164999999,4246.35593,37,10982.6,1616.66302,0
1725165000000,0.1478,0.148,0.1477,0.1477,21773.9,1725165899999,3218.87935,38,8430.2,1246.84577,0
1725165900000,0.1475,0.1476,0.1473,0.1476,63745.0,1725166799999,9402.53072,87,36784.8,5425.20225,0
1725166800000,0.1476,0.1478,0.1472,0.1474,49711.1,1725167699999,7329.08104,73,26170.6,3858.67886,0
1725167700000,0.1475,0.1476,0.1467,0.147,95918.6,1725168599999,14107.95875,143,40950.5,6019.74293,0
1725168600000,0.1469,0.1472,0.1461,0.1465,95136.0,1725169499999,13962.24344,158,48060.9,7052.7362,0
1725169500000,0.1464,0.1467,0.1458,0.1462,60764.0,1725170399999,8883.24722,125,26363.3,3854.79517,0
1725170400000,0.1462,0.1472,0.1461,0.1472,41558.9,1725171299999,6093.75541,64,25091.7,3680.88345,0
1725171300000,0.147,0.1475,0.1469,0.1474,78606.6,1725172199999,11569.46842,91,66894.8,9846.1271,0
1725172200000,0.1473,0.1476,0.1472,0.1474,96038.3,1725173099999,14150.33047,116,27817.9,4098.8788,0
1725173100000,0.1474,0.1477,0.1473,0.1475,60874.6,1725173999999,8976.68327,83,19145.3,2823.95181,0
1725174000000,0.1475,0.1477,0.1471,0.1475,25698.5,1725174899999,3790.87406,38,10593.7,1562.27348,0
1725174900000,0.1475,0.1476,0.1472,0.1474,48135.8,1725175799999,7095.19085,62,22250.9,3279.77753,0
1725175800000,0.1474,0.1479,0.1474,0.1477,22317.4,1725176699999,3292.95108,40,8774.3,1294.21895,0
1725176700000,0.1479,0.1486,0.1479,0.1485,60627.5,1725177599999,8990.78932,75,38602.1,5724.63672,0
1725177600000,0.1485,0.1487,0.1481,0.1483,43324.4,1725178499999,6427.38052,50,23496.0,3484.5847,0
1725178500000,0.1483,0.1483,0.1479,0.148,16751.9,1725179399999,2481.074,25,5861.3,868.31797,0
1725179400000,0.1479,0.148,0.1477,0.1479,30459.2,1725180299999,4503.19648,54,12087.1,1786.8804,0
1725180300000,0.1479,0.1479,0.1477,0.1477,33428.1,1725181199999,4941.61365,41,10371.1,1533.19923,0
1725181200000,0.1477,0.1477,0.1472,0.1474,32019.8,1725182099999,4719.1271,36,17625.0,2596.86219,0
1725182100000,0.1474,0.1478,0.1474,0.1475,29603.9,1725182999999,4369.94329,39,14987.2,2212.18943,0
1725183000000,0.1476,0.148,0.1476,0.1476,44848.7,1725183899999,6627.51869,60,21947.0,3243.08121,0
1725183900000,0.1476,0.1476,0.1472,0.1473,37628.0,1725184799999,5547.31787,53,18378.4,2708.44402,0
1725184800000,0.1472,0.1473,0.1467,0.1468,41383.4,1725185699999,6080.26988,66,8265.7,1214.0995,0
1725185700000,0.1468,0.1468,0.1462,0.1466,213722.0,1725186599999,31323.52041,161,89883.1,13171.06225,0
1725186600000,0.1464,0.1465,0.1461,0.1464,52517.7,1725187499999,7684.56014,74,20742.3,3035.32349,0
1725187500000,0.1464,0.1464,0.1456,0.1456,49430.2,1725188399999,7215.49727,58,22042.2,3212.03323,0
1725188400000,0.1457,0.1459,0.1454,0.1457,112734.3,1725189299999,16424.87746,178,59243.6,8631.66528,0
1725189300000,0.1457,0.1463,0.1454,0.1461,50523.4,1725190199999,7359.92068,96,37678.8,5488.32114,0
1725190200000,0.1461,0.1463,0.1458,0.1462,14352.5,1725191099999,2096.98771,21,4408.1,643.97159,0
1725191100000,0.1461,0.1467,0.1461,0.1467,23713.5,1725191999999,3468.47775,37,10583.2,1548.04783,0
1725192000000,0.1467,0.1471,0.1465,0.1471,49867.5,1725192899999,7324.34541,60,38375.8,5638.12859,0
1725192900000,0.147,0.147,0.1464,0.1464,67500.4,1725193799999,9895.1283,74,33483.5,4909.20979,0
1725193800000,0.1464,0.1466,0.1459,0.1459,99662.3,1725194699999,14589.1804,163,62576.5,9165.22233,0
1725194700000,0.146,0.146,0.1454,0.1457,143298.4,1725195599999,20866.05956,211,40440.3,5890.75113,0
1725195600000,0.1458,0.1463,0.1458,0.1463,33032.4,1725196499999,4824.8941,47,10996.1,1605.89145,0
1725196500000,0.1462,0.1462,0.1457,0.1458,57920.8,1725197399999,8453.54211,48,30296.2,4420.68691,0
1725197400000,0.1457,0.146,0.145,0.1451,70864.7,1725198299999,10310.56253,86,40399.7,5877.72895,0
1725198300000,0.1452,0.1461,0.1442,0.1461,176766.7,1725199199999,25668.31374,230,69343.7,10080.93577,0
1725199200000,0.1461,0.1461,0.1437,0.1444,332717.5,1725200099999,48133.44331,684,169074.5,24441.73199,0
1725200100000,0.1444,0.1452,0.1443,0.1444,240054.3,1725200999999,34725.21284,351,101846.3,14738.36443,0
1725201000000,0.1444,0.1461,0.1444,0.1458,125544.0,1725201899999,18240.97486,166,85750.9,12449.68159,0
1725201900000,0.1458,0.1464,0.1455,0.1456,111859.0,1725202799999,16316.86941,165,59722.3,8709.0588,0
1725202800000,0.1457,0.1461,0.1455,0.1457,90760.4,1725203699999,13227.03525,147,46246.4,6739.98646,0
1725203700000,0.1458,0.1459,0.1453,0.1453,42703.0,1725204599999,6220.27059,57,19540.1,2848.04792,0
1725204600000,0.1453,0.1462,0.1449,0.1461,94460.0,1725205499999,13751.88974,128,52579.6,7655.85952,0
1725205500000,0.1461,0.1474,0.1461,0.1469,293959.3,1725206399999,43178.77036,335,60204.5,8840.34493,0
1725206400000,0.1469,0.1471,0.1465,0.147,106768.4,1725207299999,15674.37184,128,44923.7,6596.59403,0
1725207300000,0.1471,0.1471,0.1457,0.1458,58208.8,1725208199999,8500.98418,106,47734.1,6964.22955,0
1725208200000,0.146,0.1462,0.1457,0.1457,40904.9,1725209099999,5973.27721,74,17269.9,2521.70513,0
1725209100000,0.1456,0.1463,0.1454,0.1458,246568.5,1725209999999,35980.26705,177,129552.8,18897.80492,0
