open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735689600000000,3.324e-05,3.365e-05,3.322e-05,3.348e-05,2881042955.0,1735690499999999,96599.9962183,680,1755554197.0,58853.00083286,0
1735690500000000,3.349e-05,3.358e-05,3.343e-05,3.345e-05,447651331.0,1735691399999999,14987.92703938,108,352453734.0,11797.56013822,0
1735691400000000,3.348e-05,3.361e-05,3.348e-05,3.358e-05,155881246.0,1735692299999999,5230.04947905,101,114274283.0,3833.45880101,0
1735692300000000,3.357e-05,3.385e-05,3.356e-05,3.384e-05,591995055.0,1735693199999999,19981.95589593,207,434133110.0,14658.51440309,0
1735693200000000,3.385e-05,3.386e-05,3.362e-05,3.372e-05,360147829.0,1735694099999999,12160.42184577,127,146798879.0,4946.69206751,0
1735694100000000,3.368e-05,3.369e-05,3.356e-05,3.358e-05,102227576.0,1735694999999999,3437.37501649,66,86143824.0,2897.17311898,0
1735695000000000,3.357e-05,3.365e-05,3.357e-05,3.357e-05,105868272.0,1735695899999999,3556.68834461,69,67275050.0,2260.13647385,0
1735695900000000,3.358e-05,3.359e-05,3.341e-05,3.346e-05,229801694.0,1735696799999999,7691.71765553,112,145616981.0,4874.00280565,0
1735696800000000,3.346e-05,3.357e-05,3.345e-05,3.357e-05,319051662.0,1735697699999999,10696.32639822,118,175997080.0,5898.36209678,0
1735697700000000,3.357e-05,3.357e-05,3.349e-05,3.354e-05,443335774.0,1735698599999999,14867.76200349,131,354754457.0,11897.13402092,0
1735698600000000,3.353e-05,3.366e-05,3.353e-05,3.364e-05,630407706.0,1735699499999999,21186.38253777,173,384162253.0,12910.47604839,0
1735699500000000,3.364e-05,3.373e-05,3.364e-05,3.367e-05,338626085.0,1735700399999999,11402.06563857,106,235167183.0,7918.55014105,0
1735700400000000,3.367e-05,3.37e-05,3.356e-05,3.357e-05,1337256662.0,1735701299999999,44967.44120673,319,617903383.0,20795.08351649,0
1735701300000000,3.356e-05,3.356e-05,3.347e-05,3.35e-05,364825546.0,1735702199999999,12220.34741705,114,225936872.0,7569.34545626,0
1735702200000000,3.348e-05,3.356e-05,3.348e-05,3.354e-05,392292148.0,1735703099999999,13151.05743423,177,272757735.0,9145.02433991,0
1735703100000000,3.353e-05,3.354e-05,3.345e-05,3.351e-05,353247493.0,1735703999999999,11834.94137056,114,241861779.0,8102.75358722,0
1735704000000000,3.35e-05,3.351e-05,3.339e-05,3.343e-05,773438425.0,1735704899999999,25869.35953169,173,321588453.0,10756.43286536,0
1735704900000000,3.342e-05,3.345e-05,3.335e-05,3.338e-05,364679323.0,1735705799999999,12185.02114167,131,198073841.0,6618.41588057,0
1735705800000000,3.339e-05,3.339e-05,3.331e-05,3.337e-05,586561577.0,1735706699999999,19561.98878205,211,264697795.0,8828.33392191,0
1735706700000000,3.335e-05,3.341e-05,3.333e-05,3.336e-05,781001915.0,1735707599999999,26063.96311437,242,652039121.0,21760.16448082,0
1735707600000000,3.335e-05,3.342e-05,3.334e-05,3.342e-05,369349562.0,1735708499999999,12333.1585706,86,227270264.0,7590.5565403,0
1735708500000000,3.338e-05,3.348e-05,3.338e-05,3.346e-05,507378554.0,1735709399999999,16962.7390425,274,365963379.0,12236.99861677,0
1735709400000000,3.346e-05,3.347e-05,3.337e-05,3.342e-05,335904770.0,1735710299999999,11233.26578172,124,243585290.0,8144.06402689,0
1735710300000000,3.344e-05,3.348e-05,3.339e-05,3.34e-05,451026989.0,1735711199999999,15072.64617505,163,209596160.0,7004.80987589,0
1735711200000000,3.34e-05,3.345e-05,3.334e-05,3.334e-05,518702034.0,1735712099999999,17328.78418181,99,441490147.0,14752.85086365,0
1735712100000000,3.335e-05,3.344e-05,3.334e-05,3.341e-05,290807194.0,1735712999999999,9708.3318601,97,191671393.0,6397.77915074,0
1735713000000000,3.341e-05,3.341e-05,3.33e-05,3.338e-05,188448418.0,1735713899999999,6282.08376277,122,92258080.0,3075.28609414,0
1735713900000000,3.342e-05,3.342e-05,3.335e-05,3.342e-05,146057335.0,1735714799999999,4876.54956194,50,114318982.0,3817.45151472,0
1735714800000000,3.343e-05,3.346e-05,3.339e-05,3.341e-05,473203030.0,1735715699999999,15820.0125069,158,254385658.0,8506.7602476,0
1735715700000000,3.342e-05,3.348e-05,3.341e-05,3.347e-05,193496149.0,1735716599999999,6475.673711,91,94544266.0,3163.48091481,0
1735716600000000,3.347e-05,3.35e-05,3.344e-05,3.348e-05,345896475.0,1735717499999999,11580.0236708,154,157086736.0,5258.98665836,0
1735717500000000,3.348e-05,3.348e-05,3.338e-05,3.339e-05,233204142.0,1735718399999999,7797.11368473,130,103994828.0,3478.06219311,0
1735718400000000,3.34e-05,3.349e-05,3.34e-05,3.345e-05,204449424.0,1735719299999999,6838.86160159,78,111610571.0,3732.85384887,0
1735719300000000,3.343e-05,3.343e-05,3.323e-05,3.326e-05,600847478.0,1735720199999999,20007.98805412,407,465069786.0,15488.44434586,0
1735720200000000,3.325e-05,3.333e-05,3.323e-05,3.327e-05,345751370.0,1735721099999999,11510.97898614,211,163234645.0,5434.90819953,0
1735721100000000,3.327e-05,3.327e-05,3.314e-05,3.316e-05,383945691.0,1735721999999999,12747.55052476,290,259579040.0,8619.32484415,0
1735722000000000,3.316e-05,3.32e-05,3.3e-05,3.303e-05,1442350208.0,1735722899999999,47725.38264171,876,848075436.0,28074.55120528,0
1735722900000000,3.304e-05,3.304e-05,3.285e-05,3.293e-05,858813993.0,1735723799999999,28274.37769997,454,390180711.0,12843.35299096,0
1735723800000000,3.292e-05,3.301e-05,3.283e-05,3.289e-05,566948580.0,1735724699999999,18646.49730844,282,310777729.0,10218.63864252,0
1735724700000000,3.289e-05,3.302e-05,3.284e-05,3.3e-05,375715585.0,1735725599999999,12384.94854758,215,208536723.0,6870.81248132,0
1735725600000000,3.302e-05,3.307e-05,3.299e-05,3.3e-05,242132970.0,1735726499999999,7996.22420673,139,103551704.0,3419.9322277,0
1735726500000000,3.299e-05,3.305e-05,3.297e-05,3.3e-05,288817066.0,1735727399999999,9535.02957772,141,141962842.0,4686.07935524,0
1735727400000000,3.3e-05,3.308e-05,3.298e-05,3.305e-05,438695368.0,1735728299999999,14502.1172573,214,213587787.0,7060.32886731,0
1735728300000000,3.303e-05,3.308e-05,3.302e-05,3.302e-05,68196378.0,1735729199999999,2253.11405109,31,51342392.0,1696.20384041,0
1735729200000000,3.303e-05,3.304e-05,3.294e-05,3.3e-05,443670017.0,1735730099999999,14626.5314917,224,336147986.0,11081.3857777,0
1735730100000000,3.303e-05,3.32e-05,3.303e-05,3.319e-05,642570247.0,1735730999999999,21292.57794418,119,602105367.0,19952.03909842,0
1735731000000000,3.321e-05,3.336e-05,3.318e-05,3.334e-05,299589171.0,1735731899999999,9969.06993029,105,98427992.0,3278.08070781,0
1735731900000000,3.334e-05,3.341e-05,3.329e-05,3.332e-05,621531751.0,1735732799999999,20728.14738878,253,406555835.0,13556.98108715,0
1735732800000000,3.332e-05,3.333e-05,3.323e-05,3.329e-05,762007878.0,1735733699999999,25352.83566868,159,331564970.0,11042.28109992,0
1735733700000000,3.326e-05,3.347e-05,3.323e-05,3.344e-05,1131481761.0,1735734599999999,37778.01966413,265,763892829.0,25500.03985165,0
1735734600000000,3.343e-05,3.351e-05,3.335e-05,3.347e-05,1034195379.0,1735735499999999,34576.67578125,177,636491026.0,21284.62588425,0
1735735500000000,3.346e-05,3.352e-05,3.338e-05,3.35e-05,295556364.0,1735736399999999,9889.97158222,106,174835445.0,5848.83513875,0
1735736400000000,3.35e-05,3.371e-05,3.338e-05,3.342e-05,1393964441.0,1735737299999999,46704.4906727,424,254433855.0,8526.37374325,0
1735737300000000,3.342e-05,3.353e-05,3.334e-05,3.335e-05,650122321.0,1735738199999999,21706.50895831,383,187111395.0,6249.39863994,0
1735738200000000,3.335e-05,3.35e-05,3.331e-05,3.336e-05,405997016.0,1735739099999999,13552.58229616,252,243053030.0,8114.62219619,0
1735739100000000,3.337e-05,3.344e-05,3.336e-05,3.344e-05,281594827.0,1735739999999999,9406.27512507,121,233138542.0,7788.0020261,0
1735740000000000,3.348e-05,3.37e-05,3.348e-05,3.362e-05,492502324.0,1735740899999999,16549.26261793,224,262531905.0,8820.68123355,0
1735740900000000,3.359e-05,3.359e-05,3.344e-05,3.344e-05,332356423.0,1735741799999999,11134.04591117,97,211369254.0,7079.66084695,0
1735741800000000,3.341e-05,3.349e-05,3.327e-05,3.34e-05,901258078.0,1735742699999999,30072.45370496,252,683805262.0,22809.15287999,0
1735742700000000,3.34e-05,3.356e-05,3.338e-05,3.354e-05,372581892.0,1735743599999999,12482.94275727,100,161884357.0,5425.85311822,0
1735743600000000,3.354e-05,3.355e-05,3.338e-05,3.339e-05,945280808.0,1735744499999999,31641.77663019,349,287510227.0,9624.74320646,0
1735744500000000,3.339e-05,3.355e-05,3.337e-05,3.348e-05,193029828.0,1735745399999999,6465.50858305,104,105672330.0,3539.91352103,0
1735745400000000,3.347e-05,3.364e-05,3.345e-05,3.364e-05,440499465.0,1735746299999999,14761.73160094,199,356768633.0,11955.90525082,0
1735746300000000,3.363e-05,3.381e-05,3.363e-05,3.377e-05,297149809.0,1735747199999999,10023.59578878,150,138201711.0,4661.73927183,0
1735747200000000,3.378e-05,3.388e-05,3.365e-05,3.366e-05,765643399.0,1735748099999999,25845.47304838,268,366299205.0,12368.35051297,0
1735748100000000,3.363e-05,3.376e-05,3.358e-05,3.374e-05,398470213.0,1735748999999999,13410.63252239,198,263756786.0,8880.66118413,0
1735749000000000,3.374e-05,3.38e-05,3.362e-05,3.374e-05,666497595.0,1735749899999999,22489.83702247,232,280575853.0,9465.91816545,0
1735749900000000,3.374e-05,3.381e-05,3.367e-05,3.379e-05,231568934.0,1735750799999999,7814.61249384,65,86429254.0,2916.46878969,0
1735750800000000,3.378e-05,3.381e-05,3.354e-05,3.354e-05,276527585.0,1735751699999999,9301.87641798,73,68841880.0,2311.83432842,0
