open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1761955200000000,2.5096,2.5106,2.4997,2.5003,905234.4,1761956099999999,2266046.13304,9426,206589.4,517279.90592,0
1761956100000000,2.5003,2.5024,2.496,2.5001,583787.0,1761956999999999,1458849.12408,8086,284759.5,711620.5858,0
1761957000000000,2.5001,2.5001,2.4927,2.4974,615806.2,1761957899999999,1537041.34901,6747,276125.7,689088.90631,0
1761957900000000,2.4975,2.5042,2.4973,2.5005,642974.1,1761958799999999,1608533.5128,5821,480312.8,1201761.01182,0
1761958800000000,2.5005,2.5061,2.4998,2.5001,366791.5,1761959699999999,917953.49441,4900,228954.5,572954.19579,0
1761959700000000,2.5,2.5028,2.4953,2.5026,420150.7,1761960599999999,1049839.88367,5421,202740.1,506581.59698,0
1761960600000000,2.5026,2.505,2.4994,2.5017,346926.7,1761961499999999,867879.15913,5523,203177.1,508278.82644,0
1761961500000000,2.5017,2.5027,2.4995,2.4996,325144.6,1761962399999999,813167.94532,4055,165692.5,414363.54269,0
1761962400000000,2.4995,2.4995,2.4893,2.4949,741545.8,1761963299999999,1848714.68173,7943,365878.3,912079.31858,0
1761963300000000,2.4948,2.5038,2.4941,2.5022,302487.0,1761964199999999,756619.70586,5107,187842.8,469793.96038,0
1761964200000000,2.5023,2.5031,2.4943,2.5002,311593.6,1761965099999999,778266.66546,5777,98567.9,246177.22718,0
1761965100000000,2.5001,2.5077,2.4987,2.5047,350282.1,1761965999999999,876605.07799,5251,173847.8,435071.37068,0
1761966000000000,2.5048,2.5157,2.5047,2.515,933945.1,1761966899999999,2346011.52268,6769,583411.4,1465127.4491,0
1761966900000000,2.5149,2.5196,2.5119,2.5124,423877.2,1761967799999999,1066369.52503,6568,284648.1,716147.02041,0
1761967800000000,2.5125,2.5168,2.5125,2.5152,290167.9,1761968699999999,729529.21921,4659,147826.9,371681.7004,0
1761968700000000,2.5151,2.5186,2.5129,2.5164,267431.0,1761969599999999,672850.99654,4804,124283.3,312698.6711,0
1761969600000000,2.5164,2.5233,2.5141,2.515,407039.4,1761970499999999,1024928.04902,7407,271243.8,683041.23891,0
1761970500000000,2.515,2.5192,2.51,2.5177,259086.4,1761971399999999,651415.21839,4562,113917.8,286443.36682,0
1761971400000000,2.5176,2.5192,2.5131,2.5169,338862.6,1761972299999999,852822.52982,4934,189633.9,477315.10726,0
1761972300000000,2.5168,2.5185,2.5147,2.517,145310.2,1761973199999999,365773.34917,3531,70143.6,176577.64712,0
1761973200000000,2.5169,2.5183,2.5089,2.5099,290434.3,1761974099999999,729489.28959,4064,167619.8,421009.69723,0
1761974100000000,2.5098,2.5151,2.5089,2.5149,180618.4,1761974999999999,453673.09871,3602,100005.5,251206.23022,0
1761975000000000,2.5149,2.5149,2.5115,2.5128,149376.3,1761975899999999,375460.3205,2752,57482.9,144478.88709,0
1761975900000000,2.5127,2.5134,2.5074,2.5081,165241.0,1761976799999999,414707.62228,3023,64281.6,161324.32493,0
1761976800000000,2.5081,2.5102,2.507,2.5074,149598.8,1761977699999999,375226.43654,3126,65615.3,164584.61029,0
1761977700000000,2.5074,2.5083,2.5025,2.5054,252645.7,1761978599999999,633087.71991,4243,113915.8,285438.89209,0
1761978600000000,2.5053,2.5077,2.5014,2.5025,264820.6,1761979499999999,663374.41494,4242,161247.3,403969.40797,0
1761979500000000,2.5026,2.5048,2.4981,2.5039,395122.0,1761980399999999,988072.18916,5722,240537.6,601446.44812,0
1761980400000000,2.5039,2.5073,2.5024,2.505,237024.1,1761981299999999,593727.54247,3727,161327.7,404142.5369,0
1761981300000000,2.505,2.5146,2.5049,2.5114,261687.7,1761982199999999,656521.02451,5616,139564.9,350192.56145,0
1761982200000000,2.5114,2.5122,2.5006,2.5016,491697.7,1761983099999999,1232871.14992,6102,184190.4,461941.18122,0
1761983100000000,2.5017,2.5074,2.5004,2.5061,389167.5,1761983999999999,974276.18657,6278,106975.3,267842.91848,0
1761984000000000,2.5061,2.5084,2.5006,2.5022,327779.2,1761984899999999,820761.98279,5997,158642.0,397193.35445,0
1761984900000000,2.5022,2.506,2.5002,2.5037,388211.4,1761985799999999,971444.38321,6085,212672.6,532145.23703,0
1761985800000000,2.5036,2.5066,2.5028,2.5049,297433.9,1761986699999999,745080.27977,4829,169381.2,424289.33289,0
1761986700000000,2.5049,2.5128,2.5048,2.5124,301114.1,1761987599999999,755750.17435,5607,189639.9,475935.67048,0
1761987600000000,2.5124,2.515,2.5087,2.512,618041.6,1761988499999999,1552462.56575,7111,190489.2,478542.7109,0
1761988500000000,2.512,2.5125,2.5048,2.5056,986208.4,1761989399999999,2473997.86404,5111,227234.6,570044.13726,0
1761989400000000,2.5056,2.5059,2.5005,2.5006,462152.9,1761990299999999,1156491.28534,3658,319899.6,800466.8234,0
1761990300000000,2.5006,2.5048,2.5005,2.5028,283290.5,1761991199999999,709019.10719,3949,119324.7,298614.98558,0
1761991200000000,2.5028,2.5073,2.5019,2.5034,310194.9,1761992099999999,776911.74719,4436,190120.8,476178.90131,0
1761992100000000,2.5034,2.5079,2.5034,2.5055,254300.1,1761992999999999,637144.46623,4008,161665.3,405061.48721,0
1761993000000000,2.5054,2.5118,2.5054,2.5115,603383.7,1761993899999999,1514021.77158,4725,469823.1,1178948.38833,0
1761993900000000,2.5114,2.512,2.507,2.508,325046.9,1761994799999999,815472.20719,3968,174970.6,438953.32703,0
1761994800000000,2.508,2.512,2.508,2.5089,259188.2,1761995699999999,650691.99627,3298,140667.6,353173.67842,0
1761995700000000,2.5089,2.5118,2.5062,2.5063,342043.6,1761996599999999,858212.01206,3172,191099.4,479528.87112,0
1761996600000000,2.5062,2.5063,2.5001,2.5032,877197.6,1761997499999999,2195392.72453,4088,439427.8,1099913.92317,0
1761997500000000,2.5032,2.5058,2.5001,2.5006,484099.1,1761998399999999,1211479.36944,5501,231789.4,580143.14884,0
1761998400000000,2.5006,2.5066,2.5005,2.5019,578721.7,1761999299999999,1448425.38513,5279,390344.7,976846.51029,0
1761999300000000,2.5019,2.5031,2.4969,2.4988,1040277.4,1762000199999999,2600625.69466,6927,441550.9,1103826.67857,0
1762000200000000,2.4988,2.5019,2.4987,2.5,531722.3,1762001099999999,1329445.39295,4968,271224.9,678126.75101,0
1762001100000000,2.5,2.5001,2.4915,2.4925,785987.1,1762001999999999,1960198.20795,6697,392624.4,979032.05108,0
1762002000000000,2.4926,2.497,2.49,2.4968,532690.1,1762002899999999,1327848.79548,5647,246192.0,613864.8496,0
1762002900000000,2.4967,2.5012,2.4964,2.4973,798541.2,1762003799999999,1994946.17019,6215,418021.1,1044318.98973,0
1762003800000000,2.4972,2.4989,2.4835,2.4871,1023537.5,1762004699999999,2549565.40614,10745,576053.9,1434983.06216,0
1762004700000000,2.4871,2.491,2.4837,2.4895,591961.8,1762005599999999,1472757.40931,7255,358655.4,892330.55276,0
1762005600000000,2.4895,2.4921,2.4771,2.4791,1392159.8,1762006499999999,3455379.63181,11093,602376.0,1495419.94067,0
1762006500000000,2.479,2.4838,2.476,2.4814,1041004.1,1762007399999999,2582466.16749,10525,469277.5,1164181.71156,0
1762007400000000,2.4813,2.4873,2.4789,2.4854,730603.6,1762008299999999,1813584.62541,7679,416076.0,1033014.3909,0
1762008300000000,2.4855,2.4876,2.4811,2.4843,440256.5,1762009199999999,1093768.12447,5581,211574.1,525628.97197,0
1762009200000000,2.4844,2.5046,2.4825,2.4998,863136.8,1762010099999999,2155250.33537,13233,575596.5,1437203.77774,0
1762010100000000,2.4999,2.5033,2.4913,2.4959,652001.3,1762010999999999,1627348.86411,9278,312530.9,780031.37277,0
1762011000000000,2.4958,2.4996,2.4924,2.4957,262895.8,1762011899999999,656164.19226,5925,116831.3,291559.82601,0
1762011900000000,2.4958,2.502,2.4925,2.5016,520301.3,1762012799999999,1299112.10031,6633,204495.0,510692.54071,0
1762012800000000,2.5016,2.5089,2.4993,2.5012,691730.5,1762013699999999,1731636.44768,10459,318294.4,796890.567,0
1762013700000000,2.5012,2.5068,2.501,2.5022,364355.0,1762014599999999,912191.24481,6398,234113.6,586107.8024,0
1762014600000000,2.5022,2.512,2.5022,2.5119,460810.2,1762015499999999,1156124.38636,5608,196664.3,493351.32346,0
1762015500000000,2.5119,2.5144,2.5071,2.5088,507953.6,1762016399999999,1275367.11221,7933,248530.2,624152.12566,0
1762016400000000,2.5087,2.5101,2.5026,2.5067,359246.8,1762017299999999,900145.50487,8360,168989.7,423485.15883,0
1762017300000000,2.5067,2.5078,2.5033,2.5038,369588.5,1762018199999999,926149.99443,6695,158547.4,397302.77799,0
1762018200000000,2.5038,2.5094,2.5038,2.5063,203763.6,1762019099999999,510836.92337,4744,83759.2,209988.16373,0
1762019100000000,2.5062,2.5086,2.5031,2.5053,392469.7,1762019999999999,983518.99369,5846,202660.2,507834.40934,0
1762020000000000,2.5054,2.5083,2.5008,2.5026,928429.5,1762020899999999,2325606.26227,5867,130330.9,326558.35109,0
1762020900000000,2.5026,2.5049,2.4976,2.498,600867.0,1762021799999999,1502524.73476,6836,185697.4,464320.65304,0
1762021800000000,2.498,2.5006,2.4955,2.4989,479728.7,1762022699999999,1198551.20206,4627,306465.8,765617.74431,0
1762022700000000,2.4989,2.5071,2.4973,2.5061,348744.7,1762023599999999,872661.16368,4900,137502.4,344134.82608,0
1762023600000000,2.506,2.506,2.5,2.5011,316110.5,1762024499999999,791169.2024,4571,79187.7,198190.91731,0
1762024500000000,2.5011,2.5018,2.4975,2.4987,283583.9,1762025399999999,708781.01439,3950,65436.8,163555.64145,0
1762025400000000,2.4986,2.5015,2.4985,2.5014,149269.7,1762026299999999,373165.47582,3177,83580.7,208946.76443,0
