open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1767225600000000,0.4956,0.496,0.4941,0.4941,36836.9,1767226499999999,18250.6218,305,9751.0,4832.04747,0
1767226500000000,0.4942,0.4945,0.4938,0.4945,10945.5,1767227399999999,5410.45993,97,3342.8,1652.10394,0
1767227400000000,0.4945,0.4945,0.4929,0.4929,3775.8,1767228299999999,1864.11167,98,1389.2,685.77303,0
1767228300000000,0.4929,0.4933,0.4929,0.4933,7250.3,1767229199999999,3575.20159,78,5686.1,2803.81151,0
1767229200000000,0.4932,0.4955,0.4926,0.4954,42411.9,1767230099999999,20955.51003,461,23030.7,11377.47519,0
1767230100000000,0.4955,0.4957,0.4935,0.4936,12483.0,1767230999999999,6173.63351,138,3073.1,1520.07317,0
1767231000000000,0.4937,0.4938,0.4924,0.4926,14596.7,1767231899999999,7194.5842,122,7032.3,3466.29829,0
1767231900000000,0.4925,0.4931,0.4925,0.4927,3952.1,1767232799999999,1947.80657,40,2604.3,1283.57189,0
1767232800000000,0.4926,0.4933,0.4922,0.4928,11713.6,1767233699999999,5772.94432,115,7469.5,3681.99831,0
1767233700000000,0.4927,0.4935,0.4899,0.4902,26644.1,1767234599999999,13090.92096,293,11532.8,5670.07126,0
1767234600000000,0.4903,0.4926,0.4903,0.4913,6272.5,1767235499999999,3082.98235,127,2671.8,1312.29337,0
1767235500000000,0.4914,0.4926,0.4914,0.4915,18374.8,1767236399999999,9039.63397,114,10098.7,4967.45202,0
1767236400000000,0.4914,0.4914,0.4902,0.4904,5585.2,1767237299999999,2742.07086,113,2512.7,1233.0638,0
1767237300000000,0.4905,0.4908,0.4888,0.4889,12161.2,1767238199999999,5957.68469,100,3535.8,1731.84308,0
1767238200000000,0.4888,0.4888,0.4873,0.4877,17939.5,1767239099999999,8758.46961,180,10015.6,4889.7829,0
1767239100000000,0.4877,0.4879,0.4869,0.4875,7775.5,1767239999999999,3790.19348,149,3439.0,1676.20839,0
1767240000000000,0.4876,0.4877,0.4869,0.487,8475.4,1767240899999999,4131.15675,67,3226.9,1572.79952,0
1767240900000000,0.4868,0.4882,0.4866,0.4876,12950.8,1767241799999999,6315.92005,146,9582.9,4673.38451,0
1767241800000000,0.4876,0.4877,0.486,0.4862,14979.2,1767242699999999,7285.54369,188,7058.8,3432.09856,0
1767242700000000,0.4861,0.487,0.4861,0.4868,8408.5,1767243599999999,4092.05653,99,3712.5,1806.93276,0
1767243600000000,0.4867,0.4889,0.4867,0.4884,8130.7,1767244499999999,3969.08648,112,6785.3,3311.77149,0
1767244500000000,0.4886,0.489,0.4883,0.4886,3539.3,1767245399999999,1729.2301,71,2112.0,1031.93587,0
1767245400000000,0.4885,0.4891,0.4876,0.4887,14758.2,1767246299999999,7209.97716,192,10643.3,5200.27282,0
1767246300000000,0.4886,0.4889,0.4884,0.4885,2687.0,1767247199999999,1312.81095,39,1414.4,691.13658,0
1767247200000000,0.4883,0.4883,0.4877,0.4877,1154.9,1767248099999999,563.50211,32,474.8,231.62638,0
1767248100000000,0.4877,0.4881,0.4876,0.4881,1134.1,1767248999999999,553.13542,11,960.6,468.507,0
1767249000000000,0.4881,0.4907,0.4881,0.4902,29909.4,1767249899999999,14636.57617,219,22709.6,11112.98854,0
1767249900000000,0.4902,0.4915,0.4898,0.4898,11765.4,1767250799999999,5772.31159,130,4712.7,2313.17423,0
1767250800000000,0.4899,0.4907,0.4894,0.4897,8408.2,1767251699999999,4118.61072,93,2567.5,1258.11719,0
1767251700000000,0.4896,0.4897,0.488,0.488,16972.9,1767252599999999,8290.79558,191,6000.0,2930.97772,0
1767252600000000,0.488,0.4887,0.4878,0.4878,4671.9,1767253499999999,2281.16048,51,1883.6,920.01561,0
1767253500000000,0.4878,0.4886,0.4875,0.4882,7491.8,1767254399999999,3653.19698,52,1907.1,930.39693,0
1767254400000000,0.4883,0.4887,0.4882,0.4885,3770.5,1767255299999999,1841.79744,69,2052.5,1002.72527,0
1767255300000000,0.4886,0.4894,0.4886,0.489,3821.0,1767256199999999,1868.83926,48,2379.4,1163.71552,0
1767256200000000,0.4892,0.4897,0.4888,0.4888,8967.2,1767257099999999,4386.95203,85,4303.1,2105.49279,0
1767257100000000,0.4887,0.4934,0.4886,0.4933,31717.8,1767257999999999,15584.67887,234,24081.6,11828.38821,0
1767258000000000,0.4934,0.4937,0.4914,0.4914,23041.7,1767258899999999,11351.75798,206,5495.4,2707.59038,0
1767258900000000,0.4915,0.4927,0.4907,0.4926,12360.5,1767259799999999,6074.17734,148,6743.6,3314.28721,0
1767259800000000,0.4926,0.4938,0.4926,0.4937,15195.3,1767260699999999,7496.39862,160,5157.5,2544.43854,0
1767260700000000,0.4938,0.4938,0.4931,0.4932,6155.8,1767261599999999,3037.05177,58,1487.9,734.14023,0
1767261600000000,0.4931,0.4942,0.4931,0.4931,6013.9,1767262499999999,2968.10229,84,4209.2,2077.39097,0
1767262500000000,0.493,0.4936,0.4922,0.4932,16014.8,1767263399999999,7893.75076,103,9294.9,4582.17606,0
1767263400000000,0.4936,0.4954,0.493,0.4948,7770.4,1767264299999999,3840.52446,140,4908.7,2425.73033,0
1767264300000000,0.4946,0.4958,0.4941,0.4954,6023.1,1767265199999999,2981.1005,91,3105.6,1537.22056,0
1767265200000000,0.4955,0.4961,0.4949,0.4949,9124.4,1767266099999999,4520.84288,101,3976.3,1970.42786,0
1767266100000000,0.4948,0.495,0.4945,0.4947,1423.6,1767266999999999,704.31686,30,999.6,494.54889,0
1767267000000000,0.4948,0.4955,0.4946,0.4948,3654.7,1767267899999999,1809.29066,53,2137.0,1057.94692,0
1767267900000000,0.4948,0.4975,0.4946,0.4955,57788.1,1767268799999999,28664.01338,393,30059.7,14909.75021,0
1767268800000000,0.4956,0.496,0.4932,0.4932,17316.1,1767269699999999,8558.64238,157,4445.9,2196.16616,0
1767269700000000,0.4931,0.4931,0.4919,0.4926,4011.7,1767270599999999,1975.62301,94,2551.8,1256.58296,0
1767270600000000,0.4925,0.4936,0.492,0.4935,4253.9,1767271499999999,2096.02397,76,1693.2,833.88877,0
1767271500000000,0.4936,0.4939,0.4927,0.4927,1606.0,1767272399999999,792.73147,41,216.0,106.65674,0
1767272400000000,0.4926,0.4937,0.4924,0.4928,4389.1,1767273299999999,2165.37623,78,1638.1,808.35734,0
1767273300000000,0.493,0.4942,0.4928,0.4942,1984.0,1767274199999999,979.12407,61,1453.9,717.59618,0
1767274200000000,0.4943,0.4954,0.4943,0.4954,3905.1,1767275099999999,1931.93585,81,2237.1,1106.95876,0
1767275100000000,0.4955,0.4974,0.4949,0.4967,3224.8,1767275999999999,1599.84364,144,1665.7,826.52698,0
1767276000000000,0.4968,0.498,0.4968,0.498,2913.5,1767276899999999,1449.27198,105,1450.8,721.63523,0
1767276900000000,0.4978,0.4982,0.4967,0.4978,25428.8,1767277799999999,12652.03192,314,10680.8,5314.34483,0
1767277800000000,0.4978,0.4994,0.4974,0.4994,9043.0,1767278699999999,4505.51923,161,3383.8,1686.74397,0
1767278700000000,0.4995,0.5015,0.4994,0.5015,12074.5,1767279599999999,6047.0915,171,6272.0,3140.96702,0
1767279600000000,0.5015,0.5037,0.5015,0.5026,13768.4,1767280499999999,6921.33304,231,10525.4,5291.80705,0
1767280500000000,0.5026,0.5031,0.5007,0.5009,8267.7,1767281399999999,4152.22656,151,2469.4,1239.29557,0
1767281400000000,0.501,0.5028,0.5003,0.5004,15725.7,1767282299999999,7888.43819,257,10224.1,5128.0134,0
1767282300000000,0.5005,0.5034,0.5005,0.5022,9360.9,1767283199999999,4698.2835,289,4867.9,2442.95711,0
1767283200000000,0.5023,0.503,0.501,0.5018,20254.4,1767284099999999,10167.41419,257,10187.6,5113.98131,0
1767284100000000,0.5019,0.5032,0.5011,0.5032,10933.5,1767284999999999,5489.27649,165,7370.9,3700.92899,0
1767285000000000,0.5031,0.5039,0.5029,0.5037,6623.7,1767285899999999,3335.62476,152,2399.8,1208.524,0
1767285900000000,0.5037,0.5041,0.5026,0.5028,14341.9,1767286799999999,7223.06477,186,4536.3,2284.69273,0
1767286800000000,0.5027,0.504,0.502,0.5031,12064.6,1767287699999999,6067.86017,172,4311.4,2168.49834,0
1767287700000000,0.5031,0.5048,0.5031,0.5046,3254.2,1767288599999999,1639.9072,100,1679.5,846.38412,0
1767288600000000,0.5047,0.5056,0.5034,0.5035,18805.8,1767289499999999,9487.06137,215,5291.7,2670.04612,0
1767289500000000,0.5033,0.5038,0.5025,0.5035,5354.8,1767290399999999,2693.49059,84,2594.5,1305.65765,0
1767290400000000,0.5035,0.5043,0.5034,0.5038,5921.4,1767291299999999,2982.78569,122,1797.1,905.3118,0
1767291300000000,0.5038,0.5041,0.5034,0.5036,3183.5,1767292199999999,1603.48608,84,1819.4,916.46457,0
1767292200000000,0.5035,0.5038,0.5029,0.5033,2075.7,1767293099999999,1044.85489,63,1074.0,540.68197,0
1767293100000000,0.5034,0.5051,0.5034,0.5046,13220.4,1767293999999999,6668.09914,123,7643.1,3854.66503,0
1767294000000000,0.5047,0.5047,0.5034,0.5034,11000.6,1767294899999999,5545.62237,104,2308.1,1163.87618,0
1767294900000000,0.5033,0.5042,0.5028,0.5041,1989.6,1767295799999999,1001.53418,64,1531.0,770.59711,0
1767295800000000,0.5041,0.5048,0.5037,0.5048,7214.7,1767296699999999,3639.50164,90,4981.9,2513.39979,0
1767296700000000,0.5049,0.5058,0.5048,0.5048,3947.8,1767297599999999,1995.82624,74,2595.9,1312.63375,0
1767297600000000,0.505,0.5062,0.5046,0.5049,9710.7,1767298499999999,4908.31561,149,4718.1,2384.61468,0
1767298500000000,0.5049,0.505,0.5038,0.5047,6278.2,1767299399999999,3167.69745,96,3378.7,1705.00527,0
1767299400000000,0.5045,0.5045,0.5037,0.5043,4226.2,1767300299999999,2130.46598,66,1195.2,602.56597,0
1767300300000000,0.5043,0.5045,0.5043,0.5044,1054.4,1767301199999999,531.83772,17,528.4,266.52727,0
1767301200000000,0.5044,0.5044,0.5036,0.5044,7977.5,1767302099999999,4020.60833,60,794.7,400.4103,0
1767302100000000,0.5043,0.5044,0.5039,0.504,2208.6,1767302999999999,1113.48624,47,793.5,400.07732,0
1767303000000000,0.5039,0.5039,0.5032,0.5032,4931.4,1767303899999999,2484.01139,60,1279.5,644.52391,0
1767303900000000,0.5032,0.5035,0.5027,0.5033,1532.6,1767304799999999,771.13373,42,901.6,453.76843,0
1767304800000000,0.5035,0.5045,0.5035,0.5038,5383.6,1767305699999999,2714.07799,70,1721.9,868.37589,0
1767305700000000,0.5039,0.5045,0.5035,0.5044,4500.7,1767306599999999,2267.38358,41,1811.5,912.74822,0
1767306600000000,0.5044,0.5056,0.5038,0.5055,5881.0,1767307499999999,2967.59247,109,3169.3,1599.44523,0
1767307500000000,0.5055,0.5072,0.5055,0.5067,3216.3,1767308399999999,1629.17676,93,1108.9,561.61017,0
1767308400000000,0.5072,0.5087,0.5066,0.5068,20936.9,1767309299999999,10631.51113,282,7024.8,3566.88647,0
1767309300000000,0.5068,0.5072,0.506,0.5061,5777.0,1767310199999999,2927.88256,100,1070.7,542.86883,0
1767310200000000,0.5061,0.5076,0.5057,0.5073,9744.6,1767311099999999,4938.02683,139,7756.8,3930.79718,0
1767311100000000,0.5073,0.5076,0.5059,0.5073,10951.7,1767311999999999,5550.92784,136,3535.6,1791.01176,0
1767312000000000,0.5074,0.5076,0.5052,0.5059,14177.8,1767312899999999,7171.06277,166,3385.7,1713.31405,0
1767312900000000,0.5059,0.5069,0.5051,0.5065,14524.4,1767313799999999,7350.73805,131,10360.0,5243.59976,0
1767313800000000,0.5066,0.5067,0.5043,0.5043,7391.3,1767314699999999,3737.83995,125,2440.9,1233.5488,0
1767314700000000,0.5045,0.5046,0.5041,0.5042,4228.3,1767315599999999,2132.46305,56,1303.6,657.34779,0
1767315600000000,0.5043,0.5047,0.5028,0.5028,9934.2,1767316499999999,5000.48825,117,2328.4,1172.26425,0
1767316500000000,0.5027,0.5039,0.5027,0.5038,7802.2,1767317399999999,3928.78172,98,4603.4,2318.11572,0
1767317400000000,0.5038,0.5039,0.5032,0.5038,3312.8,1767318299999999,1668.37396,55,1623.6,817.7392,0
1767318300000000,0.5037,0.5038,0.5031,0.5035,1422.9,1767319199999999,716.37559,32,600.1,302.12078,0
1767319200000000,0.5034,0.5048,0.503,0.5046,10650.0,1767320099999999,5365.33362,114,3530.2,1778.69669,0
1767320100000000,0.5044,0.5049,0.5024,0.5026,11375.1,1767320999999999,5729.15915,142,6389.4,3220.37127,0
1767321000000000,0.5026,0.5039,0.5026,0.5039,2848.8,1767321899999999,1433.36664,65,2487.6,1251.6191,0
1767321900000000,0.504,0.5064,0.504,0.5064,6755.8,1767322799999999,3413.13235,143,4187.0,2115.3386,0
1767322800000000,0.5065,0.5083,0.5056,0.5083,14485.0,1767323699999999,7338.19818,290,5981.8,3030.76754,0
1767323700000000,0.5084,0.5095,0.5075,0.5084,36338.3,1767324599999999,18472.85323,265,22681.2,11532.66136,0
1767324600000000,0.5085,0.513,0.5085,0.513,22301.7,1767325499999999,11401.81403,366,8821.1,4504.19335,0
1767325500000000,0.513,0.5182,0.513,0.5157,107649.9,1767326399999999,55598.1685,742,41586.5,21473.55347,0
1767326400000000,0.5158,0.5165,0.513,0.5135,18149.1,1767327299999999,9342.17955,247,3923.1,2019.48359,0
1767327300000000,0.5132,0.5132,0.5105,0.5107,3094.8,1767328199999999,1582.36961,99,1901.9,971.63884,0
1767328200000000,0.5108,0.5118,0.5102,0.5115,7857.4,1767329099999999,4016.74586,103,4032.5,2060.85029,0
1767329100000000,0.5114,0.5119,0.5107,0.511,3544.7,1767329999999999,1812.66219,79,2874.5,1470.02009,0
1767330000000000,0.5109,0.5111,0.51,0.51,3215.4,1767330899999999,1641.08573,54,1270.7,648.73332,0
1767330900000000,0.5103,0.5108,0.5096,0.5097,3934.5,1767331799999999,2006.6277,88,2306.9,1176.54798,0
1767331800000000,0.5096,0.5101,0.5089,0.5098,4358.3,1767332699999999,2221.44038,74,3669.8,1870.51162,0
1767332700000000,0.5097,0.5099,0.5076,0.5084,15248.4,1767333599999999,7757.23568,157,7290.5,3708.03813,0
1767333600000000,0.5082,0.51,0.5076,0.5077,22477.0,1767334499999999,11440.9399,163,12054.3,6132.33132,0
1767334500000000,0.5078,0.5078,0.5061,0.5065,11528.7,1767335399999999,5845.67384,102,5949.8,3015.9471,0
1767335400000000,0.5066,0.5076,0.5052,0.5075,18440.2,1767336299999999,9340.04392,200,11837.6,5997.42519,0
1767336300000000,0.5076,0.5076,0.5046,0.5053,30558.3,1767337199999999,15455.66357,295,14595.8,7377.64421,0
1767337200000000,0.5054,0.5059,0.5049,0.505,1801.2,1767338099999999,909.98148,46,629.0,317.82875,0
1767338100000000,0.5049,0.5052,0.5038,0.5047,9504.3,1767338999999999,4794.02654,98,2700.4,1362.55167,0
1767339000000000,0.5044,0.5044,0.5038,0.504,4143.3,1767339899999999,2088.17647,31,2271.8,1144.7606,0
1767339900000000,0.5043,0.5043,0.5034,0.5034,5867.5,1767340799999999,2955.67641,40,2730.0,1374.90774,0
1767340800000000,0.5036,0.5045,0.5032,0.5043,2924.7,1767341699999999,1473.80809,66,2242.3,1129.94946,0
1767341700000000,0.5043,0.5043,0.5026,0.5027,5308.5,1767342599999999,2671.27695,70,1389.3,699.89175,0
1767342600000000,0.5027,0.503,0.501,0.501,18549.8,1767343499999999,9306.79127,121,11647.4,5843.54156,0
1767343500000000,0.5011,0.5013,0.5001,0.5002,15354.4,1767344399999999,7688.86119,78,4579.9,2292.76075,0
1767344400000000,0.5002,0.5019,0.5001,0.5009,7371.4,1767345299999999,3692.88672,113,3869.0,1937.3163,0
1767345300000000,0.501,0.5011,0.5001,0.5001,4653.8,1767346199999999,2328.95419,69,3122.0,1562.26201,0
1767346200000000,0.5002,0.5019,0.4996,0.5018,5767.8,1767347099999999,2886.164,89,3552.1,1778.0683,0
1767347100000000,0.5015,0.5056,0.5011,0.5048,29071.0,1767347999999999,14639.72773,314,17859.6,8989.8723,0
1767348000000000,0.5048,0.5082,0.5042,0.508,50307.3,1767348899999999,25476.75842,323,34059.0,17242.64395,0
1767348900000000,0.5078,0.5078,0.5036,0.504,63771.2,1767349799999999,32233.18456,228,30662.9,15465.02796,0
