open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735689600000000,9.18,9.23,9.18,9.22,1523.36,1735690499999999,14023.5383,152,602.32,5546.9326,0
1735690500000000,9.23,9.24,9.21,9.24,1961.55,1735691399999999,18085.2754,140,622.56,5746.6923,0
1735691400000000,9.25,9.28,9.23,9.27,2868.84,1735692299999999,26556.1637,272,1345.52,12466.0285,0
1735692300000000,9.26,9.34,9.25,9.32,1704.33,1735693199999999,15848.956,231,1337.6,12443.6172,0
1735693200000000,9.32,9.32,9.29,9.3,1152.33,1735694099999999,10726.1684,180,453.23,4216.4675,0
1735694100000000,9.29,9.29,9.24,9.25,2399.99,1735694999999999,22209.9972,228,358.75,3320.2347,0
1735695000000000,9.24,9.27,9.24,9.26,2021.87,1735695899999999,18736.2599,109,1787.98,16570.474,0
1735695900000000,9.26,9.26,9.21,9.24,2366.85,1735696799999999,21860.5263,128,1232.41,11386.1551,0
1735696800000000,9.23,9.27,9.23,9.27,1402.37,1735697699999999,12980.5779,154,651.71,6032.1339,0
1735697700000000,9.27,9.27,9.24,9.25,989.04,1735698599999999,9152.881,96,677.15,6266.6284,0
1735698600000000,9.25,9.28,9.25,9.26,403.13,1735699499999999,3736.2664,92,307.52,2850.2127,0
1735699500000000,9.26,9.29,9.26,9.27,757.7,1735700399999999,7028.9713,79,501.63,4654.3201,0
1735700400000000,9.27,9.28,9.26,9.26,1019.42,1735701299999999,9448.8791,132,486.27,4509.6663,0
1735701300000000,9.25,9.26,9.22,9.23,1185.55,1735702199999999,10945.8518,117,143.15,1323.7274,0
1735702200000000,9.23,9.25,9.23,9.24,2270.79,1735703099999999,20977.4261,246,916.95,8472.492,0
1735703100000000,9.24,9.24,9.22,9.23,1028.22,1735703999999999,9494.0011,218,446.37,4120.8691,0
1735704000000000,9.22,9.23,9.2,9.21,894.91,1735704899999999,8244.1295,195,669.12,6164.6198,0
1735704900000000,9.21,9.21,9.17,9.17,820.95,1735705799999999,7539.7218,181,339.77,3121.7138,0
1735705800000000,9.17,9.18,9.16,9.17,449.88,1735706699999999,4127.1831,74,348.74,3199.721,0
1735706700000000,9.16,9.18,9.15,9.15,1262.95,1735707599999999,11570.1213,247,563.44,5162.7486,0
1735707600000000,9.15,9.17,9.15,9.17,1019.02,1735708499999999,9332.2338,232,666.02,6099.3053,0
1735708500000000,9.17,9.18,9.16,9.18,3722.95,1735709399999999,34148.4675,237,1070.16,9818.6308,0
