open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1722470400000,33.6,33.68,33.15,33.17,3216.911,1722471299999,107155.7354,1311,1904.212,63429.77281,0
1722471300000,33.16,33.45,33.06,33.16,2686.902,1722472199999,89240.00268,1095,1758.51,58423.43074,0
1722472200000,33.16,33.37,33.13,33.24,2337.108,1722473099999,77645.03332,974,894.668,29736.52815,0
1722473100000,33.2,33.28,33.1,33.24,2201.503,1722473999999,72990.03962,579,1393.749,46201.44819,0
1722474000000,33.24,33.48,33.14,33.17,809.559,1722474899999,26943.82179,401,326.914,10884.28583,0
1722474900000,33.15,33.34,33.1,33.3,530.953,1722475799999,17623.25482,204,316.697,10508.79198,0
1722475800000,33.28,33.41,33.08,33.39,651.615,1722476699999,21648.79281,308,348.265,11580.21321,0
1722476700000,33.37,33.44,33.22,33.28,1557.669,1722477599999,51959.55251,366,315.971,10544.74211,0
1722477600000,33.3,33.46,33.26,33.34,745.668,1722478499999,24886.87057,357,295.959,9873.2704,0
1722478500000,33.3,33.32,33.0,33.08,1164.969,1722479399999,38570.66109,472,490.064,16208.74196,0
1722479400000,33.06,33.26,33.0,33.22,513.145,1722480299999,17022.99339,278,307.769,10207.86996,0
1722480300000,33.23,33.6,33.22,33.54,4419.732,1722481199999,147871.75315,1475,2895.559,96898.05476,0
1722481200000,33.53,33.53,32.89,33.22,11347.453,1722482099999,377412.52479,1849,4205.032,139733.61862,0
1722482100000,33.22,33.35,33.21,33.24,1935.139,1722482999999,64379.5148,536,1199.093,39899.17343,0
1722483000000,33.24,33.36,33.03,33.11,2206.407,1722483899999,73190.7503,484,1231.797,40850.27176,0
1722483900000,33.1,33.22,32.97,33.01,1357.714,1722484799999,44923.51014,343,752.295,24911.24433,0
1722484800000,32.99,33.23,32.98,33.19,1369.525,1722485699999,45356.92335,381,790.307,26179.57093,0
1722485700000,33.19,33.19,32.53,32.6,3747.863,1722486599999,123017.63605,1093,1349.567,44323.30936,0
1722486600000,32.59,32.71,32.45,32.55,2568.358,1722487499999,83651.2928,1004,1787.428,58227.26327,0
1722487500000,32.55,32.57,32.19,32.3,2979.737,1722488399999,96449.75178,1102,1552.7,50265.99015,0
1722488400000,32.3,32.57,32.17,32.52,2645.746,1722489299999,85673.30666,981,1809.985,58610.89317,0
1722489300000,32.52,32.75,32.47,32.73,1448.826,1722490199999,47184.50797,706,1052.497,34276.51517,0
1722490200000,32.75,32.75,32.6,32.7,604.593,1722491099999,19739.55062,311,309.847,10117.01981,0
1722491100000,32.74,32.77,32.63,32.68,851.491,1722491999999,27825.4813,296,244.764,8002.0219,0
1722492000000,32.68,32.73,32.56,32.63,995.329,1722492899999,32507.01374,251,233.008,7611.17929,0
1722492900000,32.6,32.85,32.58,32.74,1034.161,1722493799999,33857.23834,372,786.37,25740.46504,0
1722493800000,32.73,32.86,32.66,32.8,570.66,1722494699999,18716.06152,184,311.41,10214.72274,0
1722494700000,32.81,32.88,32.64,32.69,1824.542,1722495599999,59739.26431,441,1040.263,34079.63884,0
1722495600000,32.7,32.86,32.66,32.86,665.625,1722496499999,21809.54182,181,356.202,11680.1008,0
1722496500000,32.85,32.9,32.65,32.65,1017.894,1722497399999,33362.21627,210,276.206,9072.487,0
1722497400000,32.64,32.67,32.53,32.64,763.758,1722498299999,24897.70351,196,316.923,10334.98591,0
1722498300000,32.67,32.7,32.57,32.57,686.629,1722499199999,22423.04501,150,372.338,12162.37209,0
1722499200000,32.56,32.65,32.38,32.45,2284.573,1722500099999,74303.75506,374,369.148,11996.52686,0
1722500100000,32.43,32.64,32.41,32.64,1353.609,1722500999999,43959.94065,227,359.739,11709.74563,0
1722501000000,32.63,32.87,32.63,32.82,1059.956,1722501899999,34721.24224,313,457.852,15011.14403,0
1722501900000,32.81,32.81,32.4,32.45,975.183,1722502799999,31737.2632,334,309.136,10066.71687,0
1722502800000,32.46,32.62,32.44,32.57,528.912,1722503699999,17201.58171,212,377.392,12278.16878,0
1722503700000,32.56,32.78,32.37,32.51,2151.489,1722504599999,70082.99583,646,1144.446,37291.04493,0
1722504600000,32.46,32.67,32.45,32.59,662.301,1722505499999,21588.72616,194,461.392,15037.55666,0
1722505500000,32.57,32.7,32.57,32.65,253.868,1722506399999,8282.5995,119,185.888,6065.15115,0
1722506400000,32.63,32.69,32.57,32.62,368.181,1722507299999,12012.77388,176,243.579,7948.69249,0
1722507300000,32.59,32.67,32.57,32.67,449.284,1722508199999,14656.20449,210,247.74,8083.96029,0
1722508200000,32.7,32.86,32.61,32.76,698.143,1722509099999,22857.67403,246,340.652,11163.39961,0
1722509100000,32.76,32.79,32.52,32.58,1220.226,1722509999999,39855.21199,549,280.656,9173.81017,0
1722510000000,32.6,32.68,32.52,32.55,463.796,1722510899999,15126.69977,141,366.175,11944.55498,0
1722510900000,32.54,32.6,32.51,32.59,122.444,1722511799999,3985.79519,83,74.617,2428.80987,0
1722511800000,32.58,32.8,32.4,32.47,1767.707,1722512699999,57615.61939,560,707.178,23080.68078,0
1722512700000,32.45,32.51,32.41,32.41,730.83,1722513599999,23733.0047,334,225.25,7316.42332,0
1722513600000,32.41,32.74,32.35,32.71,1555.453,1722514499999,50651.60719,489,1386.069,45146.90657,0
1722514500000,32.72,32.85,32.59,32.68,221.733,1722515399999,7252.31689,140,126.046,4122.34681,0
1722515400000,32.66,32.75,32.56,32.6,161.18,1722516299999,5265.34446,114,57.166,1866.11897,0
1722516300000,32.58,32.72,32.56,32.68,264.682,1722517199999,8629.21544,148,77.086,2514.81539,0
1722517200000,32.63,32.66,32.44,32.48,1090.299,1722518099999,35425.65991,275,184.376,5999.04934,0
1722518100000,32.48,32.69,32.45,32.57,975.186,1722518999999,31792.14778,337,692.932,22593.07474,0
1722519000000,32.58,32.59,32.42,32.56,340.866,1722519899999,11082.48184,229,167.956,5461.18258,0
1722519900000,32.54,32.56,32.4,32.46,652.041,1722520799999,21174.84841,393,363.073,11792.61733,0
1722520800000,32.45,32.46,32.32,32.4,1229.5,1722521699999,39804.499,288,932.053,30170.12696,0
1722521700000,32.4,32.5,32.22,32.28,1313.646,1722522599999,42533.89244,526,796.812,25809.99265,0
1722522600000,32.27,32.37,32.16,32.26,536.14,1722523499999,17285.11307,239,118.232,3815.11788,0
1722523500000,32.26,32.26,31.71,31.76,5964.779,1722524399999,190407.3704,892,1005.993,32080.33608,0
1722524400000,31.76,32.05,31.53,31.74,5229.57,1722525299999,166056.30726,1382,2078.276,66074.11165,0
1722525300000,31.76,32.09,31.69,31.79,2323.375,1722526199999,74045.81114,689,629.115,20066.00351,0
1722526200000,31.78,31.89,31.6,31.68,2162.79,1722527099999,68680.89988,714,977.103,31048.0066,0
1722527100000,31.68,31.89,31.56,31.67,4646.713,1722527999999,147481.39308,1061,1804.471,57349.81741,0
1722528000000,31.67,31.71,31.31,31.55,5288.424,1722528899999,166690.63763,1232,2207.196,69586.96829,0
1722528900000,31.54,31.59,31.16,31.33,5457.457,1722529799999,171501.93739,836,1432.268,45009.64685,0
1722529800000,31.36,31.45,31.06,31.15,7136.607,1722530699999,222858.48211,1087,1017.872,31811.59734,0
1722530700000,31.16,31.35,31.03,31.26,5420.895,1722531599999,168761.33827,875,2193.557,68395.11883,0
1722531600000,31.25,31.25,30.94,31.02,4381.387,1722532499999,135995.83763,714,988.637,30728.26974,0
1722532500000,31.05,31.53,31.05,31.36,4297.947,1722533399999,134446.87833,1164,3231.482,101047.62149,0
1722533400000,31.38,31.52,31.14,31.32,2882.402,1722534299999,90362.62271,826,866.007,27152.31318,0
1722534300000,31.33,31.74,31.33,31.69,3199.845,1722535199999,101115.35859,857,2158.269,68228.30411,0
1722535200000,31.68,31.68,30.97,31.36,3299.345,1722536099999,102931.02896,1190,1478.864,46126.23393,0
1722536100000,31.37,31.57,31.24,31.24,1133.878,1722536999999,35622.40709,556,558.29,17556.51866,0
1722537000000,31.24,31.27,30.66,30.69,9294.945,1722537899999,287884.08382,1872,2788.719,86415.75591,0
1722537900000,30.68,30.99,30.58,30.97,3733.011,1722538799999,114735.93284,695,1536.64,47287.90988,0
1722538800000,30.99,31.19,30.96,31.04,723.444,1722539699999,22475.83582,315,435.776,13542.49128,0
1722539700000,31.04,31.33,31.03,31.15,1065.164,1722540599999,33151.18044,305,608.35,18939.56135,0
