open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,0.2903,0.2914,0.2901,0.2912,28934.0,1725149699999,8425.0917,57,17135.0,4989.2553,0
1725149700000,0.291,0.2911,0.2897,0.2899,10419.0,1725150599999,3025.6699,31,3160.0,916.1276,0
1725150600000,0.29,0.2904,0.2895,0.2901,4016.0,1725151499999,1165.1619,31,2992.0,868.2854,0
1725151500000,0.2897,0.2903,0.2897,0.2898,3755.0,1725152399999,1088.9589,21,1800.0,521.8382,0
1725152400000,0.29,0.2905,0.2891,0.2892,13443.0,1725153299999,3893.0318,49,5388.0,1561.2387,0
1725153300000,0.2891,0.2899,0.2886,0.289,7184.0,1725154199999,2077.2149,47,2642.0,763.7606,0
1725154200000,0.2888,0.2893,0.2881,0.2884,20843.0,1725155099999,6016.8816,68,13823.0,3989.853,0
1725155100000,0.2883,0.2883,0.2868,0.2869,17494.0,1725155999999,5032.1064,70,6900.0,1984.7472,0
1725156000000,0.2869,0.287,0.2855,0.2858,59443.0,1725156899999,17011.755,217,24138.0,6911.1702,0
1725156900000,0.2857,0.2864,0.2851,0.2861,18182.0,1725157799999,5195.2195,59,12903.0,3686.7657,0
1725157800000,0.2859,0.2875,0.2859,0.2867,25056.0,1725158699999,7185.9671,86,11917.0,3416.9685,0
1725158700000,0.2865,0.2873,0.2865,0.2873,8429.0,1725159599999,2419.9406,43,5009.0,1438.5638,0
1725159600000,0.2873,0.2877,0.2866,0.2877,19122.0,1725160499999,5488.5923,53,8326.0,2388.8445,0
1725160500000,0.2879,0.2879,0.2868,0.287,10258.0,1725161399999,2944.0565,33,7780.0,2232.8393,0
1725161400000,0.2876,0.2876,0.2868,0.2868,3692.0,1725162299999,1059.4326,18,418.0,120.1022,0
1725162300000,0.2869,0.2875,0.2869,0.2875,7364.0,1725163199999,2115.5078,31,4743.0,1362.1494,0
1725163200000,0.2875,0.2877,0.287,0.2873,10060.0,1725164099999,2890.3341,39,5162.0,1482.928,0
1725164100000,0.2873,0.288,0.2869,0.288,9935.0,1725164999999,2853.2739,34,6827.0,1960.8676,0
1725165000000,0.2882,0.289,0.288,0.2882,16373.0,1725165899999,4727.2993,54,6361.0,1836.0312,0
1725165900000,0.288,0.2883,0.2877,0.2883,53141.0,1725166799999,15294.2385,86,32211.0,9269.3858,0
1725166800000,0.2884,0.2886,0.2877,0.288,20688.0,1725167699999,5960.3852,83,14724.0,4242.6938,0
1725167700000,0.2882,0.2882,0.2862,0.2874,59881.0,1725168599999,17207.7636,104,28668.0,8241.3621,0
1725168600000,0.2873,0.2878,0.2852,0.2864,37125.0,1725169499999,10639.0585,90,21098.0,6048.2801,0
1725169500000,0.2862,0.2864,0.2849,0.2854,23271.0,1725170399999,6643.6948,71,11219.0,3204.7678,0
1725170400000,0.2853,0.287,0.2851,0.287,22637.0,1725171299999,6471.1263,52,11859.0,3390.5575,0
1725171300000,0.287,0.2883,0.287,0.2881,20332.0,1725172199999,5848.5907,52,14035.0,4040.1466,0
1725172200000,0.2882,0.2884,0.2874,0.2879,41228.0,1725173099999,11875.563,66,29041.0,8367.2991,0
1725173100000,0.288,0.2888,0.2878,0.2883,19246.0,1725173999999,5548.4336,60,12292.0,3543.7992,0
1725174000000,0.2883,0.2886,0.2874,0.2879,15099.0,1725174899999,4346.1258,76,10240.0,2947.1882,0
1725174900000,0.288,0.2882,0.2876,0.2877,26632.0,1725175799999,7664.556,74,12019.0,3458.0148,0
1725175800000,0.2877,0.2881,0.2871,0.2872,10098.0,1725176699999,2904.5274,35,3981.0,1144.5907,0
1725176700000,0.2875,0.2897,0.2875,0.2897,23517.0,1725177599999,6791.2279,74,13988.0,4039.072,0
1725177600000,0.2894,0.2896,0.2884,0.2888,30480.0,1725178499999,8804.0926,73,12317.0,3556.4243,0
1725178500000,0.2886,0.2894,0.2886,0.2891,14259.0,1725179399999,4120.725,42,8076.0,2333.5665,0
1725179400000,0.289,0.289,0.2879,0.288,24024.0,1725180299999,6926.762,79,7722.0,2225.5391,0
1725180300000,0.288,0.2881,0.2873,0.2877,8259.0,1725181199999,2377.4002,36,2226.0,640.3008,0
1725181200000,0.2875,0.2876,0.2864,0.2872,12491.0,1725182099999,3585.7043,47,9615.0,2759.4655,0
1725182100000,0.2873,0.288,0.2873,0.288,12768.0,1725182999999,3672.712,36,6269.0,1803.4411,0
1725183000000,0.2882,0.2886,0.2878,0.2878,7481.0,1725183899999,2157.4559,24,3467.0,1000.1049,0
1725183900000,0.2881,0.2881,0.287,0.2871,22646.0,1725184799999,6504.0731,50,11170.0,3208.7263,0
1725184800000,0.2872,0.2872,0.2859,0.286,12619.0,1725185699999,3612.3952,25,4983.0,1426.8478,0
1725185700000,0.286,0.2868,0.2858,0.2863,29162.0,1725186599999,8345.9216,53,15253.0,4363.1363,0
1725186600000,0.2862,0.2863,0.2854,0.2857,14225.0,1725187499999,4064.9916,37,6134.0,1753.2538,0
1725187500000,0.286,0.2864,0.285,0.285,25690.0,1725188399999,7334.1019,53,14347.0,4094.0585,0
1725188400000,0.2853,0.2862,0.2851,0.286,9643.0,1725189299999,2755.1068,19,2510.0,716.4617,0
1725189300000,0.2858,0.2864,0.2851,0.2864,4263.0,1725190199999,1216.6904,7,3915.0,1117.1363,0
1725190200000,0.2862,0.2863,0.2857,0.2863,9166.0,1725191099999,2621.2089,17,4391.0,1256.0005,0
1725191100000,0.2861,0.2872,0.2861,0.2872,4369.0,1725191999999,1251.8218,13,1512.0,433.4252,0
1725192000000,0.2875,0.2881,0.2871,0.2871,14687.0,1725192899999,4223.5028,28,11584.0,3331.47,0
1725192900000,0.2874,0.2874,0.286,0.2862,6243.0,1725193799999,1787.217,20,2314.0,662.3661,0
1725193800000,0.2862,0.2867,0.2853,0.2858,23685.0,1725194699999,6778.9993,59,10486.0,3000.0612,0
1725194700000,0.2856,0.2856,0.2846,0.2848,31783.0,1725195599999,9068.0734,55,13514.0,3855.8105,0
1725195600000,0.2848,0.2862,0.2844,0.2859,14430.0,1725196499999,4114.476,34,7965.0,2273.1222,0
1725196500000,0.2854,0.2858,0.2852,0.2852,1332.0,1725197399999,380.0438,10,460.0,131.2674,0
1725197400000,0.2846,0.2852,0.2834,0.2837,42744.0,1725198299999,12148.5991,86,21119.0,6005.1184,0
1725198300000,0.2836,0.2851,0.282,0.2848,34947.0,1725199199999,9921.2909,106,15404.0,4375.4381,0
1725199200000,0.2848,0.2848,0.2798,0.2812,109741.0,1725200099999,30907.0922,190,22716.0,6405.413,0
1725200100000,0.2813,0.2829,0.2813,0.2818,30635.0,1725200999999,8638.0555,127,15121.0,4262.3636,0
1725201000000,0.2821,0.2842,0.2821,0.2837,25801.0,1725201899999,7306.4296,58,14255.0,4036.7017,0
1725201900000,0.2848,0.285,0.283,0.2834,18428.0,1725202799999,5233.4484,51,7377.0,2095.1239,0
1725202800000,0.2833,0.2845,0.2829,0.2838,26790.0,1725203699999,7607.896,46,8425.0,2391.4978,0
1725203700000,0.2839,0.2843,0.2832,0.2832,44400.0,1725204599999,12605.4882,92,25103.0,7130.0445,0
1725204600000,0.283,0.285,0.2826,0.285,27890.0,1725205499999,7907.2826,60,14723.0,4171.2713,0
1725205500000,0.2852,0.2874,0.2851,0.2865,12615.0,1725206399999,3611.9276,56,5828.0,1667.9247,0
1725206400000,0.2864,0.2879,0.2863,0.2872,20375.0,1725207299999,5847.1209,73,10292.0,2954.1267,0
1725207300000,0.2877,0.288,0.2851,0.2851,22123.0,1725208199999,6344.4699,50,5228.0,1497.7235,0
1725208200000,0.2854,0.286,0.2845,0.2846,21412.0,1725209099999,6109.5596,61,13870.0,3956.5504,0
