open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,0.37600000,0.38130000,0.37360000,0.37910000,10395398.90000000,1701403199999,3927813.41266000,12436,5717482.70000000,2159978.01391000,0
1701403200000,0.37920000,0.38090000,0.37710000,0.37890000,7611453.60000000,1701417599999,2886147.37135000,9250,3678249.70000000,1395045.37371000,0
1701417600000,0.37890000,0.38320000,0.37850000,0.38200000,10167875.30000000,1701431999999,3876342.13105000,11590,5029594.90000000,1917599.14937000,0
1701432000000,0.38200000,0.38290000,0.37870000,0.38120000,10265485.80000000,1701446399999,3907592.15227000,11388,4633516.00000000,1764324.63765000,0
1701446400000,0.38130000,0.38500000,0.38080000,0.38470000,12130688.60000000,1701460799999,4653893.75003000,12848,6149851.00000000,2359244.82652000,0
1701460800000,0.38460000,0.38550000,0.38170000,0.38440000,5763495.30000000,1701475199999,2211738.47787000,7110,2919599.80000000,1120607.34017000,0
1701475200000,0.38440000,0.38610000,0.38270000,0.38610000,5755213.90000000,1701489599999,2213164.05620000,6163,2364036.60000000,909356.44980000,0
1701489600000,0.38610000,0.38710000,0.38520000,0.38640000,5175763.90000000,1701503999999,1998421.96362000,5969,2669075.80000000,1030800.69832000,0
1701504000000,0.38630000,0.39120000,0.38630000,0.38890000,11931246.90000000,1701518399999,4643907.04158000,13203,6272130.80000000,2441879.37211000,0
1701518400000,0.38890000,0.39040000,0.38530000,0.38910000,12466006.30000000,1701532799999,4838858.95939000,12601,5759870.20000000,2236322.85189000,0
1701532800000,0.38910000,0.39480000,0.38690000,0.39330000,16318092.90000000,1701547199999,6379294.15390000,20403,8427980.50000000,3295235.12692000,0
1701547200000,0.39330000,0.39800000,0.39270000,0.39760000,16992244.40000000,1701561599999,6718190.88121000,18790,9015044.20000000,3564877.74989000,0
1701561600000,0.39760000,0.40300000,0.39570000,0.39670000,22415839.00000000,1701575999999,8953797.60501000,25722,11253851.10000000,4495097.53301000,0
1701576000000,0.39680000,0.39780000,0.39420000,0.39670000,11315478.80000000,1701590399999,4480750.85411000,11867,5437988.00000000,2154052.44564000,0
1701590400000,0.39670000,0.39730000,0.39190000,0.39400000,11342298.10000000,1701604799999,4478108.17466000,13002,5536213.00000000,2186444.06443000,0
1701604800000,0.39390000,0.39390000,0.38780000,0.39050000,18628902.30000000,1701619199999,7281253.32239000,20297,8606854.60000000,3366516.98081000,0
1701619200000,0.39050000,0.39200000,0.38780000,0.39010000,11598272.70000000,1701633599999,4518186.84596000,11481,5472626.10000000,2132499.14273000,0
1701633600000,0.39010000,0.39830000,0.39000000,0.39490000,16581885.90000000,1701647999999,6543395.90650000,17405,8984359.00000000,3544154.65994000,0
1701648000000,0.39480000,0.40730000,0.39430000,0.40300000,28819942.70000000,1701662399999,11605924.22079000,32671,15101307.70000000,6080694.87141000,0
1701662400000,0.40300000,0.41250000,0.40300000,0.40840000,31474662.30000000,1701676799999,12845712.46614000,33365,17466453.00000000,7127761.61480000,0
1701676800000,0.40850000,0.41500000,0.39110000,0.40370000,51657376.50000000,1701691199999,20882947.65222000,64693,26142874.20000000,10577767.86974000,0
1701691200000,0.40370000,0.40700000,0.39680000,0.39750000,29839717.70000000,1701705599999,11996539.08353000,33859,14403328.90000000,5794314.89165000,0
1701705600000,0.39750000,0.40300000,0.39730000,0.40120000,19030259.10000000,1701719999999,7624695.90645000,17131,9705874.00000000,3889262.92687000,0
1701720000000,0.40120000,0.40740000,0.40000000,0.40680000,16458772.60000000,1701734399999,6639388.57848000,17584,8703825.60000000,3510743.44581000,0
1701734400000,0.40690000,0.41100000,0.40180000,0.40540000,19241478.60000000,1701748799999,7819519.51945000,23929,9785290.80000000,3975028.49758000,0
1701748800000,0.40540000,0.40590000,0.39690000,0.39910000,14992434.40000000,1701763199999,6018999.59063000,18225,6804714.30000000,2732916.55485000,0
1701763200000,0.39910000,0.40200000,0.39720000,0.39940000,12863016.40000000,1701777599999,5143787.99816000,16115,6608426.10000000,2642922.68510000,0
