open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,0.23795000,0.24240000,0.23651000,0.23819000,7194716.00000000,1688183999999,1724488.53877000,7575,3432796.00000000,822995.78596000,0
1688184000000,0.23827000,0.24655000,0.23503000,0.24538000,9755461.00000000,1688198399999,2358707.59042000,10580,4803803.00000000,1161472.15195000,0
1688198400000,0.24539000,0.25409000,0.24262000,0.25260000,14407410.00000000,1688212799999,3561408.97606000,13792,7417115.00000000,1835641.48503000,0
1688212800000,0.25260000,0.26500000,0.25109000,0.25554000,39245343.00000000,1688227199999,10114100.45016000,39094,18528831.00000000,4777383.61628000,0
1688227200000,0.25565000,0.25569000,0.24968000,0.25158000,10065901.00000000,1688241599999,2537071.69831000,12514,4780871.00000000,1205385.05366000,0
1688241600000,0.25148000,0.25609000,0.25014000,0.25384000,5453632.00000000,1688255999999,1380503.87146000,6457,2612646.00000000,661990.92390000,0
1688256000000,0.25384000,0.25406000,0.24484000,0.24588000,9655263.00000000,1688270399999,2409076.91287000,11752,3956344.00000000,988176.73280000,0
1688270400000,0.24589000,0.25015000,0.24458000,0.24712000,4185354.00000000,1688284799999,1038355.82546000,5440,1852633.00000000,459822.14821000,0
1688284800000,0.24714000,0.24817000,0.24441000,0.24794000,6085808.00000000,1688299199999,1499356.09140000,6212,2623850.00000000,646458.79379000,0
1688299200000,0.24796000,0.24930000,0.24212000,0.24542000,7385138.00000000,1688313599999,1815776.12507000,8999,3427105.00000000,842789.36293000,0
1688313600000,0.24542000,0.24778000,0.24093000,0.24505000,4696533.00000000,1688327999999,1148034.87778000,5901,1939088.00000000,474439.28891000,0
1688328000000,0.24506000,0.24874000,0.24340000,0.24713000,3787770.00000000,1688342399999,932146.85259000,5507,1852101.00000000,455952.99870000,0
1688342400000,0.24714000,0.25584000,0.24419000,0.25303000,7077263.00000000,1688356799999,1771090.44020000,9663,3436637.00000000,860367.45920000,0
1688356800000,0.25307000,0.25864000,0.25092000,0.25739000,8510034.00000000,1688371199999,2163428.01276000,10157,3821089.00000000,971802.55980000,0
1688371200000,0.25730000,0.26973000,0.25452000,0.25950000,22424470.00000000,1688385599999,5883529.17819000,23431,11096980.00000000,2910984.59009000,0
1688385600000,0.25950000,0.26411000,0.25659000,0.25980000,11679647.00000000,1688399999999,3044843.67285000,14133,5519009.00000000,1439736.64147000,0
