open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1690848000000,0.10980000,0.11030000,0.10500000,0.10720000,36577021.00000000,1690862399999,3966289.81560000,11752,18819449.00000000,2041556.68520000,0
1690862400000,0.10720000,0.10850000,0.10700000,0.10830000,5043514.00000000,1690876799999,543657.20650000,2762,2415700.00000000,260571.85480000,0
1690876800000,0.10830000,0.10910000,0.10800000,0.10820000,7261020.00000000,1690891199999,788734.10650000,3511,3342404.00000000,363178.26150000,0
1690891200000,0.10820000,0.10890000,0.10700000,0.10890000,14067226.00000000,1690905599999,1518430.36790000,5421,4326735.00000000,467658.24560000,0
1690905600000,0.10890000,0.11000000,0.10830000,0.10980000,6073456.00000000,1690919999999,662718.30110000,3793,2822982.00000000,308159.82240000,0
1690920000000,0.10980000,0.11120000,0.10910000,0.11090000,7452166.00000000,1690934399999,819356.67860000,3752,4319718.00000000,475394.07270000,0
1690934400000,0.11100000,0.11120000,0.11010000,0.11020000,6774741.00000000,1690948799999,750277.42420000,3360,3274456.00000000,362749.89190000,0
1690948800000,0.11020000,0.11020000,0.10850000,0.10850000,32606915.00000000,1690963199999,3572864.40170000,7391,17437350.00000000,1913520.80310000,0
1690963200000,0.10850000,0.10910000,0.10820000,0.10900000,3639291.00000000,1690977599999,395650.92620000,2449,1705460.00000000,185480.83640000,0
1690977600000,0.10900000,0.10920000,0.10660000,0.10760000,11330062.00000000,1690991999999,1220451.96920000,5309,5413397.00000000,582870.23150000,0
1690992000000,0.10750000,0.10760000,0.10560000,0.10710000,8275516.00000000,1691006399999,883023.35960000,4458,4191629.00000000,447346.16070000,0
1691006400000,0.10700000,0.10790000,0.10660000,0.10690000,4615937.00000000,1691020799999,494360.53430000,2782,2418273.00000000,258999.93090000,0
1691020800000,0.10690000,0.10790000,0.10630000,0.10730000,8940752.00000000,1691035199999,959945.22490000,3443,4037054.00000000,433808.16250000,0
1691035200000,0.10720000,0.10740000,0.10610000,0.10630000,3015241.00000000,1691049599999,321895.69500000,2052,1316803.00000000,140599.52900000,0
1691049600000,0.10630000,0.10710000,0.10580000,0.10660000,5142826.00000000,1691063999999,547702.40580000,2488,2996708.00000000,319261.59760000,0
1691064000000,0.10660000,0.10810000,0.10610000,0.10740000,4559098.00000000,1691078399999,488130.92620000,2809,2455362.00000000,262759.36930000,0
1691078400000,0.10740000,0.10820000,0.10690000,0.10720000,3046643.00000000,1691092799999,327287.84170000,2026,1263056.00000000,135817.26330000,0
1691092800000,0.10710000,0.10760000,0.10560000,0.10630000,4524354.00000000,1691107199999,481756.12720000,2478,2131556.00000000,227158.24280000,0
1691107200000,0.10630000,0.10780000,0.10600000,0.10740000,4375255.00000000,1691121599999,468035.79030000,2178,2367335.00000000,253314.90670000,0
1691121600000,0.10740000,0.10750000,0.10610000,0.10650000,2225509.00000000,1691135999999,237717.28580000,1631,892255.00000000,95327.42860000,0
1691136000000,0.10660000,0.10690000,0.10610000,0.10650000,2930674.00000000,1691150399999,312195.98660000,1910,1559146.00000000,166148.53670000,0
1691150400000,0.10650000,0.10780000,0.10620000,0.10700000,4277239.00000000,1691164799999,458284.14240000,2959,2020407.00000000,216523.51720000,0
1691164800000,0.10690000,0.10720000,0.10550000,0.10600000,4174153.00000000,1691179199999,444321.49730000,2555,2014340.00000000,214591.94810000,0
1691179200000,0.10600000,0.10640000,0.10450000,0.10600000,5944752.00000000,1691193599999,628277.39270000,3354,2617172.00000000,276647.16890000,0
1691193600000,0.10600000,0.10610000,0.10460000,0.10560000,3843504.00000000,1691207999999,404821.77910000,2404,1920538.00000000,202255.09810000,0
1691208000000,0.10550000,0.10570000,0.10490000,0.10540000,3535033.00000000,1691222399999,372409.27770000,1617,879879.00000000,92717.57610000,0
1691222400000,0.10530000,0.10600000,0.10500000,0.10550000,3259691.00000000,1691236799999,343965.51370000,1997,1739066.00000000,183547.00560000,0
