open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1714521600000,1.79600000,1.80100000,1.76600000,1.78900000,70335.18000000,1714535999999,125354.42403000,2445,34510.82000000,61551.90003000,0
1714536000000,1.78800000,1.79500000,1.70400000,1.70700000,160706.95000000,1714550399999,281357.55974000,4277,72815.80000000,127439.67970000,0
1714550400000,1.70700000,1.77400000,1.69600000,1.77200000,146889.13000000,1714564799999,254187.65680000,5044,82107.36000000,142103.90505000,0
1714564800000,1.77100000,1.78800000,1.74300000,1.74900000,149263.59000000,1714579199999,263308.32327000,4344,64160.21000000,113134.73744000,0
1714579200000,1.75000000,1.83900000,1.74200000,1.80500000,236649.13000000,1714593599999,422902.05295000,7511,109620.71000000,195685.71378000,0
1714593600000,1.80600000,1.84000000,1.77500000,1.83400000,134264.94000000,1714607999999,243468.86842000,4899,65298.58000000,118539.46769000,0
1714608000000,1.83400000,1.84000000,1.78400000,1.81000000,75010.49000000,1714622399999,135613.86657000,3717,38212.19000000,69076.11568000,0
1714622400000,1.81100000,1.83700000,1.79800000,1.81600000,92699.93000000,1714636799999,168129.91957000,3468,50463.45000000,91569.11342000,0
1714636800000,1.81600000,1.87800000,1.80800000,1.87300000,125675.05000000,1714651199999,230986.95399000,3965,67622.59000000,124362.78907000,0
1714651200000,1.87100000,1.89800000,1.84100000,1.88100000,149547.37000000,1714665599999,279324.08070000,6209,72401.10000000,135293.24863000,0
1714665600000,1.88100000,1.89500000,1.86000000,1.87600000,180761.77000000,1714679999999,339547.93963000,7310,84515.84000000,158813.21009000,0
1714680000000,1.87600000,1.90900000,1.86300000,1.86800000,206202.70000000,1714694399999,387881.44935000,7242,102569.04000000,193143.81488000,0
1714694400000,1.86800000,1.90600000,1.86100000,1.89100000,157876.88000000,1714708799999,297162.79311000,7315,80228.08000000,151195.37026000,0
1714708800000,1.89100000,1.90100000,1.86400000,1.86900000,139346.05000000,1714723199999,262706.67488000,7329,68844.22000000,129855.17008000,0
1714723200000,1.87100000,1.88700000,1.85200000,1.86500000,173035.56000000,1714737599999,323458.83177000,7874,85146.72000000,159262.04087000,0
1714737600000,1.86500000,1.92900000,1.85300000,1.92300000,246174.02000000,1714751999999,468784.61481000,11430,131387.08000000,250383.58439000,0
1714752000000,1.92300000,1.94100000,1.91400000,1.93500000,146302.60000000,1714766399999,282192.87365000,6529,75385.67000000,145413.45730000,0
