open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1714521600000,2.16300000,2.17300000,2.11400000,2.14800000,167789.95000000,1714535999999,358607.39174000,2557,83966.24000000,179563.53122000,0
1714536000000,2.14800000,2.16600000,2.04500000,2.07500000,237837.42000000,1714550399999,495835.98119000,3515,143450.81000000,299329.31693000,0
1714550400000,2.07400000,2.09600000,2.02500000,2.08300000,205183.42000000,1714564799999,422061.60912000,3220,114225.01000000,235043.75936000,0
1714564800000,2.08400000,2.12200000,2.06400000,2.07900000,159299.92000000,1714579199999,333484.15197000,2746,84056.26000000,176028.91562000,0
1714579200000,2.07700000,2.19600000,2.05100000,2.10300000,446814.33000000,1714593599999,945316.65090000,6697,221420.62000000,469401.95743000,0
1714593600000,2.10200000,2.16400000,2.09000000,2.15400000,114898.90000000,1714607999999,244959.49131000,2085,69570.03000000,148266.99238000,0
1714608000000,2.15500000,2.16300000,2.07200000,2.11700000,111719.41000000,1714622399999,235806.79017000,1707,44068.58000000,93421.55123000,0
1714622400000,2.11500000,2.12200000,2.08900000,2.11000000,71222.43000000,1714636799999,150573.43829000,1055,38097.53000000,80525.61598000,0
1714636800000,2.10800000,2.19400000,2.10400000,2.18800000,187552.40000000,1714651199999,402093.18116000,3303,117474.00000000,251692.96262000,0
1714651200000,2.18700000,2.20700000,2.13700000,2.19100000,217573.07000000,1714665599999,474120.68840000,3375,103319.00000000,224962.13126000,0
1714665600000,2.19400000,2.23500000,2.16800000,2.22500000,151026.73000000,1714679999999,332599.82922000,3244,60781.68000000,133899.59330000,0
1714680000000,2.22400000,2.28600000,2.20500000,2.24300000,249113.55000000,1714694399999,560287.54799000,4429,128524.89000000,288984.64738000,0
1714694400000,2.24400000,2.32300000,2.22900000,2.31200000,271775.15000000,1714708799999,621592.13242000,4609,144082.57000000,329657.15629000,0
1714708800000,2.31200000,2.33700000,2.26000000,2.26400000,125770.35000000,1714723199999,288963.92589000,3386,56932.60000000,131253.61264000,0
1714723200000,2.26400000,2.28200000,2.22800000,2.24400000,108245.75000000,1714737599999,243931.52582000,2484,46569.39000000,105044.26114000,0
1714737600000,2.24400000,2.48400000,2.23800000,2.40000000,1336002.14000000,1714751999999,3182071.99570000,28482,772789.57000000,1839973.43267000,0
1714752000000,2.39800000,2.42600000,2.37300000,2.39800000,211409.45000000,1714766399999,506223.72902000,6023,80707.52000000,193336.83938000,0
1714766400000,2.39800000,2.42300000,2.39100000,2.39300000,110523.45000000,1714780799999,265770.65093000,2228,50035.87000000,120292.27870000,0
1714780800000,2.39300000,2.42600000,2.37700000,2.39100000,137777.77000000,1714795199999,330629.83884000,2797,69981.27000000,168117.77171000,0
1714795200000,2.39100000,2.39900000,2.37300000,2.38600000,143368.28000000,1714809599999,341982.94239000,2892,83477.55000000,199147.53962000,0
1714809600000,2.38500000,2.43000000,2.38200000,2.39800000,156766.68000000,1714823999999,376141.60606000,3298,74874.63000000,179836.36621000,0
1714824000000,2.39900000,2.42100000,2.37400000,2.39000000,200180.57000000,1714838399999,478909.25241000,2929,80064.79000000,192016.58815000,0
1714838400000,2.39100000,2.41600000,2.38000000,2.40900000,94109.61000000,1714852799999,225591.01095000,2293,41896.45000000,100512.32890000,0
1714852800000,2.40800000,2.42700000,2.37900000,2.38300000,201982.10000000,1714867199999,486163.78001000,2538,92362.98000000,222593.06573000,0
1714867200000,2.38300000,2.38600000,2.32500000,2.35800000,136830.25000000,1714881599999,322950.49340000,2541,50273.04000000,118745.64073000,0
1714881600000,2.36000000,2.37200000,2.33000000,2.36100000,83456.75000000,1714895999999,196032.62997000,1645,35661.13000000,83893.77050000,0
1714896000000,2.36100000,2.39800000,2.35500000,2.38200000,132654.90000000,1714910399999,315872.58727000,2713,82741.30000000,197122.18064000,0
1714910400000,2.38100000,2.52100000,2.36400000,2.48300000,320910.59000000,1714924799999,784667.72040000,5397,171558.63000000,418845.19456000,0
1714924800000,2.48200000,2.49000000,2.41900000,2.44200000,208570.47000000,1714939199999,513098.69054000,3941,76038.45000000,187281.47073000,0
1714939200000,2.44200000,2.47100000,2.43500000,2.46300000,71120.71000000,1714953599999,174320.06860000,1277,38315.78000000,93949.82979000,0
1714953600000,2.46100000,2.47100000,2.42200000,2.42600000,168597.43000000,1714967999999,413381.23643000,2344,62329.06000000,153020.43907000,0
1714968000000,2.42300000,2.49000000,2.41800000,2.48600000,137042.81000000,1714982399999,336604.96854000,3163,100012.97000000,245746.61192000,0
1714982400000,2.48600000,2.52100000,2.44900000,2.50300000,258663.06000000,1714996799999,644634.13345000,4329,130980.03000000,326909.15723000,0
1714996800000,2.50600000,2.51000000,2.37800000,2.41500000,324514.46000000,1715011199999,788850.80653000,5248,128144.56000000,311112.17178000,0
1715011200000,2.41300000,2.41800000,2.34500000,2.36300000,275886.58000000,1715025599999,657637.97297000,3901,122358.28000000,291133.85482000,0
1715025600000,2.36400000,2.38100000,2.32800000,2.33200000,345806.11000000,1715039999999,815338.15088000,4026,165229.03000000,389762.93340000,0
1715040000000,2.33100000,2.36700000,2.29700000,2.32000000,275887.57000000,1715054399999,644185.28729000,5151,124632.62000000,291106.98453000,0
1715054400000,2.31900000,2.33900000,2.28600000,2.32000000,234783.44000000,1715068799999,543594.18916000,3612,124239.53000000,287909.25501000,0
1715068800000,2.31900000,2.41600000,2.31500000,2.36200000,444444.80000000,1715083199999,1060061.39141000,6412,261532.31000000,624162.62483000,0
1715083200000,2.36500000,2.44100000,2.34800000,2.36600000,413876.01000000,1715097599999,984583.00476000,7664,211455.36000000,503810.90320000,0
1715097600000,2.36600000,2.38400000,2.32300000,2.33100000,149678.24000000,1715111999999,352219.55937000,3988,64455.16000000,151799.82394000,0
1715112000000,2.33100000,2.34600000,2.27600000,2.27600000,134832.81000000,1715126399999,311050.82615000,3985,62277.70000000,143820.44482000,0
1715126400000,2.27500000,2.31700000,2.23700000,2.30600000,220727.44000000,1715140799999,501691.17533000,4692,111052.18000000,252522.08632000,0
1715140800000,2.30400000,2.32400000,2.25400000,2.28400000,203267.00000000,1715155199999,464309.90586000,3609,127815.73000000,292177.27460000,0
1715155200000,2.28500000,2.32600000,2.26600000,2.28000000,260923.38000000,1715169599999,600284.36365000,5141,132917.64000000,306263.87545000,0
1715169600000,2.27900000,2.37800000,2.27000000,2.34300000,322949.61000000,1715183999999,751850.58245000,5712,134336.92000000,312415.76057000,0
1715184000000,2.34400000,2.72100000,2.32300000,2.58600000,3384186.02000000,1715198399999,8588664.65481000,67264,1901147.69000000,4825560.75375000,0
1715198400000,2.58500000,2.64500000,2.47300000,2.56000000,1784276.81000000,1715212799999,4557266.18124000,40632,919883.19000000,2351780.48988000,0
1715212800000,2.55900000,2.79300000,2.45800000,2.46600000,2374278.97000000,1715227199999,6275476.93728000,50800,1200847.31000000,3179601.61621000,0
1715227200000,2.46500000,2.55600000,2.41700000,2.48900000,1019203.03000000,1715241599999,2548283.17638000,17104,545775.47000000,1365150.61048000,0
1715241600000,2.48900000,2.50800000,2.41500000,2.44300000,607243.04000000,1715255999999,1491464.44402000,11377,273747.24000000,673420.49059000,0
1715256000000,2.44300000,2.56600000,2.42500000,2.54400000,1825741.38000000,1715270399999,4557941.28419000,28756,879819.38000000,2197175.18493000,0
1715270400000,2.54400000,2.54700000,2.47900000,2.50600000,528839.21000000,1715284799999,1327438.32701000,11431,237856.03000000,597246.73563000,0
1715284800000,2.50500000,2.50900000,2.45900000,2.48600000,323494.51000000,1715299199999,804546.41991000,9478,162772.71000000,405093.55729000,0
1715299200000,2.48700000,2.53200000,2.46800000,2.52100000,263407.56000000,1715313599999,658633.49099000,6543,147233.29000000,368517.44269000,0
1715313600000,2.52100000,2.55700000,2.51300000,2.53900000,353504.39000000,1715327999999,895100.64436000,6590,162285.79000000,411173.44075000,0
1715328000000,2.53900000,2.56200000,2.46800000,2.49500000,277403.50000000,1715342399999,699764.13418000,5872,112920.66000000,285339.38513000,0
1715342400000,2.49600000,2.51000000,2.34300000,2.36400000,655825.51000000,1715356799999,1587241.04180000,13949,271252.82000000,657807.75776000,0
1715356800000,2.36500000,2.37300000,2.28500000,2.30300000,570415.76000000,1715371199999,1326427.32165000,12176,198569.16000000,460973.30910000,0
1715371200000,2.30400000,2.32400000,2.28700000,2.30900000,133979.00000000,1715385599999,309126.97573000,3781,66502.97000000,153522.94480000,0
1715385600000,2.30900000,2.43500000,2.30400000,2.39600000,404007.11000000,1715399999999,957913.96970000,8958,197287.11000000,467795.34325000,0
1715400000000,2.39700000,2.50300000,2.36200000,2.47400000,665755.23000000,1715414399999,1629372.21316000,10434,370290.78000000,906580.67124000,0
1715414400000,2.47300000,2.47700000,2.33700000,2.34700000,339326.74000000,1715428799999,814149.09054000,6054,136727.58000000,327720.79100000,0
1715428800000,2.34800000,2.42900000,2.34800000,2.39400000,223242.77000000,1715443199999,533594.76104000,5355,111624.08000000,266830.42708000,0
1715443200000,2.39500000,2.41700000,2.37900000,2.38600000,120936.93000000,1715457599999,289434.76782000,3853,55774.47000000,133503.47323000,0
1715457600000,2.38600000,2.39000000,2.34400000,2.35200000,111371.98000000,1715471999999,263911.97626000,3268,59416.91000000,140777.34974000,0
1715472000000,2.35200000,2.37300000,2.34100000,2.35500000,91240.98000000,1715486399999,214904.38079000,3102,36207.62000000,85292.01839000,0
1715486400000,2.35600000,2.37400000,2.33200000,2.34000000,167336.33000000,1715500799999,393599.90159000,3189,67531.86000000,158964.88758000,0
1715500800000,2.34000000,2.37500000,2.33500000,2.34400000,162253.83000000,1715515199999,382212.65958000,4056,67072.85000000,158146.39918000,0
1715515200000,2.34500000,2.46400000,2.34100000,2.40300000,853959.91000000,1715529599999,2054814.22420000,15461,435236.78000000,1047362.13664000,0
1715529600000,2.40200000,2.40700000,2.34700000,2.35800000,196480.02000000,1715543999999,467679.98973000,5388,82719.61000000,197186.80141000,0
1715544000000,2.35900000,2.36300000,2.31900000,2.33300000,110194.92000000,1715558399999,257855.19389000,4117,52422.80000000,122716.14389000,0
1715558400000,2.33400000,2.35400000,2.16500000,2.21400000,670150.28000000,1715572799999,1507931.45402000,15825,315493.60000000,709352.40266000,0
1715572800000,2.21400000,2.27300000,2.18400000,2.26800000,224782.51000000,1715587199999,501844.49616000,5854,99885.28000000,222843.60832000,0
1715587200000,2.26900000,2.31200000,2.26900000,2.30200000,282848.86000000,1715601599999,649200.92302000,6931,155715.20000000,357587.03154000,0
1715601600000,2.30200000,2.32300000,2.27000000,2.30200000,200918.00000000,1715615999999,460304.17824000,5817,78206.87000000,179331.35126000,0
1715616000000,2.30100000,2.34000000,2.26100000,2.27000000,172243.81000000,1715630399999,394940.67998000,4627,65030.11000000,149305.64532000,0
1715630400000,2.27000000,2.29200000,2.25600000,2.26700000,89008.97000000,1715644799999,202322.49943000,2724,43307.06000000,98493.06747000,0
1715644800000,2.26800000,2.28200000,2.23200000,2.24500000,127319.99000000,1715659199999,287155.94885000,4268,56307.53000000,127017.98865000,0
1715659200000,2.24500000,2.27900000,2.19100000,2.24900000,209093.07000000,1715673599999,468524.43619000,5652,110691.10000000,248312.26447000,0
