open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,6.98180000,7.06250000,6.91550000,7.04090000,201593.41000000,1701403199999,1413031.58518600,5667,94933.34000000,665498.23640900,0
1701403200000,7.04100000,7.07400000,7.01910000,7.04690000,149272.92000000,1701417599999,1052246.01306000,3868,86063.66000000,606675.67005300,0
1701417600000,7.04480000,7.11200000,7.03400000,7.05250000,397075.52000000,1701431999999,2804103.86578400,8081,242660.32000000,1713458.66367000,0
1701432000000,7.05510000,7.06250000,6.97550000,7.02840000,184313.23000000,1701446399999,1292707.10990800,5119,82902.78000000,581603.41994300,0
1701446400000,7.02810000,7.10290000,7.00000000,7.06650000,566073.61000000,1701460799999,3988274.19637900,8498,219869.11000000,1548571.07754900,0
1701460800000,7.06800000,7.07870000,7.03060000,7.06230000,71574.23000000,1701475199999,505297.87972000,2608,33169.24000000,234202.99880100,0
1701475200000,7.06270000,7.12000000,7.03340000,7.10690000,169455.63000000,1701489599999,1200734.00342100,4146,91567.81000000,649036.87064800,0
1701489600000,7.10700000,7.19690000,7.08750000,7.16950000,169869.59000000,1701503999999,1211844.35177100,5238,82738.47000000,590185.00890900,0
1701504000000,7.16830000,7.29670000,7.16640000,7.21180000,420782.57000000,1701518399999,3045689.87606700,9561,222097.59000000,1607998.04821000,0
1701518400000,7.21220000,7.35000000,7.20010000,7.28390000,523318.13000000,1701532799999,3818675.80223200,12187,281464.77000000,2054443.44723600,0
1701532800000,7.28450000,7.39000000,7.26000000,7.36070000,414490.14000000,1701547199999,3038278.39692200,10507,202315.98000000,1483409.00081000,0
1701547200000,7.36120000,7.41290000,7.29470000,7.34560000,320822.68000000,1701561599999,2363549.74952800,7421,157884.61000000,1163767.38329500,0
1701561600000,7.34560000,7.52580000,7.33010000,7.46170000,538416.58000000,1701575999999,4005371.00214200,15226,310696.02000000,2311472.20640700,0
1701576000000,7.46220000,7.47170000,7.32900000,7.36170000,256389.93000000,1701590399999,1891619.04578900,6308,117186.07000000,864751.67797900,0
1701590400000,7.36180000,7.37420000,7.27000000,7.35500000,363035.83000000,1701604799999,2662440.61418700,8782,173468.14000000,1273007.97699200,0
1701604800000,7.35240000,7.37370000,7.21820000,7.27480000,409940.77000000,1701619199999,2986520.12530400,11697,186165.88000000,1357364.35704000,0
1701619200000,7.27800000,7.30560000,7.23980000,7.27030000,190131.59000000,1701633599999,1383333.92650600,5117,103292.45000000,751851.68710200,0
1701633600000,7.27030000,7.38630000,7.25300000,7.30240000,256199.64000000,1701647999999,1871951.75361900,8073,143828.78000000,1050720.33438400,0
1701648000000,7.30250000,7.47470000,7.26180000,7.42480000,616750.31000000,1701662399999,4552608.25579500,13162,342469.22000000,2527342.20708200,0
1701662400000,7.42510000,7.64180000,7.41850000,7.55430000,833975.33000000,1701676799999,6271206.87504300,18246,450500.97000000,3388535.30271300,0
1701676800000,7.55560000,7.61780000,6.90000000,7.25840000,1215021.55000000,1701691199999,8905673.76644500,33967,601830.32000000,4415239.14888300,0
1701691200000,7.25970000,7.41690000,7.17460000,7.24670000,721277.88000000,1701705599999,5268700.71163300,17015,376337.48000000,2751501.52673500,0
1701705600000,7.24100000,7.65000000,7.23130000,7.48450000,891606.70000000,1701719999999,6654120.84122400,20048,435543.00000000,3250456.47204500,0
1701720000000,7.48290000,7.86390000,7.43830000,7.77060000,1034233.31000000,1701734399999,7897028.83506500,20660,582579.50000000,4443274.40504100,0
1701734400000,7.76740000,7.87000000,7.52260000,7.67940000,621689.78000000,1701748799999,4774880.23377500,16456,314278.73000000,2413739.13014100,0
1701748800000,7.68220000,7.68220000,7.40170000,7.46960000,584174.55000000,1701763199999,4413051.52863600,13666,230176.55000000,1738614.68000600,0
1701763200000,7.46980000,7.50470000,7.35230000,7.40510000,460348.57000000,1701777599999,3425057.61716500,10194,236591.52000000,1760510.13553700,0
1701777600000,7.40540000,7.48500000,7.32470000,7.47210000,535965.48000000,1701791999999,3972109.57971000,14089,275128.33000000,2039872.26528900,0
1701792000000,7.47190000,7.72820000,7.41390000,7.68420000,817015.30000000,1701806399999,6205999.94042100,20903,432627.43000000,3288905.52097400,0
1701806400000,7.68540000,7.75070000,7.61300000,7.70010000,508335.50000000,1701820799999,3899502.29510200,11687,244483.32000000,1875848.50632200,0
1701820800000,7.70180000,7.89110000,7.55790000,7.61900000,671697.16000000,1701835199999,5208621.31664100,16996,313994.71000000,2438367.08919700,0
1701835200000,7.61980000,7.67560000,7.40600000,7.55270000,518875.26000000,1701849599999,3904890.51096700,14955,240881.52000000,1814130.89818000,0
1701849600000,7.55260000,7.76440000,7.40250000,7.55240000,854276.11000000,1701863999999,6485446.59578000,31892,443658.81000000,3367725.54397100,0
1701864000000,7.54970000,7.66500000,7.45450000,7.56370000,472262.00000000,1701878399999,3572295.68489200,14989,211050.21000000,1596995.87640700,0
1701878400000,7.55950000,7.61810000,7.51090000,7.59930000,461385.80000000,1701892799999,3493134.84083900,9345,186867.07000000,1415448.74997500,0
1701892800000,7.59950000,7.61690000,7.33500000,7.38360000,786789.80000000,1701907199999,5874003.82087800,19282,391412.08000000,2922054.24694700,0
1701907200000,7.38880000,7.48660000,7.36470000,7.42670000,193431.83000000,1701921599999,1435826.83437000,5147,99174.54000000,735957.55934500,0
1701921600000,7.42670000,7.69600000,7.41590000,7.60300000,628812.05000000,1701935999999,4774360.62197000,15846,350666.68000000,2659610.90416300,0
1701936000000,7.60420000,7.68430000,7.32600000,7.59220000,763916.43000000,1701950399999,5748201.55490900,21352,382843.30000000,2883719.05704400,0
1701950400000,7.59220000,7.80400000,7.54140000,7.79340000,832642.21000000,1701964799999,6379284.34755200,17536,497874.13000000,3815710.63030400,0
1701964800000,7.79350000,8.20800000,7.73500000,7.83740000,1823984.35000000,1701979199999,14590649.96087100,51996,927466.06000000,7422851.60140300,0
1701979200000,7.83990000,8.02000000,7.82890000,7.94070000,557167.29000000,1701993599999,4415533.85669400,12939,260969.20000000,2068085.16851900,0
1701993600000,7.94160000,8.05040000,7.83170000,8.01720000,481472.49000000,1702007999999,3820265.26955400,11257,228232.09000000,1810054.13805400,0
1702008000000,8.01540000,8.32270000,8.00000000,8.12900000,1187151.37000000,1702022399999,9709375.63551400,33962,633875.75000000,5184973.51034800,0
1702022400000,8.12830000,8.53670000,8.11110000,8.43730000,1394674.14000000,1702036799999,11611180.54933100,36548,755889.01000000,6297091.73344400,0
1702036800000,8.43630000,8.53850000,8.33490000,8.42120000,1063763.89000000,1702051199999,8951992.66518600,27435,497004.63000000,4183720.71884200,0
1702051200000,8.42320000,8.65000000,8.35800000,8.47670000,854242.25000000,1702065599999,7247973.32216900,22867,443780.87000000,3766654.54598000,0
1702065600000,8.47750000,8.52610000,8.36680000,8.49380000,681955.40000000,1702079999999,5743409.27434900,16406,344812.61000000,2903824.67964000,0
1702080000000,8.49400000,8.79900000,8.49400000,8.60780000,1241885.29000000,1702094399999,10691078.83584300,28881,617527.11000000,5317305.22852800,0
1702094400000,8.61000000,8.67070000,8.52210000,8.63890000,450986.78000000,1702108799999,3877369.66338700,11151,182377.00000000,1567883.45824100,0
1702108800000,8.64410000,8.77550000,8.38000000,8.64010000,1025248.97000000,1702123199999,8828195.91312600,28979,482265.70000000,4154362.69067100,0
1702123200000,8.64010000,8.74410000,8.46200000,8.55820000,668601.99000000,1702137599999,5739682.67201000,20103,378479.85000000,3250228.55851700,0
1702137600000,8.55820000,8.58580000,8.34180000,8.45880000,529715.43000000,1702151999999,4469866.93449300,12915,230281.95000000,1944752.62743800,0
1702152000000,8.45670000,8.49840000,8.13020000,8.24560000,506493.19000000,1702166399999,4222353.45225700,14440,267461.79000000,2228210.04346400,0
1702166400000,8.24950000,8.37530000,8.24950000,8.31750000,256163.07000000,1702180799999,2132391.03934200,8709,125670.70000000,1045867.30812900,0
1702180800000,8.31740000,8.35510000,8.13830000,8.22700000,471388.12000000,1702195199999,3877553.43924500,11922,212699.26000000,1749095.36381100,0
1702195200000,8.22830000,8.23210000,7.98000000,8.16870000,949517.04000000,1702209599999,7702694.99682100,22156,467812.56000000,3794808.10888800,0
1702209600000,8.16930000,8.21420000,8.08610000,8.14100000,616799.41000000,1702223999999,5028383.18525700,14672,339301.79000000,2765937.95358600,0
1702224000000,8.14140000,8.41900000,8.12020000,8.39520000,735427.28000000,1702238399999,6069861.74096600,20529,411129.59000000,3391556.38363300,0
1702238400000,8.39530000,8.47680000,8.36270000,8.43240000,605308.98000000,1702252799999,5095086.10682300,16672,332003.87000000,2794302.45231300,0
1702252800000,8.42960000,8.44740000,7.36000000,7.88540000,1677839.92000000,1702267199999,13289207.01444100,50958,688050.42000000,5450217.34900500,0
1702267200000,7.88370000,7.94830000,7.70750000,7.74850000,709881.65000000,1702281599999,5561889.99482200,21000,347766.63000000,2724801.55491800,0
1702281600000,7.74960000,7.90130000,7.67500000,7.89400000,505119.94000000,1702295999999,3946091.36763200,15215,275120.57000000,2149596.48500000,0
1702296000000,7.89410000,7.95690000,7.65360000,7.77290000,697373.12000000,1702310399999,5425062.02414800,21462,354543.79000000,2759311.01208400,0
1702310400000,7.77030000,7.81670000,7.45930000,7.66300000,764506.12000000,1702324799999,5839003.89960500,23702,360024.12000000,2749967.56597900,0
1702324800000,7.66330000,7.81180000,7.60700000,7.79080000,355408.54000000,1702339199999,2738830.72990400,9870,166640.33000000,1283493.10589200,0
1702339200000,7.78790000,8.14530000,7.78780000,8.01280000,503960.80000000,1702353599999,4018467.66334800,15489,252746.42000000,2012010.11356100,0
1702353600000,8.01200000,8.39160000,7.86440000,8.36910000,745545.34000000,1702367999999,6025496.54294600,21899,424961.18000000,3438427.18771500,0
1702368000000,8.36980000,8.40000000,8.03090000,8.05260000,726052.84000000,1702382399999,5941336.19625300,21798,331548.00000000,2717851.96472100,0
1702382400000,8.05240000,9.15570000,8.03140000,9.03310000,3645665.29000000,1702396799999,31647847.67470700,129521,1991385.81000000,17320907.12500400,0
1702396800000,9.03300000,9.04000000,8.64640000,8.84470000,2058830.11000000,1702411199999,18195871.46042100,64239,931115.98000000,8236060.63127000,0
1702411200000,8.84480000,9.22000000,8.72580000,9.11140000,1369969.65000000,1702425599999,12320325.31664000,40351,756539.93000000,6806526.08324300,0
1702425600000,9.10910000,9.11370000,8.56200000,8.71650000,1242895.34000000,1702439999999,10882490.05573800,41449,603396.39000000,5280645.48651600,0
1702440000000,8.71420000,8.74910000,8.21230000,8.31570000,1116157.01000000,1702454399999,9429245.11206600,33897,527479.94000000,4453529.78206300,0
1702454400000,8.31480000,8.39000000,8.16000000,8.18800000,858459.81000000,1702468799999,7127101.84048900,24443,389578.95000000,3235376.68988700,0
1702468800000,8.19070000,8.44630000,8.17250000,8.34920000,1108980.86000000,1702483199999,9245028.49688200,38826,579726.36000000,4831309.72785700,0
