open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1675209600000,0.08680000,0.08700000,0.08600000,0.08660000,181255.00000000,1675223999999,15676.80280000,193,83648.00000000,7240.83700000,0
1675224000000,0.08670000,0.08710000,0.08450000,0.08490000,500790.00000000,1675238399999,42695.72170000,381,158416.00000000,13508.30920000,0
1675238400000,0.08470000,0.08580000,0.08290000,0.08520000,920130.00000000,1675252799999,77559.57070000,562,574491.00000000,48534.28420000,0
1675252800000,0.08520000,0.08590000,0.08400000,0.08490000,550698.00000000,1675267199999,46911.49890000,365,336693.00000000,28708.99950000,0
1675267200000,0.08490000,0.08760000,0.08400000,0.08680000,935459.00000000,1675281599999,79959.14980000,730,406807.00000000,34808.85220000,0
1675281600000,0.08680000,0.09010000,0.08660000,0.08990000,2906663.00000000,1675295999999,258733.24270000,1594,1633507.00000000,145677.97070000,0
1675296000000,0.08980000,0.09120000,0.08920000,0.09040000,715541.00000000,1675310399999,64279.44140000,404,384576.00000000,34540.52600000,0
1675310400000,0.09050000,0.09120000,0.08950000,0.09110000,930634.00000000,1675324799999,84169.44220000,573,563837.00000000,51074.38590000,0
1675324800000,0.09110000,0.09340000,0.09090000,0.09290000,1344907.00000000,1675339199999,123735.01900000,905,1020492.00000000,93959.69720000,0
1675339200000,0.09290000,0.09320000,0.09080000,0.09220000,521169.00000000,1675353599999,48131.95460000,447,270654.00000000,25031.24540000,0
1675353600000,0.09210000,0.09300000,0.09140000,0.09160000,653714.00000000,1675367999999,60198.18260000,605,294250.00000000,27104.42910000,0
1675368000000,0.09160000,0.09210000,0.08960000,0.09170000,715735.00000000,1675382399999,64955.89290000,620,517432.00000000,46967.32260000,0
1675382400000,0.09190000,0.09320000,0.09090000,0.09290000,697439.00000000,1675396799999,64365.80050000,582,459521.00000000,42386.29560000,0
1675396800000,0.09290000,0.09370000,0.09210000,0.09260000,631464.00000000,1675411199999,58620.32310000,593,386748.00000000,35899.56780000,0
1675411200000,0.09290000,0.09360000,0.09190000,0.09340000,814330.00000000,1675425599999,75520.02530000,554,565647.00000000,52479.43080000,0
1675425600000,0.09320000,0.09470000,0.09210000,0.09380000,636793.00000000,1675439999999,59523.51150000,618,302785.00000000,28338.61220000,0
1675440000000,0.09400000,0.09440000,0.09300000,0.09340000,459251.00000000,1675454399999,43022.08160000,339,296390.00000000,27783.25950000,0
1675454400000,0.09340000,0.09560000,0.09270000,0.09530000,899482.00000000,1675468799999,85037.64060000,519,745727.00000000,70606.56430000,0
1675468800000,0.09540000,0.09960000,0.09510000,0.09770000,2544071.00000000,1675483199999,248476.53750000,1654,1830604.00000000,178758.18430000,0
1675483200000,0.09780000,0.10080000,0.09740000,0.09960000,958271.00000000,1675497599999,94905.03300000,912,589041.00000000,58392.19220000,0
