open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1751328000000000,0.01874000,0.01884000,0.01838000,0.01851000,4757956.80000000,1751342399999999,88261.76797000,1202,2599107.30000000,48237.10817600,0
1751342400000000,0.01850000,0.01850000,0.01785000,0.01806000,9836925.50000000,1751356799999999,177614.52738200,2567,4213465.60000000,76159.37719000,0
1751356800000000,0.01804000,0.01877000,0.01795000,0.01818000,23636202.10000000,1751371199999999,434375.87295400,4815,12924290.30000000,237476.54421700,0
1751371200000000,0.01819000,0.01936000,0.01819000,0.01902000,45171049.80000000,1751385599999999,851255.13315000,5658,27782221.50000000,523678.69218700,0
1751385600000000,0.01903000,0.02346000,0.01896000,0.02162000,481547440.80000000,1751399999999999,10309472.64671200,63841,253093366.90000000,5405712.80003700,0
1751400000000000,0.02160000,0.02514000,0.02143000,0.02274000,486326394.70000000,1751414399999999,11489276.25112500,71450,239222315.90000000,5651503.89123700,0
1751414400000000,0.02276000,0.02513000,0.02130000,0.02169000,241268748.20000000,1751428799999999,5602867.44912900,36260,115193499.00000000,2680534.79323200,0
1751428800000000,0.02170000,0.02233000,0.02092000,0.02106000,102817308.10000000,1751443199999999,2225410.30151600,16007,49441070.10000000,1070301.00960000,0
1751443200000000,0.02105000,0.02176000,0.02067000,0.02121000,111599603.50000000,1751457599999999,2376656.38159600,16904,54695636.30000000,1164580.01715200,0
1751457600000000,0.02119000,0.02146000,0.02038000,0.02091000,88697555.30000000,1751471999999999,1852291.81265900,13978,45591628.30000000,953250.30596200,0
1751472000000000,0.02091000,0.02152000,0.02081000,0.02148000,62363073.20000000,1751486399999999,1319182.94855200,17509,33418677.30000000,706939.72678100,0
1751486400000000,0.02148000,0.02200000,0.02123000,0.02145000,65608198.30000000,1751500799999999,1420070.74225100,9676,33726092.30000000,729388.02584800,0
1751500800000000,0.02147000,0.02193000,0.02124000,0.02168000,41738418.80000000,1751515199999999,902390.28946000,9824,19104677.50000000,413671.23005500,0
1751515200000000,0.02167000,0.02259000,0.02144000,0.02200000,60544823.50000000,1751529599999999,1333975.87855300,10484,31223169.00000000,688540.43110600,0
