open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1751328000000000,4.09400000,4.11100000,4.04000000,4.04500000,107847.26000000,1751342399999999,438748.37611000,3421,45114.31000000,183723.32271000,0
1751342400000000,4.04500000,4.04500000,3.97500000,4.01400000,135994.68000000,1751356799999999,545001.31074000,3751,54427.27000000,218096.57484000,0
1751356800000000,4.01500000,4.01500000,3.97400000,3.99300000,117011.31000000,1751371199999999,467199.00762000,3082,46367.80000000,185190.85118000,0
1751371200000000,3.99300000,4.03900000,3.98500000,3.99600000,187860.50000000,1751385599999999,753031.24148000,5176,78491.62000000,314725.07419000,0
1751385600000000,3.99500000,4.01500000,3.94500000,3.94600000,115895.31000000,1751399999999999,460135.56393000,3786,38584.26000000,153273.70981000,0
1751400000000000,3.94600000,3.97700000,3.91200000,3.92900000,132087.84000000,1751414399999999,520897.49328000,4574,52272.87000000,206234.39016000,0
1751414400000000,3.92900000,3.97200000,3.90200000,3.95500000,125067.63000000,1751428799999999,492483.98417000,4457,52930.96000000,208502.50156000,0
1751428800000000,3.95500000,4.02000000,3.95300000,4.01200000,133050.55000000,1751443199999999,532372.70564000,4016,74153.38000000,296824.18027000,0
1751443200000000,4.01300000,4.04300000,3.98800000,4.01600000,135998.75000000,1751457599999999,545889.51084000,3577,70107.96000000,281436.91582000,0
1751457600000000,4.01600000,4.08900000,3.99600000,4.08900000,182767.79000000,1751471999999999,740206.26776000,4923,95024.29000000,384792.21913000,0
1751472000000000,4.08900000,4.24100000,4.08900000,4.23700000,621377.55000000,1751486399999999,2608453.46372000,12991,294718.26000000,1236927.20619000,0
1751486400000000,4.23700000,4.25100000,4.16700000,4.17500000,236959.01000000,1751500799999999,1001195.44659000,7355,113636.07000000,480371.95632000,0
1751500800000000,4.17500000,4.19600000,4.15500000,4.17100000,146882.34000000,1751515199999999,613907.28736000,5503,76206.88000000,318574.54780000,0
1751515200000000,4.17000000,4.26500000,4.16800000,4.25100000,289730.65000000,1751529599999999,1225892.27142000,6785,154472.23000000,653715.12053000,0
1751529600000000,4.25200000,4.25900000,4.20400000,4.22200000,211979.11000000,1751543999999999,897996.26151000,4592,103640.19000000,439096.04578000,0
1751544000000000,4.22100000,4.26000000,4.16000000,4.16700000,396268.16000000,1751558399999999,1669330.35569000,9547,197459.51000000,833407.91865000,0
1751558400000000,4.16800000,4.20400000,4.16300000,4.19400000,117378.08000000,1751572799999999,491045.55038000,3178,65197.25000000,272815.73766000,0
1751572800000000,4.19400000,4.21500000,4.17400000,4.18400000,70788.51000000,1751587199999999,297169.48703000,2075,42577.10000000,178650.53423000,0
1751587200000000,4.18400000,4.19900000,4.13000000,4.13900000,118683.39000000,1751601599999999,493827.20231000,3420,61163.65000000,254651.54254000,0
1751601600000000,4.13900000,4.15000000,4.04900000,4.04900000,182562.56000000,1751615999999999,748153.18698000,4573,82147.12000000,336971.74341000,0
1751616000000000,4.04900000,4.09700000,4.02900000,4.07800000,257810.50000000,1751630399999999,1049430.04674000,6687,125728.45000000,511987.74251000,0
1751630400000000,4.07800000,4.08700000,4.00200000,4.01000000,204370.42000000,1751644799999999,826065.02814000,6180,79566.13000000,321477.91959000,0
1751644800000000,4.00900000,4.01900000,3.95300000,3.97100000,223942.41000000,1751659199999999,891708.16397000,7349,99051.35000000,394336.76756000,0
1751659200000000,3.97100000,4.02500000,3.96700000,3.99900000,88455.38000000,1751673599999999,353459.60492000,3197,33487.40000000,133909.48248000,0
1751673600000000,4.00000000,4.02000000,3.97600000,4.00100000,70378.39000000,1751687999999999,281612.32118000,2911,28500.51000000,114010.08335000,0
1751688000000000,4.00000000,4.03400000,3.97600000,4.01600000,93178.81000000,1751702399999999,373259.78625000,3715,48488.06000000,194289.94489000,0
1751702400000000,4.01500000,4.02000000,3.98200000,3.99700000,60734.81000000,1751716799999999,243075.14247000,3124,26675.13000000,106813.47269000,0
1751716800000000,3.99700000,4.00700000,3.97400000,3.97800000,104579.18000000,1751731199999999,417785.82297000,4604,34142.75000000,136422.80049000,0
1751731200000000,3.97900000,3.99800000,3.94500000,3.97900000,166181.16000000,1751745599999999,659995.32934000,4178,73354.62000000,291517.95026000,0
1751745600000000,3.98000000,4.01900000,3.97400000,4.01100000,74713.77000000,1751759999999999,298913.27107000,2356,35068.46000000,140336.42798000,0
1751760000000000,4.01200000,4.01500000,3.98400000,3.99000000,50658.09000000,1751774399999999,202629.90936000,1783,17825.74000000,71311.69005000,0
1751774400000000,3.99000000,4.01100000,3.98500000,3.99500000,53884.14000000,1751788799999999,215367.48749000,1771,20741.50000000,82943.70373000,0
1751788800000000,3.99600000,4.01400000,3.97700000,4.01300000,91402.89000000,1751803199999999,365211.21306000,2464,43407.39000000,173419.32728000,0
1751803200000000,4.01400000,4.08600000,4.00100000,4.06100000,215737.65000000,1751817599999999,873689.43095000,5012,104089.67000000,421689.05634000,0
1751817600000000,4.06100000,4.07600000,4.02800000,4.05900000,119609.82000000,1751831999999999,485418.30468000,3513,42983.90000000,174509.93336000,0
1751832000000000,4.05800000,4.14100000,4.05800000,4.07900000,297011.50000000,1751846399999999,1220274.75601000,5698,126558.40000000,520315.03348000,0
1751846400000000,4.08000000,4.11500000,4.07000000,4.08800000,83041.86000000,1751860799999999,339809.16805000,2771,33988.07000000,139168.58735000,0
1751860800000000,4.08900000,4.09800000,4.04700000,4.09100000,91260.21000000,1751875199999999,371984.91632000,3055,32751.42000000,133545.90764000,0
1751875200000000,4.09100000,4.10100000,4.05900000,4.07400000,116050.07000000,1751889599999999,472981.62450000,3334,48814.20000000,198939.22953000,0
1751889600000000,4.07400000,4.10200000,4.05200000,4.06200000,173494.98000000,1751903999999999,707076.34337000,4734,69234.06000000,282243.06966000,0
1751904000000000,4.06200000,4.07000000,4.01300000,4.06000000,152473.17000000,1751918399999999,616854.84088000,4670,73484.55000000,297395.82095000,0
1751918400000000,4.06000000,4.06300000,4.01500000,4.04700000,79764.26000000,1751932799999999,322095.60368000,2833,37284.52000000,150621.60676000,0
1751932800000000,4.04800000,4.06200000,4.00000000,4.01100000,109796.74000000,1751947199999999,442161.46723000,3465,47609.01000000,191700.19167000,0
1751947200000000,4.01100000,4.04200000,3.99700000,4.03600000,107859.70000000,1751961599999999,433944.55899000,3014,39764.02000000,160022.24326000,0
1751961600000000,4.03700000,4.09500000,4.00500000,4.07900000,116481.31000000,1751975999999999,472795.20808000,3583,46434.30000000,188322.79545000,0
1751976000000000,4.08200000,4.11500000,4.05400000,4.06300000,132265.48000000,1751990399999999,540108.62977000,4799,66730.53000000,272443.34551000,0
1751990400000000,4.06500000,4.16600000,4.04800000,4.15200000,193775.71000000,1752004799999999,800737.32941000,6133,86620.38000000,357974.67614000,0
1752004800000000,4.15100000,4.17700000,4.11800000,4.12500000,139845.52000000,1752019199999999,580428.19827000,4248,61035.86000000,253448.85542000,0
1752019200000000,4.12600000,4.13200000,4.09200000,4.11500000,103407.41000000,1752033599999999,425071.70672000,3628,49542.53000000,203646.89934000,0
1752033600000000,4.11400000,4.16900000,4.10700000,4.16300000,179811.51000000,1752047999999999,745396.58753000,5121,84243.25000000,349291.71870000,0
1752048000000000,4.16400000,4.21800000,4.15500000,4.20600000,250430.59000000,1752062399999999,1048753.16108000,5674,146306.82000000,613078.35059000,0
1752062400000000,4.20700000,4.23900000,4.17300000,4.20200000,254156.68000000,1752076799999999,1069309.47926000,7586,135850.97000000,571581.55091000,0
1752076800000000,4.20300000,4.31800000,4.20300000,4.31200000,533431.68000000,1752091199999999,2270748.18521000,11295,276128.02000000,1176144.60571000,0
1752091200000000,4.31200000,4.36500000,4.29000000,4.31300000,491215.51000000,1752105599999999,2125160.07048000,10914,207493.05000000,898206.13065000,0
1752105600000000,4.31400000,4.34500000,4.29400000,4.33900000,269597.11000000,1752119999999999,1164734.17974000,6577,136938.56000000,591538.84445000,0
1752120000000000,4.33900000,4.36400000,4.31000000,4.34600000,206343.41000000,1752134399999999,895501.46216000,5962,89394.57000000,387959.86838000,0
1752134400000000,4.34600000,4.35500000,4.31600000,4.33100000,187040.04000000,1752148799999999,811203.53619000,5619,83229.16000000,360926.77033000,0
1752148800000000,4.33100000,4.34200000,4.28700000,4.29600000,374645.60000000,1752163199999999,1617986.67436000,7551,116425.26000000,502578.79553000,0
1752163200000000,4.29600000,4.44900000,4.29000000,4.41500000,375230.58000000,1752177599999999,1649150.48043000,10306,193262.51000000,848798.70543000,0
1752177600000000,4.41500000,4.62900000,4.41500000,4.61800000,525812.01000000,1752191999999999,2392974.73933000,14327,291516.42000000,1326929.02953000,0
1752192000000000,4.61800000,4.68300000,4.54900000,4.64800000,502406.06000000,1752206399999999,2327579.31131000,14926,281230.39000000,1302131.79350000,0
1752206400000000,4.64900000,4.72300000,4.59900000,4.61400000,456871.39000000,1752220799999999,2131799.95606000,13626,249133.26000000,1162960.40106000,0
1752220800000000,4.61400000,4.70000000,4.61400000,4.64200000,608577.44000000,1752235199999999,2835093.45876000,15980,353888.31000000,1649376.11702000,0
1752235200000000,4.64200000,4.80500000,4.63400000,4.66800000,1157629.55000000,1752249599999999,5457658.79100000,31103,643350.72000000,3029234.14869000,0
1752249600000000,4.67000000,4.79400000,4.65100000,4.77900000,375824.86000000,1752263999999999,1780505.74597000,14351,198271.65000000,939255.73709000,0
1752264000000000,4.78000000,4.78000000,4.57800000,4.64000000,353754.31000000,1752278399999999,1651218.61533000,14485,178296.99000000,831849.47210000,0
1752278400000000,4.64100000,4.71400000,4.57400000,4.69100000,253383.32000000,1752292799999999,1179413.59926000,8797,116335.24000000,541306.61586000,0
1752292800000000,4.69200000,4.72300000,4.60300000,4.70300000,180627.78000000,1752307199999999,843949.52304000,7858,75116.05000000,350898.23460000,0
1752307200000000,4.70300000,4.73100000,4.65600000,4.70200000,173794.16000000,1752321599999999,816353.51807000,6407,85852.63000000,403173.29549000,0
1752321600000000,4.70200000,4.71700000,4.49400000,4.52300000,366736.37000000,1752335999999999,1682484.69505000,13417,169927.45000000,780023.23908000,0
1752336000000000,4.52500000,4.60600000,4.50300000,4.59400000,224548.96000000,1752350399999999,1025282.14695000,6201,104752.19000000,478144.74445000,0
1752350400000000,4.59500000,4.59700000,4.52700000,4.58000000,123478.69000000,1752364799999999,564109.38228000,4140,54436.33000000,248647.39524000,0
1752364800000000,4.58100000,4.61200000,4.56500000,4.59800000,142765.61000000,1752379199999999,655797.97205000,5500,56540.26000000,259667.75209000,0
1752379200000000,4.59900000,4.68500000,4.57900000,4.67900000,162803.66000000,1752393599999999,755667.15690000,5959,78650.13000000,365047.11253000,0
1752393600000000,4.67900000,4.68000000,4.60600000,4.65600000,179190.88000000,1752407999999999,832298.27196000,6857,75122.07000000,348892.05052000,0
1752408000000000,4.65300000,4.73900000,4.63900000,4.70600000,279292.23000000,1752422399999999,1311136.56568000,11296,131865.91000000,619136.21054000,0
1752422400000000,4.70600000,4.75800000,4.65400000,4.73000000,230120.59000000,1752436799999999,1084719.23904000,8121,115259.38000000,543361.53692000,0
1752436800000000,4.73000000,4.74600000,4.63900000,4.67900000,182976.51000000,1752451199999999,857447.62927000,7112,85231.73000000,399298.31965000,0
1752451200000000,4.68000000,4.84500000,4.66900000,4.80900000,315536.94000000,1752465599999999,1501840.81481000,12451,151991.52000000,724570.09135000,0
1752465600000000,4.80800000,4.85400000,4.72900000,4.79400000,456476.38000000,1752479999999999,2190063.54207000,13703,210147.50000000,1008162.04288000,0
1752480000000000,4.79400000,4.79500000,4.69800000,4.71600000,258573.80000000,1752494399999999,1228761.26267000,9441,116088.72000000,551668.43200000,0
1752494400000000,4.71500000,4.73200000,4.57800000,4.61200000,514961.44000000,1752508799999999,2403845.20623000,16977,229790.21000000,1073574.70392000,0
1752508800000000,4.61200000,4.63600000,4.52000000,4.53300000,415685.47000000,1752523199999999,1904207.86069000,11017,188791.45000000,864515.78042000,0
1752523200000000,4.53300000,4.57500000,4.48800000,4.55500000,282917.94000000,1752537599999999,1285539.97167000,7631,142333.75000000,647125.39824000,0
1752537600000000,4.55500000,4.58200000,4.43200000,4.47200000,446628.85000000,1752551999999999,2005357.82187000,12987,190583.14000000,856075.68006000,0
1752552000000000,4.47300000,4.51300000,4.44100000,4.46700000,230247.37000000,1752566399999999,1032053.35021000,6767,88163.98000000,395418.41649000,0
1752566400000000,4.46800000,4.51500000,4.43700000,4.50800000,277946.74000000,1752580799999999,1246836.37282000,7573,129244.83000000,579850.06897000,0
1752580800000000,4.50900000,4.58600000,4.46100000,4.56000000,440533.37000000,1752595199999999,1995463.93210000,15000,204486.64000000,926046.81992000,0
1752595200000000,4.55900000,4.70100000,4.55300000,4.55500000,470516.00000000,1752609599999999,2173973.56420000,18598,206742.08000000,955295.86598000,0
1752609600000000,4.55700000,4.72100000,4.54200000,4.66800000,335240.88000000,1752623999999999,1561263.31988000,9861,153287.75000000,713716.83561000,0
1752624000000000,4.66800000,4.71100000,4.60900000,4.63500000,274159.16000000,1752638399999999,1279766.10996000,9086,125500.59000000,586168.60908000,0
1752638400000000,4.63500000,4.71500000,4.60400000,4.68900000,140080.20000000,1752652799999999,653977.30871000,6754,58545.72000000,273249.35144000,0
1752652800000000,4.68900000,4.70100000,4.63600000,4.65000000,221399.15000000,1752667199999999,1034063.52172000,8135,89817.60000000,419488.49078000,0
1752667200000000,4.65100000,4.71600000,4.62100000,4.68200000,531547.93000000,1752681599999999,2477867.65858000,15591,199289.31000000,929310.19511000,0
1752681600000000,4.68200000,4.79600000,4.66200000,4.76400000,449452.44000000,1752695999999999,2135315.48509000,12959,202299.89000000,961391.23345000,0
1752696000000000,4.76600000,4.88000000,4.72300000,4.74400000,411152.58000000,1752710399999999,1978519.12962000,10979,187648.01000000,902788.76151000,0
1752710400000000,4.74500000,4.80500000,4.63600000,4.66900000,289455.59000000,1752724799999999,1363736.78556000,9966,137153.35000000,646295.13233000,0
1752724800000000,4.66800000,4.78900000,4.66000000,4.75600000,233919.75000000,1752739199999999,1108021.26539000,8461,128464.39000000,608411.37276000,0
1752739200000000,4.75700000,4.83400000,4.74800000,4.77800000,330636.97000000,1752753599999999,1583901.57017000,11409,137665.80000000,659607.75397000,0
1752753600000000,4.77900000,4.84600000,4.70600000,4.81900000,525532.66000000,1752767999999999,2516244.87440000,16026,279954.47000000,1341077.28620000,0
1752768000000000,4.81800000,4.84600000,4.71600000,4.75000000,450921.80000000,1752782399999999,2158695.73454000,13085,227205.54000000,1088296.51804000,0
1752782400000000,4.75000000,4.90100000,4.68900000,4.85500000,618884.50000000,1752796799999999,2974196.49014000,17551,309043.94000000,1484963.73619000,0
1752796800000000,4.85600000,5.01900000,4.82600000,5.01500000,746857.39000000,1752811199999999,3705004.17016000,18047,368509.98000000,1827517.73273000,0
1752811200000000,5.01400000,5.15600000,4.98300000,5.03800000,709535.10000000,1752825599999999,3614149.13675000,18834,317795.87000000,1618692.77034000,0
1752825600000000,5.03700000,5.11700000,4.99700000,5.04200000,796888.39000000,1752839999999999,4036499.74109000,23218,471660.51000000,2390124.64425000,0
1752840000000000,5.04300000,5.13100000,4.90200000,4.94800000,705325.94000000,1752854399999999,3541971.05927000,22720,350239.00000000,1759220.11304000,0
1752854400000000,4.94800000,5.01600000,4.87200000,4.91000000,281351.18000000,1752868799999999,1392403.49225000,12990,141533.58000000,700446.08760000,0
1752868800000000,4.91100000,4.91700000,4.78200000,4.85500000,426032.61000000,1752883199999999,2065364.21413000,14222,208829.65000000,1012781.60708000,0
1752883200000000,4.85500000,4.94600000,4.75300000,4.94600000,387534.13000000,1752897599999999,1877941.14609000,10866,186150.35000000,902359.08013000,0
1752897600000000,4.94700000,4.99800000,4.88300000,4.88900000,205001.26000000,1752911999999999,1011404.15933000,8400,104460.43000000,515301.44833000,0
1752912000000000,4.88900000,4.90700000,4.83400000,4.83700000,230901.32000000,1752926399999999,1125395.54478000,7555,114427.82000000,557966.80142000,0
1752926400000000,4.83800000,4.85300000,4.75800000,4.80900000,327446.54000000,1752940799999999,1573731.58049000,9925,161445.02000000,775781.45852000,0
1752940800000000,4.80700000,5.04800000,4.79800000,5.01100000,413420.72000000,1752955199999999,2036557.28427000,10982,221866.24000000,1093630.15746000,0
1752955200000000,5.00900000,5.02700000,4.90700000,5.01600000,242372.04000000,1752969599999999,1206456.57876000,7926,126336.61000000,629053.08752000,0
1752969600000000,5.01700000,5.06100000,4.98300000,5.02100000,313198.93000000,1752983999999999,1571081.18324000,9279,162721.89000000,816341.77896000,0
1752984000000000,5.02400000,5.15400000,5.01000000,5.10500000,419238.09000000,1752998399999999,2139037.55704000,11639,220422.71000000,1124030.37734000,0
1752998400000000,5.10600000,5.21600000,5.10000000,5.20100000,450936.21000000,1753012799999999,2332697.63078000,12259,221190.40000000,1144267.14605000,0
1753012800000000,5.20200000,5.26000000,5.15200000,5.25200000,335669.18000000,1753027199999999,1743646.54464000,10481,169206.74000000,879143.52622000,0
1753027200000000,5.25100000,5.28100000,5.19200000,5.23400000,433993.32000000,1753041599999999,2275156.22858000,14518,223259.19000000,1170633.16444000,0
1753041600000000,5.23400000,5.23600000,5.06800000,5.17400000,422847.66000000,1753055999999999,2183928.61576000,14220,193476.44000000,999119.39397000,0
1753056000000000,5.17400000,5.21600000,5.06300000,5.21100000,353697.46000000,1753070399999999,1819255.14095000,12083,176405.38000000,907430.58035000,0
1753070400000000,5.21100000,5.27600000,5.16600000,5.24100000,361836.52000000,1753084799999999,1892494.82155000,8298,190094.34000000,994523.27007000,0
1753084800000000,5.24000000,5.29800000,5.19200000,5.25700000,431491.85000000,1753099199999999,2263701.44097000,10172,203111.38000000,1065978.93297000,0
1753099200000000,5.25700000,5.31700000,5.20800000,5.24000000,675483.42000000,1753113599999999,3553861.47192000,16662,297414.60000000,1565471.34836000,0
1753113600000000,5.24000000,5.27200000,5.12100000,5.13900000,489468.61000000,1753127999999999,2538164.48151000,16967,239828.85000000,1244292.71577000,0
1753128000000000,5.13900000,5.22000000,5.11700000,5.18600000,214553.98000000,1753142399999999,1108967.24502000,7844,103823.08000000,536347.62082000,0
1753142400000000,5.18600000,5.20900000,5.02400000,5.09000000,472067.77000000,1753156799999999,2418174.19898000,17163,235547.49000000,1205748.64915000,0
1753156800000000,5.09000000,5.10500000,4.96000000,5.03500000,424174.29000000,1753171199999999,2136444.51661000,16028,203713.61000000,1025940.75254000,0
1753171200000000,5.03500000,5.06600000,4.92200000,5.05000000,392146.45000000,1753185599999999,1958368.69494000,13184,196860.82000000,982913.72042000,0
1753185600000000,5.05000000,5.12300000,4.94100000,5.05900000,380685.72000000,1753199999999999,1914771.12852000,14634,183140.21000000,921471.01654000,0
1753200000000000,5.05900000,5.12000000,4.96900000,4.98700000,363140.78000000,1753214399999999,1836274.97451000,12922,168868.42000000,853432.24189000,0
1753214400000000,4.98300000,5.11500000,4.97500000,5.11000000,315319.26000000,1753228799999999,1591798.79683000,9171,179050.30000000,903874.03154000,0
1753228800000000,5.11100000,5.13800000,5.00200000,5.05600000,285126.04000000,1753243199999999,1443596.22361000,9587,143296.84000000,725553.91314000,0
1753243200000000,5.05500000,5.13500000,5.01700000,5.03700000,292925.35000000,1753257599999999,1486842.48029000,8026,140717.22000000,714342.22082000,0
1753257600000000,5.03500000,5.07400000,4.92400000,5.00400000,373711.93000000,1753271999999999,1862481.54837000,12168,181731.29000000,905358.72487000,0
1753272000000000,5.00300000,5.01300000,4.74300000,4.81600000,1222378.53000000,1753286399999999,5915263.28882000,35426,598689.97000000,2898040.43225000,0
1753286400000000,4.81600000,4.81700000,4.64800000,4.70800000,568180.76000000,1753300799999999,2681764.01157000,22280,279446.54000000,1318665.47757000,0
1753300800000000,4.70700000,4.73300000,4.55800000,4.70200000,702534.36000000,1753315199999999,3264784.22631000,24915,338572.29000000,1573422.86366000,0
1753315200000000,4.70400000,4.76300000,4.67300000,4.70700000,191702.77000000,1753329599999999,905711.14866000,7542,91795.25000000,433782.88608000,0
1753329600000000,4.70800000,4.72300000,4.46000000,4.58000000,641186.11000000,1753343999999999,2928275.24868000,23515,295128.79000000,1347403.16146000,0
1753344000000000,4.58000000,4.68300000,4.55200000,4.67500000,392433.84000000,1753358399999999,1811638.75341000,12228,204300.22000000,943260.13693000,0
1753358400000000,4.67400000,4.80500000,4.60000000,4.74500000,549740.48000000,1753372799999999,2586416.95914000,22265,299435.35000000,1408488.41121000,0
1753372800000000,4.74700000,4.75300000,4.63500000,4.68900000,308752.79000000,1753387199999999,1453599.50882000,13216,153457.98000000,722396.69955000,0
1753387200000000,4.68900000,4.73400000,4.60900000,4.62500000,246355.82000000,1753401599999999,1148904.92941000,7466,121837.32000000,568220.36993000,0
