open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,2.10200000,2.10500000,2.07600000,2.07900000,68468.04000000,1759291199999999,143282.10798000,1714,34648.71000000,72583.54483000,0
1759291200000000,2.07800000,2.11800000,2.07700000,2.10200000,116900.95000000,1759305599999999,245601.28151000,2452,55729.72000000,117079.51254000,0
1759305600000000,2.10300000,2.21400000,2.10200000,2.18600000,317158.68000000,1759319999999999,691845.56713000,7769,133983.64000000,291544.45290000,0
1759320000000000,2.18600000,2.20500000,2.16900000,2.19700000,85862.88000000,1759334399999999,187917.61632000,2673,35363.62000000,77481.12218000,0
1759334400000000,2.19800000,2.24400000,2.18500000,2.22600000,438852.22000000,1759348799999999,977139.76986000,6940,282022.33000000,628753.99134000,0
1759348800000000,2.22800000,2.23200000,2.21100000,2.22900000,115366.47000000,1759363199999999,256230.35658000,2703,59252.91000000,131585.26416000,0
1759363200000000,2.22900000,2.26200000,2.22200000,2.25200000,96199.82000000,1759377599999999,215969.42168000,2114,44894.89000000,100799.51338000,0
1759377600000000,2.25100000,2.27600000,2.24600000,2.25100000,215086.63000000,1759391999999999,485990.18273000,3128,87135.60000000,196927.09184000,0
1759392000000000,2.25100000,2.26700000,2.24100000,2.25500000,115615.43000000,1759406399999999,260565.17174000,2132,52896.15000000,119235.90840000,0
1759406400000000,2.25400000,2.26400000,2.20600000,2.25200000,164126.96000000,1759420799999999,366699.28751000,3200,70442.25000000,157285.58660000,0
1759420800000000,2.25200000,2.30400000,2.25000000,2.29500000,157673.74000000,1759435199999999,359432.06106000,2655,80167.51000000,182972.91448000,0
1759435200000000,2.29500000,2.30100000,2.27200000,2.28500000,114032.91000000,1759449599999999,260226.42942000,1640,51494.97000000,117604.64884000,0
1759449600000000,2.28500000,2.28700000,2.24300000,2.25600000,121116.42000000,1759463999999999,273515.72467000,2323,54227.22000000,122596.59014000,0
1759464000000000,2.25700000,2.28100000,2.24600000,2.26000000,111313.01000000,1759478399999999,252073.07127000,1970,50686.34000000,114892.68769000,0
1759478400000000,2.26000000,2.27000000,2.24500000,2.25200000,77437.75000000,1759492799999999,174840.19214000,1800,40794.77000000,92153.62016000,0
1759492800000000,2.25200000,2.30700000,2.23800000,2.30500000,270120.46000000,1759507199999999,612837.31144000,6331,133555.42000000,303191.06363000,0
1759507200000000,2.30600000,2.33900000,2.25700000,2.29600000,253413.30000000,1759521599999999,582395.27326000,5603,137402.61000000,316094.66203000,0
1759521600000000,2.29700000,2.30600000,2.28300000,2.28400000,70317.85000000,1759535999999999,161480.89809000,1621,33897.81000000,77877.31777000,0
1759536000000000,2.28400000,2.29000000,2.24300000,2.25600000,80643.81000000,1759550399999999,182917.20168000,2001,35824.71000000,81322.83415000,0
1759550400000000,2.25500000,2.26900000,2.24600000,2.25400000,68950.41000000,1759564799999999,155709.90717000,1204,30508.08000000,68898.24953000,0
1759564800000000,2.25400000,2.25700000,2.20400000,2.21600000,112419.76000000,1759579199999999,250654.72707000,2338,42724.88000000,95106.01208000,0
1759579200000000,2.21600000,2.23900000,2.18200000,2.18600000,97483.37000000,1759593599999999,215423.46080000,2203,55581.96000000,122866.63889000,0
1759593600000000,2.18700000,2.20800000,2.18300000,2.20000000,42147.78000000,1759607999999999,92575.25783000,1207,22259.32000000,48911.51456000,0
1759608000000000,2.20000000,2.21100000,2.19900000,2.20500000,27731.36000000,1759622399999999,61158.08820000,909,12208.96000000,26928.63129000,0
1759622400000000,2.20500000,2.25200000,2.18900000,2.23800000,77579.16000000,1759636799999999,172371.57953000,2394,40067.76000000,88936.76858000,0
1759636800000000,2.23800000,2.28900000,2.23500000,2.28800000,135488.75000000,1759651199999999,305979.63294000,2573,74206.45000000,167456.32838000,0
