open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1730419200000,358.80000000,359.40000000,347.00000000,351.20000000,11319.72300000,1730433599999,3993373.14260000,15542,5317.10900000,1877006.70340000,0
1730433600000,351.20000000,352.00000000,344.00000000,345.90000000,5903.60600000,1730447999999,2056208.78480000,10768,3034.21200000,1057461.07650000,0
1730448000000,345.80000000,352.00000000,345.10000000,351.10000000,7610.91900000,1730462399999,2659115.10170000,10192,4838.83800000,1690579.77960000,0
1730462400000,351.00000000,360.20000000,343.50000000,346.20000000,14081.97400000,1730476799999,4989800.43560000,19886,6937.95200000,2461592.68620000,0
1730476800000,346.20000000,352.70000000,345.80000000,348.40000000,7570.82000000,1730491199999,2647856.38810000,13625,3928.29800000,1374308.06540000,0
1730491200000,348.60000000,350.40000000,344.60000000,349.60000000,3182.83200000,1730505599999,1106413.01180000,5757,1617.14000000,562310.88150000,0
1730505600000,349.50000000,352.90000000,349.30000000,352.00000000,4683.07200000,1730519999999,1645635.44650000,7610,2945.07000000,1035005.68890000,0
1730520000000,351.90000000,352.10000000,347.50000000,349.50000000,4543.93100000,1730534399999,1589379.11970000,6388,2027.78200000,709430.45130000,0
1730534400000,349.40000000,349.90000000,346.80000000,348.10000000,2727.72700000,1730548799999,949531.94250000,4559,1380.52100000,480735.91560000,0
1730548800000,348.10000000,348.90000000,341.30000000,344.40000000,9332.98400000,1730563199999,3219121.26280000,11340,4155.05500000,1432868.96250000,0
1730563200000,344.40000000,347.90000000,343.50000000,347.70000000,3330.63100000,1730577599999,1151963.72470000,5842,1988.19100000,687926.45300000,0
1730577600000,347.70000000,357.60000000,347.60000000,353.70000000,17246.06600000,1730591999999,6095280.42260000,18516,7476.25700000,2640241.22410000,0
1730592000000,353.70000000,354.30000000,342.70000000,348.60000000,8928.03000000,1730606399999,3116227.69320000,14377,3588.85400000,1252296.17680000,0
1730606400000,348.60000000,353.60000000,341.00000000,344.60000000,16166.37300000,1730620799999,5588111.93290000,17267,7540.15200000,2606366.46790000,0
1730620800000,344.50000000,345.50000000,340.70000000,340.90000000,9779.22100000,1730635199999,3352264.43910000,10122,4352.47500000,1492481.99380000,0
1730635200000,341.00000000,342.20000000,334.00000000,338.50000000,13211.64000000,1730649599999,4452819.54990000,16797,6168.48000000,2079625.43560000,0
1730649600000,338.50000000,341.30000000,333.80000000,340.50000000,5572.03500000,1730663999999,1882550.08600000,9147,2567.35000000,867386.18240000,0
1730664000000,340.40000000,344.00000000,339.60000000,340.10000000,4893.69800000,1730678399999,1671636.87400000,9334,2896.17200000,989745.73400000,0
1730678400000,340.00000000,342.70000000,333.60000000,338.40000000,9010.45600000,1730692799999,3050178.06020000,11551,4325.19600000,1464146.28550000,0
1730692800000,338.40000000,340.50000000,333.60000000,333.70000000,9384.32700000,1730707199999,3160120.82380000,10173,3551.15400000,1196343.90060000,0
1730707200000,333.70000000,339.30000000,332.40000000,338.50000000,8410.81700000,1730721599999,2818515.18350000,9967,3874.31600000,1298933.81890000,0
1730721600000,338.50000000,341.30000000,335.60000000,337.00000000,5418.00300000,1730735999999,1832799.73580000,8086,2698.79800000,912644.61300000,0
1730736000000,337.10000000,338.30000000,332.50000000,332.90000000,8074.60900000,1730750399999,2701187.43920000,10486,3455.87900000,1156967.99300000,0
1730750400000,332.80000000,337.40000000,322.00000000,329.20000000,24379.11900000,1730764799999,8014006.15590000,26416,10716.78800000,3524779.22560000,0
1730764800000,329.20000000,332.40000000,326.50000000,332.40000000,6302.69300000,1730779199999,2079074.49540000,11492,3150.71900000,1039557.77930000,0
1730779200000,332.40000000,340.70000000,331.70000000,338.60000000,9091.96300000,1730793599999,3057341.19670000,12633,4860.40400000,1634633.03980000,0
1730793600000,338.60000000,340.50000000,337.10000000,338.90000000,5652.50900000,1730807999999,1916906.55460000,8881,2813.43100000,954210.84680000,0
1730808000000,338.90000000,345.20000000,337.90000000,341.50000000,11372.43000000,1730822399999,3883640.96950000,16740,5549.45100000,1895059.99610000,0
1730822400000,341.60000000,345.40000000,335.50000000,336.70000000,8740.40500000,1730836799999,2988334.92740000,12343,3783.03600000,1294064.46550000,0
1730836800000,336.80000000,345.30000000,335.80000000,342.90000000,7437.01500000,1730851199999,2543897.35020000,9474,3652.59100000,1249952.85900000,0
1730851200000,343.00000000,370.80000000,342.60000000,364.30000000,41009.45500000,1730865599999,14726753.31580000,44004,21613.64500000,7760567.98010000,0
1730865600000,364.40000000,384.40000000,362.60000000,371.70000000,50890.82900000,1730879999999,19119558.84740000,60266,24752.88600000,9296679.15550000,0
1730880000000,371.60000000,375.00000000,364.30000000,373.10000000,21717.43400000,1730894399999,8042376.94580000,26548,12726.61500000,4716595.74850000,0
1730894400000,373.20000000,375.00000000,360.90000000,368.50000000,23428.99800000,1730908799999,8611294.79310000,29718,12404.82600000,4559726.27190000,0
1730908800000,368.40000000,373.50000000,366.90000000,372.60000000,7209.51600000,1730923199999,2673864.23560000,11589,3644.47500000,1352192.33550000,0
1730923200000,372.70000000,382.30000000,371.50000000,378.40000000,13190.46700000,1730937599999,4974266.35340000,18597,7181.82200000,2709527.23870000,0
1730937600000,378.40000000,386.90000000,376.90000000,379.30000000,19135.44200000,1730951999999,7311218.83020000,27543,9643.70900000,3684006.33320000,0
1730952000000,379.30000000,379.90000000,370.50000000,374.00000000,10136.60800000,1730966399999,3806308.99720000,15353,5010.49900000,1881537.49950000,0
1730966400000,374.00000000,378.60000000,373.70000000,375.30000000,6419.99800000,1730980799999,2417716.77290000,9443,2859.79200000,1077403.15170000,0
1730980800000,375.30000000,382.60000000,373.20000000,382.40000000,9943.89100000,1730995199999,3754746.97060000,12685,5779.27000000,2183426.73190000,0
1730995200000,382.50000000,385.90000000,379.80000000,382.40000000,11595.69600000,1731009599999,4436807.33300000,17510,5626.25500000,2153974.43440000,0
1731009600000,382.40000000,386.70000000,374.50000000,377.50000000,11954.05700000,1731023999999,4555119.87910000,22147,6191.89300000,2361262.12060000,0
1731024000000,377.50000000,383.80000000,374.70000000,376.70000000,9811.92800000,1731038399999,3719108.90690000,22555,5266.30900000,1997363.25090000,0
1731038400000,376.80000000,382.80000000,368.20000000,371.90000000,20457.80800000,1731052799999,7657200.81640000,33194,11382.08500000,4259373.75170000,0
1731052800000,371.90000000,375.70000000,370.10000000,372.20000000,12850.00400000,1731067199999,4785529.30830000,31020,7551.64300000,2813079.18230000,0
1731067200000,372.20000000,376.80000000,369.90000000,372.80000000,15811.49700000,1731081599999,5905070.03780000,28477,7901.98000000,2952427.74550000,0
1731081600000,372.70000000,376.20000000,364.30000000,375.00000000,13718.51800000,1731095999999,5068932.97750000,29747,6974.23800000,2578104.25910000,0
1731096000000,374.90000000,380.40000000,371.90000000,377.00000000,6834.72100000,1731110399999,2572101.25600000,17331,3483.56100000,1311350.16430000,0
1731110400000,377.00000000,377.90000000,369.50000000,370.80000000,9972.38300000,1731124799999,3724414.08970000,20410,4731.69000000,1767013.19570000,0
1731124800000,370.70000000,377.80000000,370.50000000,374.10000000,9711.18200000,1731139199999,3630403.06940000,21158,4973.32700000,1859273.80420000,0
1731139200000,374.10000000,379.20000000,373.20000000,376.40000000,9421.86100000,1731153599999,3546748.49970000,18249,4693.69300000,1767065.18550000,0
1731153600000,376.30000000,390.00000000,373.70000000,382.70000000,35727.82700000,1731167999999,13594923.60640000,49902,20360.45400000,7751898.05130000,0
1731168000000,382.80000000,384.10000000,374.00000000,379.30000000,10311.57500000,1731182399999,3920440.63820000,30639,5108.74500000,1943173.52350000,0
1731182400000,379.20000000,407.30000000,378.60000000,405.00000000,32407.85600000,1731196799999,12846832.46950000,71864,17606.24500000,6974604.45760000,0
1731196800000,404.90000000,437.10000000,394.80000000,429.60000000,64385.64600000,1731211199999,26921363.58550000,143860,31707.19400000,13239681.08890000,0
1731211200000,429.70000000,437.30000000,424.10000000,427.40000000,46024.42700000,1731225599999,19769313.20030000,107158,21944.76600000,9433579.78890000,0
1731225600000,427.40000000,435.30000000,423.50000000,433.80000000,28771.25700000,1731239999999,12340685.37200000,73547,14643.02800000,6286813.72610000,0
1731240000000,433.80000000,453.20000000,427.50000000,439.00000000,67768.44900000,1731254399999,29899907.97270000,164954,35342.25000000,15598836.55770000,0
1731254400000,439.10000000,454.40000000,437.30000000,443.20000000,29484.10100000,1731268799999,13189723.08230000,90079,14386.85700000,6436845.42080000,0
