open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717200000000,0.97120000,0.97790000,0.95270000,0.96740000,705114.60000000,1717214399999,680729.44794000,7903,331931.70000000,320439.44734000,0
1717214400000,0.96720000,0.97590000,0.93500000,0.94570000,964381.50000000,1717228799999,917436.44717000,10880,397047.00000000,378054.93430000,0
1717228800000,0.94550000,0.95070000,0.92440000,0.93200000,651952.70000000,1717243199999,612211.43651000,6041,253843.80000000,238671.28544000,0
1717243200000,0.93200000,0.93670000,0.92180000,0.93140000,444813.90000000,1717257599999,413218.59131000,5579,237252.30000000,220394.62142000,0
1717257600000,0.93080000,0.93440000,0.92610000,0.93030000,233550.10000000,1717271999999,217350.02168000,2855,115861.60000000,107846.05533000,0
1717272000000,0.93030000,0.95580000,0.92940000,0.94400000,278965.40000000,1717286399999,262975.92192000,3570,133153.80000000,125252.29976000,0
1717286400000,0.94410000,0.97800000,0.93800000,0.97230000,462176.00000000,1717300799999,443482.71084000,6871,247885.10000000,237637.30081000,0
1717300800000,0.97230000,0.98920000,0.95860000,0.96230000,877992.30000000,1717315199999,856368.01448000,11643,362624.70000000,353804.02781000,0
1717315200000,0.96160000,0.97410000,0.95570000,0.96810000,755832.60000000,1717329599999,728174.44742000,12098,411696.50000000,396601.71678000,0
1717329600000,0.96840000,0.97490000,0.94560000,0.94640000,466267.40000000,1717343999999,445628.85637000,4830,186828.20000000,179008.35523000,0
1717344000000,0.94680000,0.94800000,0.91290000,0.91970000,611348.60000000,1717358399999,567284.62806000,7984,298886.70000000,277514.97225000,0
1717358400000,0.91970000,0.92360000,0.91200000,0.92200000,240401.60000000,1717372799999,220618.34459000,3369,122812.50000000,112799.09126000,0
1717372800000,0.92060000,0.96340000,0.91170000,0.95450000,367382.60000000,1717387199999,345837.99155000,5451,190531.30000000,179531.29005000,0
1717387200000,0.95400000,0.95990000,0.93440000,0.93830000,524139.60000000,1717401599999,495392.97591000,7256,241409.70000000,228317.02772000,0
1717401600000,0.93810000,0.94410000,0.93080000,0.94220000,295729.80000000,1717415999999,276834.84642000,4083,159463.10000000,149357.01044000,0
1717416000000,0.94330000,0.97380000,0.92730000,0.96380000,782524.70000000,1717430399999,745611.14077000,8682,430149.70000000,410649.63591000,0
1717430400000,0.96510000,0.98740000,0.95020000,0.96330000,1096402.50000000,1717444799999,1062174.45389000,13426,523307.30000000,507855.62823000,0
1717444800000,0.96330000,0.96800000,0.94560000,0.94920000,171123.90000000,1717459199999,163767.23535000,2552,67025.20000000,64216.36181000,0
1717459200000,0.94730000,0.95560000,0.93890000,0.94630000,215488.00000000,1717473599999,203846.08877000,3136,99723.80000000,94382.60303000,0
1717473600000,0.94520000,0.98810000,0.94510000,0.97150000,1595167.00000000,1717487999999,1553705.20965000,17693,832773.20000000,810761.01352000,0
1717488000000,0.97120000,1.02430000,0.96640000,1.00120000,4969877.00000000,1717502399999,4974076.50510000,56036,2491603.00000000,2495294.47721000,0
1717502400000,1.00130000,1.05000000,0.99280000,1.01960000,4132441.90000000,1717516799999,4201033.88495000,39437,1971737.50000000,2007160.62868000,0
1717516800000,1.01960000,1.05210000,1.01450000,1.03380000,2083030.70000000,1717531199999,2152786.90659000,21786,995993.50000000,1029978.16771000,0
1717531200000,1.03400000,1.04730000,1.02690000,1.04470000,1114447.20000000,1717545599999,1158391.91860000,11597,558125.80000000,580302.48061000,0
1717545600000,1.04440000,1.07250000,1.02210000,1.05770000,1696733.20000000,1717559999999,1780057.91502000,17690,790950.20000000,830641.85464000,0
1717560000000,1.05710000,1.06480000,1.02620000,1.03050000,1437927.90000000,1717574399999,1502292.14954000,17341,660070.50000000,689667.37687000,0
1717574400000,1.03040000,1.03420000,1.01210000,1.01630000,787869.60000000,1717588799999,805653.62548000,9178,296360.30000000,303148.62791000,0
1717588800000,1.01710000,1.02110000,0.99970000,1.01290000,903200.30000000,1717603199999,909990.10434000,8422,486951.70000000,490658.75024000,0
