open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1719792000000,0.20530000,0.20760000,0.20300000,0.20460000,5390752.80000000,1719806399999,1107200.74801000,3713,2583265.80000000,530631.48249000,0
1719806400000,0.20460000,0.20550000,0.20030000,0.20280000,5311002.70000000,1719820799999,1076384.04285000,3835,2671993.40000000,541816.59308000,0
1719820800000,0.20270000,0.20280000,0.19850000,0.19960000,4112910.30000000,1719835199999,825447.05113000,3557,2023253.10000000,405924.02064000,0
1719835200000,0.19960000,0.20070000,0.19660000,0.19900000,4376977.30000000,1719849599999,869517.21865000,3702,1969168.90000000,391277.60834000,0
1719849600000,0.19900000,0.20470000,0.19840000,0.20260000,3958233.60000000,1719863999999,799811.22415000,3551,1704939.50000000,344721.91671000,0
1719864000000,0.20260000,0.20310000,0.19630000,0.19750000,3598915.50000000,1719878399999,716201.88669000,3258,1679370.40000000,334127.05663000,0
1719878400000,0.19750000,0.19870000,0.19300000,0.19770000,6977407.00000000,1719892799999,1362584.10690000,5471,3231618.20000000,631244.80579000,0
1719892800000,0.19790000,0.20040000,0.19580000,0.19660000,6077905.60000000,1719907199999,1205542.76594000,4525,2547285.90000000,505672.81491000,0
1719907200000,0.19660000,0.20300000,0.19470000,0.20260000,6487806.50000000,1719921599999,1293249.37573000,4799,3526652.80000000,703899.57839000,0
1719921600000,0.20270000,0.20340000,0.20000000,0.20230000,8256997.90000000,1719935999999,1666468.82641000,6186,3964077.40000000,800092.58362000,0
1719936000000,0.20210000,0.20300000,0.19580000,0.20190000,5629092.90000000,1719950399999,1121900.82131000,5221,2796470.70000000,557979.08510000,0
1719950400000,0.20190000,0.20200000,0.19940000,0.20040000,2213682.80000000,1719964799999,443915.02301000,2078,996656.60000000,199881.04833000,0
1719964800000,0.20040000,0.20250000,0.19190000,0.19450000,9921770.50000000,1719979199999,1946352.55722000,7229,4841098.10000000,949730.09670000,0
1719979200000,0.19440000,0.19690000,0.19150000,0.19580000,4766314.70000000,1719993599999,924575.56547000,3552,2333711.50000000,452660.78639000,0
1719993600000,0.19590000,0.19860000,0.19120000,0.19420000,7321204.00000000,1720007999999,1429558.04698000,6081,3380977.80000000,660019.17688000,0
1720008000000,0.19400000,0.19400000,0.18850000,0.19150000,9549638.70000000,1720022399999,1821036.20603000,6606,4995822.70000000,952796.23734000,0
1720022400000,0.19140000,0.19320000,0.18340000,0.18490000,12168416.80000000,1720036799999,2291944.82022000,9275,5810305.70000000,1094478.40040000,0
1720036800000,0.18490000,0.18570000,0.18280000,0.18430000,4298814.40000000,1720051199999,792293.60726000,3684,2077369.30000000,382839.24358000,0
1720051200000,0.18440000,0.18670000,0.17500000,0.18000000,14388492.20000000,1720065599999,2569132.52719000,14112,6547576.90000000,1170588.40751000,0
1720065600000,0.18000000,0.18380000,0.17770000,0.17970000,4917594.30000000,1720079999999,888567.94696000,4709,2422117.20000000,437828.57270000,0
1720080000000,0.17970000,0.18090000,0.17490000,0.17570000,7495392.90000000,1720094399999,1327970.79957000,6690,3292177.10000000,583484.25746000,0
1720094400000,0.17580000,0.17640000,0.16860000,0.17220000,9610940.20000000,1720108799999,1647421.64075000,9561,4938667.80000000,846301.06087000,0
1720108800000,0.17220000,0.17250000,0.16800000,0.16860000,5662176.50000000,1720123199999,963070.53983000,5294,3251167.80000000,552920.03006000,0
1720123200000,0.16870000,0.17180000,0.16010000,0.16180000,8333668.80000000,1720137599999,1383816.17008000,7947,4165660.40000000,692566.59494000,0
1720137600000,0.16190000,0.16230000,0.13900000,0.14360000,53297667.20000000,1720151999999,7960284.96794000,43661,26215203.60000000,3915874.59932000,0
1720152000000,0.14360000,0.15090000,0.14030000,0.14770000,21368638.30000000,1720166399999,3126981.94678000,18979,11040544.60000000,1616560.87170000,0
1720166400000,0.14770000,0.15160000,0.14280000,0.15020000,15275173.50000000,1720180799999,2250894.23711000,10879,8201554.80000000,1208534.16013000,0
1720180800000,0.15020000,0.15280000,0.14660000,0.15190000,19579698.20000000,1720195199999,2936644.85314000,13671,11541080.60000000,1730788.39517000,0
1720195200000,0.15190000,0.15530000,0.15080000,0.15320000,13555304.70000000,1720209599999,2075379.03667000,8219,7254256.40000000,1110509.39845000,0
1720209600000,0.15310000,0.15340000,0.15000000,0.15060000,7885803.70000000,1720223999999,1197256.52565000,6054,4445922.30000000,674773.97391000,0
1720224000000,0.15060000,0.15580000,0.14900000,0.15080000,9418185.60000000,1720238399999,1426997.84281000,7798,5320965.80000000,806189.98201000,0
1720238400000,0.15070000,0.15440000,0.14860000,0.15330000,5984807.80000000,1720252799999,906937.43979000,4841,3485644.70000000,527640.66736000,0
1720252800000,0.15330000,0.15430000,0.15050000,0.15380000,6646236.30000000,1720267199999,1013129.45708000,5361,3851747.10000000,587051.69847000,0
1720267200000,0.15380000,0.15680000,0.15170000,0.15640000,6477599.90000000,1720281599999,998541.33898000,5724,3229536.70000000,498319.99544000,0
1720281600000,0.15630000,0.16240000,0.15540000,0.16210000,6965607.00000000,1720295999999,1115493.96608000,6103,3496089.80000000,559967.58541000,0
1720296000000,0.16200000,0.16400000,0.16150000,0.16180000,4083593.30000000,1720310399999,664257.20887000,3510,1960153.30000000,318955.96107000,0
1720310400000,0.16180000,0.16210000,0.15760000,0.16070000,4315651.00000000,1720324799999,691734.39179000,4491,1918630.20000000,307782.45880000,0
1720324800000,0.16070000,0.16130000,0.15630000,0.15900000,3836243.00000000,1720339199999,609767.69485000,4291,1699943.50000000,270280.36436000,0
1720339200000,0.15910000,0.16370000,0.15850000,0.16330000,5465051.60000000,1720353599999,879625.97191000,4862,2798462.70000000,450436.32006000,0
1720353600000,0.16330000,0.16560000,0.15610000,0.15940000,10940524.50000000,1720367999999,1745266.26596000,9343,4360556.40000000,697584.46974000,0
1720368000000,0.15940000,0.16570000,0.15800000,0.16270000,8072122.60000000,1720382399999,1309874.15502000,6960,3758679.50000000,610209.34715000,0
1720382400000,0.16270000,0.16300000,0.15350000,0.15440000,5065573.90000000,1720396799999,798482.56711000,5178,2015813.10000000,317818.43967000,0
1720396800000,0.15450000,0.15770000,0.14820000,0.15570000,10838038.40000000,1720411199999,1659291.74497000,11292,4975305.80000000,762471.39523000,0
1720411200000,0.15570000,0.15730000,0.15300000,0.15610000,6260285.90000000,1720425599999,973278.71839000,8046,3277872.90000000,509788.73115000,0
1720425600000,0.15610000,0.17000000,0.15590000,0.16860000,12700306.30000000,1720439999999,2097678.75974000,14984,6873285.90000000,1136138.56738000,0
1720440000000,0.16860000,0.17070000,0.16080000,0.16320000,16584156.00000000,1720454399999,2757353.64330000,15730,7603250.60000000,1264695.60050000,0
1720454400000,0.16310000,0.16470000,0.16020000,0.16410000,5808010.60000000,1720468799999,943075.02897000,4862,2971552.20000000,482556.89899000,0
1720468800000,0.16420000,0.16530000,0.16220000,0.16360000,2366700.90000000,1720483199999,387838.54677000,3199,1219814.30000000,199910.68947000,0
1720483200000,0.16350000,0.16790000,0.16180000,0.16620000,4575430.60000000,1720497599999,753445.33498000,6928,2414881.50000000,397711.12243000,0
1720497600000,0.16610000,0.16990000,0.16480000,0.16700000,6287343.20000000,1720511999999,1053676.66928000,7400,3197542.60000000,535824.33756000,0
1720512000000,0.16710000,0.17040000,0.16560000,0.16780000,5040644.20000000,1720526399999,845666.96265000,4360,2079870.40000000,349458.81997000,0
1720526400000,0.16770000,0.17190000,0.16600000,0.16970000,6118273.60000000,1720540799999,1030524.07006000,6657,2816907.20000000,474774.77838000,0
1720540800000,0.16960000,0.17430000,0.16880000,0.17320000,4995810.30000000,1720555199999,853733.79921000,4668,2499078.40000000,427465.90020000,0
1720555200000,0.17310000,0.17710000,0.17210000,0.17590000,5024881.30000000,1720569599999,878141.53210000,4598,2537539.50000000,443387.52677000,0
1720569600000,0.17590000,0.17620000,0.17140000,0.17460000,3659828.50000000,1720583999999,635590.70042000,3619,1744361.50000000,302950.71769000,0
