open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1706745600000,0.00001064,0.00001073,0.00001019,0.00001027,364143735355.00,1706759999999,3793639.93201204,14387,156243836681.00,1624004.70422755,0
1706760000000,0.00001026,0.00001056,0.00001023,0.00001048,237262356306.00,1706774399999,2466579.04213996,9782,131694118467.00,1369138.44844886,0
1706774400000,0.00001047,0.00001055,0.00001035,0.00001043,172273610558.00,1706788799999,1801577.43871637,7694,91234705031.00,954431.47325048,0
1706788800000,0.00001043,0.00001080,0.00001040,0.00001064,215654087958.00,1706803199999,2285478.39311911,10319,113861555563.00,1206973.63657304,0
1706803200000,0.00001063,0.00001079,0.00001052,0.00001073,208187974827.00,1706817599999,2220713.92569138,9705,95676501389.00,1020917.93116001,0
1706817600000,0.00001074,0.00001084,0.00001065,0.00001075,164929599432.00,1706831999999,1770187.30273536,6934,102695629857.00,1102452.56002217,0
1706832000000,0.00001075,0.00001087,0.00001055,0.00001058,177767186770.00,1706846399999,1905416.81239737,7681,74522360068.00,800268.04064967,0
1706846400000,0.00001059,0.00001079,0.00001042,0.00001071,182352553154.00,1706860799999,1933283.32987511,7500,98067190292.00,1041730.16232972,0
1706860800000,0.00001071,0.00001073,0.00001054,0.00001060,167668141530.00,1706875199999,1778413.67587293,7017,89924958250.00,954117.94382092,0
1706875200000,0.00001060,0.00001064,0.00001036,0.00001060,281517119156.00,1706889599999,2960099.30854094,12606,128728175623.00,1353930.13492245,0
1706889600000,0.00001060,0.00001080,0.00001042,0.00001052,221781351158.00,1706903999999,2347502.39887514,9936,119821312874.00,1269257.14547896,0
1706904000000,0.00001053,0.00001065,0.00001045,0.00001053,109809670398.00,1706918399999,1155148.63701658,4186,43191651093.00,454873.10999410,0
1706918400000,0.00001054,0.00001064,0.00001041,0.00001045,101432491256.00,1706932799999,1066829.89500055,5287,43089506827.00,453340.46550831,0
1706932800000,0.00001045,0.00001051,0.00001031,0.00001035,89571519939.00,1706947199999,933027.79423190,4938,49005394560.00,510771.45642528,0
1706947200000,0.00001035,0.00001052,0.00001033,0.00001041,94408554021.00,1706961599999,983934.61807861,4910,45350904173.00,472645.26341036,0
1706961600000,0.00001041,0.00001049,0.00001031,0.00001038,132119584383.00,1706975999999,1374651.08577594,5082,54087198150.00,563149.01475452,0
1706976000000,0.00001038,0.00001050,0.00001038,0.00001043,108270807575.00,1706990399999,1131625.08405423,4463,54783229205.00,572802.57433292,0
1706990400000,0.00001043,0.00001045,0.00001031,0.00001034,109949134259.00,1707004799999,1139073.79970146,3821,46632758360.00,483424.04783015,0
1707004800000,0.00001034,0.00001040,0.00001012,0.00001040,137032539600.00,1707019199999,1404517.01774740,6445,61504551785.00,630727.78729169,0
1707019200000,0.00001040,0.00001041,0.00001016,0.00001019,134735847242.00,1707033599999,1381862.18090291,6091,52662085140.00,539813.56060452,0
1707033600000,0.00001019,0.00001035,0.00001003,0.00001029,139901800059.00,1707047999999,1425662.73520265,6585,61914480948.00,631466.37896001,0
1707048000000,0.00001029,0.00001038,0.00001025,0.00001034,98343285042.00,1707062399999,1014145.39914846,4882,47820409795.00,493246.51093232,0
1707062400000,0.00001034,0.00001039,0.00001018,0.00001023,146021961905.00,1707076799999,1501184.04547065,6097,66858955446.00,687487.27773149,0
1707076800000,0.00001023,0.00001032,0.00001000,0.00001007,179593771841.00,1707091199999,1823361.30906636,8290,77190811348.00,784392.80707950,0
