open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1680307200000,0.12030000,0.12130000,0.11940000,0.12080000,11499280.00000000,1680321599999,1384292.43500000,4534,5440367.00000000,655782.16880000,0
1680321600000,0.12070000,0.12140000,0.11910000,0.12020000,9516724.00000000,1680335999999,1144387.85330000,3713,3839036.00000000,462028.94400000,0
1680336000000,0.12020000,0.12060000,0.11950000,0.12020000,7808617.00000000,1680350399999,937892.57720000,3078,3920731.00000000,470936.73740000,0
1680350400000,0.12010000,0.12070000,0.11900000,0.11950000,13492651.00000000,1680364799999,1616321.93360000,4956,5733744.00000000,687302.77830000,0
1680364800000,0.11950000,0.12060000,0.11880000,0.11980000,10521689.00000000,1680379199999,1261664.46810000,4254,5300379.00000000,635845.50690000,0
1680379200000,0.11990000,0.12340000,0.11990000,0.12200000,21626715.00000000,1680393599999,2630426.23720000,7335,12571272.00000000,1528642.85160000,0
1680393600000,0.12190000,0.12280000,0.12090000,0.12190000,8740807.00000000,1680407999999,1063138.53660000,3703,4544188.00000000,552924.16270000,0
1680408000000,0.12190000,0.12230000,0.12090000,0.12120000,6727949.00000000,1680422399999,817702.00440000,2836,2778703.00000000,337849.52520000,0
1680422400000,0.12120000,0.12230000,0.12070000,0.12130000,10184612.00000000,1680436799999,1238134.45840000,3753,5421118.00000000,659471.26640000,0
1680436800000,0.12140000,0.12150000,0.11790000,0.11900000,19462900.00000000,1680451199999,2330055.76110000,8073,8415299.00000000,1006730.44460000,0
1680451200000,0.11890000,0.11950000,0.11730000,0.11790000,15174452.00000000,1680465599999,1799239.61140000,5494,8228732.00000000,975973.62780000,0
1680465600000,0.11800000,0.11930000,0.11710000,0.11860000,10166594.00000000,1680479999999,1200389.42600000,4465,5250224.00000000,620368.06310000,0
1680480000000,0.11860000,0.11890000,0.11560000,0.11780000,13812199.00000000,1680494399999,1614931.46410000,6967,6717914.00000000,786072.08360000,0
1680494400000,0.11780000,0.11880000,0.11740000,0.11880000,8354403.00000000,1680508799999,986670.38470000,3535,3959627.00000000,467755.60860000,0
1680508800000,0.11880000,0.12070000,0.11870000,0.11980000,17631488.00000000,1680523199999,2114904.47110000,5977,8119844.00000000,973628.80740000,0
1680523200000,0.11980000,0.12010000,0.11720000,0.11820000,14206120.00000000,1680537599999,1686440.57310000,6106,6557052.00000000,777812.81910000,0
1680537600000,0.11820000,0.12230000,0.11740000,0.12100000,27756172.00000000,1680551999999,3335461.90040000,11908,13873778.00000000,1667283.25290000,0
1680552000000,0.12090000,0.12320000,0.11600000,0.12210000,50892044.00000000,1680566399999,6092962.47780000,19257,25099790.00000000,3007658.94260000,0
1680566400000,0.12210000,0.12770000,0.12210000,0.12680000,71879709.00000000,1680580799999,8993708.73170000,28727,36316288.00000000,4544865.17020000,0
1680580800000,0.12680000,0.12720000,0.12460000,0.12470000,25804474.00000000,1680595199999,3243488.45780000,10216,11825313.00000000,1486654.73940000,0
1680595200000,0.12480000,0.12660000,0.12420000,0.12600000,26098315.00000000,1680609599999,3275806.61790000,10170,12023787.00000000,1509625.05090000,0
1680609600000,0.12600000,0.12660000,0.12440000,0.12490000,22321261.00000000,1680623999999,2801264.36000000,8524,11672282.00000000,1465588.19300000,0
1680624000000,0.12500000,0.12530000,0.12370000,0.12420000,14701039.00000000,1680638399999,1830047.07770000,5117,7137731.00000000,888984.28840000,0
1680638400000,0.12420000,0.12500000,0.12390000,0.12430000,10964037.00000000,1680652799999,1364519.17910000,3384,5786969.00000000,720400.66480000,0
1680652800000,0.12430000,0.12690000,0.12330000,0.12670000,16209009.00000000,1680667199999,2035769.05270000,6551,8639687.00000000,1085315.09890000,0
1680667200000,0.12660000,0.12690000,0.12540000,0.12640000,15446364.00000000,1680681599999,1949670.82970000,5112,8166819.00000000,1031294.96210000,0
1680681600000,0.12630000,0.13070000,0.12630000,0.12920000,43679482.00000000,1680695999999,5618817.06570000,14574,23006130.00000000,2958905.37450000,0
1680696000000,0.12920000,0.12930000,0.12520000,0.12650000,41312376.00000000,1680710399999,5266357.41650000,15471,17111836.00000000,2181725.31440000,0
1680710400000,0.12640000,0.12670000,0.12420000,0.12610000,26065583.00000000,1680724799999,3266281.70000000,9143,12904265.00000000,1617657.04660000,0
1680724800000,0.12610000,0.13300000,0.12570000,0.13050000,62907542.00000000,1680739199999,8202981.57560000,22464,31677395.00000000,4131093.36930000,0
1680739200000,0.13040000,0.13050000,0.12700000,0.12970000,25296907.00000000,1680753599999,3253776.70680000,10607,11836779.00000000,1522527.80260000,0
1680753600000,0.12970000,0.12980000,0.12490000,0.12540000,25995276.00000000,1680767999999,3296606.78150000,8355,10876777.00000000,1379137.10770000,0
1680768000000,0.12540000,0.12650000,0.12400000,0.12590000,28025694.00000000,1680782399999,3512481.36510000,8871,15113759.00000000,1894601.53720000,0
1680782400000,0.12600000,0.13040000,0.12470000,0.12820000,46562628.00000000,1680796799999,5952434.54560000,15390,21795523.00000000,2784896.80990000,0
1680796800000,0.12810000,0.12950000,0.12700000,0.12870000,17974173.00000000,1680811199999,2302011.03330000,7016,10876894.00000000,1393253.50300000,0
1680811200000,0.12860000,0.13300000,0.12820000,0.12950000,48532804.00000000,1680825599999,6325232.58700000,15661,24312550.00000000,3172069.40110000,0
1680825600000,0.12950000,0.13000000,0.12740000,0.12770000,12425644.00000000,1680839999999,1594914.60250000,5803,5540016.00000000,711170.24370000,0
1680840000000,0.12770000,0.12910000,0.12460000,0.12520000,24908072.00000000,1680854399999,3154510.65580000,8940,10238385.00000000,1296611.38290000,0
1680854400000,0.12520000,0.12630000,0.12410000,0.12530000,20299221.00000000,1680868799999,2542179.05370000,8458,9834960.00000000,1232237.05760000,0
1680868800000,0.12520000,0.12980000,0.12480000,0.12790000,35835824.00000000,1680883199999,4575348.22450000,13155,17190335.00000000,2193022.29150000,0
1680883200000,0.12790000,0.12830000,0.12560000,0.12650000,13867281.00000000,1680897599999,1761781.84450000,5229,6385357.00000000,810823.68370000,0
1680897600000,0.12650000,0.13150000,0.12640000,0.13050000,41484531.00000000,1680911999999,5372055.77660000,14984,20748113.00000000,2686682.07430000,0
1680912000000,0.13050000,0.13360000,0.12890000,0.13220000,75771947.00000000,1680926399999,9976522.48880000,28123,39175237.00000000,5162486.59160000,0
1680926400000,0.13230000,0.13640000,0.13210000,0.13550000,49292441.00000000,1680940799999,6628265.77300000,19029,25558546.00000000,3437064.50430000,0
1680940800000,0.13550000,0.13850000,0.13440000,0.13540000,73709745.00000000,1680955199999,10054458.40570000,29039,36119754.00000000,4933110.38540000,0
1680955200000,0.13550000,0.14310000,0.13520000,0.13920000,185505223.00000000,1680969599999,25925741.06620000,66366,90188265.00000000,12598956.12350000,0
1680969600000,0.13920000,0.14140000,0.13660000,0.13730000,105446513.00000000,1680983999999,14619993.02420000,29100,54216527.00000000,7519752.91890000,0
1680984000000,0.13730000,0.13810000,0.13150000,0.13250000,75398467.00000000,1680998399999,10128298.13270000,28763,33470855.00000000,4492077.01240000,0
1680998400000,0.13250000,0.13710000,0.13220000,0.13510000,47848310.00000000,1681012799999,6449210.40110000,18744,25620755.00000000,3454940.90030000,0
1681012800000,0.13500000,0.13670000,0.13160000,0.13320000,53601239.00000000,1681027199999,7177416.20380000,18728,24368854.00000000,3267169.65920000,0
1681027200000,0.13320000,0.13370000,0.13070000,0.13200000,26904712.00000000,1681041599999,3550272.49850000,11030,12380134.00000000,1634462.91270000,0
1681041600000,0.13190000,0.13250000,0.12870000,0.13000000,33774805.00000000,1681055999999,4401981.56950000,12438,13325308.00000000,1740010.15650000,0
1681056000000,0.12990000,0.13160000,0.12870000,0.13060000,24961405.00000000,1681070399999,3248035.11790000,9194,13784555.00000000,1795069.01980000,0
1681070400000,0.13060000,0.13200000,0.13010000,0.13110000,20849899.00000000,1681084799999,2733969.94000000,7167,12408681.00000000,1627741.57400000,0
1681084800000,0.13110000,0.13160000,0.12880000,0.12940000,20128448.00000000,1681099199999,2614120.05550000,7204,9328701.00000000,1211361.63230000,0
1681099200000,0.12930000,0.12970000,0.12850000,0.12870000,10238763.00000000,1681113599999,1321377.96580000,4140,4980871.00000000,642960.66910000,0
1681113600000,0.12870000,0.12970000,0.12820000,0.12860000,12337702.00000000,1681127999999,1591263.74950000,5122,5241858.00000000,676412.03040000,0
1681128000000,0.12870000,0.12910000,0.12760000,0.12830000,19207359.00000000,1681142399999,2464837.54300000,7238,8020562.00000000,1029663.73010000,0
1681142400000,0.12840000,0.13140000,0.12790000,0.13120000,30873358.00000000,1681156799999,4010836.36700000,10863,15801526.00000000,2053068.44390000,0
1681156800000,0.13110000,0.13410000,0.13070000,0.13380000,50778826.00000000,1681171199999,6735766.83640000,18016,25407980.00000000,3369063.41150000,0
1681171200000,0.13370000,0.13530000,0.13260000,0.13320000,21641890.00000000,1681185599999,2896195.45810000,8011,10578859.00000000,1416365.22860000,0
1681185600000,0.13310000,0.13410000,0.13160000,0.13380000,18761161.00000000,1681199999999,2493162.01870000,6765,8590450.00000000,1142650.72780000,0
1681200000000,0.13380000,0.13670000,0.13310000,0.13380000,46431104.00000000,1681214399999,6266906.43710000,15927,22651879.00000000,3058226.04150000,0
1681214400000,0.13380000,0.13520000,0.13260000,0.13300000,33674290.00000000,1681228799999,4511631.17480000,12965,15137099.00000000,2029844.43070000,0
