open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,1.01300000,1.02800000,0.99300000,1.00700000,439316.25000000,1759291199999999,443620.91969000,2898,224840.21000000,227318.17723000,0
1759291200000000,1.00800000,1.02000000,0.97600000,1.00100000,569161.02000000,1759305599999999,567420.79770000,3841,246590.79000000,245975.27043000,0
1759305600000000,1.00100000,1.00400000,0.97000000,0.99900000,768488.82000000,1759319999999999,759767.50271000,4186,392043.19000000,387622.21391000,0
1759320000000000,0.99800000,0.99800000,0.98100000,0.98900000,173402.47000000,1759334399999999,171665.02887000,1656,70714.90000000,70073.21327000,0
1759334400000000,0.98800000,0.99500000,0.98200000,0.99100000,291267.61000000,1759348799999999,287890.68020000,1903,144761.34000000,143217.45322000,0
1759348800000000,0.98900000,0.99200000,0.96500000,0.97600000,218371.26000000,1759363199999999,213641.97840000,1487,99463.52000000,97397.39503000,0
1759363200000000,0.97800000,1.00000000,0.97500000,0.99700000,157996.69000000,1759377599999999,156734.60118000,1424,94621.47000000,93838.29321000,0
1759377600000000,0.99900000,1.00300000,0.98400000,0.98900000,280054.62000000,1759391999999999,278438.55224000,1979,112249.17000000,111744.79013000,0
1759392000000000,0.98900000,1.00800000,0.98500000,0.99600000,124282.60000000,1759406399999999,123863.27367000,1549,81723.16000000,81499.40376000,0
1759406400000000,0.99600000,0.99900000,0.97300000,0.98500000,185267.14000000,1759420799999999,182740.00318000,1894,98805.71000000,97504.02372000,0
1759420800000000,0.98400000,0.99500000,0.98300000,0.98900000,155604.44000000,1759435199999999,153918.11469000,1521,76187.63000000,75393.05232000,0
1759435200000000,0.98900000,1.00000000,0.98600000,0.99900000,96193.68000000,1759449599999999,95526.82772000,1674,51687.97000000,51370.18517000,0
1759449600000000,0.99900000,1.00300000,0.99100000,0.99400000,77557.95000000,1759463999999999,77299.92780000,1009,40378.42000000,40277.25665000,0
1759464000000000,0.99500000,0.99800000,0.97500000,0.98600000,109832.91000000,1759478399999999,108394.15392000,1080,34222.77000000,33845.85331000,0
1759478400000000,0.98400000,1.00500000,0.98100000,0.99100000,247744.47000000,1759492799999999,245234.81590000,1549,126671.40000000,125450.85649000,0
1759492800000000,0.99300000,0.99800000,0.98400000,0.99500000,154798.20000000,1759507199999999,153416.22722000,1441,61254.72000000,60727.09155000,0
1759507200000000,0.99600000,1.00000000,0.98600000,0.99500000,126854.54000000,1759521599999999,126028.68369000,1271,54980.16000000,54639.24089000,0
1759521600000000,0.99500000,0.99500000,0.98500000,0.98800000,50901.27000000,1759535999999999,50358.06364000,679,21638.98000000,21422.61957000,0
1759536000000000,0.98700000,0.98900000,0.98000000,0.98700000,43918.51000000,1759550399999999,43255.97261000,678,26280.96000000,25901.05285000,0
1759550400000000,0.98700000,0.99200000,0.98300000,0.99100000,43005.09000000,1759564799999999,42466.14012000,946,23192.47000000,22916.34360000,0
1759564800000000,0.99100000,0.99200000,0.97800000,0.98200000,84788.91000000,1759579199999999,83495.31180000,1199,33345.88000000,32880.83108000,0
1759579200000000,0.98200000,1.04600000,0.98200000,1.01600000,710185.79000000,1759593599999999,722231.39217000,5344,380827.91000000,387149.60169000,0
1759593600000000,1.01600000,1.02100000,0.98600000,0.98800000,481306.58000000,1759607999999999,482846.54345000,3476,204349.71000000,205268.71112000,0
1759608000000000,0.98900000,1.00500000,0.98700000,0.99200000,123779.50000000,1759622399999999,123026.50441000,1383,72748.42000000,72347.12257000,0
1759622400000000,0.99200000,1.00500000,0.98600000,0.99800000,104823.64000000,1759636799999999,104256.29389000,1282,42010.87000000,41823.32229000,0
1759636800000000,0.99800000,1.00500000,0.99200000,1.00000000,129687.21000000,1759651199999999,129401.78105000,1376,55975.09000000,55920.27145000,0
1759651200000000,1.00000000,1.02500000,0.99300000,1.00100000,314904.51000000,1759665599999999,316421.90471000,2230,144094.61000000,144929.35820000,0
1759665600000000,0.99900000,1.00300000,0.99000000,0.99700000,132276.19000000,1759679999999999,131819.80603000,1234,72493.33000000,72307.68357000,0
1759680000000000,0.99600000,1.00200000,0.97600000,0.98300000,149627.17000000,1759694399999999,148214.85136000,1157,47663.96000000,47389.30542000,0
1759694400000000,0.98300000,0.99000000,0.97900000,0.98300000,92761.11000000,1759708799999999,91269.00523000,973,47229.04000000,46460.53547000,0
1759708800000000,0.98200000,0.98300000,0.97600000,0.98100000,49214.66000000,1759723199999999,48221.91008000,920,24550.23000000,24063.90057000,0
1759723200000000,0.98100000,1.01300000,0.97200000,1.00500000,386189.28000000,1759737599999999,385655.60775000,2330,217870.46000000,217810.73230000,0
1759737600000000,1.00500000,1.00700000,0.98200000,0.98900000,171339.39000000,1759751999999999,170197.11759000,1592,63346.82000000,62911.70852000,0
1759752000000000,0.98900000,0.99800000,0.98100000,0.99500000,174182.79000000,1759766399999999,172245.94979000,1536,67157.79000000,66407.66721000,0
1759766400000000,0.99400000,0.99700000,0.98800000,0.99600000,110915.59000000,1759780799999999,110163.22253000,1201,52529.61000000,52233.34199000,0
1759780800000000,0.99600000,1.00600000,0.99400000,0.99800000,133935.55000000,1759795199999999,133944.13543000,1159,81559.44000000,81590.07362000,0
1759795200000000,0.99900000,1.01300000,0.99700000,0.99900000,86036.88000000,1759809599999999,86314.19940000,858,50230.47000000,50442.95107000,0
1759809600000000,0.99900000,1.00000000,0.98600000,0.98600000,63679.74000000,1759823999999999,63302.99402000,783,28580.31000000,28411.73998000,0
1759824000000000,0.98900000,0.99100000,0.97800000,0.98800000,130567.55000000,1759838399999999,128439.57442000,955,65639.21000000,64553.05832000,0
1759838400000000,0.99000000,1.01500000,0.98200000,1.00100000,504030.08000000,1759852799999999,503362.70213000,3715,269652.59000000,269260.82325000,0
1759852800000000,1.00100000,1.00500000,0.98200000,0.98600000,235843.43000000,1759867199999999,233405.18628000,2414,104576.74000000,103524.15772000,0
1759867200000000,0.98600000,0.99400000,0.98300000,0.98500000,49075.78000000,1759881599999999,48462.69828000,917,22970.76000000,22709.21525000,0
1759881600000000,0.98500000,0.98900000,0.98000000,0.98000000,71115.93000000,1759895999999999,70047.22957000,696,17216.82000000,16977.25328000,0
1759896000000000,0.98000000,0.98900000,0.97600000,0.98800000,112147.25000000,1759910399999999,110068.57769000,946,43480.91000000,42722.79890000,0
1759910400000000,0.98800000,0.99300000,0.98100000,0.98400000,125750.66000000,1759924799999999,124054.22052000,1098,58011.58000000,57251.60486000,0
1759924800000000,0.98400000,0.99300000,0.98300000,0.99000000,113504.30000000,1759939199999999,112238.28430000,1205,61624.11000000,60947.68934000,0
