open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1698796800000,45.85000000,45.96000000,45.10000000,45.15000000,6832.36200000,1698811199999,310929.38942000,2187,2763.59000000,125794.36979000,0
1698811200000,45.17000000,45.24000000,44.14000000,44.68000000,9418.73800000,1698825599999,421016.11249000,3558,3569.48400000,159491.36310000,0
1698825600000,44.68000000,44.94000000,43.93000000,44.44000000,10727.72700000,1698839999999,476690.61437000,3099,3215.48700000,142681.26405000,0
1698840000000,44.40000000,45.40000000,43.99000000,44.47000000,18624.92200000,1698854399999,829581.90789000,5196,8995.06300000,400806.99813000,0
1698854400000,44.47000000,47.47000000,44.35000000,46.58000000,40622.07400000,1698868799999,1871954.56998000,10338,22767.14300000,1049587.20515000,0
1698868800000,46.67000000,48.45000000,46.67000000,48.22000000,40781.84300000,1698883199999,1949060.22523000,10039,20923.52100000,1000983.54441000,0
1698883200000,48.25000000,52.60000000,47.90000000,50.22000000,99710.92300000,1698897599999,5032700.52097000,26724,46408.59300000,2337456.62484000,0
1698897600000,50.21000000,51.05000000,48.08000000,48.66000000,59821.93600000,1698911999999,2957681.11482000,15113,28896.67100000,1428783.73627000,0
1698912000000,48.66000000,49.59000000,48.27000000,49.11000000,44907.42900000,1698926399999,2204300.79512000,9205,22895.63300000,1124670.20521000,0
1698926400000,49.11000000,49.36000000,46.06000000,46.36000000,50929.65400000,1698940799999,2435908.67546000,15347,23362.35300000,1117958.80456000,0
1698940800000,46.34000000,47.39000000,45.50000000,47.32000000,25591.89600000,1698955199999,1195554.12044000,7387,12971.86800000,606190.89573000,0
1698955200000,47.37000000,47.39000000,46.51000000,46.95000000,16820.24400000,1698969599999,786899.55598000,3677,7472.22000000,349418.26456000,0
1698969600000,46.94000000,46.96000000,44.79000000,45.96000000,21126.99000000,1698983999999,963622.97525000,8399,7880.78000000,359389.82356000,0
1698984000000,45.93000000,46.44000000,45.37000000,46.03000000,17768.46200000,1698998399999,817288.57124000,3605,6683.81200000,307477.59622000,0
1698998400000,46.00000000,46.32000000,45.18000000,45.71000000,13222.48300000,1699012799999,604325.30910000,3252,6516.85400000,297973.39172000,0
1699012800000,45.70000000,46.67000000,45.30000000,46.58000000,22702.08100000,1699027199999,1046359.22653000,4845,11037.87100000,508321.57497000,0
1699027200000,46.57000000,46.78000000,45.61000000,46.37000000,14814.06200000,1699041599999,683293.06260000,3337,6184.58000000,285316.48926000,0
1699041600000,46.38000000,47.19000000,46.22000000,46.97000000,9969.26100000,1699055999999,467537.94164000,2724,5407.09400000,253587.94519000,0
1699056000000,46.96000000,47.22000000,46.50000000,47.14000000,8420.99900000,1699070399999,394548.60158000,2658,3771.57300000,176740.35308000,0
1699070400000,47.12000000,47.56000000,46.52000000,47.21000000,12156.49500000,1699084799999,573270.15307000,3194,6097.91500000,287600.28301000,0
1699084800000,47.22000000,48.22000000,46.99000000,47.76000000,14257.53100000,1699099199999,680339.45902000,3679,6215.64600000,296597.32773000,0
1699099200000,47.73000000,49.22000000,47.25000000,47.80000000,42324.81500000,1699113599999,2043388.77710000,10212,22885.80500000,1105519.89064000,0
1699113600000,47.78000000,48.10000000,47.50000000,47.74000000,7891.13900000,1699127999999,377513.19385000,1941,4024.68000000,192638.47916000,0
1699128000000,47.73000000,48.98000000,47.55000000,48.49000000,14930.66900000,1699142399999,721343.52003000,3867,8648.16200000,417417.48436000,0
