open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1648771200000,127.10000000,129.30000000,121.10000000,124.10000000,46839.37600000,1648785599999,5839256.01320000,25090,23173.09500000,2889887.12090000,0
1648785600000,124.10000000,127.10000000,123.50000000,127.10000000,20787.31000000,1648799999999,2598382.84960000,9951,10941.23800000,1368321.91890000,0
1648800000000,127.00000000,127.60000000,124.60000000,125.10000000,25456.19300000,1648814399999,3205070.34230000,9990,12862.22200000,1619495.76240000,0
1648814400000,125.00000000,129.80000000,122.90000000,129.50000000,40810.88900000,1648828799999,5166635.93650000,19569,21756.65500000,2754441.82460000,0
1648828800000,129.40000000,130.70000000,128.30000000,129.50000000,20385.90400000,1648843199999,2641377.81230000,8765,9766.14500000,1265719.50520000,0
1648843200000,129.40000000,129.70000000,127.50000000,128.00000000,13058.41800000,1648857599999,1678896.54690000,7347,6490.27600000,834671.37410000,0
1648857600000,128.00000000,131.50000000,127.20000000,130.20000000,35338.85600000,1648871999999,4595514.22790000,14374,16222.70300000,2108809.75060000,0
1648872000000,130.20000000,131.20000000,129.80000000,130.80000000,13814.00100000,1648886399999,1801864.50110000,4871,7293.59700000,951648.78110000,0
1648886400000,130.80000000,131.10000000,129.20000000,129.30000000,15079.22400000,1648900799999,1964906.09190000,4953,6597.27400000,860073.89030000,0
1648900800000,129.20000000,131.30000000,126.40000000,127.30000000,39557.82900000,1648915199999,5102055.91920000,19596,19568.14100000,2525780.30710000,0
1648915200000,127.20000000,129.30000000,126.40000000,127.50000000,28212.85700000,1648929599999,3609986.90780000,11023,14113.09100000,1806100.33580000,0
1648929600000,127.60000000,128.40000000,126.80000000,127.40000000,15109.02500000,1648943999999,1929566.07220000,4707,7632.71600000,974784.93510000,0
1648944000000,127.40000000,129.90000000,124.50000000,128.50000000,27024.59000000,1648958399999,3429265.63310000,17957,13704.91600000,1738729.78670000,0
1648958400000,128.40000000,130.90000000,128.20000000,130.50000000,15896.47500000,1648972799999,2063595.38840000,7450,8955.52600000,1162757.00960000,0
1648972800000,130.40000000,130.70000000,128.60000000,129.50000000,15711.92000000,1648987199999,2036475.05700000,7064,6985.92100000,905930.99220000,0
1648987200000,129.50000000,130.80000000,128.70000000,130.50000000,15519.04700000,1649001599999,2016144.79220000,6339,8868.99000000,1152772.88850000,0
1649001600000,130.40000000,135.00000000,130.20000000,131.20000000,57836.01200000,1649015999999,7660418.41790000,31082,29601.44800000,3921621.65640000,0
1649016000000,131.20000000,134.20000000,131.00000000,132.60000000,18984.44800000,1649030399999,2520341.45620000,8428,9614.47000000,1276892.75020000,0
1649030400000,132.70000000,132.70000000,128.80000000,129.60000000,20114.19100000,1649044799999,2621533.12190000,10395,9156.47800000,1194001.64090000,0
1649044800000,129.60000000,131.70000000,129.10000000,131.50000000,16002.35600000,1649059199999,2088259.46510000,5585,8622.41300000,1125668.14530000,0
1649059200000,131.50000000,134.20000000,130.00000000,133.20000000,41469.88900000,1649073599999,5472682.36050000,18003,20434.55500000,2699173.37490000,0
1649073600000,133.20000000,134.50000000,128.10000000,129.50000000,63387.23900000,1649087999999,8359880.37590000,25508,29626.48300000,3907345.06650000,0
1649088000000,129.50000000,130.80000000,125.60000000,130.60000000,33313.41100000,1649102399999,4261849.74080000,16513,16401.51800000,2099831.34800000,0
1649102400000,130.60000000,134.00000000,130.60000000,133.20000000,23418.41700000,1649116799999,3109254.30840000,14202,11827.43100000,1570875.36220000,0
1649116800000,133.20000000,135.00000000,132.00000000,134.30000000,27341.56000000,1649131199999,3644536.07750000,10737,14421.39700000,1923903.57320000,0
1649131200000,134.20000000,136.50000000,132.30000000,133.90000000,34336.29200000,1649145599999,4624449.96320000,17884,15810.73300000,2129693.77490000,0
1649145600000,134.00000000,134.20000000,131.70000000,132.30000000,18184.43400000,1649159999999,2416059.65560000,7008,8394.96700000,1116005.88430000,0
1649160000000,132.30000000,135.00000000,128.50000000,128.70000000,51687.84200000,1649174399999,6768863.81230000,20393,24423.86200000,3203638.76610000,0
1649174400000,128.70000000,129.70000000,127.00000000,129.00000000,28189.18600000,1649188799999,3620037.34140000,11560,14063.24900000,1807341.23030000,0
1649188800000,129.00000000,129.50000000,126.40000000,126.90000000,16716.39400000,1649203199999,2141065.08860000,9068,8446.61200000,1082175.11310000,0
1649203200000,126.90000000,127.10000000,122.00000000,123.80000000,53911.51700000,1649217599999,6699272.14060000,25109,27933.28000000,3469409.71900000,0
1649217600000,123.70000000,126.00000000,123.10000000,124.50000000,21217.85000000,1649231999999,2642858.85310000,7495,10792.35400000,1344935.95950000,0
1649232000000,124.40000000,125.00000000,119.80000000,121.40000000,36737.04600000,1649246399999,4491795.20850000,15474,17309.32100000,2117405.14000000,0
1649246400000,121.50000000,122.80000000,115.00000000,117.80000000,77999.38600000,1649260799999,9231181.01800000,29498,38530.29700000,4562627.85550000,0
1649260800000,117.80000000,118.90000000,115.10000000,117.60000000,31828.13200000,1649275199999,3721372.67600000,15252,16080.22900000,1880186.65680000,0
1649275200000,117.50000000,118.10000000,113.20000000,113.60000000,19550.03900000,1649289599999,2261345.05750000,8670,8981.51100000,1039716.26770000,0
1649289600000,113.60000000,115.10000000,111.00000000,114.00000000,35857.41100000,1649303999999,4060692.26260000,13888,19509.07600000,2209340.75550000,0
1649304000000,114.00000000,115.80000000,113.60000000,115.40000000,19342.10200000,1649318399999,2218288.22710000,6983,8486.82000000,973235.95880000,0
1649318400000,115.40000000,116.80000000,113.50000000,116.60000000,21295.24100000,1649332799999,2453748.11830000,8718,10673.83800000,1230309.77740000,0
1649332800000,116.50000000,117.10000000,112.00000000,114.50000000,21744.32100000,1649347199999,2493740.79540000,10812,9871.68800000,1131919.62720000,0
1649347200000,114.50000000,116.00000000,113.80000000,115.00000000,9582.06900000,1649361599999,1103248.11090000,5006,4815.54600000,554338.09260000,0
1649361600000,115.00000000,117.80000000,114.70000000,116.90000000,6121.31200000,1649375999999,710330.03390000,3965,3353.36100000,389348.14670000,0
1649376000000,116.80000000,117.50000000,115.90000000,117.00000000,10363.46900000,1649390399999,1210581.67640000,3983,5614.16400000,656236.47170000,0
1649390400000,117.10000000,118.10000000,114.80000000,116.20000000,16749.71200000,1649404799999,1952190.46650000,6075,8778.99700000,1023451.83000000,0
1649404800000,116.20000000,116.80000000,112.50000000,112.80000000,19624.37300000,1649419199999,2249662.17150000,7505,9709.97400000,1112529.48810000,0
1649419200000,112.80000000,115.20000000,110.70000000,114.30000000,45677.31600000,1649433599999,5141905.00640000,12716,27506.83500000,3096778.24860000,0
1649433600000,114.30000000,114.90000000,111.40000000,112.50000000,28502.11300000,1649447999999,3217744.17290000,8531,16200.41500000,1829384.89880000,0
1649448000000,112.60000000,113.10000000,108.50000000,110.90000000,24441.25300000,1649462399999,2703476.88090000,9943,12262.64100000,1356858.05360000,0
1649462400000,110.80000000,113.00000000,110.50000000,112.10000000,13528.48300000,1649476799999,1510799.74740000,5923,6467.69100000,722610.86120000,0
1649476800000,112.00000000,113.80000000,111.50000000,113.70000000,10816.29600000,1649491199999,1218107.97360000,4182,5351.69800000,602865.14390000,0
1649491200000,113.70000000,118.00000000,112.50000000,116.40000000,51619.54000000,1649505599999,5969656.10450000,16327,27761.28000000,3210809.50370000,0
1649505600000,116.40000000,116.50000000,111.50000000,112.00000000,31841.67700000,1649519999999,3629332.57380000,10462,12804.26200000,1461333.41600000,0
1649520000000,112.10000000,116.20000000,111.90000000,113.60000000,22838.35400000,1649534399999,2599590.87600000,7534,14218.88600000,1619448.80840000,0
1649534400000,113.60000000,114.90000000,112.90000000,114.70000000,6708.86200000,1649548799999,763826.49010000,2871,3009.46200000,342992.72620000,0
1649548800000,114.80000000,115.70000000,113.90000000,114.60000000,9893.26000000,1649563199999,1135275.63420000,3210,5210.43600000,598368.15230000,0
1649563200000,114.60000000,114.70000000,112.00000000,112.50000000,9507.97600000,1649577599999,1076605.99130000,4009,4547.16500000,515037.49750000,0
1649577600000,112.40000000,112.70000000,111.10000000,112.10000000,13306.37300000,1649591999999,1488981.32200000,4724,6436.46400000,720584.54300000,0
1649592000000,112.20000000,112.70000000,111.20000000,112.40000000,12755.70400000,1649606399999,1427263.19280000,3749,4833.05700000,541189.97370000,0
1649606400000,112.40000000,114.60000000,111.10000000,114.20000000,18726.65700000,1649620799999,2116047.25970000,6399,9903.45800000,1121618.77060000,0
1649620800000,114.20000000,114.70000000,110.30000000,111.10000000,22470.71900000,1649635199999,2522419.89900000,9158,10497.84000000,1177895.14750000,0
1649635200000,111.10000000,112.30000000,107.20000000,108.40000000,33720.90500000,1649649599999,3704971.74680000,11128,15737.49600000,1730988.08140000,0
1649649600000,108.30000000,109.80000000,108.10000000,108.80000000,12348.85000000,1649663999999,1343193.20130000,4030,4939.48900000,537375.19490000,0
1649664000000,108.90000000,109.10000000,101.20000000,102.40000000,54049.07800000,1649678399999,5640082.76550000,17228,22885.09700000,2385833.08940000,0
1649678400000,102.40000000,104.10000000,101.40000000,102.40000000,26124.52600000,1649692799999,2693259.47620000,8555,15223.97100000,1570596.40020000,0
1649692800000,102.30000000,103.60000000,100.90000000,102.30000000,21837.22300000,1649707199999,2233877.76500000,7142,9928.29300000,1016429.87060000,0
1649707200000,102.30000000,102.60000000,98.70000000,100.80000000,25703.60200000,1649721599999,2586040.87600000,9853,12451.22200000,1253020.79250000,0
1649721600000,100.70000000,102.50000000,99.90000000,101.00000000,16847.07700000,1649735999999,1701811.67130000,5708,9752.30800000,985648.36610000,0
1649736000000,101.10000000,103.40000000,100.80000000,103.00000000,13490.37100000,1649750399999,1380771.49470000,5258,7320.02300000,749494.03920000,0
1649750400000,103.10000000,104.50000000,102.70000000,104.30000000,11826.29900000,1649764799999,1222995.44220000,4696,5671.98500000,587154.41160000,0
1649764800000,104.30000000,105.40000000,102.00000000,103.00000000,21620.65300000,1649779199999,2244754.99190000,9195,10025.06000000,1041252.03110000,0
1649779200000,103.00000000,103.80000000,99.50000000,99.80000000,17249.11600000,1649793599999,1747536.68840000,6225,6982.44000000,709107.34690000,0
1649793600000,99.70000000,102.80000000,99.70000000,102.40000000,14856.49900000,1649807999999,1506955.50930000,4992,9000.28400000,913351.86170000,0
1649808000000,102.40000000,103.20000000,101.10000000,102.70000000,12631.21400000,1649822399999,1290842.17800000,4147,6202.80300000,633867.13370000,0
1649822400000,102.70000000,103.40000000,102.00000000,102.80000000,7581.22000000,1649836799999,778919.05390000,2909,3607.17300000,370647.96760000,0
1649836800000,102.80000000,103.30000000,101.50000000,102.30000000,11236.86400000,1649851199999,1151831.43390000,4148,5849.15100000,599760.63260000,0
1649851200000,102.20000000,107.20000000,101.90000000,106.20000000,45164.45000000,1649865599999,4740871.86480000,15179,26116.14700000,2740792.93380000,0
1649865600000,106.20000000,106.70000000,104.10000000,104.80000000,24565.96900000,1649879999999,2580984.61560000,6595,11160.96900000,1172944.96270000,0
1649880000000,104.70000000,106.10000000,104.30000000,105.20000000,18959.17800000,1649894399999,1998417.69050000,4336,10837.30400000,1142772.56830000,0
1649894400000,105.20000000,107.00000000,105.00000000,106.40000000,11208.24900000,1649908799999,1189139.69290000,4734,5927.15400000,628918.92800000,0
1649908800000,106.40000000,107.30000000,105.40000000,106.70000000,9026.93200000,1649923199999,960021.11130000,3329,4400.57500000,468429.26590000,0
1649923200000,106.70000000,107.20000000,104.20000000,104.30000000,11948.50400000,1649937599999,1259073.40130000,4062,5035.52700000,530017.41050000,0
1649937600000,104.30000000,106.00000000,102.40000000,102.50000000,14852.98100000,1649951999999,1542773.18680000,5862,7174.17900000,745794.55550000,0
1649952000000,102.60000000,102.90000000,101.50000000,102.30000000,12198.54100000,1649966399999,1245355.49710000,4335,6065.64800000,619570.25380000,0
1649966400000,102.30000000,115.30000000,101.90000000,106.20000000,58053.80600000,1649980799999,6195553.59340000,20056,35374.46700000,3778623.67780000,0
1649980800000,106.20000000,108.90000000,105.80000000,108.90000000,28176.92400000,1649995199999,3024933.85310000,8758,15197.16100000,1631593.75260000,0
1649995200000,108.90000000,109.20000000,106.80000000,108.70000000,19859.48000000,1650009599999,2147953.96790000,6819,9690.50000000,1048505.18280000,0
1650009600000,108.70000000,111.30000000,107.60000000,109.40000000,30713.48600000,1650023999999,3354130.63790000,11269,17010.84500000,1859018.60310000,0
1650024000000,109.40000000,110.80000000,107.30000000,109.40000000,33335.56100000,1650038399999,3640232.24640000,10535,15465.80200000,1690468.50450000,0
1650038400000,109.30000000,110.60000000,108.20000000,108.30000000,16457.01900000,1650052799999,1800048.74410000,5062,7282.07600000,797524.57200000,0
1650052800000,108.30000000,109.40000000,108.00000000,109.30000000,5373.28100000,1650067199999,583580.34720000,2177,2815.77200000,305914.86800000,0
1650067200000,109.20000000,110.40000000,108.90000000,109.50000000,9252.64200000,1650081599999,1015267.04690000,3927,4851.36500000,532710.79970000,0
1650081600000,109.50000000,110.30000000,108.50000000,108.60000000,10368.96300000,1650095999999,1133594.44040000,3443,4655.99700000,509369.37480000,0
1650096000000,108.50000000,109.30000000,107.80000000,108.20000000,7923.10400000,1650110399999,858058.18890000,2967,2696.03300000,292206.66050000,0
1650110400000,108.20000000,108.50000000,106.60000000,107.10000000,14284.68600000,1650124799999,1536504.43180000,4912,6997.73300000,752579.03510000,0
1650124800000,107.00000000,108.60000000,106.70000000,108.20000000,7755.82200000,1650139199999,836925.96520000,2578,3762.02500000,406251.52900000,0
1650139200000,108.30000000,109.30000000,107.90000000,108.30000000,4922.96300000,1650153599999,534355.23660000,2128,2219.37200000,240899.35770000,0
1650153600000,108.30000000,108.90000000,107.10000000,108.20000000,9326.84100000,1650167999999,1007062.92970000,2802,5454.37500000,588740.19680000,0
1650168000000,108.20000000,109.20000000,107.80000000,108.60000000,5241.27500000,1650182399999,569293.41700000,2160,2369.02800000,257395.98690000,0
1650182400000,108.70000000,109.30000000,107.80000000,108.90000000,12457.42900000,1650196799999,1354012.96350000,3642,5592.19700000,608436.95230000,0
1650196800000,108.90000000,109.80000000,108.50000000,109.10000000,11421.60400000,1650211199999,1246783.36010000,3784,5084.67200000,555400.72490000,0
1650211200000,109.10000000,109.50000000,107.00000000,108.90000000,10757.61100000,1650225599999,1162165.95410000,3925,5236.41700000,565799.62050000,0
1650225600000,108.80000000,109.20000000,104.10000000,104.40000000,16794.95000000,1650239999999,1781573.22380000,6531,6545.38300000,695719.54750000,0
1650240000000,104.30000000,106.50000000,104.10000000,105.80000000,12164.58500000,1650254399999,1277269.13770000,4469,5874.88000000,617406.34690000,0
1650254400000,105.80000000,105.90000000,100.80000000,101.70000000,28719.00000000,1650268799999,2937328.81130000,9976,11893.22300000,1216354.84700000,0
1650268800000,101.60000000,103.50000000,101.00000000,102.90000000,16164.95500000,1650283199999,1655202.36400000,4149,7790.96000000,797825.06880000,0
1650283200000,103.00000000,107.70000000,103.00000000,105.40000000,35454.99300000,1650297599999,3753335.43870000,10767,15646.67300000,1657559.95420000,0
1650297600000,105.40000000,108.00000000,103.60000000,106.90000000,21678.69000000,1650311999999,2295063.30990000,8338,10168.63600000,1076718.09470000,0
1650312000000,106.90000000,108.90000000,106.90000000,108.70000000,9142.78900000,1650326399999,985613.13980000,3668,5338.84600000,575946.20420000,0
1650326400000,108.80000000,109.80000000,107.80000000,107.90000000,10258.99300000,1650340799999,1115355.60670000,4807,5238.74100000,569500.42200000,0
1650340800000,107.90000000,108.50000000,106.70000000,107.10000000,16746.13700000,1650355199999,1801030.29630000,4305,6910.07500000,744127.89520000,0
1650355200000,107.10000000,108.00000000,106.00000000,107.10000000,18831.90400000,1650369599999,2015396.14350000,6035,7584.01600000,812240.11080000,0
1650369600000,107.00000000,110.30000000,106.70000000,109.30000000,28144.87000000,1650383999999,3056714.02730000,9513,12530.28700000,1361782.61900000,0
1650384000000,109.20000000,110.70000000,108.40000000,110.20000000,15067.20300000,1650398399999,1651470.95010000,5808,6375.16600000,698573.46460000,0
1650398400000,110.10000000,110.10000000,108.60000000,109.60000000,9571.04100000,1650412799999,1045562.81720000,2515,4810.19000000,525685.90630000,0
