open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1764547200000000,2.20900000,2.20900000,2.04500000,2.04900000,4359778.04000000,1764561599999999,9170169.17340000,56880,2103137.70000000,4420956.98047000,0
1764561600000000,2.04900000,2.05300000,2.00700000,2.03800000,2051670.71000000,1764575999999999,4151566.47367000,18441,1020344.58000000,2063845.07204000,0
1764576000000000,2.03800000,2.05700000,2.03200000,2.03700000,1064104.47000000,1764590399999999,2177062.76353000,9380,494193.13000000,1011469.37383000,0
1764590400000000,2.03800000,2.05000000,1.96100000,1.99700000,2669458.65000000,1764604799999999,5363605.76133000,28595,1240573.91000000,2494616.64372000,0
1764604800000000,1.99700000,2.01000000,1.97800000,1.99500000,1385929.81000000,1764619199999999,2763792.58951000,18107,719088.03000000,1434184.51434000,0
1764619200000000,1.99500000,2.05000000,1.99500000,2.04200000,1284471.73000000,1764633599999999,2606277.12256000,12874,654570.37000000,1328682.04036000,0
1764633600000000,2.04200000,2.06500000,2.03300000,2.05600000,554388.09000000,1764647999999999,1133967.77977000,9641,290479.34000000,594128.40170000,0
1764648000000000,2.05600000,2.07500000,2.04800000,2.06700000,545399.54000000,1764662399999999,1123210.45511000,6036,269896.68000000,555596.10432000,0
1764662400000000,2.06800000,2.12300000,2.04400000,2.09500000,1032749.03000000,1764676799999999,2153659.39768000,11075,494749.96000000,1032209.16371000,0
1764676800000000,2.09600000,2.25200000,2.07900000,2.24400000,2141893.85000000,1764691199999999,4624995.70880000,24117,1065371.03000000,2297921.84876000,0
1764691200000000,2.24500000,2.28600000,2.23100000,2.23400000,2269394.16000000,1764705599999999,5126064.56820000,29374,1129292.97000000,2550792.97832000,0
1764705600000000,2.23400000,2.26600000,2.22300000,2.24900000,1703042.40000000,1764719999999999,3828769.26080000,16340,952139.19000000,2141343.99882000,0
1764720000000000,2.25000000,2.30400000,2.24600000,2.29100000,808941.05000000,1764734399999999,1842457.23213000,13874,438673.78000000,998813.60703000,0
1764734400000000,2.29100000,2.33100000,2.28900000,2.29200000,1272436.49000000,1764748799999999,2938127.15402000,12714,570262.10000000,1317625.69122000,0
1764748800000000,2.29300000,2.31200000,2.28600000,2.29600000,779128.13000000,1764763199999999,1791472.89520000,7804,356257.13000000,819483.79319000,0
1764763200000000,2.29700000,2.31300000,2.24100000,2.30100000,2061628.50000000,1764777599999999,4704882.97148000,21370,956825.53000000,2184069.89253000,0
1764777600000000,2.30200000,2.33700000,2.28400000,2.32700000,933930.28000000,1764791999999999,2158865.81858000,13153,525029.07000000,1214569.11131000,0
1764792000000000,2.32700000,2.40000000,2.31800000,2.36600000,1839338.63000000,1764806399999999,4344478.12413000,17978,933074.96000000,2204505.68554000,0
1764806400000000,2.36500000,2.37600000,2.34000000,2.34100000,1049306.47000000,1764820799999999,2471523.91266000,12079,544013.80000000,1281910.97681000,0
1764820800000000,2.34100000,2.35300000,2.32700000,2.33900000,807057.21000000,1764835199999999,1887218.03891000,6948,360014.06000000,842001.46955000,0
1764835200000000,2.33900000,2.35300000,2.31900000,2.32600000,754828.42000000,1764849599999999,1759863.34508000,7670,358328.25000000,835577.81282000,0
1764849600000000,2.32700000,2.33800000,2.30400000,2.32900000,2109831.18000000,1764863999999999,4906862.46260000,20587,1135400.19000000,2641366.40755000,0
1764864000000000,2.32900000,2.34400000,2.24500000,2.29100000,1380995.72000000,1764878399999999,3169640.90692000,16602,642694.62000000,1475357.83871000,0
1764878400000000,2.29100000,2.30300000,2.27200000,2.27200000,368501.84000000,1764892799999999,842224.09770000,7373,164341.21000000,375697.13555000,0
1764892800000000,2.27200000,2.30800000,2.27200000,2.28700000,410513.11000000,1764907199999999,939809.71331000,6280,197392.99000000,451981.86353000,0
1764907200000000,2.28700000,2.29300000,2.25400000,2.28200000,692608.54000000,1764921599999999,1573173.15602000,8185,341969.34000000,776496.55871000,0
1764921600000000,2.28200000,2.28400000,2.22400000,2.23600000,674286.05000000,1764935999999999,1516824.73684000,9557,288358.99000000,648538.06571000,0
1764936000000000,2.23400000,2.24400000,2.18400000,2.20900000,1595319.87000000,1764950399999999,3539949.43593000,22165,822853.40000000,1826436.82719000,0
1764950400000000,2.20800000,2.20900000,2.08400000,2.12300000,2538375.27000000,1764964799999999,5420389.90656000,32640,1395784.24000000,2981233.60269000,0
1764964800000000,2.12400000,2.13200000,2.10400000,2.12500000,482700.89000000,1764979199999999,1022412.70356000,7311,230134.83000000,487560.31270000,0
1764979200000000,2.12500000,2.12800000,2.10500000,2.12200000,383472.84000000,1764993599999999,812484.67371000,6103,225339.61000000,477570.44694000,0
1764993600000000,2.12200000,2.12200000,2.10000000,2.10500000,415023.55000000,1765007999999999,875105.88089000,7718,205984.96000000,434459.07251000,0
1765008000000000,2.10600000,2.11100000,2.08700000,2.10700000,577334.56000000,1765022399999999,1212139.08235000,7807,336716.06000000,707123.13637000,0
1765022400000000,2.10700000,2.14200000,2.10100000,2.11900000,905702.77000000,1765036799999999,1922230.36422000,9864,489003.20000000,1037192.05370000,0
1765036800000000,2.11900000,2.16400000,2.11900000,2.13100000,813601.47000000,1765051199999999,1742661.49149000,8524,466927.09000000,999628.91570000,0
1765051200000000,2.13100000,2.15100000,2.11800000,2.12800000,591225.59000000,1765065599999999,1262708.62832000,8003,330578.95000000,705963.62811000,0
1765065600000000,2.12800000,2.14400000,2.12500000,2.14200000,462421.35000000,1765079999999999,987576.96069000,6772,268648.87000000,573707.34717000,0
1765080000000000,2.14100000,2.15600000,2.12600000,2.12900000,383580.34000000,1765094399999999,820601.08368000,5208,189512.33000000,405236.96175000,0
1765094400000000,2.12900000,2.13200000,2.08600000,2.09300000,786203.46000000,1765108799999999,1655173.38628000,8004,382115.65000000,803704.55641000,0
1765108800000000,2.09300000,2.12000000,2.04000000,2.11800000,1623218.32000000,1765123199999999,3374095.65911000,25324,790578.85000000,1643860.94925000,0
1765123200000000,2.11800000,2.16000000,2.09500000,2.14100000,1937908.69000000,1765137599999999,4143788.91116000,18793,1176291.46000000,2518995.53053000,0
1765137600000000,2.14100000,2.15000000,2.05400000,2.09400000,992080.12000000,1765151999999999,2077660.20019000,13810,450648.03000000,943164.10661000,0
1765152000000000,2.09400000,2.14000000,2.08400000,2.12000000,566388.72000000,1765166399999999,1197772.57359000,11350,253239.51000000,535423.91775000,0
1765166400000000,2.12000000,2.14800000,2.11600000,2.13700000,1754320.27000000,1765180799999999,3735896.11787000,14782,1233648.93000000,2625299.38404000,0
1765180800000000,2.13700000,2.17900000,2.12600000,2.13100000,1142016.26000000,1765195199999999,2459003.34439000,17685,546240.38000000,1176400.19742000,0
1765195200000000,2.13100000,2.16900000,2.11700000,2.13200000,1559393.76000000,1765209599999999,3337769.45437000,22894,787428.34000000,1686980.00813000,0
1765209600000000,2.13200000,2.15500000,2.11000000,2.12400000,1260131.68000000,1765223999999999,2684907.98984000,17318,695530.71000000,1481282.11813000,0
1765224000000000,2.12400000,2.15500000,2.12200000,2.12900000,1700508.04000000,1765238399999999,3631707.72699000,16403,585329.70000000,1251014.11638000,0
1765238400000000,2.13000000,2.13900000,2.09500000,2.12700000,814576.94000000,1765252799999999,1722422.04845000,8697,382645.28000000,809216.55381000,0
1765252800000000,2.12800000,2.13200000,2.08900000,2.11700000,740659.15000000,1765267199999999,1560813.39713000,7055,387546.52000000,816909.58151000,0
1765267200000000,2.11600000,2.12000000,2.09000000,2.10900000,429881.25000000,1765281599999999,904784.62327000,5427,217819.35000000,458506.56006000,0
1765281600000000,2.10900000,2.22000000,2.10500000,2.21800000,2022058.20000000,1765295999999999,4356351.20071000,24985,1027676.56000000,2217234.73882000,0
1765296000000000,2.21900000,2.39300000,2.21900000,2.31300000,5501602.19000000,1765310399999999,12815218.78671000,65057,2564634.29000000,5973313.02081000,0
1765310400000000,2.31200000,2.32200000,2.25900000,2.29300000,1175434.26000000,1765324799999999,2692388.99151000,15009,525242.23000000,1203467.96372000,0
1765324800000000,2.29200000,2.29700000,2.23500000,2.24500000,661644.35000000,1765339199999999,1495374.77718000,9296,347605.14000000,785501.51258000,0
1765339200000000,2.24600000,2.25000000,2.20400000,2.22200000,478626.51000000,1765353599999999,1066283.53327000,8173,285338.56000000,635426.43601000,0
1765353600000000,2.22200000,2.24900000,2.19000000,2.20100000,1117275.23000000,1765367999999999,2477347.97777000,13235,503041.44000000,1115748.26902000,0
1765368000000000,2.20100000,2.21500000,2.19000000,2.20200000,1013039.42000000,1765382399999999,2232306.39883000,12263,534382.72000000,1177705.33073000,0
1765382400000000,2.20300000,2.28000000,2.19800000,2.26600000,1687809.34000000,1765396799999999,3796389.29775000,31555,804714.47000000,1810185.06351000,0
