open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1693526400000,0.58700000,0.59400000,0.58600000,0.59100000,1217999.50000000,1693540799999,720025.55290000,1252,721014.60000000,426494.17220000,0
1693540800000,0.59100000,0.59200000,0.58900000,0.59100000,629598.80000000,1693555199999,371837.23090000,592,373997.00000000,220956.93240000,0
1693555200000,0.59100000,0.59400000,0.58700000,0.59200000,940588.90000000,1693569599999,555501.39730000,912,510943.60000000,301785.48070000,0
1693569600000,0.59200000,0.59400000,0.58000000,0.58400000,1975899.40000000,1693583999999,1158597.48800000,2023,994041.80000000,582992.92880000,0
1693584000000,0.58400000,0.58800000,0.57200000,0.57900000,2514086.30000000,1693598399999,1454395.82110000,3365,1330460.30000000,769771.87480000,0
1693598400000,0.58000000,0.58300000,0.57600000,0.58100000,1155880.60000000,1693612799999,669154.45740000,1267,559372.20000000,323878.51400000,0
1693612800000,0.58100000,0.58500000,0.57900000,0.58400000,1589044.90000000,1693627199999,925209.48120000,1623,811184.50000000,472445.17620000,0
1693627200000,0.58400000,0.58500000,0.57900000,0.58200000,610894.40000000,1693641599999,355661.16860000,720,276503.60000000,160983.80720000,0
1693641600000,0.58200000,0.58300000,0.57800000,0.58000000,1281521.60000000,1693655999999,743795.94350000,1777,637988.80000000,370393.00830000,0
1693656000000,0.58000000,0.58200000,0.57500000,0.58000000,1693921.30000000,1693670399999,980875.89960000,1497,881421.90000000,510343.84890000,0
1693670400000,0.58000000,0.58100000,0.56700000,0.57500000,2000562.20000000,1693684799999,1148808.48100000,2262,1007526.60000000,579434.20350000,0
1693684800000,0.57400000,0.57800000,0.57100000,0.57700000,894350.20000000,1693699199999,513462.33860000,904,519086.40000000,298149.65740000,0
1693699200000,0.57700000,0.58200000,0.57600000,0.58200000,1316600.20000000,1693713599999,761807.84380000,1291,643365.90000000,372178.76030000,0
1693713600000,0.58200000,0.59200000,0.58000000,0.59000000,1572525.60000000,1693727999999,920737.17990000,1872,956807.50000000,560325.35530000,0
1693728000000,0.59000000,0.59400000,0.58600000,0.58800000,1388236.40000000,1693742399999,818571.85010000,1283,583818.10000000,344194.25670000,0
1693742400000,0.58900000,0.58900000,0.57700000,0.57800000,2124903.90000000,1693756799999,1238374.66820000,2104,1055133.90000000,614874.78150000,0
1693756800000,0.57900000,0.58400000,0.57400000,0.58100000,1714975.90000000,1693771199999,990683.00330000,1806,843511.90000000,487462.54530000,0
1693771200000,0.58200000,0.58300000,0.57700000,0.58000000,967036.80000000,1693785599999,560872.70970000,901,590384.50000000,342454.80760000,0
1693785600000,0.58100000,0.59400000,0.57900000,0.58700000,1998872.00000000,1693799999999,1170662.80760000,2256,1094309.10000000,640881.77910000,0
1693800000000,0.58800000,0.58900000,0.58000000,0.58200000,1404626.00000000,1693814399999,819282.60830000,1591,674898.20000000,393390.39810000,0
1693814400000,0.58300000,0.58400000,0.57500000,0.57700000,1509230.80000000,1693828799999,874545.82600000,1628,663004.30000000,384175.42770000,0
1693828800000,0.57700000,0.58100000,0.57200000,0.57800000,2277788.20000000,1693843199999,1315296.63870000,2313,1258218.10000000,726692.05730000,0
1693843200000,0.57800000,0.58300000,0.57700000,0.58100000,1152650.00000000,1693857599999,668948.53000000,1453,676098.80000000,392393.87200000,0
1693857600000,0.58200000,0.58300000,0.57500000,0.58300000,886063.30000000,1693871999999,513229.05920000,1252,430903.00000000,249518.65980000,0
1693872000000,0.58300000,0.58400000,0.57400000,0.57700000,1673185.40000000,1693886399999,967821.30690000,1526,846385.10000000,489738.26380000,0
1693886400000,0.57700000,0.58100000,0.57600000,0.58000000,1156886.50000000,1693900799999,669613.00170000,1200,632018.80000000,365942.95090000,0
1693900800000,0.58000000,0.58400000,0.57800000,0.58200000,1125907.40000000,1693915199999,654203.35970000,1372,578066.20000000,335903.31370000,0
1693915200000,0.58200000,0.59200000,0.57900000,0.58600000,2144627.60000000,1693929599999,1251271.13770000,2382,1199861.70000000,700053.26050000,0
1693929600000,0.58600000,0.59000000,0.58300000,0.58800000,1056804.20000000,1693943999999,620508.36090000,1206,503363.70000000,295516.46470000,0
1693944000000,0.58900000,0.59200000,0.58700000,0.59100000,900697.80000000,1693958399999,531297.47130000,869,413779.60000000,244114.96020000,0
1693958400000,0.59100000,0.59400000,0.58700000,0.58700000,1363968.30000000,1693972799999,806248.72930000,1355,700671.10000000,414302.92140000,0
1693972800000,0.58700000,0.59000000,0.58400000,0.58900000,1061427.00000000,1693987199999,622775.72330000,1000,493952.40000000,290003.80110000,0
1693987200000,0.58900000,0.59200000,0.58800000,0.59000000,644500.10000000,1694001599999,380077.51900000,933,334969.00000000,197557.17940000,0
1694001600000,0.59000000,0.59000000,0.57200000,0.57500000,8440883.20000000,1694015999999,4904672.78790000,5624,2790690.10000000,1618621.79460000,0
1694016000000,0.57500000,0.58600000,0.56600000,0.57600000,4080231.90000000,1694030399999,2350245.72780000,4506,1909015.40000000,1098747.43490000,0
1694030400000,0.57600000,0.58100000,0.57400000,0.58100000,999669.90000000,1694044799999,577119.38920000,1044,537013.80000000,310305.29960000,0
1694044800000,0.58000000,0.58400000,0.57900000,0.58300000,996907.00000000,1694059199999,578846.52470000,1221,475127.60000000,276065.16830000,0
1694059200000,0.58300000,0.58300000,0.57600000,0.57700000,841736.60000000,1694073599999,486689.78770000,1558,330762.30000000,191379.28290000,0
1694073600000,0.57600000,0.57800000,0.57300000,0.57500000,888155.90000000,1694087999999,511673.69920000,1420,374348.70000000,215753.94990000,0
1694088000000,0.57400000,0.58300000,0.57300000,0.58200000,1302761.00000000,1694102399999,750891.88510000,1770,675430.70000000,389495.62980000,0
1694102400000,0.58100000,0.58700000,0.58000000,0.58300000,645565.00000000,1694116799999,376687.94980000,1432,308494.90000000,180141.05300000,0
1694116800000,0.58200000,0.59000000,0.57900000,0.58700000,1570464.70000000,1694131199999,919917.78920000,2307,711452.60000000,416894.57800000,0
1694131200000,0.58700000,0.59400000,0.58400000,0.58600000,1118952.80000000,1694145599999,658421.15360000,1612,636253.40000000,374332.73100000,0
1694145600000,0.58600000,0.58800000,0.57900000,0.58400000,640897.60000000,1694159999999,374117.33600000,1202,365451.60000000,213368.73880000,0
1694160000000,0.58300000,0.58400000,0.57100000,0.57500000,2181009.40000000,1694174399999,1257652.06990000,2706,1042184.30000000,600973.23820000,0
1694174400000,0.57500000,0.57900000,0.57400000,0.57700000,743113.60000000,1694188799999,428541.84350000,1084,348381.40000000,200996.03350000,0
1694188800000,0.57600000,0.58300000,0.57500000,0.58200000,510850.70000000,1694203199999,295028.60640000,962,264462.00000000,152840.85260000,0
1694203200000,0.58200000,0.58600000,0.58000000,0.58500000,389316.40000000,1694217599999,227164.27530000,1057,239659.50000000,139853.98070000,0
1694217600000,0.58400000,0.58600000,0.58100000,0.58300000,703645.50000000,1694231999999,410632.91570000,1102,383335.60000000,223795.75830000,0
1694232000000,0.58300000,0.58300000,0.57800000,0.58100000,552359.10000000,1694246399999,320752.11860000,776,287559.20000000,166965.63630000,0
1694246400000,0.58100000,0.58300000,0.57800000,0.58100000,547564.30000000,1694260799999,317989.70250000,767,237178.90000000,137803.39760000,0
