open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1735689600000000,1.27200000,1.29500000,1.27000000,1.27100000,2216128.10000000,1735703999999999,2838296.19320000,7594,1178061.30000000,1509328.01240000,0
1735704000000000,1.27100000,1.27200000,1.25500000,1.26000000,2110210.90000000,1735718399999999,2664880.43760000,8124,1037429.40000000,1310346.35070000,0
1735718400000000,1.26100000,1.26400000,1.23400000,1.25300000,3617667.30000000,1735732799999999,4513451.51380000,13243,1591833.30000000,1986017.35080000,0
1735732800000000,1.25300000,1.27400000,1.23700000,1.27200000,4723129.20000000,1735747199999999,5920461.26450000,16065,2290763.70000000,2874974.40410000,0
1735747200000000,1.27300000,1.31300000,1.25400000,1.30400000,5789969.00000000,1735761599999999,7451013.33940000,18349,2949047.50000000,3794109.33650000,0
1735761600000000,1.30500000,1.32400000,1.30000000,1.31900000,4161641.20000000,1735775999999999,5465461.33370000,16970,1820525.00000000,2391454.51600000,0
1735776000000000,1.31800000,1.36500000,1.31600000,1.35200000,5264222.30000000,1735790399999999,7067408.40590000,21044,2613953.10000000,3509668.66480000,0
1735790400000000,1.35100000,1.41100000,1.35100000,1.41100000,5026175.70000000,1735804799999999,6927756.33090000,19839,2795600.50000000,3857272.46850000,0
1735804800000000,1.41100000,1.42500000,1.38300000,1.40700000,11597416.60000000,1735819199999999,16284236.48630000,41224,5742715.30000000,8064527.87880000,0
1735819200000000,1.40800000,1.41500000,1.38200000,1.39400000,7950704.50000000,1735833599999999,11130255.84740000,35588,3752661.50000000,5257593.24670000,0
1735833600000000,1.39500000,1.41100000,1.38600000,1.39100000,4116124.70000000,1735847999999999,5744167.35760000,19151,2040357.60000000,2849015.32210000,0
1735848000000000,1.39200000,1.40400000,1.36700000,1.38500000,4109812.80000000,1735862399999999,5694269.70780000,20073,2243167.40000000,3110530.16210000,0
1735862400000000,1.38500000,1.41500000,1.37600000,1.41000000,4238654.00000000,1735876799999999,5915111.87810000,21599,2478415.90000000,3458081.54910000,0
1735876800000000,1.41000000,1.42200000,1.38300000,1.39200000,6316828.10000000,1735891199999999,8841696.62470000,36117,3564970.70000000,4993328.34060000,0
1735891200000000,1.39200000,1.47700000,1.39200000,1.47200000,9247920.30000000,1735905599999999,13243863.97060000,42615,5244039.20000000,7512489.43990000,0
1735905600000000,1.47300000,1.51500000,1.44300000,1.50300000,10827630.70000000,1735919999999999,16034161.70580000,52343,5717465.00000000,8476654.88820000,0
1735920000000000,1.50300000,1.51300000,1.48900000,1.49300000,6368895.20000000,1735934399999999,9550003.02740000,31362,3119111.30000000,4679929.56060000,0
1735934400000000,1.49300000,1.50100000,1.47600000,1.50000000,3685959.50000000,1735948799999999,5489940.29790000,24122,1992832.10000000,2968671.51010000,0
1735948800000000,1.50100000,1.50500000,1.47400000,1.48900000,3483899.90000000,1735963199999999,5193889.65350000,21226,1553487.90000000,2315625.82890000,0
1735963200000000,1.48800000,1.49900000,1.48000000,1.49500000,2547712.60000000,1735977599999999,3794783.95790000,13989,1248147.80000000,1859017.37690000,0
1735977600000000,1.49600000,1.49800000,1.46500000,1.48300000,3086019.50000000,1735991999999999,4560589.11130000,16909,1541654.90000000,2278984.59460000,0
1735992000000000,1.48300000,1.52500000,1.47300000,1.48400000,6632704.40000000,1736006399999999,9948982.50160000,35158,3228646.40000000,4844579.00650000,0
1736006400000000,1.48300000,1.50900000,1.47100000,1.50000000,5986314.90000000,1736020799999999,8901696.05010000,30407,2805230.00000000,4174861.76920000,0
1736020800000000,1.49900000,1.51400000,1.48500000,1.48900000,3083949.80000000,1736035199999999,4620156.60430000,15954,1459605.40000000,2187069.49920000,0
1736035200000000,1.48900000,1.49400000,1.46800000,1.48700000,2274305.60000000,1736049599999999,3368139.39250000,17393,976015.40000000,1446296.70790000,0
1736049600000000,1.48700000,1.50500000,1.48100000,1.49200000,2214743.90000000,1736063999999999,3303877.57300000,13386,1107621.10000000,1652900.95930000,0
1736064000000000,1.49300000,1.49400000,1.45300000,1.47700000,3907894.60000000,1736078399999999,5756892.55200000,21862,1625104.00000000,2396035.33990000,0
1736078400000000,1.47800000,1.49900000,1.44700000,1.48500000,6435479.30000000,1736092799999999,9505859.93710000,37232,3084345.00000000,4557109.36300000,0
1736092800000000,1.48500000,1.57000000,1.47000000,1.54700000,11525417.90000000,1736107199999999,17595192.71370000,48488,6563665.30000000,10029619.91330000,0
1736107200000000,1.54800000,1.62100000,1.52600000,1.60900000,12326992.90000000,1736121599999999,19495542.40400000,61256,6964640.30000000,11016807.89630000,0
1736121600000000,1.60800000,1.62600000,1.55800000,1.60100000,7746419.90000000,1736135999999999,12300145.56990000,45655,3672564.10000000,5839086.91110000,0
1736136000000000,1.60100000,1.61700000,1.56400000,1.58300000,5708960.50000000,1736150399999999,9078277.22910000,29831,2553955.50000000,4063671.09790000,0
1736150400000000,1.58300000,1.58700000,1.56400000,1.57500000,4559794.00000000,1736164799999999,7193060.83780000,32197,2295864.00000000,3623316.80140000,0
1736164800000000,1.57600000,1.65500000,1.57000000,1.63200000,12951965.80000000,1736179199999999,20897251.80420000,56110,6914590.60000000,11157102.10070000,0
1736179200000000,1.63200000,1.64600000,1.58500000,1.60100000,6175437.90000000,1736193599999999,9983208.72030000,34706,2941704.90000000,4757847.41740000,0
1736193600000000,1.60100000,1.61600000,1.55700000,1.57100000,6765362.80000000,1736207999999999,10696427.74730000,34709,2889812.40000000,4570906.12250000,0
1736208000000000,1.57200000,1.58000000,1.54100000,1.55100000,3896195.70000000,1736222399999999,6075042.24660000,31660,1542843.00000000,2406953.56950000,0
1736222400000000,1.55100000,1.56400000,1.54100000,1.56100000,2512226.80000000,1736236799999999,3902990.03300000,21179,1255458.70000000,1950925.05220000,0
1736236800000000,1.56100000,1.57700000,1.53000000,1.54100000,5254571.40000000,1736251199999999,8174990.22180000,37013,2263565.60000000,3525368.48500000,0
1736251200000000,1.54100000,1.57400000,1.46000000,1.49000000,25919884.20000000,1736265599999999,39162821.15330000,140508,12037722.20000000,18202726.00960000,0
1736265600000000,1.49000000,1.50500000,1.41600000,1.42300000,16182715.00000000,1736279999999999,23643691.16330000,72051,5915169.90000000,8640494.17070000,0
1736280000000000,1.42400000,1.44500000,1.40500000,1.41300000,7195581.40000000,1736294399999999,10247459.34040000,42245,3534177.80000000,5036766.56260000,0
1736294400000000,1.41200000,1.43000000,1.37400000,1.38500000,6748497.20000000,1736308799999999,9471459.89450000,38074,2922271.30000000,4107365.75290000,0
1736308800000000,1.38500000,1.40500000,1.32300000,1.35400000,11220937.90000000,1736323199999999,15358490.84830000,49844,5290038.40000000,7257738.10470000,0
1736323200000000,1.35300000,1.37500000,1.31700000,1.33200000,10082245.90000000,1736337599999999,13553007.17730000,57879,4555041.60000000,6130605.77860000,0
1736337600000000,1.33200000,1.35300000,1.32100000,1.33600000,10954311.10000000,1736351999999999,14643776.72630000,59065,5244713.20000000,7011417.96010000,0
1736352000000000,1.33600000,1.35100000,1.26300000,1.32000000,24875406.50000000,1736366399999999,32477404.32350000,94519,11690637.70000000,15278043.07530000,0
1736366400000000,1.32000000,1.34700000,1.30000000,1.33700000,8912040.40000000,1736380799999999,11783248.96770000,33169,4556066.70000000,6028562.46390000,0
1736380800000000,1.33700000,1.35300000,1.31600000,1.32200000,6309111.60000000,1736395199999999,8417457.09240000,27372,2818964.80000000,3764257.76430000,0
1736395200000000,1.32200000,1.33200000,1.27800000,1.28100000,8595101.40000000,1736409599999999,11237159.86430000,43670,4301906.50000000,5630939.85670000,0
1736409600000000,1.28100000,1.33800000,1.28000000,1.29400000,13405326.50000000,1736423999999999,17572671.21460000,58990,6964321.10000000,9145811.77200000,0
1736424000000000,1.29400000,1.33800000,1.25800000,1.32600000,18389839.80000000,1736438399999999,23742743.83010000,85780,9072632.00000000,11724180.13230000,0
1736438400000000,1.32600000,1.34300000,1.28300000,1.28900000,13394278.30000000,1736452799999999,17532650.65070000,64996,6230331.20000000,8163704.36630000,0
1736452800000000,1.28900000,1.31000000,1.26500000,1.29400000,10072813.00000000,1736467199999999,12933465.54970000,38538,5041145.50000000,6476602.50760000,0
1736467200000000,1.29400000,1.32900000,1.29400000,1.31800000,5562679.10000000,1736481599999999,7294897.21700000,27230,3033184.80000000,3978149.42670000,0
1736481600000000,1.31800000,1.37100000,1.31300000,1.36200000,6705008.80000000,1736495999999999,8999894.00690000,29622,3905212.50000000,5242809.16650000,0
1736496000000000,1.36100000,1.36800000,1.33200000,1.34100000,6200007.90000000,1736510399999999,8381262.30900000,27888,2912786.90000000,3942516.73350000,0
1736510400000000,1.34100000,1.34600000,1.27500000,1.30500000,19446244.20000000,1736524799999999,25394747.24830000,90180,9069823.60000000,11846560.82340000,0
1736524800000000,1.30600000,1.34800000,1.28700000,1.33600000,8579440.00000000,1736539199999999,11312932.48110000,39611,4174745.40000000,5505976.39370000,0
1736539200000000,1.33700000,1.33800000,1.31500000,1.32700000,3050071.70000000,1736553599999999,4051312.37700000,18316,1546332.80000000,2054685.30140000,0
1736553600000000,1.32700000,1.33800000,1.31000000,1.32300000,2367234.40000000,1736567999999999,3131271.97250000,18133,1109630.10000000,1468090.86030000,0
1736568000000000,1.32300000,1.36100000,1.32300000,1.33100000,6123226.50000000,1736582399999999,8207988.69960000,29359,3395804.80000000,4557046.86930000,0
1736582400000000,1.33200000,1.35000000,1.31300000,1.33700000,5566865.50000000,1736596799999999,7417010.28340000,29021,2622971.70000000,3498999.41890000,0
1736596800000000,1.33700000,1.33800000,1.30300000,1.30600000,3152302.20000000,1736611199999999,4158721.25860000,26700,1497122.90000000,1974856.20740000,0
1736611200000000,1.30600000,1.31000000,1.29000000,1.30100000,5752612.70000000,1736625599999999,7470185.84560000,33953,2450213.00000000,3184126.63370000,0
1736625600000000,1.30000000,1.34900000,1.29800000,1.31800000,4777155.10000000,1736639999999999,6353955.87190000,24828,2329240.60000000,3093114.76500000,0
1736640000000000,1.31800000,1.32300000,1.30600000,1.31400000,2270152.70000000,1736654399999999,2982288.78130000,12986,1051173.00000000,1381777.81120000,0
1736654400000000,1.31500000,1.32800000,1.30600000,1.31800000,4755060.80000000,1736668799999999,6269481.24740000,20542,2718227.60000000,3584899.35800000,0
1736668800000000,1.31900000,1.32100000,1.29100000,1.30900000,3928449.50000000,1736683199999999,5120273.62690000,19378,1607254.60000000,2095421.09840000,0
1736683200000000,1.30800000,1.33000000,1.29800000,1.32200000,4815091.20000000,1736697599999999,6322191.16460000,27249,2583525.50000000,3395305.64380000,0
1736697600000000,1.32200000,1.32600000,1.30300000,1.30700000,3922317.00000000,1736711999999999,5146625.88540000,19545,1871974.50000000,2457164.90600000,0
1736712000000000,1.30700000,1.31300000,1.27800000,1.29900000,4183203.00000000,1736726399999999,5417278.83960000,18652,1982893.80000000,2569857.11440000,0
1736726400000000,1.30000000,1.34000000,1.24500000,1.25700000,11571618.40000000,1736740799999999,14940613.23070000,50164,5424464.40000000,7012190.24780000,0
1736740800000000,1.25600000,1.28200000,1.22000000,1.23700000,10568061.50000000,1736755199999999,13142998.63020000,45237,5070289.30000000,6305361.64350000,0
1736755200000000,1.23700000,1.24000000,1.15600000,1.15700000,19453508.60000000,1736769599999999,23285575.87360000,74279,8029498.60000000,9625804.63980000,0
1736769600000000,1.15700000,1.22400000,1.14300000,1.20600000,28686570.00000000,1736783999999999,34013664.72440000,147568,15008410.60000000,17814878.04860000,0
1736784000000000,1.20700000,1.21400000,1.17100000,1.19400000,16061393.20000000,1736798399999999,19164504.69000000,78773,7644981.60000000,9122926.63350000,0
1736798400000000,1.19400000,1.25300000,1.18500000,1.24300000,12951726.80000000,1736812799999999,15898151.86830000,59925,6635651.80000000,8140472.85500000,0
1736812800000000,1.24300000,1.26400000,1.23300000,1.24600000,6322468.60000000,1736827199999999,7889800.64930000,38130,3303626.40000000,4124400.82460000,0
1736827200000000,1.24600000,1.26600000,1.24100000,1.24600000,5046337.50000000,1736841599999999,6314338.25230000,31344,2650011.40000000,3317406.91120000,0
1736841600000000,1.24700000,1.29000000,1.24700000,1.26900000,7134824.60000000,1736855999999999,9068544.23210000,47572,3794230.80000000,4824339.91900000,0
1736856000000000,1.26800000,1.29400000,1.25500000,1.27800000,7318155.70000000,1736870399999999,9346502.70950000,49391,3589547.50000000,4586810.77730000,0
1736870400000000,1.27800000,1.29300000,1.26200000,1.28600000,4670330.00000000,1736884799999999,5977870.38900000,29632,2356594.20000000,3019214.99320000,0
1736884800000000,1.28600000,1.31500000,1.27600000,1.30400000,2943835.10000000,1736899199999999,3824251.07020000,17991,1564094.00000000,2032277.57780000,0
1736899200000000,1.30500000,1.31400000,1.28400000,1.29400000,5226064.10000000,1736913599999999,6786608.51520000,34744,2559027.40000000,3325476.01140000,0
1736913600000000,1.29400000,1.32100000,1.28600000,1.30300000,6888881.50000000,1736927999999999,8989949.39730000,33350,3472975.30000000,4532398.23840000,0
1736928000000000,1.30400000,1.31200000,1.25600000,1.27000000,5970950.70000000,1736942399999999,7648269.18720000,34969,2352432.10000000,3017717.55210000,0
1736942400000000,1.27000000,1.36500000,1.25600000,1.35100000,19313088.90000000,1736956799999999,25518216.16400000,78932,10060045.00000000,13307142.42850000,0
1736956800000000,1.35100000,1.37600000,1.33300000,1.37300000,7567118.20000000,1736971199999999,10258497.31840000,38716,3771639.00000000,5116243.64780000,0
1736971200000000,1.37300000,1.38800000,1.34600000,1.36800000,9046864.50000000,1736985599999999,12327286.40980000,41776,4369734.20000000,5960716.59950000,0
1736985600000000,1.36700000,1.37400000,1.33500000,1.35300000,8723005.10000000,1736999999999999,11836398.13390000,51196,4394138.00000000,5966758.15370000,0
1737000000000000,1.35400000,1.36100000,1.34300000,1.35100000,3690982.30000000,1737014399999999,4990160.07250000,20207,2199841.60000000,2975420.38390000,0
1737014400000000,1.35100000,1.35400000,1.31500000,1.34000000,6481964.10000000,1737028799999999,8612844.03420000,37728,3521680.20000000,4678197.50670000,0
1737028800000000,1.34000000,1.37100000,1.30300000,1.33700000,16920347.80000000,1737043199999999,22609324.89830000,71814,8849144.50000000,11830138.30370000,0
1737043200000000,1.33800000,1.37200000,1.33600000,1.36200000,7471357.40000000,1737057599999999,10123479.55100000,35548,3926997.90000000,5323784.96430000,0
