open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1659312000000,9.77000000,11.39000000,9.70000000,11.23000000,7494315.91000000,1659326399999,79865758.30490000,120183,3850989.44000000,41084105.43570000,0
1659326400000,11.23000000,11.30000000,9.68000000,10.02000000,6659663.11000000,1659340799999,68459888.23660000,98505,3069838.48000000,31448716.53410000,0
1659340800000,10.02000000,10.18000000,9.21000000,9.37000000,6017831.06000000,1659355199999,57817004.73300000,98976,2848776.01000000,27395926.01020000,0
1659355200000,9.38000000,9.43000000,8.76000000,8.98000000,6356769.90000000,1659369599999,57569859.88440000,84897,3136172.07000000,28413487.63590000,0
1659369600000,8.98000000,9.25000000,8.46000000,8.58000000,3519998.87000000,1659383999999,30862545.39780000,55436,1581158.66000000,13909071.47520000,0
1659384000000,8.57000000,8.84000000,8.34000000,8.79000000,2385227.42000000,1659398399999,20539147.69020000,36005,1284745.74000000,11071882.85000000,0
1659398400000,8.79000000,8.88000000,7.77000000,7.84000000,5509775.24000000,1659412799999,45797278.81280000,71541,2430939.18000000,20255557.14290000,0
1659412800000,7.83000000,8.15000000,7.67000000,8.12000000,3239270.07000000,1659427199999,25688438.44850000,56366,1720473.59000000,13658053.24800000,0
1659427200000,8.12000000,8.34000000,7.83000000,8.23000000,3314292.04000000,1659441599999,26937474.13320000,43920,1683826.60000000,13706406.96150000,0
1659441600000,8.23000000,8.46000000,7.97000000,8.20000000,4381624.01000000,1659455999999,35914642.53640000,56318,2000478.76000000,16399681.43570000,0
1659456000000,8.20000000,8.84000000,8.00000000,8.10000000,4508725.34000000,1659470399999,38024878.31810000,62616,2180945.44000000,18407653.82120000,0
1659470400000,8.10000000,8.27000000,7.90000000,8.19000000,1551639.47000000,1659484799999,12586485.94620000,25266,803226.03000000,6520714.42170000,0
1659484800000,8.20000000,8.52000000,7.91000000,8.28000000,3583797.46000000,1659499199999,29387097.84090000,47943,1656935.67000000,13596614.29910000,0
1659499200000,8.28000000,8.45000000,8.17000000,8.28000000,1813650.23000000,1659513599999,15099473.43930000,25181,904664.09000000,7536944.43090000,0
1659513600000,8.28000000,8.58000000,8.26000000,8.42000000,2105698.45000000,1659527999999,17732809.15300000,27487,1078017.25000000,9083866.93120000,0
1659528000000,8.41000000,8.55000000,8.35000000,8.51000000,1737393.27000000,1659542399999,14659676.61410000,22347,818722.01000000,6911493.32650000,0
1659542400000,8.50000000,8.76000000,8.19000000,8.30000000,1807589.35000000,1659556799999,15312292.84120000,25654,847095.91000000,7185089.20920000,0
1659556800000,8.29000000,8.33000000,7.91000000,8.08000000,1362682.16000000,1659571199999,11028512.83340000,19171,626759.67000000,5071084.44960000,0
1659571200000,8.08000000,8.48000000,8.05000000,8.43000000,1487969.24000000,1659585599999,12248246.23900000,19049,750087.13000000,6178212.41390000,0
1659585600000,8.44000000,8.63000000,8.26000000,8.38000000,1966553.22000000,1659599999999,16590316.14930000,27828,965926.96000000,8152042.50230000,0
1659600000000,8.38000000,8.44000000,8.17000000,8.24000000,1339728.55000000,1659614399999,11156323.84420000,17201,623250.46000000,5193148.70340000,0
1659614400000,8.24000000,8.43000000,8.04000000,8.19000000,1494174.90000000,1659628799999,12299850.64430000,21076,703176.11000000,5792831.26110000,0
1659628800000,8.19000000,8.24000000,7.86000000,7.95000000,1541671.04000000,1659643199999,12312057.34840000,23766,703113.51000000,5617418.33520000,0
1659643200000,7.95000000,8.13000000,7.86000000,8.09000000,748113.46000000,1659657599999,5976137.79430000,12507,352474.07000000,2819388.37360000,0
1659657600000,8.08000000,8.32000000,8.04000000,8.28000000,1096137.32000000,1659671999999,9000820.19650000,16271,478696.98000000,3932016.19420000,0
1659672000000,8.29000000,8.38000000,8.19000000,8.27000000,1088151.56000000,1659686399999,9018836.66850000,13495,503955.88000000,4179589.65960000,0
1659686400000,8.26000000,8.42000000,8.15000000,8.36000000,1176575.69000000,1659700799999,9737355.52850000,15250,589518.65000000,4882088.35100000,0
1659700800000,8.37000000,8.42000000,8.10000000,8.18000000,2026882.26000000,1659715199999,16680382.56230000,22488,946441.96000000,7794189.19380000,0
1659715200000,8.17000000,8.24000000,8.07000000,8.20000000,700674.07000000,1659729599999,5708547.40900000,11966,325527.45000000,2653479.25240000,0
1659729600000,8.19000000,8.37000000,8.15000000,8.34000000,566808.33000000,1659743999999,4693102.03680000,10225,284257.36000000,2355155.05460000,0
1659744000000,8.33000000,8.35000000,8.16000000,8.31000000,806396.06000000,1659758399999,6653927.20820000,11795,363963.90000000,3005606.04770000,0
1659758400000,8.31000000,9.40000000,8.30000000,9.24000000,7249326.25000000,1659772799999,65629444.33190000,100245,3616136.71000000,32675641.35710000,0
1659772800000,9.24000000,9.47000000,8.99000000,9.26000000,2999497.99000000,1659787199999,27684054.34680000,46015,1467537.34000000,13561546.46000000,0
1659787200000,9.26000000,9.53000000,9.19000000,9.24000000,2192798.45000000,1659801599999,20466811.02460000,38475,1204759.47000000,11252904.14520000,0
1659801600000,9.24000000,9.43000000,9.07000000,9.11000000,1548858.80000000,1659815999999,14323568.83510000,31417,742268.22000000,6866587.08330000,0
1659816000000,9.11000000,9.50000000,9.05000000,9.45000000,1316252.26000000,1659830399999,12203866.35000000,24485,732344.47000000,6794789.52030000,0
1659830400000,9.45000000,9.45000000,8.65000000,8.87000000,4177362.61000000,1659844799999,37230088.72500000,64269,1788393.24000000,15926560.86450000,0
1659844800000,8.86000000,8.97000000,8.81000000,8.87000000,1167443.70000000,1659859199999,10378401.19760000,15264,446505.20000000,3971663.28990000,0
1659859200000,8.87000000,8.92000000,8.71000000,8.86000000,1005079.58000000,1659873599999,8867362.39260000,27050,468958.50000000,4139883.76100000,0
1659873600000,8.86000000,8.97000000,8.84000000,8.88000000,814464.76000000,1659887999999,7244608.04860000,17940,472010.87000000,4200474.74430000,0
1659888000000,8.87000000,9.02000000,8.82000000,8.84000000,673855.69000000,1659902399999,6006635.85060000,10474,323709.80000000,2886503.83310000,0
1659902400000,8.85000000,9.00000000,8.70000000,8.80000000,1076481.68000000,1659916799999,9514343.42230000,14006,533703.23000000,4722511.10190000,0
1659916800000,8.79000000,9.36000000,8.78000000,9.11000000,1687347.54000000,1659931199999,15378614.36730000,26106,840068.09000000,7651012.57240000,0
1659931200000,9.11000000,9.25000000,9.09000000,9.14000000,1244702.84000000,1659945599999,11412299.14950000,16487,586853.54000000,5381266.86490000,0
1659945600000,9.14000000,9.40000000,9.11000000,9.27000000,1175967.49000000,1659959999999,10918649.44000000,17433,603933.10000000,5609921.87370000,0
1659960000000,9.27000000,9.28000000,8.90000000,8.94000000,1672059.61000000,1659974399999,15274820.16160000,23852,762811.36000000,6971794.25020000,0
1659974400000,8.94000000,8.99000000,8.81000000,8.94000000,845265.52000000,1659988799999,7513937.96570000,13570,396001.29000000,3522741.27250000,0
1659988800000,8.94000000,9.10000000,8.50000000,8.72000000,1988682.43000000,1660003199999,17479746.81270000,27243,884651.39000000,7780120.35950000,0
1660003200000,8.72000000,8.83000000,8.59000000,8.72000000,1227716.55000000,1660017599999,10670179.87440000,17708,581662.24000000,5057869.75810000,0
1660017600000,8.73000000,8.84000000,8.68000000,8.73000000,921441.36000000,1660031999999,8067440.24620000,13330,479023.37000000,4197291.37360000,0
1660032000000,8.74000000,8.75000000,8.20000000,8.29000000,3458562.37000000,1660046399999,29120385.54860000,41924,1436428.77000000,12091758.31190000,0
1660046400000,8.28000000,8.37000000,7.82000000,7.99000000,2657684.54000000,1660060799999,21542255.93210000,38316,1284359.39000000,10411927.60150000,0
1660060800000,7.99000000,8.05000000,7.91000000,8.00000000,1177250.55000000,1660075199999,9410420.09470000,13974,567156.94000000,4535602.71970000,0
1660075200000,7.99000000,8.13000000,7.98000000,8.04000000,833181.34000000,1660089599999,6707662.40420000,9706,447895.08000000,3607156.67020000,0
1660089600000,8.05000000,8.15000000,7.71000000,7.92000000,1850282.32000000,1660103999999,14648386.45750000,22341,820303.96000000,6496419.52170000,0
1660104000000,7.91000000,8.08000000,7.89000000,8.02000000,956895.63000000,1660118399999,7666747.06380000,13332,532553.74000000,4269835.80400000,0
1660118400000,8.02000000,8.26000000,8.01000000,8.19000000,1059743.70000000,1660132799999,8608618.32690000,13304,551126.72000000,4479024.94630000,0
1660132800000,8.19000000,8.53000000,8.08000000,8.40000000,3309825.15000000,1660147199999,27798184.76290000,38905,1622620.73000000,13640789.17310000,0
1660147200000,8.40000000,8.44000000,8.14000000,8.17000000,969932.50000000,1660161599999,8037039.06900000,11580,433697.35000000,3592720.61320000,0
1660161600000,8.17000000,8.35000000,8.17000000,8.30000000,768689.08000000,1660175999999,6352861.99420000,9033,428595.79000000,3540255.46160000,0
1660176000000,8.29000000,9.02000000,8.28000000,8.94000000,2531325.21000000,1660190399999,21913383.02160000,27735,1237971.23000000,10707295.55470000,0
1660190400000,8.94000000,8.95000000,8.68000000,8.71000000,1814476.71000000,1660204799999,16031040.03650000,22273,789968.66000000,6983833.51070000,0
1660204800000,8.70000000,8.77000000,8.56000000,8.64000000,1515770.90000000,1660219199999,13120932.67260000,16979,762950.53000000,6601678.00930000,0
1660219200000,8.64000000,8.84000000,8.45000000,8.49000000,2056919.90000000,1660233599999,17788111.83860000,23085,964032.54000000,8353676.03850000,0
1660233600000,8.48000000,8.59000000,8.35000000,8.42000000,700862.01000000,1660247999999,5931691.87680000,10394,325741.88000000,2757042.42180000,0
1660248000000,8.42000000,8.47000000,8.22000000,8.34000000,595193.74000000,1660262399999,4979481.88450000,8662,289184.30000000,2419759.52500000,0
1660262400000,8.34000000,8.56000000,8.16000000,8.48000000,924161.04000000,1660276799999,7751529.30080000,13794,476661.39000000,4001567.39290000,0
1660276800000,8.48000000,8.65000000,8.36000000,8.46000000,694921.65000000,1660291199999,5894292.08760000,10311,359390.89000000,3050463.28450000,0
1660291200000,8.45000000,8.65000000,8.26000000,8.35000000,1020986.22000000,1660305599999,8635445.57060000,14301,487838.36000000,4129341.74570000,0
