open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1748736000000000,0.03240000,0.03510000,0.03200000,0.03370000,21459261.00000000,1748750399999999,719054.80130000,5206,10013561.00000000,335191.54840000,0
1748750400000000,0.03370000,0.03400000,0.03280000,0.03320000,10153187.00000000,1748764799999999,338640.49880000,2756,4701510.00000000,156694.74570000,0
1748764800000000,0.03310000,0.03350000,0.03220000,0.03300000,7160201.00000000,1748779199999999,235198.10190000,1938,3325315.00000000,109274.59200000,0
1748779200000000,0.03300000,0.03390000,0.03240000,0.03310000,19685707.00000000,1748793599999999,656323.86510000,2870,10327810.00000000,344796.70760000,0
1748793600000000,0.03310000,0.03340000,0.03190000,0.03210000,12773536.00000000,1748807999999999,415394.06660000,2023,5255884.00000000,171209.63500000,0
1748808000000000,0.03210000,0.03280000,0.03190000,0.03250000,4425450.00000000,1748822399999999,143020.01150000,848,2028659.00000000,65520.57910000,0
1748822400000000,0.03250000,0.03260000,0.03100000,0.03110000,9190863.00000000,1748836799999999,292344.62110000,1744,5347339.00000000,170047.21310000,0
1748836800000000,0.03110000,0.03180000,0.03080000,0.03150000,5457758.00000000,1748851199999999,170802.21200000,1199,2624943.00000000,82151.48170000,0
1748851200000000,0.03150000,0.03230000,0.03090000,0.03210000,10336307.00000000,1748865599999999,325987.63700000,1688,6050195.00000000,191404.55180000,0
1748865600000000,0.03200000,0.03750000,0.03200000,0.03730000,68107791.00000000,1748879999999999,2374495.87170000,13255,39101271.00000000,1362321.61400000,0
1748880000000000,0.03740000,0.03750000,0.03380000,0.03490000,54244466.00000000,1748894399999999,1912092.31270000,10854,25594853.00000000,903202.66580000,0
1748894400000000,0.03490000,0.03650000,0.03490000,0.03550000,19814859.00000000,1748908799999999,707769.87640000,4912,9480977.00000000,338847.91880000,0
1748908800000000,0.03550000,0.03640000,0.03490000,0.03560000,12437779.00000000,1748923199999999,444003.81430000,4045,5152833.00000000,183977.21180000,0
1748923200000000,0.03560000,0.03630000,0.03510000,0.03530000,6238102.00000000,1748937599999999,222803.03180000,2260,2815798.00000000,100693.47640000,0
1748937600000000,0.03540000,0.03580000,0.03470000,0.03550000,4795433.00000000,1748951999999999,168628.54050000,1794,2296631.00000000,80766.36140000,0
1748952000000000,0.03550000,0.03640000,0.03530000,0.03600000,8815818.00000000,1748966399999999,315380.50250000,2229,4884262.00000000,175072.74660000,0
1748966400000000,0.03610000,0.03630000,0.03550000,0.03570000,5919770.00000000,1748980799999999,212433.79960000,1789,2946433.00000000,105834.02650000,0
