open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1661990400000,2.07000000,2.09100000,2.01600000,2.03100000,1108038.90000000,1662004799999,2265094.84943000,9717,480798.68000000,983612.14900000,0
1662004800000,2.03100000,2.04300000,1.98700000,2.00600000,670994.66000000,1662019199999,1353181.96769000,5966,286750.49000000,578543.13858000,0
1662019200000,2.00500000,2.04000000,1.99900000,2.03800000,941317.84000000,1662033599999,1898438.77459000,6357,411205.84000000,829726.60284000,0
1662033600000,2.03800000,2.06100000,1.95800000,2.04400000,1761316.00000000,1662047999999,3542170.02368000,10505,825718.26000000,1662105.80499000,0
1662048000000,2.04500000,2.04900000,2.00400000,2.02200000,915195.41000000,1662062399999,1854197.79935000,5747,382432.30000000,774566.56934000,0
1662062400000,2.02300000,2.07800000,2.01900000,2.04600000,739346.79000000,1662076799999,1511884.64609000,4910,336567.26000000,688882.56068000,0
1662076800000,2.04700000,2.04800000,1.99000000,2.02600000,816410.38000000,1662091199999,1651232.36975000,5714,380996.06000000,770301.27078000,0
1662091200000,2.02700000,2.04500000,2.01400000,2.03100000,353344.40000000,1662105599999,717094.79449000,3311,166146.41000000,337222.01499000,0
1662105600000,2.03100000,2.03100000,1.97400000,1.99600000,499147.69000000,1662119999999,1000249.16763000,4351,261158.99000000,522956.39983000,0
1662120000000,1.99500000,2.06100000,1.98700000,2.03000000,1401590.56000000,1662134399999,2849811.47016000,7647,638448.39000000,1297363.86965000,0
1662134400000,2.03000000,2.03700000,1.93300000,1.95000000,1828038.35000000,1662148799999,3623803.56865000,8958,892319.25000000,1768991.75159000,0
1662148800000,1.95000000,1.97300000,1.94300000,1.96800000,721938.76000000,1662163199999,1415494.37477000,5230,410456.23000000,804908.55488000,0
1662163200000,1.96800000,1.97000000,1.91300000,1.91800000,1218016.59000000,1662177599999,2370397.72921000,6291,595582.38000000,1159631.21135000,0
1662177600000,1.91800000,1.93000000,1.88400000,1.90300000,1135914.13000000,1662191999999,2177198.46178000,6637,636505.58000000,1220162.08399000,0
1662192000000,1.90200000,1.93400000,1.89900000,1.92500000,531982.13000000,1662206399999,1021105.79565000,3920,271773.04000000,521566.04449000,0
1662206400000,1.92500000,1.93900000,1.92200000,1.92900000,386523.28000000,1662220799999,746764.68971000,3191,199849.52000000,386158.38782000,0
1662220800000,1.92900000,1.94900000,1.91700000,1.94000000,399820.21000000,1662235199999,774935.73441000,3282,225941.63000000,438115.46864000,0
1662235200000,1.94000000,1.95400000,1.93400000,1.95100000,380871.99000000,1662249599999,741388.16531000,3178,185710.80000000,361613.29773000,0
1662249600000,1.95100000,1.96900000,1.93100000,1.96100000,629001.09000000,1662263999999,1229249.63136000,3876,294793.79000000,576754.09341000,0
1662264000000,1.96200000,1.97400000,1.92500000,1.92600000,887496.83000000,1662278399999,1742623.88730000,4509,401162.20000000,788161.28447000,0
1662278400000,1.92600000,1.97600000,1.91600000,1.97600000,557001.17000000,1662292799999,1086111.09588000,3426,270601.21000000,527797.42416000,0
1662292800000,1.97600000,1.98300000,1.93800000,1.95200000,433028.39000000,1662307199999,847874.28601000,2802,167519.82000000,328447.97949000,0
1662307200000,1.95200000,1.96200000,1.93800000,1.95500000,337159.26000000,1662321599999,658425.44139000,1548,158602.82000000,309731.57353000,0
1662321600000,1.95600000,1.96100000,1.92600000,1.94800000,966993.29000000,1662335999999,1878491.53470000,3629,475492.35000000,923414.61063000,0
1662336000000,1.95000000,1.96600000,1.93000000,1.93400000,904727.37000000,1662350399999,1756846.78363000,2995,483210.27000000,938111.13978000,0
1662350400000,1.93400000,1.94200000,1.86900000,1.88200000,918538.47000000,1662364799999,1750432.97960000,3754,504557.33000000,963858.76774000,0
1662364800000,1.88100000,1.89100000,1.84700000,1.87200000,802713.63000000,1662379199999,1503161.98279000,4383,462179.11000000,866268.74948000,0
1662379200000,1.87300000,1.92000000,1.86600000,1.91500000,739109.04000000,1662393599999,1403707.84612000,3584,411502.03000000,781499.80947000,0
1662393600000,1.91600000,1.91900000,1.88200000,1.89500000,397386.70000000,1662407999999,754726.53022000,2326,168769.84000000,320544.65006000,0
1662408000000,1.89600000,1.93000000,1.89500000,1.91900000,722702.34000000,1662422399999,1378864.01975000,2570,202827.67000000,387280.03328000,0
1662422400000,1.91900000,1.97200000,1.89400000,1.92500000,946844.81000000,1662436799999,1836236.82534000,4785,441543.15000000,856863.32645000,0
