open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1722470400000,0.02190000,0.02216000,0.02169000,0.02176000,61439302.00000000,1722484799999,1344590.20301000,7057,26132312.00000000,572052.42117000,0
1722484800000,0.02176000,0.02183000,0.02105000,0.02142000,86875968.00000000,1722499199999,1859157.49849000,9072,45428223.00000000,972178.90903000,0
1722499200000,0.02141000,0.02187000,0.02141000,0.02187000,41124470.00000000,1722513599999,891699.57315000,5231,22220991.00000000,481842.71193000,0
1722513600000,0.02186000,0.02231000,0.02104000,0.02105000,131713107.00000000,1722527999999,2839102.64439000,15341,61903049.00000000,1335623.41712000,0
1722528000000,0.02106000,0.02108000,0.02034000,0.02085000,180406188.00000000,1722542399999,3759357.57528000,22775,89416988.00000000,1863417.08180000,0
1722542400000,0.02085000,0.02207000,0.02067000,0.02191000,113546279.00000000,1722556799999,2427147.60627000,10437,55744918.00000000,1190270.13972000,0
1722556800000,0.02191000,0.02220000,0.02123000,0.02156000,68310831.00000000,1722571199999,1486360.76959000,8527,34772819.00000000,757525.65508000,0
1722571200000,0.02156000,0.02167000,0.02073000,0.02115000,59933778.00000000,1722585599999,1271949.37741000,7790,30548555.00000000,649078.25882000,0
1722585600000,0.02115000,0.02140000,0.02100000,0.02118000,70870503.00000000,1722599999999,1502368.43685000,7017,33966367.00000000,719809.05097000,0
1722600000000,0.02117000,0.02161000,0.01970000,0.02040000,250811862.00000000,1722614399999,5160338.25336000,28983,115181021.00000000,2369852.44060000,0
1722614400000,0.02039000,0.02049000,0.01975000,0.01999000,94965304.00000000,1722628799999,1912210.94202000,14437,43689544.00000000,880355.53521000,0
1722628800000,0.02000000,0.02021000,0.01957000,0.01987000,99654515.00000000,1722643199999,1983655.99494000,12673,48132584.00000000,959023.59933000,0
1722643200000,0.01986000,0.02007000,0.01930000,0.02005000,84566445.00000000,1722657599999,1668189.73524000,11165,41495154.00000000,819512.04511000,0
1722657600000,0.02005000,0.02026000,0.01993000,0.02012000,36926716.00000000,1722671999999,741336.90319000,4687,17176594.00000000,344976.08936000,0
1722672000000,0.02011000,0.02015000,0.01987000,0.01998000,35955182.00000000,1722686399999,719414.39085000,4555,18646218.00000000,373181.44248000,0
1722686400000,0.01996000,0.02025000,0.01921000,0.01923000,105026015.00000000,1722700799999,2083254.94026000,8296,46409479.00000000,921533.41116000,0
1722700800000,0.01923000,0.01937000,0.01819000,0.01820000,196845183.00000000,1722715199999,3683202.13999000,23296,88254166.00000000,1650957.55414000,0
1722715200000,0.01820000,0.01878000,0.01815000,0.01858000,75312324.00000000,1722729599999,1392788.15935000,6982,38841135.00000000,718315.24747000,0
1722729600000,0.01859000,0.01920000,0.01851000,0.01905000,47840033.00000000,1722743999999,900814.99876000,4783,23830688.00000000,449475.34659000,0
1722744000000,0.01906000,0.01909000,0.01868000,0.01872000,33314563.00000000,1722758399999,630501.41969000,3409,13640092.00000000,258351.78499000,0
1722758400000,0.01872000,0.01902000,0.01858000,0.01887000,38773758.00000000,1722772799999,729559.91101000,4186,23122474.00000000,435134.08810000,0
1722772800000,0.01887000,0.01899000,0.01773000,0.01776000,160958686.00000000,1722787199999,2922992.89113000,14822,77814949.00000000,1412579.55635000,0
1722787200000,0.01777000,0.01808000,0.01695000,0.01793000,308202899.00000000,1722801599999,5374800.80159000,32171,145683684.00000000,2543713.16728000,0
1722801600000,0.01793000,0.01825000,0.01749000,0.01756000,98362243.00000000,1722815999999,1753703.97506000,10135,44734880.00000000,797308.68805000,0
1722816000000,0.01757000,0.01776000,0.01480000,0.01526000,814107977.00000000,1722830399999,12910384.75152000,80546,357616209.00000000,5671982.85607000,0
1722830400000,0.01527000,0.01556000,0.01356000,0.01534000,897966237.00000000,1722844799999,13233010.03622000,81692,464632058.00000000,6857493.90252000,0
1722844800000,0.01534000,0.01541000,0.01392000,0.01445000,468814788.00000000,1722859199999,6892096.48893000,46523,218826122.00000000,3221963.37854000,0
1722859200000,0.01445000,0.01631000,0.01383000,0.01596000,871915683.00000000,1722873599999,13023021.04490000,78140,447613071.00000000,6697681.86331000,0
1722873600000,0.01595000,0.01642000,0.01528000,0.01558000,261804436.00000000,1722887999999,4153656.41549000,25301,135806945.00000000,2156977.15156000,0
1722888000000,0.01558000,0.01606000,0.01550000,0.01570000,142605235.00000000,1722902399999,2245477.36620000,11238,67576022.00000000,1064482.47721000,0
1722902400000,0.01570000,0.01696000,0.01568000,0.01663000,156988988.00000000,1722916799999,2606514.57220000,13837,83968064.00000000,1393596.41328000,0
1722916800000,0.01663000,0.01698000,0.01648000,0.01686000,147287731.00000000,1722931199999,2470325.30258000,11123,77261207.00000000,1295747.73021000,0
1722931200000,0.01686000,0.01686000,0.01621000,0.01634000,174912552.00000000,1722945599999,2870872.71441000,14090,87046195.00000000,1428483.55718000,0
1722945600000,0.01635000,0.01710000,0.01603000,0.01701000,229125798.00000000,1722959999999,3810744.14887000,21621,117372211.00000000,1954727.65966000,0
1722960000000,0.01701000,0.01727000,0.01687000,0.01703000,130985772.00000000,1722974399999,2239553.79549000,14173,67264902.00000000,1150329.09087000,0
1722974400000,0.01703000,0.01751000,0.01687000,0.01703000,95454288.00000000,1722988799999,1632144.68969000,11530,46890500.00000000,802957.69386000,0
1722988800000,0.01702000,0.01760000,0.01671000,0.01726000,103446830.00000000,1723003199999,1770723.73023000,16486,51687223.00000000,885196.40526000,0
1723003200000,0.01725000,0.01752000,0.01702000,0.01711000,66650749.00000000,1723017599999,1151963.66267000,10927,33103160.00000000,572827.56232000,0
1723017600000,0.01710000,0.01750000,0.01700000,0.01703000,87001975.00000000,1723031999999,1498075.67450000,13031,44852543.00000000,772458.25243000,0
1723032000000,0.01704000,0.01729000,0.01628000,0.01664000,182581978.00000000,1723046399999,3063520.80004000,20873,89510749.00000000,1500926.16236000,0
1723046400000,0.01664000,0.01673000,0.01613000,0.01629000,153749253.00000000,1723060799999,2526391.69713000,14524,67196490.00000000,1106218.44326000,0
1723060800000,0.01629000,0.01648000,0.01594000,0.01612000,119385691.00000000,1723075199999,1938540.65476000,12369,52198371.00000000,847923.60216000,0
1723075200000,0.01612000,0.01724000,0.01578000,0.01686000,128370873.00000000,1723089599999,2132212.32158000,13887,65562105.00000000,1089267.52126000,0
1723089600000,0.01686000,0.01709000,0.01678000,0.01678000,46484971.00000000,1723103999999,787158.87204000,5912,21772230.00000000,368769.45638000,0
1723104000000,0.01679000,0.01701000,0.01669000,0.01693000,69565720.00000000,1723118399999,1172596.13506000,7305,38730086.00000000,652945.87536000,0
1723118400000,0.01692000,0.01778000,0.01685000,0.01751000,310763804.00000000,1723132799999,5406435.87295000,26498,151714834.00000000,2639372.61097000,0
1723132800000,0.01751000,0.01773000,0.01721000,0.01724000,108216272.00000000,1723147199999,1891843.40027000,11998,46169711.00000000,808362.05350000,0
1723147200000,0.01724000,0.01771000,0.01709000,0.01750000,444929097.00000000,1723161599999,7754710.45470000,33820,198861279.00000000,3469756.89083000,0
1723161600000,0.01750000,0.01751000,0.01693000,0.01706000,384090204.00000000,1723175999999,6575014.45389000,25968,180469246.00000000,3090135.60813000,0
