open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1685577600000,0.25640000,0.25880000,0.25070000,0.25320000,3587506.00000000,1685591999999,914509.33357000,5629,1672872.90000000,426209.51168000,0
1685592000000,0.25320000,0.25480000,0.25270000,0.25380000,1598981.50000000,1685606399999,406131.95479000,2248,785337.10000000,199447.18449000,0
1685606400000,0.25370000,0.25670000,0.25300000,0.25610000,1938933.90000000,1685620799999,495098.44156000,2880,1068726.90000000,272816.68482000,0
1685620800000,0.25610000,0.25730000,0.25490000,0.25590000,2076279.70000000,1685635199999,531527.62170000,2927,877973.50000000,224781.48546000,0
1685635200000,0.25590000,0.25800000,0.25390000,0.25700000,2991079.90000000,1685649599999,765403.73007000,4045,1337067.90000000,342208.79115000,0
1685649600000,0.25700000,0.25910000,0.25610000,0.25760000,2861899.30000000,1685663999999,736671.51068000,2953,1444878.90000000,372036.37423000,0
1685664000000,0.25770000,0.25850000,0.25190000,0.25710000,3522813.80000000,1685678399999,900418.43081000,5266,1679620.30000000,429312.94649000,0
1685678400000,0.25710000,0.26020000,0.25680000,0.25920000,3446853.60000000,1685692799999,891959.68156000,3551,1804326.20000000,467110.73029000,0
1685692800000,0.25920000,0.26210000,0.25920000,0.26050000,2811807.90000000,1685707199999,733336.24824000,3276,1325751.30000000,345734.27684000,0
1685707200000,0.26060000,0.26080000,0.25730000,0.25990000,3274904.60000000,1685721599999,848372.87919000,5614,1572726.00000000,407536.69086000,0
1685721600000,0.25990000,0.26130000,0.25820000,0.26080000,3096031.10000000,1685735999999,804803.73630000,4533,1679742.40000000,436897.06395000,0
1685736000000,0.26100000,0.26150000,0.25940000,0.26080000,1932165.80000000,1685750399999,503688.44409000,2844,927585.50000000,241844.01813000,0
1685750400000,0.26070000,0.26190000,0.25870000,0.26020000,2869389.40000000,1685764799999,747841.95485000,3683,1459912.40000000,380483.71082000,0
