open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1696118400000,40.61000000,41.25000000,40.48000000,41.22000000,15246.04700000,1696132799999,625306.25782000,3328,6491.82800000,266263.92291000,0
1696132800000,41.22000000,42.76000000,41.02000000,42.14000000,55270.54300000,1696147199999,2324849.13133000,10095,25191.40300000,1059516.30096000,0
1696147200000,42.14000000,43.13000000,41.66000000,42.72000000,32922.93900000,1696161599999,1399474.70218000,6078,16461.27500000,700396.94887000,0
1696161600000,42.72000000,42.77000000,41.74000000,42.06000000,20229.44500000,1696175999999,854690.81236000,4993,7332.59700000,309905.12680000,0
1696176000000,42.03000000,42.30000000,41.11000000,41.61000000,16539.17800000,1696190399999,692157.44409000,3635,7603.35000000,318665.60275000,0
1696190400000,41.61000000,42.99000000,41.32000000,42.42000000,22140.08500000,1696204799999,936475.86085000,5485,10431.08200000,441262.59933000,0
1696204800000,42.41000000,42.94000000,42.08000000,42.67000000,20479.76800000,1696219199999,870452.04198000,4236,11136.78300000,473578.63279000,0
1696219200000,42.66000000,42.72000000,41.94000000,42.23000000,10586.53400000,1696233599999,447911.20991000,3218,5042.41600000,213354.12750000,0
1696233600000,42.24000000,42.47000000,40.51000000,40.53000000,37395.37900000,1696247999999,1546065.64020000,8673,15986.28000000,661967.76489000,0
1696248000000,40.54000000,41.00000000,39.48000000,39.67000000,37638.73400000,1696262399999,1516257.42245000,8434,17924.55500000,722674.72382000,0
1696262400000,39.63000000,40.09000000,38.36000000,39.89000000,28811.01800000,1696276799999,1135946.75428000,6941,12210.07900000,480266.68504000,0
1696276800000,39.88000000,39.91000000,39.16000000,39.70000000,10244.53900000,1696291199999,406737.61878000,2279,4318.71300000,171503.79926000,0
1696291200000,39.72000000,39.78000000,39.15000000,39.50000000,16777.00500000,1696305599999,662966.40165000,2416,7949.40700000,314241.41751000,0
1696305600000,39.51000000,40.03000000,39.31000000,39.88000000,9842.43900000,1696319999999,391095.55930000,2140,4768.86900000,189588.96078000,0
1696320000000,39.88000000,40.32000000,39.36000000,39.54000000,18354.72800000,1696334399999,733726.41831000,3064,6927.01100000,276547.13280000,0
1696334400000,39.60000000,39.63000000,38.66000000,38.80000000,17197.41600000,1696348799999,673441.85625000,3134,8278.26800000,324177.31807000,0
1696348800000,38.81000000,38.98000000,38.57000000,38.81000000,6343.65100000,1696363199999,246379.26928000,1301,3216.44800000,124911.55983000,0
1696363200000,38.82000000,39.26000000,38.58000000,38.81000000,14516.09400000,1696377599999,565609.55705000,2167,3446.32800000,134186.50977000,0
1696377600000,38.83000000,38.85000000,37.30000000,38.38000000,24615.46500000,1696391999999,939816.65625000,5149,9134.43800000,348202.96982000,0
1696392000000,38.36000000,38.78000000,38.11000000,38.71000000,10589.95200000,1696406399999,407044.52120000,1959,4007.02500000,153973.61693000,0
1696406400000,38.74000000,39.14000000,37.31000000,37.49000000,36106.15600000,1696420799999,1376097.45902000,7672,16182.57600000,616232.59340000,0
1696420800000,37.50000000,37.86000000,37.03000000,37.26000000,22831.36400000,1696435199999,851976.07446000,4502,11038.19900000,411848.66084000,0
1696435200000,37.24000000,38.47000000,37.17000000,38.17000000,14039.21100000,1696449599999,532080.57011000,2872,4129.01700000,156436.31957000,0
1696449600000,38.17000000,38.51000000,38.12000000,38.27000000,6150.58800000,1696463999999,235898.82770000,1142,2106.78900000,80827.36229000,0
1696464000000,38.27000000,38.61000000,37.97000000,37.98000000,8405.10200000,1696478399999,321455.77356000,1657,4058.66300000,155134.49228000,0
1696478400000,37.99000000,38.43000000,37.97000000,38.30000000,9376.86900000,1696492799999,358398.83382000,1764,2789.94700000,106704.67144000,0
1696492800000,38.30000000,38.61000000,38.18000000,38.18000000,7712.81000000,1696507199999,296262.06399000,1536,3213.32900000,123442.15560000,0
1696507200000,38.17000000,38.29000000,37.22000000,37.66000000,21707.96300000,1696521599999,822705.83020000,3956,11208.19200000,424870.50765000,0
1696521600000,37.63000000,38.19000000,37.49000000,38.12000000,9585.62500000,1696535999999,363414.95156000,1873,2889.16900000,109561.98477000,0
1696536000000,38.14000000,38.22000000,37.91000000,37.99000000,3620.66600000,1696550399999,137771.33343000,795,1037.11100000,39496.62989000,0
1696550400000,38.01000000,38.47000000,37.91000000,38.44000000,8831.07000000,1696564799999,337751.76467000,1295,4735.14400000,181400.64407000,0
1696564800000,38.43000000,38.83000000,38.21000000,38.80000000,11798.64900000,1696579199999,455047.99679000,1640,3806.05800000,146872.77765000,0
1696579200000,38.79000000,38.98000000,38.67000000,38.77000000,10196.27700000,1696593599999,396234.12114000,1427,3082.14100000,119755.82476000,0
1696593600000,38.78000000,39.29000000,37.90000000,39.22000000,15902.65300000,1696607999999,613312.80408000,2798,8720.77600000,336279.43170000,0
1696608000000,39.22000000,39.98000000,38.90000000,39.84000000,11103.95900000,1696622399999,439004.16142000,1899,5132.29000000,202733.65555000,0
1696622400000,39.84000000,39.98000000,39.68000000,39.68000000,5514.42400000,1696636799999,219660.17386000,965,2794.70400000,111353.00559000,0
1696636800000,39.77000000,40.02000000,39.42000000,39.78000000,13222.51500000,1696651199999,526026.78678000,1897,6138.91000000,244318.63743000,0
1696651200000,39.79000000,40.25000000,39.68000000,39.73000000,18306.40600000,1696665599999,731817.98391000,2846,7549.77700000,301851.56987000,0
1696665600000,39.79000000,40.05000000,39.47000000,39.53000000,10007.94100000,1696679999999,397914.37721000,1353,4904.70700000,195004.18425000,0
1696680000000,39.52000000,39.59000000,38.74000000,38.80000000,21624.52800000,1696694399999,847338.87741000,2987,8876.50500000,347886.08534000,0
1696694400000,38.80000000,38.86000000,38.22000000,38.24000000,10013.10500000,1696708799999,386052.33446000,1952,5199.67400000,200511.52425000,0
1696708800000,38.27000000,38.64000000,38.23000000,38.52000000,4353.56400000,1696723199999,167673.80218000,741,2178.17200000,83896.53263000,0
1696723200000,38.51000000,38.95000000,38.44000000,38.58000000,10135.36700000,1696737599999,391821.71084000,1291,5878.39300000,227222.28191000,0
1696737600000,38.57000000,38.60000000,37.94000000,37.98000000,15549.30800000,1696751999999,594205.87071000,2915,7003.26300000,267394.47600000,0
1696752000000,37.99000000,38.04000000,37.19000000,37.21000000,15414.39400000,1696766399999,579100.16562000,2782,5968.08700000,224156.23089000,0
1696766400000,37.19000000,38.02000000,37.16000000,37.73000000,9121.42500000,1696780799999,343118.93731000,1509,5012.58700000,188510.81153000,0
1696780800000,37.76000000,37.91000000,37.66000000,37.83000000,1874.22000000,1696795199999,70765.85877000,601,902.07800000,34067.55574000,0
1696795200000,37.82000000,38.10000000,37.61000000,37.76000000,4167.54600000,1696809599999,157594.05032000,1040,1854.44700000,70169.01444000,0
1696809600000,37.75000000,37.90000000,37.44000000,37.80000000,5807.64600000,1696823999999,218575.54919000,1314,2169.86500000,81654.61260000,0
1696824000000,37.81000000,37.95000000,37.25000000,37.38000000,7492.34700000,1696838399999,281827.06473000,1487,3424.63000000,128944.36601000,0
