open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,0.05060000,0.05200000,0.05040000,0.05060000,25389393.00000000,1688183999999,1298604.93560000,5533,12254559.00000000,627131.54470000,0
1688184000000,0.05050000,0.05080000,0.05020000,0.05070000,15809956.00000000,1688198399999,797900.58600000,3459,5072842.00000000,256067.49600000,0
1688198400000,0.05070000,0.05080000,0.05020000,0.05040000,14400008.00000000,1688212799999,726697.29480000,3244,5702139.00000000,287866.06630000,0
1688212800000,0.05040000,0.05090000,0.05020000,0.05060000,19329131.00000000,1688227199999,977550.10600000,3868,8942898.00000000,452442.67910000,0
1688227200000,0.05060000,0.05080000,0.05020000,0.05030000,7672069.00000000,1688241599999,386505.48010000,1990,3472506.00000000,175049.90080000,0
1688241600000,0.05020000,0.05080000,0.05000000,0.05070000,12393870.00000000,1688255999999,624340.70660000,2512,6351770.00000000,320129.05390000,0
1688256000000,0.05070000,0.05080000,0.04960000,0.04970000,17191714.00000000,1688270399999,865131.51130000,3700,9264858.00000000,466246.97810000,0
1688270400000,0.04960000,0.05010000,0.04950000,0.04990000,8157725.00000000,1688284799999,406736.22660000,1793,3990750.00000000,199014.17100000,0
1688284800000,0.04990000,0.05020000,0.04960000,0.05020000,7058202.00000000,1688299199999,351904.62640000,1783,3157066.00000000,157477.62260000,0
1688299200000,0.05010000,0.05070000,0.04960000,0.05000000,12991439.00000000,1688313599999,651302.77270000,2588,6566720.00000000,329249.21440000,0
1688313600000,0.05010000,0.05040000,0.04940000,0.04980000,12138978.00000000,1688327999999,605622.67370000,2262,6420254.00000000,320264.89240000,0
1688328000000,0.04990000,0.05040000,0.04930000,0.05010000,16534186.00000000,1688342399999,825018.97570000,3254,7517741.00000000,375236.02920000,0
1688342400000,0.05010000,0.05100000,0.04980000,0.05070000,14992269.00000000,1688356799999,755227.43050000,4317,6823686.00000000,344058.11560000,0
1688356800000,0.05080000,0.05120000,0.05020000,0.05080000,13701689.00000000,1688371199999,695030.59440000,3341,6036225.00000000,306344.82550000,0
