open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1704067200000,1.65400000,1.67900000,1.63400000,1.64400000,466944.22500000,1704081599999,775564.22750500,3631,210867.86100000,350225.51260300,0
1704081600000,1.64300000,1.65300000,1.61600000,1.64300000,484014.18500000,1704095999999,791528.91229500,6407,195394.10500000,319762.11330800,0
1704096000000,1.64400000,1.66000000,1.63800000,1.65700000,197957.60700000,1704110399999,326314.65227500,2195,110229.76700000,181754.75724900,0
1704110400000,1.65800000,1.69000000,1.65000000,1.68800000,314944.45800000,1704124799999,526523.06179700,3048,165263.82300000,276100.47232900,0
1704124800000,1.68800000,1.73100000,1.68500000,1.72600000,268850.78500000,1704139199999,458513.60934800,2685,147360.42000000,251310.89542800,0
1704139200000,1.72800000,1.73100000,1.70400000,1.72600000,193878.04600000,1704153599999,332416.21293100,1944,79292.99200000,135962.01921300,0
1704153600000,1.72600000,1.74300000,1.70400000,1.73600000,306297.41300000,1704167999999,528873.61509700,2788,128245.82600000,221564.26753100,0
1704168000000,1.73600000,1.75200000,1.72400000,1.73000000,435077.57200000,1704182399999,757661.35321100,3811,255362.43500000,444768.90891400,0
1704182400000,1.73100000,1.75400000,1.71800000,1.72800000,395858.75500000,1704196799999,687868.91055500,4023,212442.93000000,369094.22440400,0
1704196800000,1.72700000,1.72800000,1.67700000,1.69100000,435396.64200000,1704211199999,742678.24924900,5444,230326.20800000,392969.58435500,0
1704211200000,1.69200000,1.69900000,1.65600000,1.67700000,441725.47000000,1704225599999,740221.77431800,4419,222515.57500000,372915.89721200,0
1704225600000,1.67700000,1.69800000,1.66300000,1.68300000,178261.77400000,1704239999999,299703.26930800,2684,85511.01800000,143806.08591500,0
1704240000000,1.68400000,1.72200000,1.68400000,1.70200000,187953.21800000,1704254399999,320564.60186800,3016,100340.86700000,171156.90205700,0
1704254400000,1.70300000,1.76100000,1.70000000,1.72700000,384913.73000000,1704268799999,665244.40158600,4035,217967.70800000,377356.82234300,0
1704268800000,1.72700000,1.75800000,1.66000000,1.68300000,659108.74700000,1704283199999,1135007.50772100,7593,266573.00000000,458834.61589200,0
1704283200000,1.68300000,1.68500000,1.23100000,1.51400000,3147317.26800000,1704297599999,4625418.04487600,30150,1475316.90200000,2161468.29285200,0
1704297600000,1.51100000,1.53100000,1.46000000,1.48600000,758297.67500000,1704311999999,1135917.64251300,7344,367055.53600000,550629.59777200,0
1704312000000,1.48400000,1.51500000,1.48100000,1.49800000,245884.64300000,1704326399999,368174.30902000,2893,127707.23500000,191249.10717700,0
1704326400000,1.49900000,1.51300000,1.46400000,1.51200000,392633.64100000,1704340799999,586045.28407800,4469,203234.01000000,303273.02369900,0
1704340800000,1.51200000,1.55900000,1.50400000,1.50700000,572101.52400000,1704355199999,876606.38690800,5140,270378.59800000,414201.35345900,0
1704355200000,1.50800000,1.52500000,1.49500000,1.50500000,533774.44200000,1704369599999,806944.78871500,4798,243279.37000000,368324.46539700,0
1704369600000,1.50400000,1.52500000,1.49500000,1.52200000,405388.26800000,1704383999999,613143.46991900,3739,219260.13800000,331803.73178600,0
1704384000000,1.52400000,1.53300000,1.51300000,1.51800000,278359.92500000,1704398399999,423877.30782900,2675,118910.17300000,181068.23604900,0
1704398400000,1.51800000,1.54600000,1.51500000,1.52200000,292091.85200000,1704412799999,446702.59867000,2727,159717.62900000,244391.07826400,0
1704412800000,1.52200000,1.54100000,1.44000000,1.47400000,799596.50000000,1704427199999,1191030.19585000,7174,374619.25800000,557280.61738500,0
1704427200000,1.47200000,1.50000000,1.46500000,1.48000000,315735.00900000,1704441599999,468976.65947000,3494,183903.04800000,273280.15189600,0
1704441600000,1.48100000,1.51000000,1.47000000,1.47400000,425339.78800000,1704455999999,635935.99721100,5415,191331.88000000,286063.03373900,0
1704456000000,1.47400000,1.49700000,1.42900000,1.44300000,438044.99500000,1704470399999,640251.00017900,4770,222733.34700000,325801.67316000,0
1704470400000,1.44200000,1.45400000,1.40500000,1.44000000,486796.07300000,1704484799999,698094.69961900,4231,227806.55800000,326535.91350200,0
1704484800000,1.44200000,1.47900000,1.43600000,1.47900000,317487.81000000,1704499199999,461847.73421000,2260,142136.68500000,206881.97662800,0
1704499200000,1.48000000,1.48400000,1.43700000,1.44100000,258333.74000000,1704513599999,374439.17315200,2418,107084.48100000,155318.89893500,0
1704513600000,1.44100000,1.44800000,1.34400000,1.38300000,915071.50600000,1704527999999,1269492.26155000,7436,391257.83300000,540742.05180200,0
1704528000000,1.38300000,1.41000000,1.36900000,1.40800000,218255.71900000,1704542399999,303168.36870600,2751,98684.35400000,137244.24324400,0
1704542400000,1.40800000,1.44100000,1.39200000,1.43700000,283097.86700000,1704556799999,402021.20075900,2982,157864.09100000,224209.81883100,0
1704556800000,1.43900000,1.44500000,1.41000000,1.42300000,243665.34100000,1704571199999,349109.39623200,2390,126623.60700000,181500.93924100,0
1704571200000,1.42300000,1.43800000,1.39800000,1.42400000,192801.84100000,1704585599999,273968.20549300,2378,96635.43300000,137349.30388800,0
1704585600000,1.42500000,1.44000000,1.41600000,1.43200000,173845.99000000,1704599999999,248604.97189900,1981,96475.46200000,138012.67263600,0
1704600000000,1.43200000,1.46700000,1.43100000,1.46500000,314974.37100000,1704614399999,457211.64396400,3308,180198.19400000,261863.43214200,0
1704614400000,1.46400000,1.46500000,1.41100000,1.42500000,307272.86600000,1704628799999,439773.61024000,3323,137310.47700000,196528.27180900,0
1704628800000,1.42200000,1.42400000,1.38800000,1.39500000,282369.33500000,1704643199999,397475.08996200,2544,118359.84900000,166464.94677300,0
1704643200000,1.39600000,1.39900000,1.36400000,1.38700000,245318.37100000,1704657599999,339820.02268400,3333,104189.25100000,144223.20174500,0
1704657600000,1.38700000,1.39200000,1.31000000,1.33600000,428375.39600000,1704671999999,574097.47422800,3804,200400.01600000,268334.13515100,0
1704672000000,1.33600000,1.34100000,1.21800000,1.25900000,946821.41000000,1704686399999,1209709.80874600,9818,451675.23100000,577427.28974800,0
1704686400000,1.25900000,1.30800000,1.24900000,1.29600000,344412.33500000,1704700799999,441428.78830000,3363,173041.07600000,221942.81562600,0
1704700800000,1.29500000,1.34600000,1.29300000,1.34400000,450592.83000000,1704715199999,595140.24037000,4368,246197.73600000,325452.89817500,0
1704715200000,1.34500000,1.40600000,1.34200000,1.37700000,905968.43900000,1704729599999,1244968.64579300,6822,458959.75200000,630059.66363200,0
1704729600000,1.37700000,1.43500000,1.36400000,1.42800000,562559.07100000,1704743999999,787704.08494400,3897,298841.69900000,418393.54952400,0
1704744000000,1.42900000,1.44800000,1.41300000,1.42800000,262243.99700000,1704758399999,375102.49918800,2144,108408.21200000,155254.36229100,0
1704758400000,1.42700000,1.44200000,1.39300000,1.41200000,426117.85300000,1704772799999,601090.90297800,4634,179279.52500000,253026.13079000,0
1704772800000,1.41000000,1.44600000,1.40100000,1.40800000,524976.94700000,1704787199999,745339.24671200,4082,213418.49400000,303719.75966400,0
1704787200000,1.40700000,1.40700000,1.35300000,1.39100000,338119.20900000,1704801599999,466320.63343500,3343,143096.45600000,197420.89863600,0
1704801600000,1.39100000,1.39900000,1.33400000,1.34300000,586307.46300000,1704815999999,798849.64978800,4837,250448.13900000,341169.56203500,0
1704816000000,1.34400000,1.34800000,1.31800000,1.33500000,216006.68300000,1704830399999,288316.77821200,1710,105600.33200000,141083.59065400,0
1704830400000,1.33600000,1.37800000,1.30400000,1.37100000,632264.31900000,1704844799999,849833.66220900,6000,324528.95800000,436419.79950200,0
1704844800000,1.37100000,1.39900000,1.36300000,1.39100000,227792.58600000,1704859199999,314899.35372500,2833,110551.86500000,152908.87891100,0
1704859200000,1.39200000,1.42300000,1.38700000,1.39300000,311889.74200000,1704873599999,438591.33865900,2957,152170.62200000,214154.96813500,0
1704873600000,1.39400000,1.43000000,1.35800000,1.42100000,548300.91400000,1704887999999,765094.01019000,5152,249686.41900000,349068.64599300,0
1704888000000,1.42000000,1.47400000,1.37600000,1.41000000,1651686.43600000,1704902399999,2347690.86356400,13962,802892.75900000,1144037.71566900,0
1704902400000,1.40900000,1.46500000,1.39900000,1.45300000,480352.23400000,1704916799999,686239.87979300,3811,240968.68700000,344887.93080900,0
1704916800000,1.45400000,1.53300000,1.41500000,1.49500000,1175268.92800000,1704931199999,1735137.77516400,9409,551910.90600000,815262.42771900,0
1704931200000,1.49800000,1.52000000,1.48600000,1.52000000,389685.92000000,1704945599999,586016.46951200,4123,199184.62600000,299718.48109700,0
1704945600000,1.52000000,1.53000000,1.48500000,1.51500000,485814.32300000,1704959999999,732518.12643500,3877,251389.41400000,379256.70909300,0
1704960000000,1.51500000,1.60900000,1.51100000,1.59500000,922037.91600000,1704974399999,1449756.19106800,7055,528423.61200000,829830.69113800,0
1704974400000,1.59500000,1.61500000,1.52900000,1.56200000,1023769.20900000,1704988799999,1619138.20531300,9730,504419.24000000,798902.19999200,0
1704988800000,1.56200000,1.58300000,1.50100000,1.56900000,623449.04200000,1705003199999,959577.90065800,5693,269829.84400000,416348.13207700,0
1705003200000,1.56900000,1.58500000,1.52600000,1.56800000,367441.03900000,1705017599999,570534.92190700,3253,180608.75400000,280447.48833000,0
1705017600000,1.56800000,1.57700000,1.53100000,1.55000000,309898.43800000,1705031999999,482088.45155700,3653,125789.52800000,195755.62986500,0
1705032000000,1.55000000,1.59800000,1.54800000,1.58300000,592357.36600000,1705046399999,935175.44293500,6498,310541.30100000,490299.78875000,0
1705046400000,1.58000000,1.60600000,1.55300000,1.60300000,656313.16500000,1705060799999,1039423.73086900,6222,347235.67100000,550587.84020100,0
1705060800000,1.60300000,1.62300000,1.55200000,1.55900000,812589.49000000,1705075199999,1295499.07735200,8737,395204.00200000,630554.75977300,0
1705075200000,1.55900000,1.58400000,1.49100000,1.55100000,838530.97200000,1705089599999,1293593.87285500,9273,387819.15700000,598381.86547700,0
1705089600000,1.55200000,1.57900000,1.47100000,1.52600000,799958.86600000,1705103999999,1217776.57314600,8839,361007.37400000,550382.96643500,0
1705104000000,1.52700000,1.54600000,1.46500000,1.51300000,459663.69700000,1705118399999,692883.52271900,5746,218169.31400000,328858.49269400,0
1705118400000,1.51200000,1.58700000,1.50700000,1.53300000,361460.68500000,1705132799999,558997.97540500,3718,148687.74200000,230094.00938400,0
1705132800000,1.53400000,1.54400000,1.51300000,1.52300000,237803.40900000,1705147199999,363068.16547500,2144,110826.66000000,169199.88708600,0
1705147200000,1.52300000,1.55000000,1.50600000,1.54600000,327396.32000000,1705161599999,500247.84122200,3332,157512.87100000,240990.04665000,0
1705161600000,1.54700000,1.59500000,1.53500000,1.56500000,676944.27500000,1705175999999,1062759.67374100,4946,348545.34500000,547533.25850300,0
1705176000000,1.56700000,1.59100000,1.55300000,1.56000000,269293.83000000,1705190399999,423431.02736600,2573,164498.02200000,258725.95505500,0
1705190400000,1.56000000,1.57100000,1.53500000,1.54300000,204659.30200000,1705204799999,317156.76874200,2027,113623.99900000,176241.70425100,0
1705204800000,1.54200000,1.57400000,1.51800000,1.56400000,274543.31000000,1705219199999,425425.86920000,2515,149428.92500000,231834.18156100,0
1705219200000,1.56300000,1.57900000,1.54100000,1.54500000,499499.93700000,1705233599999,781420.88777900,3737,288351.60400000,452077.77226300,0
1705233600000,1.54500000,1.58500000,1.52100000,1.58100000,606750.82500000,1705247999999,942274.11388600,4943,331299.54700000,514964.62632100,0
1705248000000,1.58100000,1.61200000,1.55500000,1.55900000,632401.47600000,1705262399999,1004860.67550800,6533,338641.82600000,538599.43580100,0
1705262400000,1.55800000,1.58400000,1.52000000,1.52400000,370750.75500000,1705276799999,575380.03414700,4644,177980.60500000,276365.13960900,0
1705276800000,1.52400000,1.60000000,1.52000000,1.59400000,323729.71100000,1705291199999,510142.90618900,3641,154374.50000000,243378.10757900,0
1705291200000,1.59400000,1.61000000,1.56900000,1.58400000,534881.15900000,1705305599999,850315.39141600,4409,285825.40200000,454544.39013900,0
1705305600000,1.58500000,1.60400000,1.57500000,1.59400000,381307.57500000,1705319999999,606337.63901400,3992,174479.82700000,277687.93272000,0
1705320000000,1.59400000,1.65400000,1.56000000,1.56600000,1808743.03700000,1705334399999,2916060.75944100,17086,878415.86000000,1419162.87304400,0
1705334400000,1.56300000,1.63600000,1.56000000,1.61400000,588729.08600000,1705348799999,944981.37172900,4976,303198.26800000,486787.43073000,0
1705348800000,1.61400000,1.62600000,1.57200000,1.60200000,237542.55300000,1705363199999,380584.25651200,2981,121005.22500000,193982.72974800,0
1705363200000,1.60400000,1.61200000,1.58200000,1.59700000,238131.17500000,1705377599999,379783.85456300,2721,105379.61400000,168083.02623800,0
1705377600000,1.59700000,1.62100000,1.57600000,1.59600000,357923.81300000,1705391999999,570787.82571600,2968,166185.05900000,265272.05557900,0
1705392000000,1.59700000,1.61700000,1.57600000,1.58400000,313223.81300000,1705406399999,501428.38851800,3368,146839.28000000,235234.68956100,0
1705406400000,1.58400000,1.59900000,1.54500000,1.59300000,548823.90500000,1705420799999,866316.42600400,5336,273974.08900000,433102.11974800,0
1705420800000,1.59200000,1.63100000,1.58900000,1.62800000,438611.33800000,1705435199999,707672.93400000,4323,214988.76600000,346919.56387300,0
1705435200000,1.62900000,1.65500000,1.62100000,1.64400000,360334.33100000,1705449599999,590533.71558800,3109,189976.81700000,311410.54893400,0
1705449600000,1.64400000,1.66400000,1.62300000,1.63200000,350608.89100000,1705463999999,574634.21321900,3233,159186.04000000,261308.91087800,0
