open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1640995200000,0.00730000,0.00746700,0.00729900,0.00739400,143133630.00000000,1641009599999,1060769.90787700,5186,66693631.00000000,494385.07118100,0
1641009600000,0.00739500,0.00746300,0.00732700,0.00740500,160126525.00000000,1641023999999,1183649.44115500,6042,73682859.00000000,544825.52881600,0
1641024000000,0.00740600,0.00741900,0.00727000,0.00731400,236604358.00000000,1641038399999,1737701.55812600,7953,118766617.00000000,872160.19190500,0
1641038400000,0.00731400,0.00740300,0.00729700,0.00736100,203278296.00000000,1641052799999,1493891.01199900,6799,96703095.00000000,710753.96607400,0
1641052800000,0.00736000,0.00744900,0.00733800,0.00739700,311580196.00000000,1641067199999,2304330.34089700,9015,145869130.00000000,1078737.28707200,0
1641067200000,0.00739700,0.00745600,0.00736600,0.00744100,228991147.00000000,1641081599999,1694659.40158800,6522,122660602.00000000,908024.47098400,0
1641081600000,0.00744300,0.00744900,0.00737600,0.00741500,84637264.00000000,1641095999999,627147.61071000,3114,42700078.00000000,316400.60397700,0
1641096000000,0.00741400,0.00746600,0.00736100,0.00741900,143207962.00000000,1641110399999,1061297.79747800,5325,73552277.00000000,545192.53076800,0
1641110400000,0.00742000,0.00746700,0.00737700,0.00741900,238682920.00000000,1641124799999,1773451.39745100,7676,115973158.00000000,861845.65739100,0
1641124800000,0.00741900,0.00754400,0.00737600,0.00752300,363697083.00000000,1641139199999,2711570.95325200,11967,184779595.00000000,1378271.82845800,0
1641139200000,0.00752200,0.00775800,0.00738400,0.00740700,649190410.00000000,1641153599999,4864623.18074800,21701,323940657.00000000,2428783.75778000,0
1641153600000,0.00740600,0.00748200,0.00739400,0.00747100,237929405.00000000,1641167999999,1766832.23716700,5947,119533961.00000000,887913.14544800,0
1641168000000,0.00746900,0.00747400,0.00732200,0.00736700,124115079.00000000,1641182399999,918867.61720300,5148,52804250.00000000,391211.35377400,0
1641182400000,0.00736500,0.00743300,0.00731900,0.00734900,214710871.00000000,1641196799999,1581563.54908600,6419,104016536.00000000,765822.59040400,0
1641196800000,0.00735000,0.00748400,0.00730800,0.00744400,321387451.00000000,1641211199999,2376951.09954900,10268,172926685.00000000,1279101.44272500,0
1641211200000,0.00744400,0.00746900,0.00735500,0.00738300,241569961.00000000,1641225599999,1791738.30459000,8304,109029833.00000000,808794.19314600,0
1641225600000,0.00738100,0.00741700,0.00720600,0.00730200,431659207.00000000,1641239999999,3156434.53241400,15842,203692248.00000000,1489602.60505600,0
1641240000000,0.00730300,0.00733900,0.00717100,0.00729100,307050924.00000000,1641254399999,2229047.35664800,11297,146166405.00000000,1061446.54145400,0
1641254400000,0.00729500,0.00732000,0.00710600,0.00717900,168277954.00000000,1641268799999,1209870.50165000,7601,70717446.00000000,508789.88798400,0
1641268800000,0.00717700,0.00726600,0.00713900,0.00725800,175201097.00000000,1641283199999,1262595.61789900,5858,79635336.00000000,573773.76316600,0
1641283200000,0.00725900,0.00732800,0.00720000,0.00732300,286355053.00000000,1641297599999,2078813.83974100,8790,134345772.00000000,976104.96629400,0
1641297600000,0.00732200,0.00749200,0.00726500,0.00736600,605164762.00000000,1641311999999,4476710.42968100,21024,292202922.00000000,2161014.18275500,0
1641312000000,0.00736500,0.00742900,0.00719200,0.00727700,527453096.00000000,1641326399999,3862138.39938200,19217,249217414.00000000,1824955.09509100,0
1641326400000,0.00727500,0.00734000,0.00720300,0.00721000,249179068.00000000,1641340799999,1817295.12837400,7659,114406859.00000000,834621.16654700,0
