open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1748736000000000,0.17520000,0.17540000,0.17210000,0.17370000,567872.00000000,1748750399999999,98708.11480000,914,232376.00000000,40435.24180000,0
1748750400000000,0.17370000,0.17660000,0.17330000,0.17480000,682212.00000000,1748764799999999,119631.39680000,818,337405.00000000,59197.68610000,0
1748764800000000,0.17490000,0.17510000,0.17100000,0.17340000,753325.00000000,1748779199999999,130549.09080000,1349,303966.00000000,52633.99680000,0
1748779200000000,0.17350000,0.17670000,0.17170000,0.17590000,765882.00000000,1748793599999999,133828.28870000,1021,494420.00000000,86499.29580000,0
1748793600000000,0.17600000,0.17850000,0.17440000,0.17730000,1027400.00000000,1748807999999999,181643.76230000,1113,536916.00000000,94984.76110000,0
1748808000000000,0.17720000,0.17880000,0.17670000,0.17820000,605066.00000000,1748822399999999,107639.05190000,656,306697.00000000,54552.51610000,0
1748822400000000,0.17820000,0.17870000,0.17470000,0.17530000,507855.00000000,1748836799999999,89766.33620000,725,204442.00000000,36140.77820000,0
1748836800000000,0.17530000,0.17870000,0.17420000,0.17800000,860170.00000000,1748851199999999,151733.17120000,954,447056.00000000,78964.10630000,0
1748851200000000,0.17820000,0.17900000,0.17440000,0.17540000,927500.00000000,1748865599999999,163184.07750000,1107,404156.00000000,71105.15300000,0
1748865600000000,0.17560000,0.17890000,0.17410000,0.17840000,1316249.00000000,1748879999999999,232891.23310000,1486,587883.00000000,104176.81680000,0
1748880000000000,0.17840000,0.17960000,0.17540000,0.17610000,1079057.00000000,1748894399999999,191682.86470000,1133,301422.00000000,53584.40560000,0
1748894400000000,0.17640000,0.18260000,0.17640000,0.18200000,950030.00000000,1748908799999999,171479.08470000,1055,477628.00000000,86142.05530000,0
1748908800000000,0.18190000,0.18580000,0.18130000,0.18260000,914002.00000000,1748923199999999,167904.55750000,1021,544830.00000000,100099.78830000,0
1748923200000000,0.18270000,0.18520000,0.18150000,0.18400000,456875.00000000,1748937599999999,83851.05310000,576,296195.00000000,54370.24510000,0
1748937600000000,0.18400000,0.18510000,0.18190000,0.18440000,842655.00000000,1748951999999999,154722.08350000,659,325209.00000000,59813.16110000,0
1748952000000000,0.18450000,0.18690000,0.18370000,0.18510000,941913.00000000,1748966399999999,174747.62380000,1009,465788.00000000,86457.77490000,0
1748966400000000,0.18520000,0.18770000,0.18450000,0.18630000,762438.00000000,1748980799999999,141853.01550000,873,406841.00000000,75649.71680000,0
1748980800000000,0.18620000,0.18660000,0.18210000,0.18280000,804497.00000000,1748995199999999,147983.89580000,857,336233.00000000,61894.83640000,0
1748995200000000,0.18290000,0.18720000,0.18230000,0.18620000,797825.00000000,1749009599999999,148117.82790000,953,406161.00000000,75353.00350000,0
1749009600000000,0.18620000,0.18700000,0.18440000,0.18510000,489811.00000000,1749023999999999,90852.58770000,629,204190.00000000,37924.14880000,0
1749024000000000,0.18520000,0.18650000,0.18380000,0.18380000,642253.00000000,1749038399999999,119032.39690000,735,321683.00000000,59674.53840000,0
