open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1685577600000,7.25800000,7.29600000,6.94400000,7.13100000,429579.70000000,1685591999999,3052128.93430000,11256,221678.40000000,1576085.33970000,0
1685592000000,7.13000000,7.23700000,7.08900000,7.09400000,241250.60000000,1685606399999,1728350.82710000,7851,120242.20000000,861997.47340000,0
1685606400000,7.09400000,7.35000000,7.07300000,7.19400000,735184.80000000,1685620799999,5325261.67030000,20935,386276.80000000,2801341.42630000,0
1685620800000,7.19400000,7.44300000,7.09900000,7.39500000,757870.40000000,1685635199999,5511691.19510000,20753,397118.60000000,2889111.44500000,0
1685635200000,7.39700000,7.50900000,7.30700000,7.38200000,533359.30000000,1685649599999,3947186.15770000,13148,243475.00000000,1802182.43460000,0
1685649600000,7.38000000,7.38100000,7.24500000,7.27800000,212532.80000000,1685663999999,1554853.67930000,6177,94272.10000000,690094.36930000,0
1685664000000,7.27500000,7.75500000,7.21600000,7.72600000,905797.80000000,1685678399999,6839253.58200000,24081,438579.90000000,3307929.11210000,0
1685678400000,7.72600000,8.04100000,7.69800000,7.95000000,1080970.30000000,1685692799999,8566573.67370000,29849,551214.60000000,4368228.17070000,0
1685692800000,7.95000000,8.21300000,7.95000000,8.03300000,994963.20000000,1685707199999,8039726.27270000,24508,503176.80000000,4066354.52190000,0
1685707200000,8.03600000,8.15000000,7.87200000,7.93200000,1050881.50000000,1685721599999,8384913.81210000,23839,563318.30000000,4495454.90820000,0
1685721600000,7.93200000,8.07700000,7.88600000,8.00200000,513441.70000000,1685735999999,4095182.29070000,12841,269885.40000000,2153973.47070000,0
1685736000000,8.00100000,8.01100000,7.82800000,7.87900000,325908.90000000,1685750399999,2572820.23570000,8327,165354.90000000,1304693.82370000,0
1685750400000,7.87700000,7.90100000,7.77600000,7.83000000,329001.00000000,1685764799999,2575815.06240000,7708,174870.80000000,1369047.46080000,0
1685764800000,7.82500000,7.95900000,7.77000000,7.91800000,266879.50000000,1685779199999,2088062.47740000,7371,133567.00000000,1046066.06620000,0
1685779200000,7.91800000,8.17200000,7.88700000,7.91500000,485022.80000000,1685793599999,3886894.23910000,13460,244230.00000000,1957910.52140000,0
1685793600000,7.91500000,8.02100000,7.81200000,7.99800000,379626.10000000,1685807999999,3005218.69020000,10393,211470.80000000,1673563.54110000,0
1685808000000,7.99800000,8.08000000,7.84500000,7.90900000,421465.10000000,1685822399999,3347977.64330000,11135,218507.90000000,1736027.97760000,0
1685822400000,7.90700000,8.02000000,7.88300000,7.92400000,207984.80000000,1685836799999,1654505.19130000,5775,102798.40000000,817875.86620000,0
1685836800000,7.92500000,7.99800000,7.73200000,7.84200000,265591.70000000,1685851199999,2081207.22120000,7978,123520.30000000,968454.51210000,0
1685851200000,7.83900000,7.89500000,7.79500000,7.85000000,174106.40000000,1685865599999,1366479.97630000,5578,94779.60000000,744393.99180000,0
1685865600000,7.85100000,7.99100000,7.75000000,7.96300000,292275.90000000,1685879999999,2293300.77900000,8181,154419.70000000,1212626.56490000,0
1685880000000,7.96400000,8.14900000,7.88000000,7.92200000,587326.40000000,1685894399999,4718139.13320000,18851,227423.00000000,1822535.28410000,0
1685894400000,7.91800000,7.93800000,7.85200000,7.89600000,154458.90000000,1685908799999,1218437.40490000,4833,73175.50000000,577372.85530000,0
1685908800000,7.89600000,7.98100000,7.78000000,7.80900000,218110.70000000,1685923199999,1718929.48790000,7007,92971.00000000,733197.16500000,0
1685923200000,7.80600000,7.85500000,7.49800000,7.59200000,773636.90000000,1685937599999,5907972.24270000,17520,443479.90000000,3385133.16220000,0
1685937600000,7.59100000,7.64100000,7.53600000,7.59300000,305652.20000000,1685951999999,2316082.95860000,6977,158440.30000000,1201165.13970000,0
1685952000000,7.59000000,7.59600000,7.48400000,7.53000000,298473.30000000,1685966399999,2250458.45690000,8130,151179.90000000,1140322.70520000,0
1685966400000,7.53100000,7.59500000,7.00000000,7.00400000,901056.40000000,1685980799999,6615543.77010000,23108,401934.90000000,2956624.54390000,0
1685980800000,7.00100000,7.28900000,6.75300000,7.19900000,1686961.20000000,1685995199999,11896190.66280000,33786,877021.50000000,6186525.14240000,0
1685995200000,7.20300000,7.28200000,7.08000000,7.08200000,396597.00000000,1686009599999,2840172.18690000,9506,177991.70000000,1275646.25810000,0
1686009600000,7.08100000,7.11500000,6.89600000,7.11000000,322958.70000000,1686023999999,2264967.99850000,7301,163203.80000000,1145285.28980000,0
1686024000000,7.10900000,7.21300000,7.08800000,7.13000000,290009.10000000,1686038399999,2074998.73880000,6090,155230.50000000,1111118.99630000,0
1686038400000,7.12600000,7.21400000,7.09500000,7.11400000,230179.30000000,1686052799999,1646306.78950000,4947,111195.20000000,795538.76880000,0
1686052800000,7.11500000,7.42700000,6.88800000,7.33700000,1176612.80000000,1686067199999,8428724.74290000,22007,604521.80000000,4337101.47670000,0
1686067200000,7.33600000,7.50000000,7.32500000,7.42500000,695620.40000000,1686081599999,5155968.36430000,13275,359699.50000000,2666417.41630000,0
1686081600000,7.42800000,7.49600000,7.27100000,7.37900000,403802.30000000,1686095999999,2973852.90150000,7788,219188.30000000,1615397.48570000,0
1686096000000,7.38500000,7.38600000,7.19500000,7.24000000,209820.50000000,1686110399999,1524549.63750000,4607,95371.90000000,693211.34640000,0
1686110400000,7.24900000,7.32200000,7.21000000,7.29000000,182389.30000000,1686124799999,1321865.10420000,4273,87521.10000000,635038.39890000,0
1686124800000,7.29000000,7.37200000,7.06500000,7.16100000,421140.20000000,1686139199999,3036527.42210000,10780,182262.20000000,1314378.22700000,0
1686139200000,7.16200000,7.21700000,6.86000000,6.96900000,723920.30000000,1686153599999,5091825.03040000,15340,342452.60000000,2411012.12030000,0
1686153600000,6.96500000,7.01000000,6.81100000,6.92100000,433411.80000000,1686167999999,2992238.43210000,10842,221464.30000000,1530510.62900000,0
1686168000000,6.91900000,6.96400000,6.83300000,6.90000000,211288.70000000,1686182399999,1457874.16330000,5643,96070.60000000,662961.48730000,0
1686182400000,6.89700000,6.90000000,6.62200000,6.66500000,389455.70000000,1686196799999,2636310.02750000,9180,153006.70000000,1035947.10990000,0
1686196800000,6.66700000,6.90000000,6.65500000,6.80100000,377244.40000000,1686211199999,2555417.86160000,8794,219896.20000000,1491531.47910000,0
1686211200000,6.80000000,6.94000000,6.76200000,6.93500000,277222.80000000,1686225599999,1897484.37180000,6431,146762.40000000,1005541.29660000,0
1686225600000,6.93400000,7.17200000,6.86400000,7.11500000,491086.30000000,1686239999999,3450463.16150000,11614,239807.80000000,1685412.70120000,0
1686240000000,7.11400000,7.13800000,6.85000000,7.06000000,429911.70000000,1686254399999,3000782.04380000,9902,204161.20000000,1425323.82650000,0
1686254400000,7.06800000,7.11200000,6.94000000,6.94100000,376043.70000000,1686268799999,2642789.35540000,7381,196642.40000000,1382306.48820000,0
1686268800000,6.94500000,7.04200000,6.86200000,6.91200000,193925.80000000,1686283199999,1346806.10100000,5539,107357.90000000,745639.64560000,0
1686283200000,6.91400000,6.99500000,6.86100000,6.90100000,142523.90000000,1686297599999,989024.40510000,4146,78414.90000000,544312.30850000,0
1686297600000,6.89600000,7.06900000,6.88300000,7.03600000,194253.20000000,1686311999999,1361122.21010000,5003,97611.00000000,683986.56500000,0
1686312000000,7.03600000,7.17600000,7.01400000,7.03200000,394842.90000000,1686326399999,2810560.52980000,8434,222328.70000000,1583749.46070000,0
1686326400000,7.03000000,7.14100000,6.82300000,6.83300000,324814.20000000,1686340799999,2262410.64360000,7373,140620.70000000,979960.11970000,0
1686340800000,6.83300000,6.93300000,6.82300000,6.90700000,140412.50000000,1686355199999,967275.31040000,3750,70591.40000000,486300.24870000,0
1686355200000,6.90800000,6.90900000,6.48900000,6.49000000,502734.40000000,1686369599999,3359077.98550000,13395,223100.10000000,1492023.13440000,0
1686369600000,6.49100000,6.54300000,5.60000000,6.01200000,1781069.00000000,1686383999999,10722114.36650000,40654,855986.20000000,5148020.62030000,0
1686384000000,6.01200000,6.09500000,5.83100000,5.95600000,565297.00000000,1686398399999,3377808.91360000,14671,276383.30000000,1651697.68690000,0
1686398400000,5.95500000,5.95600000,5.51100000,5.53800000,1174566.80000000,1686412799999,6717019.83270000,26546,615041.50000000,3514092.69670000,0
1686412800000,5.53400000,5.90300000,5.40000000,5.58100000,1249681.30000000,1686427199999,7050158.93490000,28293,625708.10000000,3534899.97640000,0
1686427200000,5.58200000,5.84900000,5.49400000,5.68700000,450714.10000000,1686441599999,2533753.19670000,13501,229008.20000000,1289777.41980000,0
1686441600000,5.69100000,5.80800000,5.60100000,5.77900000,307754.50000000,1686455999999,1754327.02620000,8359,171114.60000000,975533.49530000,0
1686456000000,5.78000000,5.84900000,5.64300000,5.81000000,219225.50000000,1686470399999,1264917.36340000,7708,120881.50000000,697929.55420000,0
1686470400000,5.81000000,5.87800000,5.73900000,5.82700000,280093.80000000,1686484799999,1626939.44360000,8152,137236.70000000,797869.41690000,0
1686484800000,5.82700000,5.83800000,5.38900000,5.43100000,1041946.20000000,1686499199999,5800046.34770000,20803,540359.90000000,3002070.45130000,0
1686499200000,5.43100000,5.83400000,5.41900000,5.82600000,725162.40000000,1686513599999,4075460.95950000,16053,357855.40000000,2011453.78830000,0
1686513600000,5.82600000,5.94800000,5.63300000,5.72000000,546017.80000000,1686527999999,3161910.30320000,11199,261044.40000000,1511577.41950000,0
