open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1643673600000,1.19900000,1.21100000,1.19200000,1.20900000,430158.90000000,1643687999999,517112.42690000,2584,227772.50000000,273908.27050000,0
1643688000000,1.20900000,1.21400000,1.18800000,1.20000000,550515.00000000,1643702399999,658690.09860000,2215,278400.70000000,333156.85730000,0
1643702400000,1.19900000,1.21300000,1.18600000,1.19900000,598169.40000000,1643716799999,716381.71930000,2718,269655.30000000,323095.32800000,0
1643716800000,1.19800000,1.20400000,1.18300000,1.19200000,825221.00000000,1643731199999,986680.08280000,3546,388976.90000000,465094.94290000,0
1643731200000,1.19300000,1.19700000,1.17900000,1.18300000,739966.50000000,1643745599999,879678.48280000,3535,405453.00000000,481805.76170000,0
1643745600000,1.18300000,1.19700000,1.18200000,1.18600000,184055.80000000,1643759999999,218847.53760000,2412,76607.20000000,91130.69590000,0
1643760000000,1.18600000,1.19700000,1.18000000,1.18700000,342713.00000000,1643774399999,406892.19500000,2031,178658.80000000,212191.76460000,0
1643774400000,1.18700000,1.18900000,1.17200000,1.17600000,660651.20000000,1643788799999,781055.26730000,2177,317812.60000000,376305.26140000,0
1643788800000,1.17500000,1.18100000,1.16900000,1.17800000,662552.30000000,1643803199999,777711.18800000,2042,200805.00000000,235882.02620000,0
1643803200000,1.17800000,1.18700000,1.15200000,1.15300000,1277841.80000000,1643817599999,1494503.62410000,4360,633445.90000000,739700.76350000,0
1643817600000,1.15200000,1.16200000,1.14200000,1.16000000,658079.80000000,1643831999999,757409.25120000,2949,300629.30000000,346536.95480000,0
1643832000000,1.16000000,1.16400000,1.13400000,1.14100000,672963.80000000,1643846399999,769146.41500000,3250,314376.60000000,359731.05670000,0
1643846400000,1.14100000,1.14700000,1.12700000,1.13100000,660934.30000000,1643860799999,750829.80710000,2865,331634.00000000,376564.21540000,0
1643860800000,1.13100000,1.13300000,1.10700000,1.12300000,1338630.80000000,1643875199999,1499762.48350000,2795,618641.60000000,693916.27540000,0
1643875200000,1.12100000,1.12800000,1.09100000,1.10500000,1364398.80000000,1643889599999,1508136.39220000,4527,603417.70000000,666397.68090000,0
1643889600000,1.10600000,1.11300000,1.09200000,1.11300000,1229895.90000000,1643903999999,1356721.25600000,3913,518741.90000000,572146.73650000,0
1643904000000,1.11200000,1.11500000,1.09000000,1.09700000,1363131.60000000,1643918399999,1502170.98200000,3387,570195.10000000,628828.21050000,0
1643918400000,1.09700000,1.12300000,1.09100000,1.12200000,355267.10000000,1643932799999,393104.05060000,1770,168234.50000000,186481.27640000,0
1643932800000,1.12300000,1.14100000,1.11200000,1.13800000,705606.40000000,1643947199999,796201.74190000,2278,391584.80000000,442382.77670000,0
1643947200000,1.13800000,1.15000000,1.12900000,1.13900000,1141957.40000000,1643961599999,1299756.31250000,2877,607483.30000000,691695.11080000,0
1643961600000,1.13900000,1.14700000,1.13500000,1.13700000,623409.10000000,1643975999999,711520.78150000,2099,309520.70000000,353391.16860000,0
1643976000000,1.13700000,1.16700000,1.12400000,1.15600000,1947441.30000000,1643990399999,2234636.01650000,6400,984137.60000000,1129745.51430000,0
1643990400000,1.15800000,1.18300000,1.15800000,1.17000000,1475636.30000000,1644004799999,1728789.43730000,4470,692621.10000000,812039.82310000,0
1644004800000,1.17000000,1.19600000,1.16700000,1.19100000,553224.20000000,1644019199999,653938.73650000,2876,327909.00000000,387361.62770000,0
1644019200000,1.19300000,1.20000000,1.17800000,1.19700000,640940.70000000,1644033599999,761789.55450000,3542,381409.40000000,453411.96990000,0
1644033600000,1.19700000,1.20900000,1.18300000,1.18300000,947523.30000000,1644047999999,1134790.96740000,4200,494815.10000000,592363.95920000,0
1644048000000,1.18400000,1.19900000,1.18200000,1.19100000,680266.60000000,1644062399999,810760.18210000,2313,343668.10000000,409803.52490000,0
1644062400000,1.19200000,1.20300000,1.18200000,1.19100000,871246.20000000,1644076799999,1039548.58060000,3636,416178.40000000,496599.53310000,0
1644076800000,1.18900000,1.19200000,1.15100000,1.16500000,1552869.80000000,1644091199999,1822446.39160000,5178,797912.00000000,937001.16900000,0
1644091200000,1.16600000,1.17800000,1.16100000,1.16800000,270665.00000000,1644105599999,316336.69750000,1947,137617.60000000,160910.69660000,0
1644105600000,1.16800000,1.18500000,1.16800000,1.16900000,675803.70000000,1644119999999,794970.33880000,2563,275101.40000000,323641.21520000,0
1644120000000,1.17000000,1.17200000,1.15800000,1.16400000,823828.40000000,1644134399999,959563.35840000,3198,512610.50000000,597406.12190000,0
1644134400000,1.16400000,1.17400000,1.16000000,1.16100000,550889.80000000,1644148799999,643279.60980000,1744,240546.10000000,280767.30090000,0
1644148800000,1.16100000,1.17800000,1.14400000,1.16100000,1056225.70000000,1644163199999,1227468.05330000,3468,532203.40000000,618731.31940000,0
1644163200000,1.16000000,1.16400000,1.14900000,1.16000000,304325.80000000,1644177599999,352290.46920000,1511,164768.10000000,190757.46620000,0
1644177600000,1.15900000,1.18000000,1.15500000,1.17600000,327230.30000000,1644191999999,382598.47530000,1803,218869.80000000,256060.90290000,0
1644192000000,1.17700000,1.19400000,1.15700000,1.19200000,955450.30000000,1644206399999,1120939.67410000,3154,510585.50000000,599542.82680000,0
1644206400000,1.19200000,1.21500000,1.18600000,1.20500000,1010340.20000000,1644220799999,1214569.19200000,5733,478725.80000000,575719.53190000,0
1644220800000,1.20400000,1.25400000,1.19100000,1.23100000,2514733.10000000,1644235199999,3055943.18800000,11670,1285002.60000000,1564148.18450000,0
1644235200000,1.23100000,1.23700000,1.20400000,1.23400000,2188688.50000000,1644249599999,2675631.82830000,7148,965181.40000000,1179906.43190000,0
1644249600000,1.23500000,1.24600000,1.21900000,1.24000000,1391457.10000000,1644263999999,1713515.74790000,4435,497762.40000000,614026.01740000,0
1644264000000,1.24100000,1.26000000,1.23600000,1.25400000,848579.50000000,1644278399999,1059640.93980000,7542,457431.80000000,571442.27270000,0
1644278400000,1.25400000,1.27300000,1.22900000,1.27300000,1297246.80000000,1644292799999,1628579.15360000,9456,660314.60000000,828951.52900000,0
1644292800000,1.27200000,1.28400000,1.23300000,1.24300000,2557195.80000000,1644307199999,3236222.84270000,9351,1070369.50000000,1352927.61190000,0
1644307200000,1.24300000,1.24800000,1.18900000,1.20400000,1844583.40000000,1644321599999,2230816.94810000,7594,917604.50000000,1110216.57480000,0
1644321600000,1.20400000,1.20400000,1.17100000,1.17800000,2584559.00000000,1644335999999,3066300.35490000,9525,1115005.70000000,1322474.64690000,0
1644336000000,1.17900000,1.19300000,1.16200000,1.16700000,1355127.10000000,1644350399999,1592583.53480000,12091,647731.00000000,761537.18080000,0
1644350400000,1.16700000,1.20200000,1.16500000,1.19700000,1034868.40000000,1644364799999,1230808.96720000,6639,506471.00000000,602658.11060000,0
1644364800000,1.19700000,1.20800000,1.16700000,1.17300000,1171042.50000000,1644379199999,1389298.18100000,6220,517878.90000000,615246.11140000,0
1644379200000,1.17300000,1.21200000,1.16500000,1.20900000,1215186.00000000,1644393599999,1440849.78620000,3869,675188.40000000,801573.75300000,0
1644393600000,1.20900000,1.21300000,1.18200000,1.20500000,898534.20000000,1644407999999,1075324.01560000,3913,407553.90000000,488111.57350000,0
1644408000000,1.20500000,1.23600000,1.20500000,1.23400000,1406966.40000000,1644422399999,1723540.80410000,6190,769008.70000000,941157.10650000,0
1644422400000,1.23300000,1.25000000,1.22300000,1.23800000,817402.70000000,1644436799999,1009205.99310000,3859,398408.70000000,491963.53410000,0
1644436800000,1.23900000,1.24800000,1.23000000,1.23100000,493454.00000000,1644451199999,612679.88650000,2492,215429.20000000,267754.99640000,0
1644451200000,1.23200000,1.23400000,1.20000000,1.20500000,867534.80000000,1644465599999,1056685.81560000,3769,291003.80000000,354377.87630000,0
1644465600000,1.20400000,1.21500000,1.19600000,1.20300000,665852.90000000,1644479999999,803093.10950000,4420,289651.10000000,349645.66740000,0
1644480000000,1.20300000,1.23900000,1.20100000,1.23500000,1051206.60000000,1644494399999,1285690.40450000,4197,540621.40000000,661782.13530000,0
1644494400000,1.23500000,1.23600000,1.17300000,1.20500000,2504296.90000000,1644508799999,3009511.78440000,10404,1153177.00000000,1387203.84580000,0
1644508800000,1.20500000,1.21500000,1.18600000,1.18800000,1679335.20000000,1644523199999,2014510.55370000,11667,631428.20000000,758150.41090000,0
1644523200000,1.18700000,1.19200000,1.16900000,1.17100000,1318845.10000000,1644537599999,1555921.61880000,6030,476823.60000000,563271.39280000,0
1644537600000,1.17100000,1.18700000,1.14900000,1.18400000,1031450.30000000,1644551999999,1208244.98470000,3999,453220.90000000,531338.62760000,0
1644552000000,1.18500000,1.19700000,1.17400000,1.19400000,1061844.60000000,1644566399999,1259546.90650000,4863,556131.80000000,660412.56230000,0
1644566400000,1.19400000,1.22900000,1.18900000,1.21500000,1696033.70000000,1644580799999,2060495.10790000,6106,912109.80000000,1108701.01740000,0
1644580800000,1.21500000,1.23600000,1.21300000,1.22400000,1511317.80000000,1644595199999,1852555.11330000,6602,708130.00000000,868705.39950000,0
1644595200000,1.22400000,1.22700000,1.18900000,1.19600000,1338431.60000000,1644609599999,1619764.32120000,4520,506844.10000000,613051.53610000,0
1644609600000,1.19500000,1.19700000,1.14400000,1.15700000,1632451.70000000,1644623999999,1903634.56090000,10026,639542.80000000,745987.00830000,0
1644624000000,1.15700000,1.18500000,1.15100000,1.18100000,1097902.90000000,1644638399999,1286324.20950000,3897,584275.60000000,684542.57370000,0
1644638400000,1.18300000,1.19400000,1.14400000,1.16600000,1313939.30000000,1644652799999,1538825.42620000,5571,615414.40000000,721833.33610000,0
1644652800000,1.16500000,1.18500000,1.15700000,1.17900000,1674625.40000000,1644667199999,1966875.65510000,5912,872388.30000000,1025295.80880000,0
1644667200000,1.18000000,1.18900000,1.15800000,1.17800000,1452329.00000000,1644681599999,1707881.00220000,6009,733563.20000000,863350.62290000,0
1644681600000,1.17800000,1.20000000,1.16500000,1.18400000,929422.40000000,1644695999999,1103596.45180000,4410,604883.90000000,718920.27690000,0
