open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1669852800000,7.67300000,7.71900000,7.51800000,7.58000000,1659620.18000000,1669867199999,12594310.83793000,21280,730206.36000000,5536192.16828000,0
1669867200000,7.58000000,7.61900000,7.47700000,7.51400000,910927.62000000,1669881599999,6879189.50518000,14166,395503.84000000,2986407.23308000,0
1669881600000,7.51400000,7.56400000,7.48800000,7.54900000,559036.15000000,1669895999999,4210111.18681000,10571,290062.51000000,2184658.89471000,0
1669896000000,7.54900000,7.77000000,7.44100000,7.70000000,2150118.39000000,1669910399999,16393746.14568000,41966,1102658.99000000,8411769.06901000,0
1669910400000,7.70100000,7.74600000,7.54200000,7.63400000,1274163.48000000,1669924799999,9724541.38455000,22866,577649.32000000,4410707.32722000,0
1669924800000,7.63300000,7.81200000,7.56700000,7.68100000,1063576.48000000,1669939199999,8195459.94606000,24075,536355.63000000,4134389.93324000,0
1669939200000,7.68100000,7.72600000,7.56700000,7.59600000,1420495.79000000,1669953599999,10855174.43863000,28407,687836.39000000,5258041.41708000,0
1669953600000,7.59500000,7.63700000,7.51100000,7.58100000,617257.46000000,1669967999999,4683110.41930000,12121,300316.81000000,2278481.49761000,0
1669968000000,7.58000000,7.64800000,7.55100000,7.62700000,514649.83000000,1669982399999,3911691.20225000,11296,258461.68000000,1965649.24585000,0
1669982400000,7.62700000,7.68500000,7.47900000,7.56500000,1418423.12000000,1669996799999,10758100.23797000,27585,714829.82000000,5424721.18831000,0
1669996800000,7.56500000,7.61000000,7.52300000,7.59300000,548539.45000000,1670011199999,4146746.10717000,12714,251535.05000000,1902085.29355000,0
1670011200000,7.59200000,7.64600000,7.55500000,7.61000000,543069.91000000,1670025599999,4129529.09718000,12202,308886.56000000,2348813.80892000,0
1670025600000,7.61100000,7.63300000,7.43200000,7.49200000,882894.55000000,1670039999999,6623308.55634000,14970,413336.53000000,3101261.55403000,0
