open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1680307200000,7.00000000,7.13000000,6.98000000,7.11000000,31255.69000000,1680321599999,220479.46250000,1444,15836.72000000,111793.88200000,0
1680321600000,7.12000000,7.30000000,7.09000000,7.13000000,58930.07000000,1680335999999,423138.19850000,2539,24785.91000000,178274.53570000,0
1680336000000,7.14000000,7.22000000,7.04000000,7.06000000,33867.22000000,1680350399999,240804.86170000,1708,11387.00000000,81143.69990000,0
1680350400000,7.06000000,7.07000000,6.97000000,6.98000000,27472.00000000,1680364799999,192854.69330000,1434,12497.61000000,87740.89360000,0
1680364800000,6.99000000,7.07000000,6.96000000,6.97000000,42225.36000000,1680379199999,296317.84700000,1805,18445.58000000,129609.89040000,0
1680379200000,6.98000000,7.04000000,6.94000000,7.01000000,23754.75000000,1680393599999,166088.75460000,975,13772.89000000,96366.62660000,0
1680393600000,7.01000000,7.08000000,6.93000000,7.00000000,20637.76000000,1680407999999,144571.82060000,786,11814.13000000,82969.07450000,0
1680408000000,7.00000000,7.12000000,6.97000000,7.10000000,17920.33000000,1680422399999,126172.36930000,1156,10550.94000000,74311.83490000,0
1680422400000,7.10000000,7.12000000,7.04000000,7.07000000,22468.76000000,1680436799999,159172.99630000,846,7992.27000000,56608.95410000,0
1680436800000,7.07000000,7.07000000,6.80000000,6.91000000,43759.47000000,1680451199999,303363.15520000,2273,19306.90000000,133658.88950000,0
1680451200000,6.90000000,6.98000000,6.76000000,6.80000000,28548.79000000,1680465599999,195924.53820000,1718,12373.02000000,84922.54260000,0
1680465600000,6.80000000,6.92000000,6.75000000,6.90000000,25060.60000000,1680479999999,171191.86730000,1170,13429.23000000,91746.34920000,0
1680480000000,6.90000000,6.91000000,6.64000000,6.68000000,51698.95000000,1680494399999,348165.22310000,1627,14866.11000000,100206.02320000,0
1680494400000,6.68000000,6.73000000,6.60000000,6.73000000,16890.31000000,1680508799999,112546.31010000,909,9716.56000000,64772.30280000,0
1680508800000,6.73000000,6.88000000,6.73000000,6.79000000,32723.63000000,1680523199999,222988.19850000,1817,16591.51000000,113189.47350000,0
1680523200000,6.79000000,6.91000000,6.71000000,6.84000000,27129.66000000,1680537599999,184854.06050000,1874,11377.02000000,77534.27080000,0
1680537600000,6.83000000,7.06000000,6.72000000,6.97000000,38324.59000000,1680551999999,263888.04010000,2008,13784.94000000,95027.65940000,0
1680552000000,6.98000000,7.01000000,6.75000000,6.98000000,40539.64000000,1680566399999,278625.35190000,1804,18861.26000000,129580.71550000,0
1680566400000,6.98000000,7.03000000,6.89000000,6.95000000,33368.01000000,1680580799999,231281.90110000,1274,22897.89000000,158592.27960000,0
1680580800000,6.94000000,7.00000000,6.89000000,6.95000000,17870.94000000,1680595199999,124127.94880000,1111,8142.87000000,56587.99590000,0
1680595200000,6.96000000,7.08000000,6.95000000,7.04000000,26166.92000000,1680609599999,183480.43520000,1430,15390.73000000,107988.48280000,0
1680609600000,7.04000000,7.09000000,6.93000000,6.97000000,33799.70000000,1680623999999,236771.02800000,1472,10417.61000000,73024.08170000,0
1680624000000,6.97000000,7.06000000,6.95000000,7.05000000,15801.83000000,1680638399999,110487.81130000,862,8308.06000000,58133.78020000,0
1680638400000,7.05000000,7.09000000,6.99000000,7.02000000,14002.14000000,1680652799999,98593.98910000,648,5087.21000000,35836.59170000,0
1680652800000,7.03000000,7.30000000,6.97000000,7.26000000,31345.38000000,1680667199999,225250.35660000,2038,17375.37000000,124810.12350000,0
1680667200000,7.28000000,7.29000000,7.18000000,7.21000000,13320.78000000,1680681599999,96342.90850000,734,5599.89000000,40519.09530000,0
1680681600000,7.21000000,7.24000000,7.16000000,7.22000000,12589.38000000,1680695999999,90688.27230000,911,6346.48000000,45695.54740000,0
