open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1693526400000,0.80700000,0.81300000,0.80400000,0.81300000,56392.30000000,1693540799999,45637.01600000,464,30034.30000000,24314.91220000,0
1693540800000,0.81300000,0.81500000,0.78200000,0.79300000,672515.10000000,1693555199999,532397.39000000,1765,217822.40000000,171965.94910000,0
1693555200000,0.79300000,0.79600000,0.78600000,0.79500000,106007.30000000,1693569599999,83826.51090000,550,37598.00000000,29740.12750000,0
1693569600000,0.79500000,0.79500000,0.77500000,0.78300000,217383.50000000,1693583999999,171209.49960000,1170,71992.30000000,56623.64780000,0
1693584000000,0.78300000,0.78600000,0.76800000,0.78000000,492211.90000000,1693598399999,382726.88400000,2486,264390.90000000,205479.47460000,0
1693598400000,0.78000000,0.78500000,0.77600000,0.78000000,173930.30000000,1693612799999,135862.54700000,879,69654.40000000,54433.77000000,0
1693612800000,0.78000000,0.78100000,0.77300000,0.78000000,88425.50000000,1693627199999,68738.08870000,741,51589.90000000,40113.91620000,0
1693627200000,0.78000000,0.79300000,0.77800000,0.78700000,197827.00000000,1693641599999,155676.66680000,1106,127708.10000000,100511.18460000,0
1693641600000,0.78800000,0.79600000,0.78200000,0.78600000,436866.00000000,1693655999999,344477.72070000,1794,199539.00000000,157417.57870000,0
1693656000000,0.78600000,0.80300000,0.78300000,0.79600000,244781.80000000,1693670399999,194061.99910000,1228,116136.80000000,92147.11920000,0
1693670400000,0.79600000,0.80000000,0.78300000,0.80000000,217467.00000000,1693684799999,172054.14610000,1628,100005.90000000,79158.06120000,0
1693684800000,0.79900000,0.81200000,0.79700000,0.80900000,120153.40000000,1693699199999,96689.00420000,812,72306.90000000,58237.65510000,0
1693699200000,0.80900000,0.81000000,0.79400000,0.80700000,236493.60000000,1693713599999,189526.19250000,1084,94757.00000000,75887.06840000,0
1693713600000,0.80700000,0.80800000,0.79900000,0.80200000,277308.40000000,1693727999999,222680.50720000,960,101201.40000000,81232.78210000,0
1693728000000,0.80100000,0.81300000,0.79500000,0.81200000,247115.20000000,1693742399999,198850.66250000,1086,113208.20000000,91290.27220000,0
1693742400000,0.81200000,0.81300000,0.80000000,0.80200000,245490.50000000,1693756799999,197336.51500000,1498,114451.70000000,92013.41240000,0
1693756800000,0.80200000,0.82000000,0.80100000,0.81200000,252757.70000000,1693771199999,204261.44120000,2620,119739.50000000,96813.73130000,0
1693771200000,0.81300000,0.83500000,0.80700000,0.82800000,247104.70000000,1693785599999,203183.33480000,1817,147824.00000000,121602.31110000,0
1693785600000,0.82800000,0.84800000,0.82500000,0.82700000,432498.30000000,1693799999999,362365.01160000,2329,193447.20000000,162276.29720000,0
