open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1709251200000,1.45200000,1.49200000,1.43600000,1.48000000,665703.50000000,1709265599999,977171.75190000,5727,345881.00000000,507972.48020000,0
1709265600000,1.47900000,1.50500000,1.47300000,1.47700000,466194.20000000,1709279999999,692311.92070000,4323,222578.80000000,330592.97970000,0
1709280000000,1.47600000,1.50400000,1.47600000,1.49300000,347030.80000000,1709294399999,517872.78030000,3420,184118.40000000,274875.69650000,0
1709294400000,1.49300000,1.52000000,1.47500000,1.49500000,821542.00000000,1709308799999,1229651.40700000,7225,364094.20000000,545919.37940000,0
1709308800000,1.49300000,1.53200000,1.49000000,1.53100000,431394.90000000,1709323199999,652407.76430000,4370,226782.80000000,343039.98040000,0
1709323200000,1.53100000,1.55000000,1.52900000,1.54400000,416564.90000000,1709337599999,642001.48020000,4235,172898.40000000,266553.48560000,0
1709337600000,1.54400000,1.57200000,1.51100000,1.54800000,768594.50000000,1709351999999,1184191.68130000,5911,398728.30000000,615737.38040000,0
1709352000000,1.54800000,1.55300000,1.50600000,1.55200000,632486.70000000,1709366399999,968877.09770000,5266,264780.90000000,405919.52720000,0
1709366400000,1.55200000,1.57000000,1.52800000,1.53400000,627449.30000000,1709380799999,968863.32020000,5642,331380.40000000,511848.97340000,0
1709380800000,1.53400000,1.59300000,1.53300000,1.57700000,835268.80000000,1709395199999,1308442.05430000,7866,442524.80000000,693169.98500000,0
1709395200000,1.57700000,1.57800000,1.55300000,1.56700000,382068.50000000,1709409599999,598381.94690000,4703,212005.60000000,332110.73000000,0
1709409600000,1.56700000,1.60500000,1.55600000,1.60500000,336027.00000000,1709423999999,531775.95260000,4152,185026.20000000,292917.09330000,0
1709424000000,1.60400000,1.65000000,1.57100000,1.60300000,1168057.60000000,1709438399999,1881701.62520000,11760,553240.40000000,892902.94130000,0
1709438400000,1.60300000,1.64100000,1.43000000,1.52600000,1383416.10000000,1709452799999,2151511.90010000,11703,674691.70000000,1050239.35870000,0
1709452800000,1.52600000,1.58800000,1.50300000,1.57800000,721311.50000000,1709467199999,1115804.88730000,6901,355392.40000000,549836.38640000,0
1709467200000,1.57900000,1.61800000,1.55700000,1.60600000,666583.40000000,1709481599999,1055119.38610000,6883,357811.70000000,566980.36520000,0
1709481600000,1.60700000,1.64000000,1.60400000,1.61000000,467020.00000000,1709495999999,757444.07570000,4395,251604.20000000,408435.43020000,0
1709496000000,1.61000000,1.65700000,1.60500000,1.64800000,408623.80000000,1709510399999,667681.53400000,4562,237697.70000000,388571.36440000,0
1709510400000,1.64700000,1.64800000,1.58800000,1.59800000,657627.20000000,1709524799999,1057877.50060000,6763,305046.90000000,490960.80190000,0
1709524800000,1.59800000,1.64400000,1.59000000,1.63800000,408339.70000000,1709539199999,659295.99530000,4014,225365.10000000,364553.22150000,0
1709539200000,1.63800000,1.69400000,1.63400000,1.68800000,960555.50000000,1709553599999,1596618.41560000,11647,505482.60000000,841023.63430000,0
1709553600000,1.68900000,1.74800000,1.66000000,1.73600000,1223725.70000000,1709567999999,2090057.23990000,16231,616681.80000000,1053904.18870000,0
1709568000000,1.73400000,1.80300000,1.68500000,1.70800000,2037358.00000000,1709582399999,3537908.02990000,25111,1031039.00000000,1792996.13510000,0
1709582400000,1.70800000,1.83600000,1.69400000,1.74800000,1332062.30000000,1709596799999,2360668.28020000,16282,705321.00000000,1249947.18960000,0
1709596800000,1.74700000,1.89300000,1.67200000,1.84900000,2675374.80000000,1709611199999,4779097.62410000,32020,1444434.80000000,2585745.62690000,0
1709611200000,1.85000000,2.37600000,1.83700000,2.36800000,10403802.70000000,1709625599999,21756135.20830000,172489,4370832.90000000,9166024.84440000,0
1709625600000,2.37000000,2.55000000,2.30300000,2.49300000,13110618.00000000,1709639999999,32102347.29110000,192768,6480019.00000000,15921411.86760000,0
1709640000000,2.49100000,2.51000000,2.20800000,2.34300000,7617561.30000000,1709654399999,17840768.60250000,116247,3613684.90000000,8460684.36860000,0
1709654400000,2.34300000,2.72000000,2.06000000,2.37400000,13374817.30000000,1709668799999,33716135.56020000,232419,7022180.50000000,17728598.08340000,0
1709668800000,2.37600000,2.85200000,2.30200000,2.75700000,10999780.50000000,1709683199999,28441823.53630000,197599,5774922.60000000,14945872.67190000,0
1709683200000,2.75400000,3.25000000,2.06300000,2.11500000,26571564.90000000,1709697599999,68705621.20920000,371668,14733879.30000000,37916169.56320000,0
