open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1743465600000000,0.22400000,0.23100000,0.22200000,0.23000000,2207693.10000000,1743479999999999,498600.41520000,2062,1284562.60000000,290091.43260000,0
1743480000000000,0.22900000,0.23300000,0.22800000,0.23000000,1748087.40000000,1743494399999999,402330.98890000,1909,879169.00000000,202573.39970000,0
1743494400000000,0.23100000,0.23600000,0.22300000,0.22500000,2400094.10000000,1743508799999999,552887.89010000,2635,1075687.40000000,248140.92610000,0
1743508800000000,0.22500000,0.22900000,0.21900000,0.22900000,3614976.90000000,1743523199999999,811095.35760000,4428,1692844.40000000,380420.20600000,0
1743523200000000,0.22800000,0.23000000,0.21600000,0.21600000,3242793.10000000,1743537599999999,721434.85740000,2990,1529975.90000000,340937.33100000,0
1743537600000000,0.21700000,0.22200000,0.21300000,0.21900000,2963763.10000000,1743551999999999,646376.12200000,3147,1585029.70000000,346063.84580000,0
1743552000000000,0.22000000,0.22000000,0.20700000,0.21200000,3946850.80000000,1743566399999999,836442.42530000,4089,1788811.70000000,379175.74350000,0
1743566400000000,0.21100000,0.21300000,0.20400000,0.20800000,3912011.10000000,1743580799999999,815618.91660000,3736,1749324.30000000,365468.33470000,0
1743580800000000,0.20800000,0.21400000,0.20700000,0.20900000,3176864.70000000,1743595199999999,668680.26870000,2533,1682032.30000000,354142.60830000,0
1743595200000000,0.21000000,0.21900000,0.20600000,0.21700000,4701130.10000000,1743609599999999,994328.74140000,4667,2481624.30000000,525364.81950000,0
1743609600000000,0.21700000,0.21900000,0.20900000,0.21400000,3200740.20000000,1743623999999999,686172.55200000,2426,1526221.50000000,327205.42190000,0
1743624000000000,0.21400000,0.22000000,0.19500000,0.20000000,8397469.30000000,1743638399999999,1739414.38020000,6304,4006376.00000000,830014.23140000,0
1743638400000000,0.19900000,0.20900000,0.19800000,0.20700000,2053354.70000000,1743652799999999,420820.60950000,2026,1066564.30000000,218537.34620000,0
1743652800000000,0.20600000,0.20800000,0.19700000,0.19800000,2617179.70000000,1743667199999999,530750.39970000,3440,1281746.00000000,259579.97090000,0
1743667200000000,0.19800000,0.20000000,0.18900000,0.19200000,3256307.20000000,1743681599999999,633130.05030000,3101,1496050.60000000,292110.54440000,0
1743681600000000,0.19100000,0.19500000,0.18800000,0.19400000,4311546.30000000,1743695999999999,827451.90480000,4376,2155708.90000000,414159.49190000,0
1743696000000000,0.19400000,0.19800000,0.19100000,0.19600000,2485794.00000000,1743710399999999,482515.39780000,2283,1210161.90000000,235140.47900000,0
1743710400000000,0.19700000,0.20100000,0.19500000,0.19900000,1736222.40000000,1743724799999999,344851.05460000,1648,872374.70000000,173339.22570000,0
1743724800000000,0.19800000,0.20000000,0.19500000,0.19800000,2550883.10000000,1743739199999999,505259.83340000,1807,1273505.50000000,252305.13440000,0
1743739200000000,0.19900000,0.20200000,0.19600000,0.20000000,1534535.20000000,1743753599999999,305853.85380000,1445,798837.80000000,159295.26150000,0
1743753600000000,0.19900000,0.20200000,0.18900000,0.19200000,3827276.20000000,1743767999999999,748503.64440000,2646,1967243.60000000,384643.70430000,0
1743768000000000,0.19200000,0.20200000,0.18900000,0.19800000,5991139.00000000,1743782399999999,1169362.74880000,3722,3053996.60000000,596456.92760000,0
1743782400000000,0.19800000,0.20100000,0.19400000,0.19700000,4571614.50000000,1743796799999999,902615.97890000,3051,2334653.00000000,461038.69390000,0
1743796800000000,0.19700000,0.20100000,0.19600000,0.19800000,2381239.70000000,1743811199999999,472942.13600000,1998,1118188.10000000,222160.02920000,0
1743811200000000,0.19900000,0.20100000,0.19700000,0.19800000,1389639.50000000,1743825599999999,276432.61650000,1102,734534.90000000,146157.76270000,0
1743825600000000,0.19900000,0.20000000,0.19700000,0.20000000,1348038.80000000,1743839999999999,266928.09990000,1243,673180.80000000,133513.30520000,0
1743840000000000,0.20000000,0.20100000,0.19500000,0.19600000,1371636.30000000,1743854399999999,271889.28320000,1505,614634.90000000,121952.00950000,0
1743854400000000,0.19700000,0.19700000,0.19000000,0.19100000,2301110.70000000,1743868799999999,442703.70950000,2191,985160.50000000,189630.19610000,0
1743868800000000,0.19100000,0.19300000,0.19000000,0.19200000,1783337.60000000,1743883199999999,342308.89230000,1471,726721.90000000,139681.62210000,0
1743883200000000,0.19100000,0.19700000,0.19100000,0.19600000,2238561.10000000,1743897599999999,433779.66330000,1550,1334090.40000000,258502.91530000,0
1743897600000000,0.19600000,0.19700000,0.19300000,0.19400000,1990122.60000000,1743911999999999,387359.58790000,1293,848947.00000000,165233.47730000,0
1743912000000000,0.19400000,0.19800000,0.19300000,0.19300000,2550107.90000000,1743926399999999,496661.21680000,1405,1246097.00000000,242707.51840000,0
1743926400000000,0.19300000,0.19600000,0.19000000,0.19200000,1320571.20000000,1743940799999999,254233.36570000,1263,532131.20000000,102406.61080000,0
1743940800000000,0.19100000,0.19200000,0.18200000,0.18500000,3889534.50000000,1743955199999999,726146.76700000,3493,1746185.40000000,326282.89220000,0
1743955200000000,0.18600000,0.18700000,0.17100000,0.17500000,6965159.80000000,1743969599999999,1242739.41780000,6602,3100913.20000000,553536.41430000,0
1743969600000000,0.17500000,0.17800000,0.16800000,0.17400000,6660457.50000000,1743983999999999,1151544.27740000,5426,3179684.10000000,550392.01550000,0
1743984000000000,0.17400000,0.18100000,0.16900000,0.17200000,6575838.50000000,1743998399999999,1149488.95730000,3895,3283302.90000000,573945.14100000,0
1743998400000000,0.17200000,0.17600000,0.15800000,0.16600000,10019916.60000000,1744012799999999,1691720.65270000,8082,4791823.80000000,808576.19050000,0
1744012800000000,0.16600000,0.17500000,0.16400000,0.17100000,4281901.30000000,1744027199999999,732047.84800000,3996,2076609.30000000,355267.92610000,0
1744027200000000,0.17100000,0.18900000,0.17000000,0.17800000,8476934.60000000,1744041599999999,1507189.29180000,7953,4068848.80000000,723668.06350000,0
1744041600000000,0.17800000,0.18100000,0.17400000,0.17600000,3480028.80000000,1744055999999999,617917.22030000,4469,1699085.40000000,301996.34750000,0
1744056000000000,0.17700000,0.18100000,0.17700000,0.17800000,1779183.10000000,1744070399999999,318203.01500000,2289,938728.00000000,167897.84250000,0
1744070400000000,0.17800000,0.18500000,0.17600000,0.17900000,2089090.00000000,1744084799999999,376293.51850000,2287,918352.60000000,165632.50820000,0
1744084800000000,0.18000000,0.18200000,0.17400000,0.17600000,2179203.90000000,1744099199999999,390579.25250000,2269,1038535.00000000,186481.13960000,0
1744099200000000,0.17600000,0.18100000,0.17400000,0.18000000,2415309.90000000,1744113599999999,425854.42460000,2508,1095054.50000000,193292.63570000,0
1744113600000000,0.18000000,0.18100000,0.17300000,0.17500000,3202497.80000000,1744127999999999,566525.35820000,4171,1212759.30000000,214764.07420000,0
1744128000000000,0.17600000,0.17600000,0.16900000,0.17000000,3676239.30000000,1744142399999999,630477.75980000,4394,1698321.90000000,291149.42600000,0
1744142400000000,0.17000000,0.17200000,0.16600000,0.16800000,2533882.50000000,1744156799999999,428057.53000000,2971,1237932.80000000,209237.71670000,0
1744156800000000,0.16800000,0.17000000,0.16000000,0.16800000,4728191.00000000,1744171199999999,786829.84940000,5353,2156186.90000000,358682.22370000,0
