open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1709251200000,0.07549000,0.08232000,0.07540000,0.08231000,35820355.60000000,1709265599999,2856765.29005700,32970,20423290.60000000,1629395.57166600,0
1709265600000,0.08223000,0.08400000,0.07923000,0.08039000,35474945.60000000,1709279999999,2896554.56216100,32914,17469339.20000000,1426903.39934300,0
1709280000000,0.08043000,0.08381000,0.07960000,0.08129000,35126789.40000000,1709294399999,2869354.39550700,32112,17144582.00000000,1402440.90137900,0
1709294400000,0.08129000,0.08448000,0.08069000,0.08167000,30708386.70000000,1709308799999,2534459.27496700,36230,14745777.70000000,1218447.24501500,0
1709308800000,0.08167000,0.09904000,0.08080000,0.09539000,199544722.30000000,1709323199999,18528082.13528300,190551,106565656.60000000,9913602.80534900,0
1709323200000,0.09539000,0.10390000,0.09504000,0.09566000,112231208.20000000,1709337599999,11164273.55048200,143622,57151381.70000000,5690504.45997000,0
1709337600000,0.09566000,0.09731000,0.09013000,0.09188000,46005069.30000000,1709351999999,4278233.08332900,54404,21015211.40000000,1956741.17021500,0
1709352000000,0.09188000,0.09643000,0.09103000,0.09399000,35333734.20000000,1709366399999,3319978.14308800,49069,15920286.10000000,1496103.22146400,0
1709366400000,0.09400000,0.09785000,0.09233000,0.09284000,33607227.60000000,1709380799999,3198075.75076000,57138,16221840.90000000,1545159.07815800,0
1709380800000,0.09284000,0.09468000,0.09092000,0.09171000,25145423.40000000,1709395199999,2339275.88317000,34389,11415070.70000000,1063261.52387100,0
1709395200000,0.09171000,0.09486000,0.09082000,0.09390000,21324084.60000000,1709409599999,1989512.66957000,22956,11381600.50000000,1061779.57584900,0
1709409600000,0.09394000,0.09480000,0.09281000,0.09421000,9466906.60000000,1709423999999,889682.61754100,12982,4522223.20000000,425005.47270800,0
1709424000000,0.09419000,0.09526000,0.09256000,0.09324000,12145778.40000000,1709438399999,1137781.30429300,15083,5757883.40000000,539659.34093100,0
1709438400000,0.09321000,0.09759000,0.07963000,0.09559000,62895578.90000000,1709452799999,5742560.27327600,60856,31059462.90000000,2844871.59250200,0
1709452800000,0.09564000,0.11475000,0.09317000,0.09747000,170075102.30000000,1709467199999,17489026.45926700,226458,88772247.40000000,9142904.32289900,0
1709467200000,0.09748000,0.10347000,0.09632000,0.09658000,40098604.50000000,1709481599999,3983922.29901700,64165,20701828.50000000,2059741.95306800,0
1709481600000,0.09658000,0.09682000,0.09463000,0.09597000,18106146.90000000,1709495999999,1732720.56926200,23068,8545701.50000000,818520.53376000,0
1709496000000,0.09600000,0.09634000,0.09401000,0.09475000,10827405.10000000,1709510399999,1027930.14392600,14548,4489276.20000000,426375.41852600,0
1709510400000,0.09474000,0.09502000,0.09018000,0.09292000,19782993.90000000,1709524799999,1834942.34494200,27722,8695417.30000000,806640.69113400,0
1709524800000,0.09289000,0.09600000,0.09187000,0.09361000,23152670.90000000,1709539199999,2171830.82977700,29160,12185557.40000000,1144499.95268700,0
1709539200000,0.09360000,0.09749000,0.09268000,0.09534000,36309711.60000000,1709553599999,3461676.02230500,50995,19570123.10000000,1866251.06089900,0
1709553600000,0.09537000,0.09673000,0.09107000,0.09206000,25064284.50000000,1709567999999,2344442.81455600,32808,11958163.20000000,1119315.00800700,0
1709568000000,0.09204000,0.09222000,0.08707000,0.09187000,25074110.00000000,1709582399999,2245873.60397000,40150,12347140.30000000,1105938.27700700,0
1709582400000,0.09188000,0.09241000,0.09048000,0.09120000,8120273.90000000,1709596799999,742735.75834500,15686,3451993.80000000,316048.85191000,0
1709596800000,0.09122000,0.09207000,0.08906000,0.08956000,16169604.00000000,1709611199999,1461811.17892800,22709,7596897.60000000,687337.92079700,0
1709611200000,0.08954000,0.09244000,0.08838000,0.09050000,18824900.20000000,1709625599999,1711973.38000800,32419,9429164.60000000,857706.26410200,0
1709625600000,0.09051000,0.09229000,0.08925000,0.09129000,12226597.20000000,1709639999999,1115695.47258600,18187,5714968.70000000,521887.29968300,0
1709640000000,0.09127000,0.09256000,0.08623000,0.08705000,27814911.30000000,1709654399999,2479765.00093200,35879,12771488.50000000,1138002.09499200,0
1709654400000,0.08704000,0.08788000,0.06700000,0.07479000,44946959.20000000,1709668799999,3654799.04721400,56252,18640269.70000000,1521248.87860200,0
1709668800000,0.07485000,0.07981000,0.07251000,0.07900000,31724804.60000000,1709683199999,2424195.08911800,53020,15369715.40000000,1175344.67248100,0
1709683200000,0.07902000,0.08039000,0.07651000,0.07888000,14292825.40000000,1709697599999,1125983.92106700,22430,7104913.10000000,560214.94721700,0
1709697600000,0.07889000,0.08578000,0.07874000,0.08546000,21287878.40000000,1709711999999,1757879.43818100,26539,11887669.30000000,982698.27082200,0
1709712000000,0.08546000,0.08610000,0.08210000,0.08376000,14998623.10000000,1709726399999,1261791.50058700,21251,6692520.10000000,563065.73376600,0
1709726400000,0.08379000,0.08991000,0.08000000,0.08906000,43952299.20000000,1709740799999,3752353.43716900,69564,22712568.00000000,1943579.73140100,0
1709740800000,0.08906000,0.09425000,0.08722000,0.09036000,61093588.30000000,1709755199999,5541563.36689400,92799,32111929.30000000,2912598.79931900,0
1709755200000,0.09036000,0.09690000,0.08903000,0.09318000,40223603.90000000,1709769599999,3784149.92661500,53038,18634793.10000000,1748908.47142600,0
1709769600000,0.09317000,0.11000000,0.09293000,0.10424000,117601555.40000000,1709783999999,12263730.14154300,158863,61544349.40000000,6413605.07430500,0
1709784000000,0.10424000,0.11250000,0.10312000,0.10571000,116255927.80000000,1709798399999,12597988.68331300,160590,61948750.00000000,6725309.89418700,0
1709798400000,0.10570000,0.11000000,0.10099000,0.10722000,60280402.80000000,1709812799999,6359051.36162100,87148,30593806.40000000,3231122.63395000,0
1709812800000,0.10719000,0.11750000,0.10616000,0.10649000,176952200.90000000,1709827199999,19897827.81274500,214622,86586754.50000000,9743907.18440600,0
1709827200000,0.10654000,0.11865000,0.10645000,0.11768000,62190400.10000000,1709841599999,6998608.25471400,96162,33919307.20000000,3816512.39969300,0
1709841600000,0.11769000,0.12151000,0.11024000,0.11568000,64828908.90000000,1709855999999,7541719.00712800,94655,32502494.50000000,3784690.51774700,0
1709856000000,0.11573000,0.11719000,0.10890000,0.10961000,35234183.70000000,1709870399999,3954628.97320000,49407,16250524.90000000,1827056.58109800,0
1709870400000,0.10953000,0.11020000,0.10793000,0.11015000,17390941.20000000,1709884799999,1897039.54938000,23816,7664090.10000000,836259.08894700,0
1709884800000,0.11016000,0.11235000,0.10803000,0.10908000,26205570.80000000,1709899199999,2871983.04339700,25952,10836329.40000000,1188591.14899700,0
1709899200000,0.10910000,0.11131000,0.10111000,0.10875000,47035436.60000000,1709913599999,5049321.83486200,56159,21897735.80000000,2353614.51870600,0
1709913600000,0.10877000,0.11572000,0.10644000,0.10891000,46152988.90000000,1709927999999,5080464.73022100,71213,23972609.60000000,2641972.29671000,0
1709928000000,0.10891000,0.11272000,0.10792000,0.11093000,13576225.70000000,1709942399999,1485109.04270300,20682,7876796.70000000,861861.23635500,0
1709942400000,0.11095000,0.13102000,0.10886000,0.12717000,80852539.90000000,1709956799999,9821623.55828700,102256,43160459.10000000,5243414.20026400,0
1709956800000,0.12716000,0.14700000,0.12703000,0.14121000,176811593.10000000,1709971199999,24598640.48521800,261649,89934937.40000000,12520537.30570300,0
1709971200000,0.14120000,0.14311000,0.12814000,0.13185000,89878114.90000000,1709985599999,12066800.84020600,120065,40782676.10000000,5481143.80971800,0
1709985600000,0.13180000,0.13414000,0.12843000,0.13030000,30976464.50000000,1709999999999,4065129.87193700,48006,14765348.80000000,1937351.14452000,0
1710000000000,0.13029000,0.13071000,0.12357000,0.12507000,42872939.90000000,1710014399999,5425181.05832300,53597,20466313.90000000,2592021.87602000,0
1710014400000,0.12507000,0.13339000,0.12391000,0.13106000,43143172.20000000,1710028799999,5528851.60433700,65157,23884910.50000000,3060675.08132500,0
1710028800000,0.13106000,0.13300000,0.12329000,0.13096000,49134157.60000000,1710043199999,6358986.04372200,81180,25066762.60000000,3248516.20300500,0
1710043200000,0.13097000,0.13999000,0.12936000,0.13138000,53907076.10000000,1710057599999,7193342.44717300,89478,27702338.40000000,3699824.00480800,0
1710057600000,0.13131000,0.13262000,0.12258000,0.12456000,41757914.80000000,1710071999999,5279358.37845100,58740,19209258.70000000,2431308.51175300,0
1710072000000,0.12455000,0.12508000,0.11693000,0.11870000,43103512.80000000,1710086399999,5196672.67109100,56130,20455614.70000000,2463806.44723100,0
1710086400000,0.11870000,0.12208000,0.11860000,0.12153000,16131397.20000000,1710100799999,1947830.51291900,18452,8392983.80000000,1013844.06045400,0
1710100800000,0.12148000,0.12210000,0.11803000,0.12164000,10515978.10000000,1710115199999,1266704.59497000,14829,4349322.20000000,524417.86811700,0
1710115200000,0.12165000,0.12705000,0.11500000,0.12112000,25206769.30000000,1710129599999,3055227.11354500,49760,12429463.60000000,1512444.94941400,0
1710129600000,0.12115000,0.12594000,0.11921000,0.12421000,21934186.90000000,1710143999999,2687091.86492700,37912,10478941.70000000,1284794.05198200,0
1710144000000,0.12410000,0.13203000,0.12000000,0.12125000,31494840.30000000,1710158399999,3915586.13714400,54655,15355889.30000000,1914767.16527300,0
1710158400000,0.12129000,0.12243000,0.11890000,0.12006000,17231577.30000000,1710172799999,2083104.45821100,22312,7872417.70000000,952458.28088500,0
1710172800000,0.12008000,0.12172000,0.11696000,0.11919000,16883677.10000000,1710187199999,2018842.87099300,21510,7550020.10000000,904056.59180100,0
1710187200000,0.11926000,0.12030000,0.11841000,0.11948000,5838653.90000000,1710201599999,697718.10555800,6913,3245395.60000000,387927.95618600,0
1710201600000,0.11943000,0.12418000,0.11850000,0.11863000,17061162.80000000,1710215999999,2062052.65111400,24985,8787428.90000000,1063115.00512900,0
1710216000000,0.11867000,0.12050000,0.11548000,0.11608000,12465078.40000000,1710230399999,1471596.17012200,21878,5076518.50000000,599686.78028500,0
1710230400000,0.11609000,0.11852000,0.11302000,0.11606000,17559190.30000000,1710244799999,2039215.67714700,23234,7500094.80000000,871417.21264000,0
1710244800000,0.11607000,0.12126000,0.11388000,0.11952000,18994113.70000000,1710259199999,2246316.28169100,35356,9625444.40000000,1140863.37486300,0
1710259200000,0.11963000,0.12185000,0.11000000,0.11904000,30940865.00000000,1710273599999,3629893.28198800,52967,14183474.30000000,1668131.75205600,0
1710273600000,0.11905000,0.11931000,0.11704000,0.11899000,6297705.10000000,1710287999999,743475.54546400,10641,2938971.30000000,347196.63727700,0
1710288000000,0.11896000,0.12032000,0.11740000,0.11779000,10184153.10000000,1710302399999,1212347.47552000,10773,4599691.40000000,548151.55561100,0
1710302400000,0.11781000,0.12019000,0.11701000,0.11882000,11745704.20000000,1710316799999,1390362.78243200,10811,6082154.10000000,720847.04631900,0
1710316800000,0.11877000,0.11911000,0.11417000,0.11627000,16358649.10000000,1710331199999,1914981.25471000,14588,7083659.30000000,829820.01759000,0
