open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1754006400000000,0.18560000,0.18640000,0.17960000,0.18430000,3604887.60000000,1754020799999999,662177.06587000,5269,1795133.20000000,330102.55533000,0
1754020800000000,0.18440000,0.18440000,0.18080000,0.18200000,2500518.00000000,1754035199999999,456679.09165000,4375,1248148.70000000,228028.53000000,0
1754035200000000,0.18180000,0.18270000,0.17720000,0.18240000,3286965.10000000,1754049599999999,593048.39447000,5505,1914332.10000000,345625.72099000,0
1754049600000000,0.18250000,0.18490000,0.17820000,0.18360000,3298350.50000000,1754063999999999,602358.50970000,5667,1769857.80000000,323321.94499000,0
1754064000000000,0.18350000,0.18460000,0.17850000,0.18280000,3121970.80000000,1754078399999999,565992.91718000,5532,1255124.30000000,227648.25548000,0
1754078400000000,0.18290000,0.18340000,0.17390000,0.17970000,3128084.90000000,1754092799999999,557427.02871000,5382,1742034.30000000,310537.21334000,0
1754092800000000,0.17970000,0.18160000,0.17890000,0.18110000,699769.80000000,1754107199999999,126216.62047000,1324,328091.70000000,59206.65915000,0
1754107200000000,0.18130000,0.18230000,0.17580000,0.18030000,791755.70000000,1754121599999999,141697.93190000,1719,428133.40000000,76635.08977000,0
1754121600000000,0.18020000,0.18040000,0.17580000,0.17840000,1138318.70000000,1754135999999999,202356.16236000,2137,554777.00000000,98728.83697000,0
1754136000000000,0.17820000,0.17900000,0.17450000,0.17530000,1297104.80000000,1754150399999999,229263.65227000,2273,722642.70000000,127760.89768000,0
1754150400000000,0.17510000,0.17610000,0.17110000,0.17310000,3364705.80000000,1754164799999999,583648.38643000,4337,1708711.90000000,296385.25012000,0
1754164800000000,0.17310000,0.17600000,0.17300000,0.17530000,1298114.90000000,1754179199999999,226353.41393000,1780,721658.60000000,125799.57915000,0
1754179200000000,0.17520000,0.17830000,0.17280000,0.17800000,1124664.70000000,1754193599999999,198654.97380000,1688,538795.00000000,95186.81436000,0
1754193600000000,0.17800000,0.17870000,0.17700000,0.17840000,1322947.70000000,1754207999999999,235432.36377000,1272,808738.10000000,143964.56151000,0
1754208000000000,0.17830000,0.18080000,0.17770000,0.18000000,880846.30000000,1754222399999999,157766.74319000,1426,415142.40000000,74363.96548000,0
1754222400000000,0.17990000,0.18040000,0.17830000,0.17940000,539071.10000000,1754236799999999,96564.44233000,1070,264108.30000000,47340.76515000,0
1754236800000000,0.17920000,0.18150000,0.17880000,0.18050000,872713.80000000,1754251199999999,157038.92965000,1181,473968.80000000,85314.19285000,0
1754251200000000,0.18050000,0.18130000,0.17970000,0.18000000,672808.50000000,1754265599999999,121369.16218000,949,296283.70000000,53452.90847000,0
1754265600000000,0.18010000,0.18340000,0.17980000,0.18240000,1016203.80000000,1754279999999999,184818.23768000,1229,534427.30000000,97228.62546000,0
1754280000000000,0.18240000,0.18360000,0.18120000,0.18300000,1588375.20000000,1754294399999999,289681.20157000,1745,768130.90000000,140192.66307000,0
1754294400000000,0.18300000,0.18360000,0.18110000,0.18170000,1047081.80000000,1754308799999999,190949.15815000,1614,417872.80000000,76230.46584000,0
1754308800000000,0.18190000,0.18590000,0.18100000,0.18460000,1867416.60000000,1754323199999999,342672.67798000,2490,846613.30000000,155687.68124000,0
1754323200000000,0.18460000,0.18860000,0.18400000,0.18480000,1364274.60000000,1754337599999999,254312.76686000,1962,713255.30000000,133187.22418000,0
1754337600000000,0.18480000,0.18820000,0.18460000,0.18730000,914793.00000000,1754351999999999,170460.99363000,1589,492171.40000000,91804.52834000,0
1754352000000000,0.18730000,0.18760000,0.18460000,0.18460000,825992.90000000,1754366399999999,153687.42942000,1328,359847.80000000,66967.04438000,0
1754366400000000,0.18460000,0.18540000,0.18070000,0.18100000,1493663.90000000,1754380799999999,273970.68246000,1834,693122.40000000,127156.70862000,0
1754380800000000,0.18100000,0.18780000,0.18040000,0.18740000,1350858.30000000,1754395199999999,249703.91668000,2076,772341.20000000,142981.32032000,0
1754395200000000,0.18750000,0.18750000,0.17860000,0.17940000,2985448.40000000,1754409599999999,548076.33355000,5426,1451288.90000000,266986.26760000,0
1754409600000000,0.17930000,0.18090000,0.17730000,0.17810000,1760784.80000000,1754423999999999,315325.60080000,3019,767434.30000000,137568.79485000,0
1754424000000000,0.17810000,0.18100000,0.17550000,0.18060000,1747927.20000000,1754438399999999,311732.69282000,2753,1047995.20000000,186966.95841000,0
1754438400000000,0.18060000,0.18060000,0.17620000,0.17630000,1439211.70000000,1754452799999999,255862.73777000,2208,722828.00000000,128550.15522000,0
1754452800000000,0.17620000,0.18150000,0.17510000,0.18110000,1694034.00000000,1754467199999999,303493.98040000,2237,938736.00000000,168242.52668000,0
1754467200000000,0.18110000,0.18140000,0.17880000,0.17950000,1093379.00000000,1754481599999999,196813.09005000,1753,471391.00000000,84887.56094000,0
1754481600000000,0.17950000,0.18400000,0.17780000,0.18360000,2474534.00000000,1754495999999999,445901.80332000,3643,1283258.90000000,231414.53145000,0
1754496000000000,0.18360000,0.18470000,0.18140000,0.18350000,1266678.70000000,1754510399999999,232058.51751000,1442,506962.10000000,92900.55281000,0
1754510400000000,0.18350000,0.18360000,0.18190000,0.18240000,933554.70000000,1754524799999999,170757.25955000,1396,521129.00000000,95351.49711000,0
1754524800000000,0.18250000,0.18410000,0.18000000,0.18000000,933861.80000000,1754539199999999,169729.57989000,2154,388554.70000000,70775.73705000,0
1754539200000000,0.18000000,0.18350000,0.17990000,0.18330000,2009706.60000000,1754553599999999,366049.65506000,2410,1185360.70000000,215953.68236000,0
1754553600000000,0.18330000,0.19080000,0.18270000,0.19060000,2424407.30000000,1754567999999999,453969.94034000,3134,1292386.80000000,241910.25187000,0
1754568000000000,0.19060000,0.19060000,0.18680000,0.18750000,1639875.80000000,1754582399999999,309794.15590000,2140,871419.10000000,164696.51641000,0
1754582400000000,0.18760000,0.18850000,0.18380000,0.18840000,1439931.40000000,1754596799999999,267946.21336000,1896,770206.80000000,143300.52859000,0
1754596800000000,0.18860000,0.19150000,0.18830000,0.19140000,1468008.10000000,1754611199999999,278525.93094000,1769,613554.80000000,116502.96765000,0
1754611200000000,0.19130000,0.19380000,0.18950000,0.19190000,3163895.00000000,1754625599999999,606288.48066000,4774,1627688.90000000,312009.03997000,0
1754625600000000,0.19190000,0.19340000,0.18970000,0.19310000,1407144.10000000,1754639999999999,269678.85216000,2372,687529.00000000,131758.72340000,0
1754640000000000,0.19300000,0.19430000,0.19100000,0.19290000,1813573.10000000,1754654399999999,348366.61884000,3185,482016.60000000,92718.81580000,0
1754654400000000,0.19290000,0.19540000,0.18870000,0.19030000,2014596.30000000,1754668799999999,387058.38947000,2887,911062.80000000,175181.93987000,0
1754668800000000,0.19030000,0.19690000,0.19020000,0.19640000,1542422.80000000,1754683199999999,299611.18660000,2700,927132.80000000,179903.34160000,0
1754683200000000,0.19640000,0.19670000,0.19500000,0.19550000,654174.80000000,1754697599999999,128130.37661000,1496,282058.20000000,55259.21758000,0
1754697600000000,0.19560000,0.19700000,0.19520000,0.19620000,824906.90000000,1754711999999999,161867.33921000,1504,483692.30000000,94921.97272000,0
1754712000000000,0.19620000,0.20170000,0.19590000,0.20140000,1779182.80000000,1754726399999999,355214.03412000,2750,823676.30000000,164492.30127000,0
1754726400000000,0.20150000,0.20380000,0.20080000,0.20290000,1723444.20000000,1754740799999999,348632.18247000,2837,901039.60000000,182227.01165000,0
1754740800000000,0.20290000,0.20490000,0.20010000,0.20250000,1493967.90000000,1754755199999999,302289.93633000,3480,573174.40000000,115985.44221000,0
1754755200000000,0.20270000,0.20490000,0.20230000,0.20410000,1201014.80000000,1754769599999999,244687.01617000,2352,570146.80000000,116195.65038000,0
1754769600000000,0.20420000,0.20630000,0.20210000,0.20260000,1251784.00000000,1754783999999999,255648.31079000,2982,520556.90000000,106431.77141000,0
1754784000000000,0.20260000,0.20560000,0.20230000,0.20520000,1931772.00000000,1754798399999999,394860.97160000,3824,959678.90000000,196172.37412000,0
1754798400000000,0.20520000,0.20730000,0.19750000,0.19790000,1818560.90000000,1754812799999999,367019.96995000,3423,694886.40000000,140211.32154000,0
1754812800000000,0.19780000,0.20000000,0.19510000,0.19650000,1710409.30000000,1754827199999999,338498.22997000,3052,855634.60000000,169414.98799000,0
1754827200000000,0.19660000,0.20080000,0.19530000,0.19980000,1180589.00000000,1754841599999999,233753.09178000,2621,712542.80000000,141085.89018000,0
