open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1733011200000,1859.00000000,1882.00000000,1822.00000000,1859.00000000,1629.47250000,1733025599999,3019606.93720000,9431,614.08650000,1136513.90370000,0
1733025600000,1859.00000000,1859.00000000,1830.00000000,1844.00000000,380.91570000,1733039999999,701340.84900000,3046,157.90350000,290728.48240000,0
1733040000000,1843.00000000,1853.00000000,1813.00000000,1830.00000000,896.33710000,1733054399999,1641152.24400000,6186,491.58530000,899894.54940000,0
1733054400000,1830.00000000,1852.00000000,1818.00000000,1838.00000000,1176.68070000,1733068799999,2155226.26450000,8621,586.38240000,1074348.80730000,0
1733068800000,1838.00000000,1854.00000000,1822.00000000,1833.00000000,846.76770000,1733083199999,1556427.33180000,5291,447.00450000,822189.30790000,0
1733083200000,1832.00000000,1850.00000000,1804.00000000,1837.00000000,1003.51390000,1733097599999,1833124.38450000,7606,484.45250000,884572.02670000,0
1733097600000,1837.00000000,1891.00000000,1827.00000000,1837.00000000,2169.17300000,1733111999999,4034043.69050000,11821,1187.66840000,2209471.04090000,0
1733112000000,1836.00000000,1864.00000000,1804.00000000,1855.00000000,2610.19840000,1733126399999,4790032.04000000,16960,1349.79260000,2477538.00360000,0
1733126400000,1856.00000000,1865.00000000,1769.00000000,1788.00000000,4410.38150000,1733140799999,7941652.32720000,22220,2067.59460000,3722722.76710000,0
1733140800000,1788.00000000,1927.00000000,1782.00000000,1927.00000000,5926.28500000,1733155199999,11126723.14730000,25906,2895.89050000,5441826.47300000,0
1733155200000,1926.00000000,1960.00000000,1824.00000000,1944.00000000,6010.07360000,1733169599999,11369998.84070000,29046,3051.39000000,5772146.55610000,0
1733169600000,1944.00000000,1991.00000000,1938.00000000,1977.00000000,4341.06290000,1733183999999,8539001.01990000,20558,2300.58020000,4526495.83410000,0
1733184000000,1978.00000000,2265.00000000,1969.00000000,2139.00000000,12792.28480000,1733198399999,27261489.14740000,80717,6893.81770000,14661824.37310000,0
1733198400000,2139.00000000,2214.00000000,2106.00000000,2162.00000000,7232.77220000,1733212799999,15646077.38670000,41284,3924.82880000,8499148.77660000,0
1733212800000,2162.00000000,2297.00000000,2150.00000000,2230.00000000,8463.27270000,1733227199999,18769057.54380000,44370,4430.60340000,9831547.09110000,0
1733227200000,2230.00000000,2233.00000000,2076.00000000,2166.00000000,11963.54530000,1733241599999,25819786.87270000,67547,5849.69390000,12634446.23680000,0
1733241600000,2166.00000000,2242.00000000,2140.00000000,2232.00000000,5357.88070000,1733255999999,11802476.28080000,28137,2783.54610000,6133396.79000000,0
1733256000000,2231.00000000,2325.00000000,2226.00000000,2298.00000000,5812.14110000,1733270399999,13283514.51850000,29124,2897.41670000,6618245.92490000,0
1733270400000,2299.00000000,2400.00000000,2275.00000000,2278.00000000,5427.33030000,1733284799999,12680906.09890000,36943,3034.04670000,7096127.57340000,0
1733284800000,2278.00000000,2385.00000000,2274.00000000,2385.00000000,2571.96270000,1733299199999,5992622.43050000,20198,1533.28420000,3578843.45630000,0
1733299200000,2384.00000000,2426.00000000,2362.00000000,2370.00000000,6077.70800000,1733313599999,14540920.92020000,44925,3390.83710000,8109690.47850000,0
1733313600000,2370.00000000,2373.00000000,2275.00000000,2338.00000000,6006.91580000,1733327999999,13992686.42340000,32134,3071.75180000,7153884.93600000,0
1733328000000,2338.00000000,2349.00000000,2231.00000000,2298.00000000,4583.25880000,1733342399999,10419816.54630000,29116,2372.56950000,5394321.27010000,0
1733342400000,2297.00000000,2345.00000000,2239.00000000,2272.00000000,2946.86370000,1733356799999,6707468.37430000,16852,1390.18250000,3168812.89980000,0
1733356800000,2273.00000000,2285.00000000,2163.00000000,2212.00000000,3555.59840000,1733371199999,7921407.06530000,27080,1517.56000000,3380259.87680000,0
1733371200000,2212.00000000,2263.00000000,2201.00000000,2235.00000000,1542.66130000,1733385599999,3445980.81660000,13377,635.21890000,1419474.50280000,0
1733385600000,2236.00000000,2262.00000000,2125.00000000,2162.00000000,5038.03420000,1733399999999,10989583.58140000,37005,2451.86210000,5357670.94360000,0
1733400000000,2162.00000000,2200.00000000,2138.00000000,2171.00000000,3225.40890000,1733414399999,7010820.75900000,21289,1387.09530000,3016513.14840000,0
1733414400000,2171.00000000,2187.00000000,2106.00000000,2112.00000000,1840.97110000,1733428799999,3970432.91360000,17468,861.07380000,1859267.41920000,0
1733428800000,2112.00000000,2138.00000000,2048.00000000,2099.00000000,2665.82120000,1733443199999,5601103.55420000,22563,1236.76350000,2599140.33240000,0
1733443200000,2098.00000000,2169.00000000,2090.00000000,2167.00000000,2277.39430000,1733457599999,4885501.20900000,13190,1205.13510000,2587107.42260000,0
1733457600000,2168.00000000,2194.00000000,2164.00000000,2179.00000000,1448.68250000,1733471999999,3154321.50440000,8335,641.54830000,1398189.13450000,0
